"","Tenant applied direct","","","Nominated by local housing authority","","","Internal transfer","","","Referred by local authority housing department","","","Social services","","","Voluntary agency","","","Police, probation, prison","","","Other social landlord","","","Other","",""
"Mixed White/Black African","39.8","41.9","44.3","25.9","24.6","27.6","12.0","12.1","10.9","5.1","5.7","5.3","2.2","3.3","2.9","2.7","2.4","1.7","1.7","0.5","0.6","1.0","0.4","0.6","9.6","9.0","6.0"
"Mixed White/Black Caribbean","34.1","36.6","36.9","27.0","26.0","28.1","11.3","10.7","11.8","7.5","7.8","7.1","3.6","3.4","3.5","3.6","3.2","3.0","2.6","1.8","1.0","0.8","0.9","0.7","9.5","9.6","8.0"
"Mixed other","37.4","42.2","41.6","32.7","27.6","28.6","8.8","9.8","9.0","6.3","5.6","5.3","2.9","3.0","4.2","2.3","2.3","1.5","1.0","1.1","0.8","1.0","0.8","0.9","7.6","7.5","8.1"
"White","44.7","46.2","47.0","25.5","24.9","25.5","13.5","13.1","12.6","4.8","4.8","4.4","2.7","2.8","2.7","1.5","1.3","1.2","1.3","0.8","0.7","0.5","0.5","0.4","5.7","5.6","5.5"
"White British","44.5","46.1","46.8","25.3","24.8","25.3","13.7","13.3","12.8","4.9","4.8","4.5","2.7","2.9","2.7","1.5","1.3","1.2","1.3","0.9","0.7","0.5","0.4","0.4","5.7","5.6","5.5"
"White Irish","36.1","37.8","39.5","18.7","19.4","20.4","17.6","15.4","15.5","6.6","7.2","6.8","3.8","2.8","3.6","3.8","3.1","2.2","2.4","1.7","1.0","0.9","1.0","0.5","10.1","11.6","10.5"
"White Gypsy/Traveller","35.6","37.9","44.2","33.6","25.6","27.4","7.6","14.4","10.0","6.4","7.0","5.6","2.8","3.3","2.4","3.6","2.3","2.4","1.7","1.7","!","1.7","0.5","!","7.0","7.4","6.7"
"White other","50.1","51.0","51.1","29.7","29.0","29.3","8.5","8.3","8.6","2.5","2.9","2.4","1.6","1.8","1.7","1.5","1.1","1.1","0.4","0.4","0.2","0.4","0.4","0.3","5.2","5.0","5.4"
"Other","46.8","47.2","50.1","20.3","20.9","19.0","10.7","9.4","9.8","5.4","4.6","5.1","3.0","3.5","3.0","3.7","3.0","1.5","0.8","0.6","0.4","0.8","0.5","0.7","8.5","10.3","10.3"
"Arab","40.7","39.8","44.5","23.1","21.3","20.8","10.5","10.3","10.7","7.5","5.4","5.9","3.2","4.6","3.0","4.2","3.9","1.6","0.7","0.1","0.7","0.7","0.5","0.5","9.5","14.3","12.2"
"Any other","49.3","50.2","54.1","19.2","20.8","17.7","10.8","9.0","9.1","4.5","4.3","4.5","2.9","3.1","3.0","3.5","2.6","1.4","0.9","0.8","0.3","0.9","0.5","0.9","8.1","8.6","9.0"
