"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","7","63385"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","5","63385"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","5","63385"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","21","63385"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","2","2732"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","7","2732"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","11","2732"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","11","2732"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","10","2732"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","9","2732"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","8","2732"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","5","2732"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","6","2732"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","5","2732"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","26","2732"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","531"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","531"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","12","531"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","15","531"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","531"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","10","531"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","9","531"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","531"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","531"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","531"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","19","531"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","3","2622"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","6","2622"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","10","2622"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","11","2622"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","10","2622"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","10","2622"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","8","2622"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","6","2622"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","6","2622"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","5","2622"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","24","2622"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","1127"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","4","1127"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","10","1127"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","1127"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","7","1127"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","1127"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","1127"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","7","1127"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","1127"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","5","1127"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","32","1127"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","618"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","8","618"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","12","618"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","17","618"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","16","618"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","11","618"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","618"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","5","618"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","618"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","4","618"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","13","618"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","221"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","9","221"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","8","221"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","16","221"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","12","221"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","17","221"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","8","221"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","7","221"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","221"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","221"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","10","221"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","236"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","236"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","236"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","6","236"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","12","236"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","7","236"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","11","236"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","3","236"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","236"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","236"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","24","236"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","4","420"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","7","420"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","420"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","420"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","420"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","9","420"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","8","420"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","7","420"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","5","420"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","6","420"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","24","420"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1457"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1457"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1457"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","1457"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","1457"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","1457"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","1457"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1457"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","1457"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","1457"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","1457"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","597"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","10","597"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","11","597"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","12","597"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","10","597"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","11","597"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","7","597"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","597"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","597"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","597"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","19","597"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","66320"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","66320"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","13","66320"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","13","66320"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","10","66320"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","9","66320"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","66320"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","66320"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","6","66320"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","4","66320"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","22","66320"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","1","61420"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","61420"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","13","61420"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","13","61420"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","10","61420"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","9","61420"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","61420"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","61420"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","6","61420"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","5","61420"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","22","61420"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","1","58941"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","58941"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","13","58941"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","13","58941"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","10","58941"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","9","58941"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","58941"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","58941"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","6","58941"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","4","58941"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","22","58941"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","2","2479"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White Other","ONS 5+2","7","2479"
