"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","66","%","3139","4775"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","82","%","3913","4792"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","74","%","8567","11652"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","69","%","4131","5986"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","78","%","4436","5666"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","77","%","21043","27358"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","10010","13932"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","82","%","11033","13426"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","64","%","3536","5549"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","58","%","1634","2834"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","70","%","1902","2715"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","357759","458994"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","168845","234897"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","84","%","188914","224097"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","79","%","326987","416201"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","154252","213008"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","85","%","172735","203193"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","32","%","695","2162"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","26","%","277","1072"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","38","%","418","1090"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","79","%","1335","1691"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","73","%","619","852"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","85","%","716","839"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","36","%","172","473"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","32","%","81","254"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","42","%","91","219"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","74","%","28570","38467"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","69","%","13616","19711"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","80","%","14954","18756"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","20","%","123065","619473"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","15","%","46606","316644"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","25","%","76459","302829"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","14592","67865"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","16","%","5712","34819"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","27","%","8880","33046"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","25","%","2848","11376"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","19","%","1129","5888"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","31","%","1719","5488"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","2383","10964"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","16","%","916","5623"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","27","%","1467","5341"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","18","%","6781","37379"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","14","%","2538","18783"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","23","%","4243","18596"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","20","%","5001","25216"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","15","%","1938","12604"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","24","%","3063","12612"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","13","%","963","7218"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","9","%","313","3649"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","18","%","650","3569"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","17","%","817","4945"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","11","%","287","2530"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","22","%","530","2415"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","40","%","1011","2543"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","31","%","398","1264"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","48","%","613","1279"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","29","%","5194","18167"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","23","%","2116","9376"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","35","%","3078","8791"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","7694","35491"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","16","%","2927","18061"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","27","%","4767","17430"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","3036","12822"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","18","%","1197","6602"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","1839","6220"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","27","%","2269","8307"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","22","%","908","4208"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","33","%","1361","4099"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","20","%","966","4795"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","14","%","352","2476"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","26","%","614","2319"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","15","%","1423","9567"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","10","%","470","4775"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","953","4792"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","17","%","2020","11652"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","14","%","810","5986"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","21","%","1210","5666"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","15","%","4167","27358"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","11","%","1551","13932"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","19","%","2616","13426"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","16","%","886","5549"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","12","%","333","2834"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","20","%","553","2715"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","20","%","90081","458994"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","14","%","33888","234897"
"% of pupils reaching the key stage 2 higher standard in writing by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","25","%","56193","224097"
