"Ethnicity","Local Authority ","%","Number"
"All","Reading","74","1,212"
"All","Redbridge","85","3,314"
"All","Redcar and Cleveland","83","1,319"
"All","Richmond upon Thames","88","1,869"
"All","Rochdale","75","2,190"
"All","Rotherham","80","2,584"
"All","Rutland","81","319"
"All","Salford","78","2,216"
"All","Sandwell","77","3,327"
"All","Sefton","80","2,314"
"All","Sheffield","77","4,679"
"All","Shropshire","78","2,296"
"All","Slough","82","1,866"
"All","Solihull","80","2,123"
"All","Somerset","77","4,329"
"All","South Gloucestershire","81","2,540"
"All","South Tyneside","81","1,302"
"All","Southampton","79","2,054"
"All","Southend-on-Sea","82","1,711"
"All","Southwark","80","2,565"
"All","St. Helens","79","1,617"
"All","Staffordshire","80","7,498"
"All","Stockport","80","2,676"
"All","Stockton-on-Tees","83","1,983"
"All","Stoke-on-Trent","74","2,283"
"All","Suffolk","75","5,821"
"All","Sunderland","81","2,595"
"All","Surrey","81","9,770"
"All","Sutton","84","1,920"
"All","Swindon","78","2,179"
"All","Tameside","79","2,210"
"All","Telford and Wrekin","80","1,779"
"All","Thurrock","81","1,897"
"All","Torbay","75","1,045"
"All","Tower Hamlets","82","2,654"
"All","Trafford","85","2,493"
"All","Wakefield","77","2,960"
"All","Walsall","77","2,739"
"All","Waltham Forest","83","2,686"
"All","Wandsworth","82","2,002"
"All","Warrington","82","2,055"
"All","Warwickshire","80","4,856"
"All","West Berkshire","78","1,389"
"All","West Sussex","75","6,611"
"All","Westminster","83","1,190"
"All","Wigan","81","2,908"
"All","Wiltshire","78","4,039"
"All","Windsor and Maidenhead","80","1,212"
"All","Wirral","76","2,840"
"All","Wokingham","83","1,643"
"All","Wolverhampton","81","2,621"
"All","Worcestershire","77","4,765"
"All","York","80","1,508"
"Asian","Barking and Dagenham","85","588"
"Asian","Barnet","86","376"
"Asian","Barnsley","94","16"
"Asian","Bath and North East Somerset","82","23"
"Asian","Bedford","73","229"
"Asian","Bexley","91","230"
"Asian","Birmingham","78","4,453"
"Asian","Blackburn with Darwen","81","808"
"Asian","Blackpool","77","24"
"Asian","Bolton","84","748"
"Asian","Bournemouth","94","64"
"Asian","Bracknell Forest","88","75"
"Asian","Bradford","80","2,609"
"Asian","Brent","79","833"
"Asian","Brighton and Hove","89","82"
"Asian","Bristol, City of","72","276"
"Asian","Bromley","91","178"
"Asian","Buckinghamshire","81","827"
"Asian","Bury","75","252"
"Asian","Calderdale","72","290"
"Asian","Cambridgeshire","78","216"
"Asian","Camden","83","256"
"Asian","Central Bedfordshire","88","74"
"Asian","Cheshire East","86","61"
"Asian","Cheshire West and Chester","76","45"
"Asian","City of London","100","5"
"Asian","Cornwall","74","20"
"Asian","County Durham","89","31"
"Asian","Coventry","83","687"
"Asian","Croydon","87","618"
"Asian","Cumbria","92","33"
"Asian","Darlington","93","27"
"Asian","Derby","80","466"
"Asian","Derbyshire","86","80"
"Asian","Devon","88","38"
"Asian","Doncaster","76","79"
"Asian","Dorset","76","28"
"Asian","Dudley","76","330"
"Asian","Ealing","81","978"
"Asian","East Riding of Yorkshire","71","10"
"Asian","East Sussex","90","108"
"Asian","Enfield","87","342"
"Asian","Essex","91","405"
"Asian","Gateshead","74","28"
"Asian","Gloucestershire","85","169"
"Asian","Greenwich","90","219"
"Asian","Hackney","91","283"
"Asian","Halton","100","3"
"Asian","Hammersmith and Fulham","84","76"
"Asian","Hampshire","87","366"
"Asian","Haringey","89","158"
"Asian","Harrow","86","1,166"
"Asian","Hartlepool","96","26"
"Asian","Havering","90","183"
"Asian","Herefordshire, County of","86","6"
"Asian","Hertfordshire","87","906"
"Asian","Hillingdon","87","885"
"Asian","Hounslow","87","797"
"Asian","Isle of Wight","89","16"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","82","123"
"Asian","Kensington and Chelsea","95","35"
"Asian","Kent","90","578"
"Asian","Kingston upon Hull, City of","89","41"
"Asian","Kingston upon Thames","84","256"
"Asian","Kirklees","76","1,087"
"Asian","Knowsley","91","40"
"Asian","Lambeth","87","122"
"Asian","Lancashire","78","1,251"
"Asian","Leeds","76","817"
"Asian","Leicester","81","1,542"
"Asian","Leicestershire","86","498"
"Asian","Lewisham","86","217"
"Asian","Lincolnshire","91","64"
"Asian","Liverpool","83","145"
"Asian","Luton","77","1,106"
"Asian","Manchester","73","1,122"
"Asian","Medway","88","131"
"Asian","Merton","84","463"
"Asian","Middlesbrough","86","151"
"Asian","Milton Keynes","88","387"
"Asian","Newcastle upon Tyne","82","336"
"Asian","Newham","88","1,851"
"Asian","Norfolk","85","99"
"Asian","North East Lincolnshire","86","12"
"Asian","North Lincolnshire","86","65"
"Asian","North Somerset","81","21"
"Asian","North Tyneside","88","53"
"Asian","North Yorkshire","86","74"
"Asian","Northamptonshire","82","343"
"Asian","Northumberland","87","47"
"Asian","Nottingham","79","469"
"Asian","Nottinghamshire","87","236"
"Asian","Oldham","78","896"
"Asian","Oxfordshire","81","329"
"Asian","Peterborough","73","370"
"Asian","Plymouth","84","27"
"Asian","Poole","86","32"
"Asian","Portsmouth","87","129"
"Asian","Reading","78","253"
"Asian","Redbridge","87","1,812"
"Asian","Redcar and Cleveland","78","7"
"Asian","Richmond upon Thames","85","142"
"Asian","Rochdale","76","551"
"Asian","Rotherham","84","219"
"Asian","Rutland","80","4"
"Asian","Salford","86","77"
"Asian","Sandwell","82","1,061"
"Asian","Sefton","89","31"
"Asian","Sheffield","82","618"
"Asian","Shropshire","96","24"
"Asian","Slough","88","955"
"Asian","Solihull","83","240"
"Asian","Somerset","85","55"
"Asian","South Gloucestershire","92","102"
"Asian","South Tyneside","83","50"
"Asian","Southampton","79","255"
"Asian","Southend-on-Sea","88","129"
"Asian","Southwark","84","148"
"Asian","St. Helens","84","21"
"Asian","Staffordshire","81","315"
"Asian","Stockport","85","197"
"Asian","Stockton-on-Tees","85","101"
"Asian","Stoke-on-Trent","73","357"
"Asian","Suffolk","86","126"
"Asian","Sunderland","83","119"
"Asian","Surrey","85","739"
"Asian","Sutton","94","404"
"Asian","Swindon","81","243"
"Asian","Tameside","78","261"
"Asian","Telford and Wrekin","85","108"
"Asian","Thurrock","89","108"
"Asian","Torbay","81","13"
"Asian","Tower Hamlets","85","1,751"
"Asian","Trafford","89","377"
"Asian","Wakefield","75","126"
"Asian","Walsall","82","705"
"Asian","Waltham Forest","86","760"
"Asian","Wandsworth","85","371"
"Asian","Warrington","85","60"
"Asian","Warwickshire","85","289"
"Asian","West Berkshire","85","57"
"Asian","West Sussex","81","344"
"Asian","Westminster","84","190"
"Asian","Wigan","82","45"
"Asian","Wiltshire","85","67"
"Asian","Windsor and Maidenhead","80","185"
"Asian","Wirral","81","92"
"Asian","Wokingham","92","253"
"Asian","Wolverhampton","85","630"
"Asian","Worcestershire","80","192"
"Asian","York","83","33"
"Black","Barking and Dagenham","82","901"
"Black","Barnet","77","382"
"Black","Barnsley","86","19"
"Black","Bath and North East Somerset","42","5"
"Black","Bedford","64","82"
"Black","Bexley","86","525"
"Black","Birmingham","76","1,547"
"Black","Blackburn with Darwen","82","27"
"Black","Blackpool","100","5"
"Black","Bolton","69","156"
"Black","Bournemouth","95","18"
"Black","Bracknell Forest","80","37"
"Black","Bradford","71","86"
"Black","Brent","74","695"
"Black","Brighton and Hove","77","41"
"Black","Bristol, City of","72","404"
"Black","Bromley","84","282"
"Black","Buckinghamshire","79","131"
"Black","Bury","77","43"
"Black","Calderdale","81","13"
"Black","Cambridgeshire","74","62"
"Black","Camden","78","259"
"Black","Central Bedfordshire","81","74"
"Black","Cheshire East","74","14"
"Black","Cheshire West and Chester","73","11"
"Black","City of London","100","2"
"Black","Cornwall","100","6"
"Black","County Durham","69","11"
"Black","Coventry","80","432"
"Black","Croydon","77","1,049"
"Black","Cumbria","71","5"
"Black","Darlington","80","4"
"Black","Derby","82","115"
"Black","Derbyshire","77","24"
"Black","Devon","81","13"
"Black","Doncaster","58","26"
"Black","Dorset","86","12"
"Black","Dudley","78","73"
"Black","Ealing","76","495"
"Black","East Riding of Yorkshire","100","2"
"Black","East Sussex","65","22"
"Black","Enfield","79","885"
"Black","Essex","86","457"
"Black","Gateshead","91","31"
"Black","Gloucestershire","77","69"
"Black","Greenwich","85","988"
"Black","Hackney","82","749"
"Black","Halton","75","3"
"Black","Hammersmith and Fulham","78","275"
"Black","Hampshire","85","151"
"Black","Haringey","78","643"
"Black","Harrow","82","242"
"Black","Hartlepool","100","2"
"Black","Havering","85","297"
"Black","Herefordshire, County of","33","1"
"Black","Hertfordshire","79","468"
"Black","Hillingdon","81","326"
"Black","Hounslow","80","298"
"Black","Isle of Wight","0","0"
"Black","Isles of Scilly","N/A","N/A"
"Black","Islington","77","339"
"Black","Kensington and Chelsea","80","129"
"Black","Kent","88","378"
"Black","Kingston upon Hull, City of","66","41"
"Black","Kingston upon Thames","64","37"
"Black","Kirklees","76","86"
"Black","Knowsley","100","16"
"Black","Lambeth","81","1,042"
"Black","Lancashire","73","52"
"Black","Leeds","71","472"
"Black","Leicester","73","359"
"Black","Leicestershire","81","65"
"Black","Lewisham","76","1,004"
"Black","Lincolnshire","69","24"
"Black","Liverpool","77","190"
"Black","Luton","76","260"
"Black","Manchester","79","956"
"Black","Medway","89","182"
"Black","Merton","75","257"
"Black","Middlesbrough","75","24"
"Black","Milton Keynes","80","458"
"Black","Newcastle upon Tyne","80","114"
"Black","Newham","85","941"
"Black","Norfolk","74","64"
"Black","North East Lincolnshire","100","5"
"Black","North Lincolnshire","57","4"
"Black","North Somerset","88","7"
"Black","North Tyneside","89","24"
"Black","North Yorkshire","65","13"
"Black","Northamptonshire","79","375"
"Black","Northumberland","100","6"
"Black","Nottingham","77","290"
"Black","Nottinghamshire","81","73"
"Black","Oldham","79","86"
"Black","Oxfordshire","76","131"
"Black","Peterborough","72","80"
"Black","Plymouth","75","21"
"Black","Poole","89","8"
"Black","Portsmouth","79","54"
"Black","Reading","75","126"
"Black","Redbridge","83","368"
"Black","Redcar and Cleveland","100","3"
"Black","Richmond upon Thames","85","55"
"Black","Rochdale","74","90"
"Black","Rotherham","81","43"
"Black","Rutland","0","0"
"Black","Salford","83","126"
"Black","Sandwell","80","352"
"Black","Sefton","91","10"
"Black","Sheffield","76","290"
"Black","Shropshire","60","3"
"Black","Slough","84","162"
"Black","Solihull","85","46"
"Black","Somerset","86","18"
"Black","South Gloucestershire","84","43"
"Black","South Tyneside","90","9"
"Black","Southampton","80","74"
"Black","Southend-on-Sea","89","81"
"Black","Southwark","79","1,113"
"Black","St. Helens","64","7"
"Black","Staffordshire","84","61"
"Black","Stockport","67","31"
"Black","Stockton-on-Tees","91","31"
"Black","Stoke-on-Trent","79","80"
"Black","Suffolk","75","46"
"Black","Sunderland","93","25"
"Black","Surrey","82","156"
"Black","Sutton","84","150"
"Black","Swindon","80","71"
"Black","Tameside","81","50"
"Black","Telford and Wrekin","81","68"
"Black","Thurrock","87","322"
"Black","Torbay","67","2"
"Black","Tower Hamlets","74","262"
"Black","Trafford","83","103"
"Black","Wakefield","79","37"
"Black","Walsall","78","145"
"Black","Waltham Forest","80","512"
"Black","Wandsworth","78","464"
"Black","Warrington","64","9"
"Black","Warwickshire","74","62"
"Black","West Berkshire","65","13"
"Black","West Sussex","69","97"
"Black","Westminster","81","196"
"Black","Wigan","84","31"
"Black","Wiltshire","71","42"
"Black","Windsor and Maidenhead","86","12"
"Black","Wirral","82","14"
"Black","Wokingham","77","50"
"Black","Wolverhampton","80","331"
"Black","Worcestershire","69","18"
"Black","York","83","10"
"Chinese","Barking and Dagenham","86","6"
"Chinese","Barnet","98","54"
"Chinese","Barnsley","100","4"
"Chinese","Bath and North East Somerset","71","5"
"Chinese","Bedford","100","7"
"Chinese","Bexley","97","29"
"Chinese","Birmingham","88","57"
"Chinese","Blackburn with Darwen","100","5"
"Chinese","Blackpool","89","8"
"Chinese","Bolton","92","12"
"Chinese","Bournemouth","92","11"
"Chinese","Bracknell Forest","100","3"
"Chinese","Bradford","100","3"
"Chinese","Brent","83","5"
"Chinese","Brighton and Hove","91","10"
"Chinese","Bristol, City of","92","24"
"Chinese","Bromley","90","26"
"Chinese","Buckinghamshire","90","18"
"Chinese","Bury","100","5"
"Chinese","Calderdale","50","1"
"Chinese","Cambridgeshire","95","37"
"Chinese","Camden","100","7"
"Chinese","Central Bedfordshire","92","12"
"Chinese","Cheshire East","87","13"
"Chinese","Cheshire West and Chester","87","13"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","78","7"
"Chinese","County Durham","77","10"
"Chinese","Coventry","73","11"
"Chinese","Croydon","100","23"
"Chinese","Cumbria","86","12"
"Chinese","Darlington","100","3"
"Chinese","Derby","87","13"
"Chinese","Derbyshire","77","20"
"Chinese","Devon","86","12"
"Chinese","Doncaster","88","14"
"Chinese","Dorset","89","8"
"Chinese","Dudley","90","9"
"Chinese","Ealing","93","14"
"Chinese","East Riding of Yorkshire","50","1"
"Chinese","East Sussex","100","12"
"Chinese","Enfield","92","22"
"Chinese","Essex","90","66"
"Chinese","Gateshead","92","12"
"Chinese","Gloucestershire","77","10"
"Chinese","Greenwich","88","37"
"Chinese","Hackney","95","19"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","2"
"Chinese","Hampshire","94","47"
"Chinese","Haringey","87","34"
"Chinese","Harrow","100","14"
"Chinese","Hartlepool","75","3"
"Chinese","Havering","94","16"
"Chinese","Herefordshire, County of","100","3"
"Chinese","Hertfordshire","91","61"
"Chinese","Hillingdon","80","8"
"Chinese","Hounslow","100","17"
"Chinese","Isle of Wight","75","3"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","100","10"
"Chinese","Kensington and Chelsea","100","4"
"Chinese","Kent","98","47"
"Chinese","Kingston upon Hull, City of","100","6"
"Chinese","Kingston upon Thames","92","23"
"Chinese","Kirklees","83","10"
"Chinese","Knowsley","100","5"
"Chinese","Lambeth","93","14"
"Chinese","Lancashire","91","30"
"Chinese","Leeds","95","52"
"Chinese","Leicester","100","13"
"Chinese","Leicestershire","91","29"
"Chinese","Lewisham","89","40"
"Chinese","Lincolnshire","88","14"
"Chinese","Liverpool","86","62"
"Chinese","Luton","50","2"
"Chinese","Manchester","83","44"
"Chinese","Medway","100","9"
"Chinese","Merton","84","16"
"Chinese","Middlesbrough","100","2"
"Chinese","Milton Keynes","86","18"
"Chinese","Newcastle upon Tyne","88","21"
"Chinese","Newham","93","13"
"Chinese","Norfolk","83","25"
"Chinese","North East Lincolnshire","100","2"
"Chinese","North Lincolnshire","N/A","N/A"
"Chinese","North Somerset","75","3"
"Chinese","North Tyneside","100","7"
"Chinese","North Yorkshire","92","11"
"Chinese","Northamptonshire","96","27"
"Chinese","Northumberland","100","2"
"Chinese","Nottingham","82","14"
"Chinese","Nottinghamshire","82","32"
"Chinese","Oldham","86","6"
"Chinese","Oxfordshire","84","21"
"Chinese","Peterborough","83","5"
"Chinese","Plymouth","100","16"
"Chinese","Poole","N/A","N/A"
"Chinese","Portsmouth","90","9"
"Chinese","Reading","80","4"
"Chinese","Redbridge","89","17"
"Chinese","Redcar and Cleveland","N/A","N/A"
"Chinese","Richmond upon Thames","100","16"
"Chinese","Rochdale","80","4"
"Chinese","Rotherham","75","3"
"Chinese","Rutland","100","1"
"Chinese","Salford","86","6"
"Chinese","Sandwell","92","12"
"Chinese","Sefton","100","3"
"Chinese","Sheffield","89","25"
"Chinese","Shropshire","100","6"
"Chinese","Slough","100","1"
"Chinese","Solihull","100","6"
"Chinese","Somerset","79","15"
"Chinese","South Gloucestershire","92","11"
"Chinese","South Tyneside","100","2"
"Chinese","Southampton","92","11"
"Chinese","Southend-on-Sea","92","11"
"Chinese","Southwark","90","35"
"Chinese","St. Helens","100","5"
"Chinese","Staffordshire","92","22"
"Chinese","Stockport","83","15"
"Chinese","Stockton-on-Tees","91","10"
"Chinese","Stoke-on-Trent","82","14"
"Chinese","Suffolk","89","8"
"Chinese","Sunderland","69","9"
"Chinese","Surrey","95","53"
"Chinese","Sutton","89","25"
"Chinese","Swindon","89","8"
"Chinese","Tameside","75","9"
"Chinese","Telford and Wrekin","100","7"
"Chinese","Thurrock","100","16"
"Chinese","Torbay","100","5"
"Chinese","Tower Hamlets","100","19"
"Chinese","Trafford","95","36"
"Chinese","Wakefield","100","11"
"Chinese","Walsall","84","16"
"Chinese","Waltham Forest","97","36"
"Chinese","Wandsworth","100","11"
"Chinese","Warrington","75","9"
"Chinese","Warwickshire","100","18"
"Chinese","West Berkshire","88","7"
"Chinese","West Sussex","86","18"
"Chinese","Westminster","92","24"
"Chinese","Wigan","83","10"
"Chinese","Wiltshire","100","9"
"Chinese","Windsor and Maidenhead","86","6"
"Chinese","Wirral","94","16"
"Chinese","Wokingham","90","18"
"Chinese","Wolverhampton","100","7"
"Chinese","Worcestershire","90","9"
"Chinese","York","89","8"
"Mixed","Barking and Dagenham","82","219"
"Mixed","Barnet","79","323"
"Mixed","Barnsley","87","46"
"Mixed","Bath and North East Somerset","74","74"
"Mixed","Bedford","68","136"
"Mixed","Bexley","80","187"
"Mixed","Birmingham","75","990"
"Mixed","Blackburn with Darwen","77","49"
"Mixed","Blackpool","73","40"
"Mixed","Bolton","85","129"
"Mixed","Bournemouth","88","94"
"Mixed","Bracknell Forest","80","66"
"Mixed","Bradford","75","313"
"Mixed","Brent","74","190"
"Mixed","Brighton and Hove","80","238"
"Mixed","Bristol, City of","76","275"
"Mixed","Bromley","86","348"
"Mixed","Buckinghamshire","78","351"
"Mixed","Bury","85","100"
"Mixed","Calderdale","67","63"
"Mixed","Cambridgeshire","80","288"
"Mixed","Camden","83","141"
"Mixed","Central Bedfordshire","79","169"
"Mixed","Cheshire East","78","123"
"Mixed","Cheshire West and Chester","84","92"
"Mixed","City of London","67","2"
"Mixed","Cornwall","87","103"
"Mixed","County Durham","87","62"
"Mixed","Coventry","76","223"
"Mixed","Croydon","80","533"
"Mixed","Cumbria","89","56"
"Mixed","Darlington","93","27"
"Mixed","Derby","81","223"
"Mixed","Derbyshire","77","175"
"Mixed","Devon","86","154"
"Mixed","Doncaster","79","82"
"Mixed","Dorset","82","125"
"Mixed","Dudley","76","176"
"Mixed","Ealing","79","306"
"Mixed","East Riding of Yorkshire","91","61"
"Mixed","East Sussex","80","198"
"Mixed","Enfield","80","346"
"Mixed","Essex","82","638"
"Mixed","Gateshead","82","27"
"Mixed","Gloucestershire","74","237"
"Mixed","Greenwich","81","271"
"Mixed","Hackney","79","203"
"Mixed","Halton","85","34"
"Mixed","Hammersmith and Fulham","81","143"
"Mixed","Hampshire","86","492"
"Mixed","Haringey","86","280"
"Mixed","Harrow","83","171"
"Mixed","Hartlepool","92","11"
"Mixed","Havering","86","152"
"Mixed","Herefordshire, County of","74","32"
"Mixed","Hertfordshire","82","809"
"Mixed","Hillingdon","81","371"
"Mixed","Hounslow","82","207"
"Mixed","Isle of Wight","84","32"
"Mixed","Isles of Scilly","0","0"
"Mixed","Islington","85","247"
"Mixed","Kensington and Chelsea","88","154"
"Mixed","Kent","85","779"
"Mixed","Kingston upon Hull, City of","77","100"
"Mixed","Kingston upon Thames","82","135"
"Mixed","Kirklees","70","240"
"Mixed","Knowsley","75","30"
"Mixed","Lambeth","84","355"
"Mixed","Lancashire","78","353"
"Mixed","Leeds","73","384"
"Mixed","Leicester","73","230"
"Mixed","Leicestershire","81","278"
"Mixed","Lewisham","81","383"
"Mixed","Lincolnshire","76","179"
"Mixed","Liverpool","79","198"
"Mixed","Luton","79","198"
"Mixed","Manchester","77","426"
"Mixed","Medway","87","195"
"Mixed","Merton","80","189"
"Mixed","Middlesbrough","85","75"
"Mixed","Milton Keynes","82","227"
"Mixed","Newcastle upon Tyne","85","99"
"Mixed","Newham","86","248"
"Mixed","Norfolk","76","198"
"Mixed","North East Lincolnshire","82","47"
"Mixed","North Lincolnshire","84","41"
"Mixed","North Somerset","80","61"
"Mixed","North Tyneside","77","48"
"Mixed","North Yorkshire","76","112"
"Mixed","Northamptonshire","78","394"
"Mixed","Northumberland","85","46"
"Mixed","Nottingham","73","327"
"Mixed","Nottinghamshire","81","349"
"Mixed","Oldham","79","116"
"Mixed","Oxfordshire","77","340"
"Mixed","Peterborough","69","114"
"Mixed","Plymouth","70","61"
"Mixed","Poole","77","51"
"Mixed","Portsmouth","71","68"
"Mixed","Reading","71","122"
"Mixed","Redbridge","84","289"
"Mixed","Redcar and Cleveland","84","27"
"Mixed","Richmond upon Thames","89","195"
"Mixed","Rochdale","77","113"
"Mixed","Rotherham","80","74"
"Mixed","Rutland","93","13"
"Mixed","Salford","81","175"
"Mixed","Sandwell","76","277"
"Mixed","Sefton","78","47"
"Mixed","Sheffield","74","332"
"Mixed","Shropshire","78","60"
"Mixed","Slough","80","167"
"Mixed","Solihull","82","191"
"Mixed","Somerset","79","114"
"Mixed","South Gloucestershire","85","138"
"Mixed","South Tyneside","82","27"
"Mixed","Southampton","81","141"
"Mixed","Southend-on-Sea","78","101"
"Mixed","Southwark","81","283"
"Mixed","St. Helens","81","34"
"Mixed","Staffordshire","78","239"
"Mixed","Stockport","82","160"
"Mixed","Stockton-on-Tees","89","49"
"Mixed","Stoke-on-Trent","72","110"
"Mixed","Suffolk","78","353"
"Mixed","Sunderland","80","40"
"Mixed","Surrey","81","581"
"Mixed","Sutton","82","182"
"Mixed","Swindon","78","121"
"Mixed","Tameside","84","104"
"Mixed","Telford and Wrekin","86","107"
"Mixed","Thurrock","82","113"
"Mixed","Torbay","84","37"
"Mixed","Tower Hamlets","76","156"
"Mixed","Trafford","86","178"
"Mixed","Wakefield","81","105"
"Mixed","Walsall","79","177"
"Mixed","Waltham Forest","84","295"
"Mixed","Wandsworth","79","246"
"Mixed","Warrington","79","54"
"Mixed","Warwickshire","83","229"
"Mixed","West Berkshire","84","76"
"Mixed","West Sussex","78","322"
"Mixed","Westminster","89","139"
"Mixed","Wigan","75","61"
"Mixed","Wiltshire","84","150"
"Mixed","Windsor and Maidenhead","79","100"
"Mixed","Wirral","77","90"
"Mixed","Wokingham","82","102"
"Mixed","Wolverhampton","82","308"
"Mixed","Worcestershire","77","173"
"Mixed","York","77","40"
"White","Barking and Dagenham","74","926"
"White","Barnet","83","1,756"
"White","Barnsley","79","2,046"
"White","Bath and North East Somerset","79","1,370"
"White","Bedford","72","959"
"White","Bexley","82","1,624"
"White","Birmingham","74","4,031"
"White","Blackburn with Darwen","76","800"
"White","Blackpool","77","1,194"
"White","Bolton","80","1,927"
"White","Bournemouth","80","1,138"
"White","Bracknell Forest","77","873"
"White","Bradford","73","2,703"
"White","Brent","79","750"
"White","Brighton and Hove","80","1,673"
"White","Bristol, City of","80","2,577"
"White","Bromley","88","2,261"
"White","Buckinghamshire","78","3,381"
"White","Bury","78","1,363"
"White","Calderdale","75","1,565"
"White","Cambridgeshire","75","4,400"
"White","Camden","83","489"
"White","Central Bedfordshire","78","2,212"
"White","Cheshire East","80","2,986"
"White","Cheshire West and Chester","75","2,682"
"White","City of London","87","13"
"White","Cornwall","77","4,270"
"White","County Durham","80","4,329"
"White","Coventry","75","1,811"
"White","Croydon","79","1,226"
"White","Cumbria","80","3,963"
"White","Darlington","81","941"
"White","Derby","72","1,523"
"White","Derbyshire","79","6,128"
"White","Devon","77","5,754"
"White","Doncaster","78","2,473"
"White","Dorset","75","3,061"
"White","Dudley","77","2,164"
"White","Ealing","80","951"
"White","East Riding of Yorkshire","79","2,709"
"White","East Sussex","79","3,812"
"White","Enfield","77","1,630"
"White","Essex","79","11,005"
"White","Gateshead","82","1,567"
"White","Gloucestershire","77","4,426"
"White","Greenwich","78","1,054"
"White","Hackney","85","714"
"White","Halton","75","1,052"
"White","Hammersmith and Fulham","86","459"
"White","Hampshire","82","10,671"
"White","Haringey","82","1,214"
"White","Harrow","81","592"
"White","Hartlepool","81","881"
"White","Havering","82","1,773"
"White","Herefordshire, County of","79","1,438"
"White","Hertfordshire","78","8,385"
"White","Hillingdon","77","1,134"
"White","Hounslow","81","830"
"White","Isle of Wight","73","909"
"White","Isles of Scilly","73","24"
"White","Islington","82","688"
"White","Kensington and Chelsea","88","322"
"White","Kent","81","12,112"
"White","Kingston upon Hull, City of","78","2,178"
"White","Kingston upon Thames","81","870"
"White","Kirklees","77","2,552"
"White","Knowsley","74","1,177"
"White","Lambeth","84","773"
"White","Lancashire","78","8,890"
"White","Leeds","75","4,787"
"White","Leicester","71","1,133"
"White","Leicestershire","80","5,123"
"White","Lewisham","80","881"
