"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","FSM eligibility","Value","Denominator"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","All","FSM eligible","62","1648"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Boys","FSM eligible","53","847"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Girls","FSM eligible","72","801"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","All","All other pupils","69","17016"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Boys","All other pupils","61","8741"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Girls","All other pupils","78","8275"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","All","All pupils","68","21432"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Boys","All pupils","60","10958"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Girls","All pupils","77","10474"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","All","FSM eligible","64","4416"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Boys","FSM eligible","55","2217"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black African","Ethnicity: minor group","Girls","FSM eligible","72","2199"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","All","All other pupils","70","3730"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Boys","All other pupils","63","1913"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Girls","All other pupils","78","1817"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","All","All pupils","68","5270"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Boys","All pupils","60","2716"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Girls","All pupils","75","2554"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","All","FSM eligible","61","1540"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Boys","FSM eligible","53","803"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black Caribbean","Ethnicity: minor group","Girls","FSM eligible","69","737"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","All","All other pupils","77","2789"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Boys","All other pupils","73","1471"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Girls","All other pupils","82","1318"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","All","All pupils","76","3002"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Boys","All pupils","72","1589"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Girls","All pupils","81","1413"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","All","FSM eligible","67","213"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Boys","FSM eligible","67","118"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: minor group","Girls","FSM eligible","66","95"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","All","All other pupils","35","1521"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Boys","All other pupils","26","752"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Girls","All other pupils","43","769"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","All","All pupils","34","2151"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Boys","All pupils","27","1070"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Girls","All pupils","41","1081"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","All","FSM eligible","33","630"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Boys","FSM eligible","27","318"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Gypsy / Roma","Ethnicity: minor group","Girls","FSM eligible","38","312"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","All","All other pupils","78","19646"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Boys","All other pupils","72","10105"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Girls","All other pupils","84","9541"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","All","All pupils","78","20363"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Boys","All pupils","72","10461"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Girls","All pupils","84","9902"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","All","FSM eligible","66","717"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Boys","FSM eligible","59","356"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Indian","Ethnicity: minor group","Girls","FSM eligible","73","361"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","All","All other pupils","78","1354"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Boys","All other pupils","72","670"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Girls","All other pupils","83","684"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","All","All pupils","74","1551"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Boys","All pupils","67","774"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Girls","All pupils","81","777"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","All","FSM eligible","49","197"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Boys","FSM eligible","33","104"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Irish","Ethnicity: minor group","Girls","FSM eligible","68","93"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","All","All other pupils","65","23627"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Boys","All other pupils","58","12118"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Girls","All other pupils","73","11509"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","All","All pupils","64","27141"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Boys","All pupils","57","13957"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Girls","All pupils","72","13184"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","All","FSM eligible","60","3514"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Boys","FSM eligible","52","1839"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Pakistani","Ethnicity: minor group","Girls","FSM eligible","69","1675"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","All","All other pupils","47","360"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Boys","All other pupils","40","171"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Girls","All other pupils","53","189"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","All","All pupils","39","665"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Boys","All pupils","31","330"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Girls","All pupils","47","335"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","All","FSM eligible","29","305"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Boys","FSM eligible","21","159"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Traveller of Irish heritage","Ethnicity: minor group","Girls","FSM eligible","38","146"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","All","All other pupils","78","8943"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Boys","All other pupils","72","4587"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Girls","All other pupils","84","4356"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","All","All pupils","75","10305"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Boys","All pupils","69","5281"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Girls","All pupils","82","5024"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","All","FSM eligible","59","1362"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Boys","FSM eligible","52","694"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and Asian","Ethnicity: minor group","Girls","FSM eligible","67","668"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","All","All other pupils","73","4592"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Boys","All other pupils","66","2354"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Girls","All other pupils","81","2238"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","All","All pupils","71","5777"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Boys","All pupils","64","2970"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Girls","All pupils","78","2807"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","All","FSM eligible","60","1185"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Boys","FSM eligible","54","616"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black African","Ethnicity: minor group","Girls","FSM eligible","67","569"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","All","All other pupils","73","6874"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Boys","All other pupils","65","3443"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Girls","All other pupils","81","3431"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","All","All pupils","69","9814"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Boys","All pupils","61","4913"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Girls","All pupils","77","4901"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","All","FSM eligible","59","2940"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Boys","FSM eligible","51","1470"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White and black Caribbean","Ethnicity: minor group","Girls","FSM eligible","67","1470"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","All","All other pupils","76","350353"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Boys","All other pupils","70","179527"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Girls","All other pupils","82","170826"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","All","All pupils","73","409675"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Boys","All pupils","66","209870"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Girls","All pupils","79","199805"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","All","FSM eligible","53","59322"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Boys","FSM eligible","45","30343"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White British","Ethnicity: minor group","Girls","FSM eligible","62","28979"
