"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","value_type","Denominator"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","10","%","1,127"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","%","1,127"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","7","%","1,127"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","%","1,127"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","9","%","1,127"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","7","%","1,127"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","%","1,127"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","5","%","1,127"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","32","%","1,127"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","%","618"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","8","%","618"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","12","%","618"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","17","%","618"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","16","%","618"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","11","%","618"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","%","618"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","5","%","618"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","%","618"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","4","%","618"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","13","%","618"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","%","221"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","9","%","221"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","8","%","221"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","16","%","221"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","12","%","221"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","17","%","221"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","8","%","221"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","7","%","221"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","4","%","221"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","%","221"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","10","%","221"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","%","236"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","%","236"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","9","%","236"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","6","%","236"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","12","%","236"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","7","%","236"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","11","%","236"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","3","%","236"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","%","236"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","5","%","236"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","24","%","236"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","4","%","420"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","7","%","420"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","%","420"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","%","420"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","10","%","420"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","9","%","420"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","8","%","420"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","7","%","420"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","5","%","420"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","6","%","420"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Any other Asian background","ONS 5+2","24","%","420"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,457"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,457"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,457"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","14","%","1,457"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","11","%","1,457"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","9","%","1,457"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","8","%","1,457"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,457"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","6","%","1,457"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","3","%","1,457"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","15","%","1,457"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","6","%","595"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","10","%","595"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","11","%","595"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","12","%","595"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","10","%","595"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","11","%","595"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","7","%","595"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","%","595"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","%","595"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","5","%","595"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","19","%","595"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","2","%","66,320"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","%","66,320"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","13","%","66,320"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","13","%","66,320"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","10","%","66,320"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","9","%","66,320"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","%","66,320"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","7","%","66,320"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","6","%","66,320"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","4","%","66,320"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","22","%","66,320"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","1","%","61,423"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","%","61,423"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","13","%","61,423"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","13","%","61,423"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","10","%","61,423"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","9","%","61,423"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","%","61,423"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","7","%","61,423"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","6","%","61,423"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","5","%","61,423"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","22","%","61,423"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","1","%","58,941"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","%","58,941"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","13","%","58,941"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","13","%","58,941"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","10","%","58,941"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","9","%","58,941"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","%","58,941"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","7","%","58,941"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","6","%","58,941"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","4","%","58,941"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","22","%","58,941"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","2","%","2,482"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","7","%","2,482"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","10","%","2,482"
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","11","%","2,482"
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","10","%","2,482"
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","8","%","2,482"
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","8","%","2,482"
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","7","%","2,482"
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","6","%","2,482"
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","5","%","2,482"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","26","%","2,482"
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","491"
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","491"
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","13","%","491"
