"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","41","534"
"Pension Credit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","4","534"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","0","534"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","0","534"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","0","534"
"State Pension by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","7","534"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","~","534"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","10","534"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","48","3,652"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","49","3,652"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","19","3,652"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","0","3,652"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","1","3,652"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","1","3,652"
"Child Benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","28","3,652"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","18","3,652"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","14","3,652"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","5","3,652"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","4","3,652"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","1","3,652"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","9","3,652"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","2","3,652"
"Income Support by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","4","3,652"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","~","3,652"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","4","3,652"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","19","3,652"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","43","3,652"
"Pension Credit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","4","3,652"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","0","3,652"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","0","3,652"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","~","3,652"
"State Pension by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","9","3,652"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","~","3,652"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","10","3,652"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","52","345"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","53","345"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","25","345"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","0","345"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","345"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","345"
"Child Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","29","345"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","24","345"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","24","345"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","345"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","345"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","345"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","16","345"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","3","345"
"Income Support by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","6","345"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","~","345"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","7","345"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","30","345"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","44","345"
"Pension Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","345"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","0","345"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","0","345"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","345"
"State Pension by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","10","345"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","1","345"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","14","345"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","58","1,761"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","58","1,761"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","23","1,761"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,761"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,761"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,761"
"Child Benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","33","1,761"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","22","1,761"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","24","1,761"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,761"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,761"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,761"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","23","1,761"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,761"
"Income Support by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,761"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,761"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,761"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","31","1,761"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","49","1,761"
"Pension Credit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,761"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,761"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","0","1,761"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,761"
"State Pension by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,761"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,761"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,761"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","29","310"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","29","310"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","8","310"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","~","310"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Child Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","17","310"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","8","310"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","7","310"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","310"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","310"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","~","310"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","4","310"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Income Support by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","310"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","310"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","10","310"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","25","310"
"Pension Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","310"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","310"
"State Pension by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","5","310"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","0","310"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Chinese","ONS 5+2","K02000001","4","310"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","47","1,548"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","48","1,548"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","14","1,548"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","0","1,548"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","1,548"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","1,548"
"Child Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","25","1,548"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","13","1,548"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","8","1,548"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","5","1,548"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","4","1,548"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","1,548"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","1,548"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,548"
"Income Support by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","1,548"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","~","1,548"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","4","1,548"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","13","1,548"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","42","1,548"
"Pension Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,548"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","0","1,548"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","0","1,548"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","~","1,548"
"State Pension by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","11","1,548"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","~","1,548"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","1,548"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","48","714"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","49","714"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","21","714"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","714"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","714"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","714"
"Child Benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","27","714"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","20","714"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","17","714"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","714"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","714"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","714"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","17","714"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","714"
"Income Support by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","714"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","714"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","714"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","26","714"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","40","714"
"Pension Credit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","714"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","714"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","0","714"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","714"
"State Pension by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","714"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","714"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","714"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","54","736"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","55","736"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","18","736"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","~","736"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","~","736"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","~","736"
"Child Benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","27","736"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","17","736"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","18","736"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","4","736"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","4","736"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","1","736"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","17","736"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","2","736"
"Income Support by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","5","736"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","0","736"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","5","736"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","23","736"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","45","736"
"Pension Credit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","2","736"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","0","736"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","0","736"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","0","736"
"State Pension by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","12","736"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","~","736"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","8","736"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","54","915"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","56","915"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","30","915"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","0","915"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","915"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","915"
"Child Benefit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","36","915"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","28","915"
