"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+48","K02000001","ONS geography code","All","All","All","All","4","534"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+49","K02000001","ONS geography code","All","All","All","All","0","534"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+50","K02000001","ONS geography code","All","All","All","All","7","534"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+51","K02000001","ONS geography code","All","All","All","All","-","534"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+52","K02000001","ONS geography code","All","All","All","All","10","534"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+53","K02000001","ONS geography code","All","All","All","All","48","3652"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+54","K02000001","ONS geography code","All","All","All","All","49","3652"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+55","K02000001","ONS geography code","All","All","All","All","19","3652"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+56","K02000001","ONS geography code","All","All","All","All","0","3652"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+57","K02000001","ONS geography code","All","All","All","All","1","3652"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+58","K02000001","ONS geography code","All","All","All","All","1","3652"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+59","K02000001","ONS geography code","All","All","All","All","28","3652"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+60","K02000001","ONS geography code","All","All","All","All","18","3652"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+61","K02000001","ONS geography code","All","All","All","All","14","3652"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+62","K02000001","ONS geography code","All","All","All","All","5","3652"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+63","K02000001","ONS geography code","All","All","All","All","4","3652"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+64","K02000001","ONS geography code","All","All","All","All","1","3652"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+65","K02000001","ONS geography code","All","All","All","All","9","3652"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+66","K02000001","ONS geography code","All","All","All","All","2","3652"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+67","K02000001","ONS geography code","All","All","All","All","4","3652"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+68","K02000001","ONS geography code","All","All","All","All","-","3652"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+69","K02000001","ONS geography code","All","All","All","All","4","3652"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+70","K02000001","ONS geography code","All","All","All","All","19","3652"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+71","K02000001","ONS geography code","All","All","All","All","43","3652"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+72","K02000001","ONS geography code","All","All","All","All","4","3652"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+73","K02000001","ONS geography code","All","All","All","All","-","3652"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+74","K02000001","ONS geography code","All","All","All","All","9","3652"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+75","K02000001","ONS geography code","All","All","All","All","-","3652"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian","ONS 2011 5+76","K02000001","ONS geography code","All","All","All","All","10","3652"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+77","K02000001","ONS geography code","All","All","All","All","52","345"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+78","K02000001","ONS geography code","All","All","All","All","53","345"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+79","K02000001","ONS geography code","All","All","All","All","25","345"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+80","K02000001","ONS geography code","All","All","All","All","0","345"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+81","K02000001","ONS geography code","All","All","All","All","1","345"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+82","K02000001","ONS geography code","All","All","All","All","1","345"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+83","K02000001","ONS geography code","All","All","All","All","29","345"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+84","K02000001","ONS geography code","All","All","All","All","24","345"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+85","K02000001","ONS geography code","All","All","All","All","24","345"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+86","K02000001","ONS geography code","All","All","All","All","5","345"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+87","K02000001","ONS geography code","All","All","All","All","2","345"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+88","K02000001","ONS geography code","All","All","All","All","1","345"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+89","K02000001","ONS geography code","All","All","All","All","16","345"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+90","K02000001","ONS geography code","All","All","All","All","3","345"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+91","K02000001","ONS geography code","All","All","All","All","6","345"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+92","K02000001","ONS geography code","All","All","All","All","-","345"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+93","K02000001","ONS geography code","All","All","All","All","7","345"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+94","K02000001","ONS geography code","All","All","All","All","30","345"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+95","K02000001","ONS geography code","All","All","All","All","44","345"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+96","K02000001","ONS geography code","All","All","All","All","5","345"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+97","K02000001","ONS geography code","All","All","All","All","1","345"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+98","K02000001","ONS geography code","All","All","All","All","10","345"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+99","K02000001","ONS geography code","All","All","All","All","1","345"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 2011 5+100","K02000001","ONS geography code","All","All","All","All","14","345"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+101","K02000001","ONS geography code","All","All","All","All","58","1761"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+102","K02000001","ONS geography code","All","All","All","All","58","1761"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+103","K02000001","ONS geography code","All","All","All","All","23","1761"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+104","K02000001","ONS geography code","All","All","All","All","-","1761"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+105","K02000001","ONS geography code","All","All","All","All","1","1761"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+106","K02000001","ONS geography code","All","All","All","All","1","1761"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+107","K02000001","ONS geography code","All","All","All","All","33","1761"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+108","K02000001","ONS geography code","All","All","All","All","22","1761"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+109","K02000001","ONS geography code","All","All","All","All","24","1761"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+110","K02000001","ONS geography code","All","All","All","All","5","1761"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+111","K02000001","ONS geography code","All","All","All","All","4","1761"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+112","K02000001","ONS geography code","All","All","All","All","1","1761"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+113","K02000001","ONS geography code","All","All","All","All","23","1761"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+114","K02000001","ONS geography code","All","All","All","All","2","1761"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+115","K02000001","ONS geography code","All","All","All","All","8","1761"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+116","K02000001","ONS geography code","All","All","All","All","-","1761"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+117","K02000001","ONS geography code","All","All","All","All","8","1761"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+118","K02000001","ONS geography code","All","All","All","All","31","1761"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+119","K02000001","ONS geography code","All","All","All","All","49","1761"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+120","K02000001","ONS geography code","All","All","All","All","4","1761"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+121","K02000001","ONS geography code","All","All","All","All","-","1761"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+122","K02000001","ONS geography code","All","All","All","All","10","1761"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+123","K02000001","ONS geography code","All","All","All","All","-","1761"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Black","ONS 2011 5+124","K02000001","ONS geography code","All","All","All","All","8","1761"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+125","K02000001","ONS geography code","All","All","All","All","29","310"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+126","K02000001","ONS geography code","All","All","All","All","29","310"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+127","K02000001","ONS geography code","All","All","All","All","8","310"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+128","K02000001","ONS geography code","All","All","All","All","0","310"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+129","K02000001","ONS geography code","All","All","All","All","-","310"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+130","K02000001","ONS geography code","All","All","All","All","0","310"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+131","K02000001","ONS geography code","All","All","All","All","17","310"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+132","K02000001","ONS geography code","All","All","All","All","8","310"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+133","K02000001","ONS geography code","All","All","All","All","7","310"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+134","K02000001","ONS geography code","All","All","All","All","1","310"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+135","K02000001","ONS geography code","All","All","All","All","1","310"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+136","K02000001","ONS geography code","All","All","All","All","-","310"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+137","K02000001","ONS geography code","All","All","All","All","4","310"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+138","K02000001","ONS geography code","All","All","All","All","0","310"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+139","K02000001","ONS geography code","All","All","All","All","1","310"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+140","K02000001","ONS geography code","All","All","All","All","0","310"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+141","K02000001","ONS geography code","All","All","All","All","1","310"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+142","K02000001","ONS geography code","All","All","All","All","10","310"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+143","K02000001","ONS geography code","All","All","All","All","25","310"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+144","K02000001","ONS geography code","All","All","All","All","2","310"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+145","K02000001","ONS geography code","All","All","All","All","1","310"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+146","K02000001","ONS geography code","All","All","All","All","5","310"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+147","K02000001","ONS geography code","All","All","All","All","0","310"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 2011 5+148","K02000001","ONS geography code","All","All","All","All","4","310"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+149","K02000001","ONS geography code","All","All","All","All","47","1548"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+150","K02000001","ONS geography code","All","All","All","All","48","1548"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+151","K02000001","ONS geography code","All","All","All","All","14","1548"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+152","K02000001","ONS geography code","All","All","All","All","0","1548"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+153","K02000001","ONS geography code","All","All","All","All","1","1548"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+154","K02000001","ONS geography code","All","All","All","All","1","1548"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+155","K02000001","ONS geography code","All","All","All","All","25","1548"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+156","K02000001","ONS geography code","All","All","All","All","13","1548"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+157","K02000001","ONS geography code","All","All","All","All","8","1548"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+158","K02000001","ONS geography code","All","All","All","All","5","1548"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+159","K02000001","ONS geography code","All","All","All","All","4","1548"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+160","K02000001","ONS geography code","All","All","All","All","1","1548"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+161","K02000001","ONS geography code","All","All","All","All","6","1548"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+162","K02000001","ONS geography code","All","All","All","All","3","1548"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+163","K02000001","ONS geography code","All","All","All","All","2","1548"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+164","K02000001","ONS geography code","All","All","All","All","-","1548"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+165","K02000001","ONS geography code","All","All","All","All","4","1548"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+166","K02000001","ONS geography code","All","All","All","All","13","1548"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+167","K02000001","ONS geography code","All","All","All","All","42","1548"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+168","K02000001","ONS geography code","All","All","All","All","3","1548"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+169","K02000001","ONS geography code","All","All","All","All","-","1548"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+170","K02000001","ONS geography code","All","All","All","All","11","1548"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+171","K02000001","ONS geography code","All","All","All","All","-","1548"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 2011 5+172","K02000001","ONS geography code","All","All","All","All","6","1548"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+173","K02000001","ONS geography code","All","All","All","All","48","714"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+174","K02000001","ONS geography code","All","All","All","All","49","714"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+175","K02000001","ONS geography code","All","All","All","All","21","714"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+176","K02000001","ONS geography code","All","All","All","All","-","714"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+177","K02000001","ONS geography code","All","All","All","All","-","714"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+178","K02000001","ONS geography code","All","All","All","All","1","714"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+179","K02000001","ONS geography code","All","All","All","All","27","714"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+180","K02000001","ONS geography code","All","All","All","All","20","714"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+181","K02000001","ONS geography code","All","All","All","All","17","714"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+182","K02000001","ONS geography code","All","All","All","All","3","714"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+183","K02000001","ONS geography code","All","All","All","All","3","714"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+184","K02000001","ONS geography code","All","All","All","All","1","714"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed","ONS 2011 5+185","K02000001","ONS geography code","All","All","All","All","17","714"
