"Measure","Time","Time_type","Ethnicity ","Ethnicity_type","Value","Value_type","Denominator"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","62","%","76,711"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","15","%","76,711"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","20","%","76,711"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","58","%","76,711"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","22","%","76,711"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","6","%","76,711"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","14","%","76,711"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","4","%","76,711"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","13","%","76,711"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","6","%","76,711"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","16","%","76,711"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","4","%","76,711"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","1","%","76,711"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","27","%","76,711"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","-","%","76,711"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","3","%","76,711"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","-","%","76,711"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","3","%","76,711"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","1","%","76,711"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","7","%","76,711"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","6","%","76,711"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","0","%","76,711"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","0","%","76,711"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","1","%","76,711"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","-","%","76,711"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","64","%","73,459"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","63","%","73,459"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","15","%","73,459"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","20","%","73,459"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","59","%","73,459"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","22","%","73,459"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","6","%","73,459"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","14","%","73,459"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","4","%","73,459"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","13","%","73,459"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","6","%","73,459"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","16","%","73,459"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","4","%","73,459"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","1","%","73,459"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","28","%","73,459"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","-","%","73,459"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","3","%","73,459"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","-","%","73,459"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","3","%","73,459"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","1","%","73,459"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","7","%","73,459"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","7","%","73,459"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","0","%","73,459"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","0","%","73,459"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","1","%","73,459"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","-","%","73,459"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","48","%","3,252"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","46","%","3,252"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","15","%","3,252"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","17","%","3,252"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","42","%","3,252"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","22","%","3,252"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","8","%","3,252"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","13","%","3,252"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","3","%","3,252"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","12","%","3,252"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","4","%","3,252"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","13","%","3,252"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","2","%","3,252"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","1","%","3,252"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","14","%","3,252"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","-","%","3,252"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","1","%","3,252"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","-","%","3,252"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","2","%","3,252"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","1","%","3,252"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","4","%","3,252"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","3","%","3,252"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","0","%","3,252"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","0","%","3,252"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","-","%","3,252"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","White non-British","ONS 5+2","-","%","3,252"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","49","%","714"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","48","%","714"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","21","%","714"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","26","%","714"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","40","%","714"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","27","%","714"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","8","%","714"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","20","%","714"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","6","%","714"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","17","%","714"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","714"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","17","%","714"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","7","%","714"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","714"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","5","%","714"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","714"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","2","%","714"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","714"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","714"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","1","%","714"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","714"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","3","%","714"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","714"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","714"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","0","%","714"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","-","%","714"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","49","%","3,652"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","48","%","3,652"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","19","%","3,652"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","19","%","3,652"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","43","%","3,652"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","28","%","3,652"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","10","%","3,652"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","18","%","3,652"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,652"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","9","%","3,652"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,652"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","14","%","3,652"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,652"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,652"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","9","%","3,652"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,652"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","2","%","3,652"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,652"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,652"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","1","%","3,652"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","5","%","3,652"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","4","%","3,652"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,652"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,652"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","-","%","3,652"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Asian/ Asian British","ONS 5+2","0","%","3,652"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","48","%","1,548"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","47","%","1,548"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","14","%","1,548"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","13","%","1,548"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","42","%","1,548"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","25","%","1,548"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","%","1,548"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","13","%","1,548"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","2","%","1,548"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","6","%","1,548"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","%","1,548"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","8","%","1,548"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","4","%","1,548"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","%","1,548"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","11","%","1,548"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","-","%","1,548"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","3","%","1,548"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","-","%","1,548"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","%","1,548"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","1","%","1,548"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","5","%","1,548"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","4","%","1,548"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","0","%","1,548"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","0","%","1,548"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","-","%","1,548"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Indian","ONS 5+2","0","%","1,548"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","56","%","915"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","54","%","915"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","30","%","915"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","26","%","915"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","49","%","915"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","36","%","915"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","17","%","915"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","28","%","915"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","%","915"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","10","%","915"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","4","%","915"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","20","%","915"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","5","%","915"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","%","915"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","7","%","915"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","-","%","915"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","2","%","915"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","-","%","915"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","1","%","915"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","2","%","915"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","6","%","915"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","6","%","915"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","0","%","915"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","0","%","915"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","-","%","915"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","0","%","915"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","53","%","345"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","52","%","345"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","25","%","345"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","30","%","345"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","44","%","345"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","29","%","345"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","14","%","345"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","24","%","345"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","6","%","345"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","16","%","345"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","%","345"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","24","%","345"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","7","%","345"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","1","%","345"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","10","%","345"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","1","%","345"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","3","%","345"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","1","%","345"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","1","%","345"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","1","%","345"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","5","%","345"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","2","%","345"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","0","%","345"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","0","%","345"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","-","%","345"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","0","%","345"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","29","%","310"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","29","%","310"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","8","%","310"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","10","%","310"
