"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","2 Professional occupations","SOC 2010","11","%","493400","56100","5.84",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","3 Associate Professional and Technical","SOC 2010","16","%","493400","81000","5.76",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","4 Administrative and Secretarial","SOC 2010","13","%","493400","63500","6.12",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","5 Skilled Trades Occupations","SOC 2010","8","%","493400","36800","6.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","6 Personal Service Occupations","SOC 2010","12","%","493400","57800","5.8",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","7 Sales and Customer Service Occupations","SOC 2010","8","%","493400","41700","6.43",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","8 Process, Plant and Machine Operatives","SOC 2010","7","%","493400","32000","6.11",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","9 Elementary Occupations","SOC 2010","17","%","493400","82200","5.93",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","1 Managers and Senior Officials","SOC 2010","16","%","535000","85700","5.23",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","2 Professional occupations","SOC 2010","18","%","535000","98000","5.08",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","3 Associate Professional and Technical","SOC 2010","12","%","535000","63400","5.39",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","4 Administrative and Secretarial","SOC 2010","13","%","535000","72000","5.52",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","5 Skilled Trades Occupations","SOC 2010","6","%","535000","30800","5.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","6 Personal Service Occupations","SOC 2010","4","%","535000","21600","5.39",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","7 Sales and Customer Service Occupations","SOC 2010","12","%","535000","64800","5.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","8 Process, Plant and Machine Operatives","SOC 2010","8","%","535000","43900","5.22",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","9 Elementary Occupations","SOC 2010","10","%","535000","55000","5.33",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","1 Managers and Senior Officials","SOC 2010","11","%","167600","17900","7.4",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","2 Professional occupations","SOC 2010","12","%","167600","20100","7.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","3 Associate Professional and Technical","SOC 2010","19","%","167600","32300","7.55",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","4 Administrative and Secretarial","SOC 2010","12","%","167600","20400","7.74",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","5 Skilled Trades Occupations","SOC 2010","7","%","167600","12100","7.73",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","6 Personal Service Occupations","SOC 2010","8","%","167600","13500","7.63",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","7 Sales and Customer Service Occupations","SOC 2010","13","%","167600","22200","7.96",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","8 Process, Plant and Machine Operatives","SOC 2010","6","%","167600","9300","7.86",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed","9 Elementary Occupations","SOC 2010","12","%","167600","19800","7.55",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","1 Managers and Senior Officials","SOC 2010","15","%","252200","38500","7.33",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","2 Professional occupations","SOC 2010","16","%","252200","41300","7.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","3 Associate Professional and Technical","SOC 2010","16","%","252200","39300","7.2",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","4 Administrative and Secretarial","SOC 2010","10","%","252200","25800","8.15",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","5 Skilled Trades Occupations","SOC 2010","7","%","252200","17200","7.45",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","6 Personal Service Occupations","SOC 2010","6","%","252200","14700","7.47",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","7 Sales and Customer Service Occupations","SOC 2010","11","%","252200","27200","8.25",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","8 Process, Plant and Machine Operatives","SOC 2010","5","%","252200","12100","7.63",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian Other","9 Elementary Occupations","SOC 2010","14","%","252200","36200","7.53",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","1 Managers and Senior Officials","SOC 2010","14","%","256900","35300","7.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","2 Professional occupations","SOC 2010","18","%","256900","45600","7.15",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","3 Associate Professional and Technical","SOC 2010","16","%","256900","39700","7.22",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","4 Administrative and Secretarial","SOC 2010","9","%","256900","22000","7.89",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","5 Skilled Trades Occupations","SOC 2010","8","%","256900","20700","8.09",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","6 Personal Service Occupations","SOC 2010","9","%","256900","23100","7.1",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","7 Sales and Customer Service Occupations","SOC 2010","7","%","256900","18200","7.99",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","8 Process, Plant and Machine Operatives","SOC 2010","6","%","256900","14600","7.84",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other","9 Elementary Occupations","SOC 2010","15","%","256900","37700","7.5",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","1 Managers and Senior Officials","SOC 2010","13","%","314900","40200","6.98",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","2 Professional occupations","SOC 2010","11","%","314900","35900","6.95",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","3 Associate Professional and Technical","SOC 2010","8","%","314900","25600","7.41",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","4 Administrative and Secretarial","SOC 2010","9","%","314900","27400","7.34",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","5 Skilled Trades Occupations","SOC 2010","9","%","314900","27900","7.15",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","6 Personal Service Occupations","SOC 2010","6","%","314900","17700","7.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","7 Sales and Customer Service Occupations","SOC 2010","14","%","314900","42900","7.17",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","8 Process, Plant and Machine Operatives","SOC 2010","17","%","314900","53100","6.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani, Bangladeshi","9 Elementary Occupations","SOC 2010","14","%","314900","44200","7.13",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","1 Managers and Senior Officials","SOC 2010","15","%","25487700","3841900","0.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","2 Professional occupations","SOC 2010","12","%","25487700","3122500","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","3 Associate Professional and Technical","SOC 2010","14","%","25487700","3565800","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","4 Administrative and Secretarial","SOC 2010","13","%","25487700","3255000","0.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","5 Skilled Trades Occupations","SOC 2010","12","%","25487700","2969800","0.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","6 Personal Service Occupations","SOC 2010","8","%","25487700","1966400","0.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","7 Sales and Customer Service Occupations","SOC 2010","8","%","25487700","1915500","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","8 Process, Plant and Machine Operatives","SOC 2010","8","%","25487700","1928900","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","9 Elementary Occupations","SOC 2010","12","%","25487700","2921900","0.57",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","1 Managers and Senior Officials","SOC 2010","15","%","24190800","3635800","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","2 Professional occupations","SOC 2010","12","%","24190800","2904200","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","3 Associate Professional and Technical","SOC 2010","14","%","24190800","3363800","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","4 Administrative and Secretarial","SOC 2010","13","%","24190800","3120700","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","5 Skilled Trades Occupations","SOC 2010","12","%","24190800","2832500","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","6 Personal Service Occupations","SOC 2010","8","%","24190800","1869400","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","7 Sales and Customer Service Occupations","SOC 2010","8","%","24190800","1846700","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","8 Process, Plant and Machine Operatives","SOC 2010","8","%","24190800","1851500","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","9 Elementary Occupations","SOC 2010","11","%","24190800","2766300","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","1 Managers and Senior Officials","SOC 2010","16","%","1296900","206100","2.76",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","2 Professional occupations","SOC 2010","17","%","1296900","218300","2.74",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","3 Associate Professional and Technical","SOC 2010","16","%","1296900","201900","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","4 Administrative and Secretarial","SOC 2010","10","%","1296900","134300","2.8",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","5 Skilled Trades Occupations","SOC 2010","11","%","1296900","137400","2.76",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","6 Personal Service Occupations","SOC 2010","8","%","1296900","97000","2.78",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","7 Sales and Customer Service Occupations","SOC 2010","5","%","1296900","68800","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","8 Process, Plant and Machine Operatives","SOC 2010","6","%","1296900","77400","2.73",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","9 Elementary Occupations","SOC 2010","12","%","1296900","155600","2.78",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","1 Managers and Senior Officials","SOC 2010","15","%","27824700","4157600","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","2 Professional occupations","SOC 2010","13","%","27824700","3507500","0.39",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","3 Associate Professional and Technical","SOC 2010","14","%","27824700","3972100","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","4 Administrative and Secretarial","SOC 2010","13","%","27824700","3494300","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","5 Skilled Trades Occupations","SOC 2010","11","%","27824700","3098700","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","6 Personal Service Occupations","SOC 2010","8","%","27824700","2183000","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","7 Sales and Customer Service Occupations","SOC 2010","8","%","27824700","2147200","0.39",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","8 Process, Plant and Machine Operatives","SOC 2010","8","%","27824700","2091400","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","9 Elementary Occupations","SOC 2010","11","%","27824700","3172900","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","1 Managers and Senior Officials","SOC 2010","15","%","1162100","168600","3.58",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","2 Professional occupations","SOC 2010","17","%","1162100","197500","3.63",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","3 Associate Professional and Technical","SOC 2010","12","%","1162100","144200","3.71",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","4 Administrative and Secretarial","SOC 2010","11","%","1162100","129400","3.87",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","5 Skilled Trades Occupations","SOC 2010","7","%","1162100","75500","3.75",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","6 Personal Service Occupations","SOC 2010","5","%","1162100","61900","3.78",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","7 Sales and Customer Service Occupations","SOC 2010","11","%","1162100","129400","3.85",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","8 Process, Plant and Machine Operatives","SOC 2010","10","%","1162100","111300","3.67",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","9 Elementary Occupations","SOC 2010","12","%","1162100","144300","3.68",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","1 Managers and Senior Officials","SOC 2010","8","%","535300","41600","5.98",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","2 Professional occupations","SOC 2010","12","%","535300","61400","5.72",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","3 Associate Professional and Technical","SOC 2010","17","%","535300","92900","5.66",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","4 Administrative and Secretarial","SOC 2010","13","%","535300","66700","6.12",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","5 Skilled Trades Occupations","SOC 2010","7","%","535300","34900","6.16",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","6 Personal Service Occupations","SOC 2010","14","%","535300","73800","5.83",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","7 Sales and Customer Service Occupations","SOC 2010","9","%","535300","46000","6.35",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","8 Process, Plant and Machine Operatives","SOC 2010","6","%","535300","34300","6.08",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","9 Elementary Occupations","SOC 2010","16","%","535300","83700","5.94",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","1 Managers and Senior Officials","SOC 2010","15","%","551600","82400","5.21",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","2 Professional occupations","SOC 2010","21","%","551600","114800","5.17",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","3 Associate Professional and Technical","SOC 2010","13","%","551600","72000","5.38",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","4 Administrative and Secretarial","SOC 2010","12","%","551600","68500","5.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","5 Skilled Trades Occupations","SOC 2010","5","%","551600","28600","5.56",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","6 Personal Service Occupations","SOC 2010","4","%","551600","24400","5.51",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","7 Sales and Customer Service Occupations","SOC 2010","10","%","551600","56900","5.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","8 Process, Plant and Machine Operatives","SOC 2010","8","%","551600","43200","5.26",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","9 Elementary Occupations","SOC 2010","11","%","551600","61000","5.39",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","1 Managers and Senior Officials","SOC 2010","11","%","170900","19400","7.63","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","2 Professional occupations","SOC 2010","12","%","170900","21000","7.65","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","3 Associate Professional and Technical","SOC 2010","17","%","170900","29400","7.74",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","4 Administrative and Secretarial","SOC 2010","12","%","170900","21100","7.82","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","5 Skilled Trades Occupations","SOC 2010","7","%","170900","12400","8.11","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","6 Personal Service Occupations","SOC 2010","9","%","170900","16100","8.22","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","7 Sales and Customer Service Occupations","SOC 2010","12","%","170900","21000","8.06","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","8 Process, Plant and Machine Operatives","SOC 2010","6","%","170900","9500","8","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed","9 Elementary Occupations","SOC 2010","12","%","170900","21000","7.68","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","1 Managers and Senior Officials","SOC 2010","15","%","283700","42900","7.02",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","2 Professional occupations","SOC 2010","16","%","283700","46300","7.34",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","3 Associate Professional and Technical","SOC 2010","14","%","283700","40800","7.01",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","4 Administrative and Secretarial","SOC 2010","11","%","283700","29800","7.81",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","5 Skilled Trades Occupations","SOC 2010","7","%","283700","20900","7.26","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","6 Personal Service Occupations","SOC 2010","7","%","283700","18800","7.36","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","7 Sales and Customer Service Occupations","SOC 2010","10","%","283700","27000","7.68","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","8 Process, Plant and Machine Operatives","SOC 2010","6","%","283700","15800","8.03","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian Other","9 Elementary Occupations","SOC 2010","15","%","283700","41300","7.06","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","1 Managers and Senior Officials","SOC 2010","12","%","308200","37400","7.07",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","2 Professional occupations","SOC 2010","17","%","308200","52800","6.81",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","3 Associate Professional and Technical","SOC 2010","16","%","308200","48600","6.92",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","4 Administrative and Secretarial","SOC 2010","9","%","308200","28900","7.58","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","5 Skilled Trades Occupations","SOC 2010","7","%","308200","22900","7.09",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","6 Personal Service Occupations","SOC 2010","10","%","308200","30000","6.75","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","7 Sales and Customer Service Occupations","SOC 2010","8","%","308200","24400","7.85","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","8 Process, Plant and Machine Operatives","SOC 2010","7","%","308200","21100","7.29","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other","9 Elementary Occupations","SOC 2010","14","%","308200","42000","6.91",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","1 Managers and Senior Officials","SOC 2010","13","%","326800","43300","6.91",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","2 Professional occupations","SOC 2010","11","%","326800","36400","7.06",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","3 Associate Professional and Technical","SOC 2010","10","%","326800","31400","7.71","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","4 Administrative and Secretarial","SOC 2010","10","%","326800","31000","7.35",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","5 Skilled Trades Occupations","SOC 2010","8","%","326800","26100","7.16",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","6 Personal Service Occupations","SOC 2010","6","%","326800","18700","7.37","This data is based on reasonably low sample sizes (< 26). This estimate may not be as reliable, and should therefore be used with caution. "
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","7 Sales and Customer Service Occupations","SOC 2010","14","%","326800","45400","7.27",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","8 Process, Plant and Machine Operatives","SOC 2010","16","%","326800","52300","6.69",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani, Bangladeshi","9 Elementary Occupations","SOC 2010","13","%","326800","42000","7.24",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","1 Managers and Senior Officials","SOC 2010","15","%","25648200","3890500","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","2 Professional occupations","SOC 2010","12","%","25648200","3174800","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","3 Associate Professional and Technical","SOC 2010","14","%","25648200","3657100","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","4 Administrative and Secretarial","SOC 2010","13","%","25648200","3248100","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","5 Skilled Trades Occupations","SOC 2010","12","%","25648200","2953000","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","6 Personal Service Occupations","SOC 2010","8","%","25648200","2001100","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","7 Sales and Customer Service Occupations","SOC 2010","8","%","25648200","1926400","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","8 Process, Plant and Machine Operatives","SOC 2010","8","%","25648200","1915100","0.59",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White","9 Elementary Occupations","SOC 2010","11","%","25648200","2882000","0.58",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","1 Managers and Senior Officials","SOC 2010","15","%","24234300","3674500","0.6",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","2 Professional occupations","SOC 2010","12","%","24234300","2943200","0.61",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","White British","3 Associate Professional and Technical","SOC 2010","14","%","24234300","3437200","0.61",""
