"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Value","Value_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","South East","Government Region","2.3","Percentage of Numerator / Denominator","116725","Average number of JSA claimants a month matching date, geographic and ethnicity status","4975190","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","South West","Government Region","3","Percentage of Numerator / Denominator","4925","Average number of JSA claimants a month matching date, geographic and ethnicity status","161741","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","South West","Government Region","2.4","Percentage of Numerator / Denominator","76675","Average number of JSA claimants a month matching date, geographic and ethnicity status","3164611","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","Wales","Government Region","3.1","Percentage of Numerator / Denominator","2855","Average number of JSA claimants a month matching date, geographic and ethnicity status","91555","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","Wales","Government Region","3.7","Percentage of Numerator / Denominator","68420","Average number of JSA claimants a month matching date, geographic and ethnicity status","1849969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","West Midlands","Government Region","6.2","Percentage of Numerator / Denominator","38225","Average number of JSA claimants a month matching date, geographic and ethnicity status","619296","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","West Midlands","Government Region","3.8","Percentage of Numerator / Denominator","112990","Average number of JSA claimants a month matching date, geographic and ethnicity status","2941797","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","Yorkshire and The Humber","Government Region","5","Percentage of Numerator / Denominator","19100","Average number of JSA claimants a month matching date, geographic and ethnicity status","379579","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","Yorkshire and The Humber","Government Region","4.2","Percentage of Numerator / Denominator","126225","Average number of JSA claimants a month matching date, geographic and ethnicity status","3029696","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","East","Government Region","3.2","Percentage of Numerator / Denominator","11500","Average number of JSA claimants a month matching date, geographic and ethnicity status","360949","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","East","Government Region","2.9","Percentage of Numerator / Denominator","97260","Average number of JSA claimants a month matching date, geographic and ethnicity status","3346926","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","East Midlands","Government Region","4.6","Percentage of Numerator / Denominator","15175","Average number of JSA claimants a month matching date, geographic and ethnicity status","332820","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","East Midlands","Government Region","3.4","Percentage of Numerator / Denominator","88955","Average number of JSA claimants a month matching date, geographic and ethnicity status","2579408","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","All","England and Wales","4.6","Percentage of Numerator / Denominator","245525","Average number of JSA claimants a month matching date, geographic and ethnicity status","5329349","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","All","England and Wales","3.4","Percentage of Numerator / Denominator","1056750","Average number of JSA claimants a month matching date, geographic and ethnicity status","30909283","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","London","Government Region","4.9","Percentage of Numerator / Denominator","112005","Average number of JSA claimants a month matching date, geographic and ethnicity status","2268702","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","London","Government Region","2.8","Percentage of Numerator / Denominator","94600","Average number of JSA claimants a month matching date, geographic and ethnicity status","3435470","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","North East","Government Region","3.8","Percentage of Numerator / Denominator","3225","Average number of JSA claimants a month matching date, geographic and ethnicity status","83832","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","North East","Government Region","5.4","Percentage of Numerator / Denominator","86175","Average number of JSA claimants a month matching date, geographic and ethnicity status","1587189","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","North West","Government Region","4.6","Percentage of Numerator / Denominator","20915","Average number of JSA claimants a month matching date, geographic and ethnicity status","455969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","North West","Government Region","4.2","Percentage of Numerator / Denominator","170570","Average number of JSA claimants a month matching date, geographic and ethnicity status","4075691","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","South East","Government Region","2.5","Percentage of Numerator / Denominator","13530","Average number of JSA claimants a month matching date, geographic and ethnicity status","548744","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","South East","Government Region","2.4","Percentage of Numerator / Denominator","119230","Average number of JSA claimants a month matching date, geographic and ethnicity status","4955865","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","South West","Government Region","3.2","Percentage of Numerator / Denominator","5330","Average number of JSA claimants a month matching date, geographic and ethnicity status","165226","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","South West","Government Region","2.5","Percentage of Numerator / Denominator","79955","Average number of JSA claimants a month matching date, geographic and ethnicity status","3151460","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","Wales","Government Region","3.3","Percentage of Numerator / Denominator","3105","Average number of JSA claimants a month matching date, geographic and ethnicity status","92892","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","Wales","Government Region","4","Percentage of Numerator / Denominator","73320","Average number of JSA claimants a month matching date, geographic and ethnicity status","1838745","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","West Midlands","Government Region","6.3","Percentage of Numerator / Denominator","39630","Average number of JSA claimants a month matching date, geographic and ethnicity status","632334","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","West Midlands","Government Region","3.9","Percentage of Numerator / Denominator","113455","Average number of JSA claimants a month matching date, geographic and ethnicity status","2925218","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2012","Calendar Year","Yorkshire and The Humber","Government Region","5.4","Percentage of Numerator / Denominator","21105","Average number of JSA claimants a month matching date, geographic and ethnicity status","387883","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2012","Calendar Year","Yorkshire and The Humber","Government Region","4.4","Percentage of Numerator / Denominator","133230","Average number of JSA claimants a month matching date, geographic and ethnicity status","3013309","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","East","Government Region","2.8","Percentage of Numerator / Denominator","10180","Average number of JSA claimants a month matching date, geographic and ethnicity status","368765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","East","Government Region","2.6","Percentage of Numerator / Denominator","85315","Average number of JSA claimants a month matching date, geographic and ethnicity status","3343022","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","East Midlands","Government Region","4","Percentage of Numerator / Denominator","13675","Average number of JSA claimants a month matching date, geographic and ethnicity status","339050","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","East Midlands","Government Region","3","Percentage of Numerator / Denominator","77865","Average number of JSA claimants a month matching date, geographic and ethnicity status","2573996","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","All","England and Wales","4.1","Percentage of Numerator / Denominator","222890","Average number of JSA claimants a month matching date, geographic and ethnicity status","5439773","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","All","England and Wales","3","Percentage of Numerator / Denominator","935965","Average number of JSA claimants a month matching date, geographic and ethnicity status","30838244","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","London","Government Region","4.3","Percentage of Numerator / Denominator","99450","Average number of JSA claimants a month matching date, geographic and ethnicity status","2317529","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","London","Government Region","2.4","Percentage of Numerator / Denominator","83485","Average number of JSA claimants a month matching date, geographic and ethnicity status","3439454","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","North East","Government Region","3.6","Percentage of Numerator / Denominator","3095","Average number of JSA claimants a month matching date, geographic and ethnicity status","85050","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","North East","Government Region","4.9","Percentage of Numerator / Denominator","78100","Average number of JSA claimants a month matching date, geographic and ethnicity status","1582394","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","North West","Government Region","4.3","Percentage of Numerator / Denominator","19770","Average number of JSA claimants a month matching date, geographic and ethnicity status","464094","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","North West","Government Region","3.7","Percentage of Numerator / Denominator","151470","Average number of JSA claimants a month matching date, geographic and ethnicity status","4051953","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","South East","Government Region","2.1","Percentage of Numerator / Denominator","11755","Average number of JSA claimants a month matching date, geographic and ethnicity status","559979","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","South East","Government Region","2.1","Percentage of Numerator / Denominator","102140","Average number of JSA claimants a month matching date, geographic and ethnicity status","4951549","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","South West","Government Region","2.8","Percentage of Numerator / Denominator","4740","Average number of JSA claimants a month matching date, geographic and ethnicity status","168972","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","South West","Government Region","2.2","Percentage of Numerator / Denominator","68730","Average number of JSA claimants a month matching date, geographic and ethnicity status","3150165","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","Wales","Government Region","3.2","Percentage of Numerator / Denominator","2990","Average number of JSA claimants a month matching date, geographic and ethnicity status","94378","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","Wales","Government Region","3.7","Percentage of Numerator / Denominator","66960","Average number of JSA claimants a month matching date, geographic and ethnicity status","1832239","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","West Midlands","Government Region","5.7","Percentage of Numerator / Denominator","37070","Average number of JSA claimants a month matching date, geographic and ethnicity status","646042","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","West Midlands","Government Region","3.5","Percentage of Numerator / Denominator","101435","Average number of JSA claimants a month matching date, geographic and ethnicity status","2914645","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2013","Calendar Year","Yorkshire and The Humber","Government Region","5.1","Percentage of Numerator / Denominator","20175","Average number of JSA claimants a month matching date, geographic and ethnicity status","395916","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2013","Calendar Year","Yorkshire and The Humber","Government Region","4","Percentage of Numerator / Denominator","120460","Average number of JSA claimants a month matching date, geographic and ethnicity status","2998825","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","East","Government Region","1.9","Percentage of Numerator / Denominator","7185","Average number of JSA claimants a month matching date, geographic and ethnicity status","377847","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","East","Government Region","1.7","Percentage of Numerator / Denominator","56495","Average number of JSA claimants a month matching date, geographic and ethnicity status","3355201","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","East Midlands","Government Region","2.9","Percentage of Numerator / Denominator","9900","Average number of JSA claimants a month matching date, geographic and ethnicity status","345778","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","East Midlands","Government Region","2.1","Percentage of Numerator / Denominator","54795","Average number of JSA claimants a month matching date, geographic and ethnicity status","2577414","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","All","England and Wales","3","Percentage of Numerator / Denominator","168590","Average number of JSA claimants a month matching date, geographic and ethnicity status","5558534","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","All","England and Wales","2.1","Percentage of Numerator / Denominator","658320","Average number of JSA claimants a month matching date, geographic and ethnicity status","30839268","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","London","Government Region","3.1","Percentage of Numerator / Denominator","73450","Average number of JSA claimants a month matching date, geographic and ethnicity status","2371963","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","London","Government Region","1.7","Percentage of Numerator / Denominator","58510","Average number of JSA claimants a month matching date, geographic and ethnicity status","3452413","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","North East","Government Region","3","Percentage of Numerator / Denominator","2595","Average number of JSA claimants a month matching date, geographic and ethnicity status","86187","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","North East","Government Region","3.6","Percentage of Numerator / Denominator","57210","Average number of JSA claimants a month matching date, geographic and ethnicity status","1577161","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","North West","Government Region","3.1","Percentage of Numerator / Denominator","14805","Average number of JSA claimants a month matching date, geographic and ethnicity status","472837","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","North West","Government Region","2.6","Percentage of Numerator / Denominator","103030","Average number of JSA claimants a month matching date, geographic and ethnicity status","4036793","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","South East","Government Region","1.5","Percentage of Numerator / Denominator","8555","Average number of JSA claimants a month matching date, geographic and ethnicity status","571895","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","South East","Government Region","1.4","Percentage of Numerator / Denominator","69455","Average number of JSA claimants a month matching date, geographic and ethnicity status","4963410","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","South West","Government Region","2.1","Percentage of Numerator / Denominator","3605","Average number of JSA claimants a month matching date, geographic and ethnicity status","172648","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","South West","Government Region","1.5","Percentage of Numerator / Denominator","46895","Average number of JSA claimants a month matching date, geographic and ethnicity status","3154765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","Wales","Government Region","2.8","Percentage of Numerator / Denominator","2635","Average number of JSA claimants a month matching date, geographic and ethnicity status","95690","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","Wales","Government Region","2.8","Percentage of Numerator / Denominator","51940","Average number of JSA claimants a month matching date, geographic and ethnicity status","1826758","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","West Midlands","Government Region","4.5","Percentage of Numerator / Denominator","29625","Average number of JSA claimants a month matching date, geographic and ethnicity status","660228","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","West Midlands","Government Region","2.5","Percentage of Numerator / Denominator","72275","Average number of JSA claimants a month matching date, geographic and ethnicity status","2909237","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2014","Calendar Year","Yorkshire and The Humber","Government Region","4","Percentage of Numerator / Denominator","16235","Average number of JSA claimants a month matching date, geographic and ethnicity status","403460","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2014","Calendar Year","Yorkshire and The Humber","Government Region","2.9","Percentage of Numerator / Denominator","87720","Average number of JSA claimants a month matching date, geographic and ethnicity status","2986117","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","East","Government Region","1.4","Percentage of Numerator / Denominator","5475","Average number of JSA claimants a month matching date, geographic and ethnicity status","386808","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","East","Government Region","1.2","Percentage of Numerator / Denominator","39135","Average number of JSA claimants a month matching date, geographic and ethnicity status","3367877","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","East Midlands","Government Region","2","Percentage of Numerator / Denominator","7220","Average number of JSA claimants a month matching date, geographic and ethnicity status","352793","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","East Midlands","Government Region","1.5","Percentage of Numerator / Denominator","38635","Average number of JSA claimants a month matching date, geographic and ethnicity status","2585434","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","All","England and Wales","2.3","Percentage of Numerator / Denominator","129245","Average number of JSA claimants a month matching date, geographic and ethnicity status","5686240","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","All","England and Wales","1.5","Percentage of Numerator / Denominator","458605","Average number of JSA claimants a month matching date, geographic and ethnicity status","30902425","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","London","Government Region","2.4","Percentage of Numerator / Denominator","57445","Average number of JSA claimants a month matching date, geographic and ethnicity status","2430310","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","London","Government Region","1.2","Percentage of Numerator / Denominator","43075","Average number of JSA claimants a month matching date, geographic and ethnicity status","3472122","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","North East","Government Region","2.5","Percentage of Numerator / Denominator","2170","Average number of JSA claimants a month matching date, geographic and ethnicity status","87361","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","North East","Government Region","2.7","Percentage of Numerator / Denominator","43035","Average number of JSA claimants a month matching date, geographic and ethnicity status","1572998","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","North West","Government Region","2.1","Percentage of Numerator / Denominator","10330","Average number of JSA claimants a month matching date, geographic and ethnicity status","483055","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","North West","Government Region","1.4","Percentage of Numerator / Denominator","58450","Average number of JSA claimants a month matching date, geographic and ethnicity status","4037290","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","South East","Government Region","1.1","Percentage of Numerator / Denominator","6300","Average number of JSA claimants a month matching date, geographic and ethnicity status","583874","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","South East","Government Region","1","Percentage of Numerator / Denominator","50415","Average number of JSA claimants a month matching date, geographic and ethnicity status","4980776","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","South West","Government Region","1.5","Percentage of Numerator / Denominator","2680","Average number of JSA claimants a month matching date, geographic and ethnicity status","176949","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","South West","Government Region","1","Percentage of Numerator / Denominator","32645","Average number of JSA claimants a month matching date, geographic and ethnicity status","3168127","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","Wales","Government Region","2.2","Percentage of Numerator / Denominator","2130","Average number of JSA claimants a month matching date, geographic and ethnicity status","97016","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","Wales","Government Region","2.2","Percentage of Numerator / Denominator","39675","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822008","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2015","Calendar Year","West Midlands","Government Region","3.4","Percentage of Numerator / Denominator","22700","Average number of JSA claimants a month matching date, geographic and ethnicity status","675415","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2015","Calendar Year","West Midlands","Government Region","1.7","Percentage of Numerator / Denominator","48940","Average number of JSA claimants a month matching date, geographic and ethnicity status","2910861","Number of people in the population aged 16-24 matching geographic and ethnicity status"
