"","All","Asian","Black","Chinese","Mixed","White"
"Hackney","68","81","71","94","76","79"
"Halton","65","?","?","N/A","68","65"
"Hammersmith and Fulham","72","74","64","78","68","77"
"Hampshire","76","75","72","77","73","77"
"Haringey","74","76","69","76","77","77"
"Harrow","74","78","64","75","77","73"
"Hartlepool","71","65","57","?","78","72"
"Havering","71","73","69","76","76","71"
"Herefordshire","75","70","?","?","83","76"
"Hertfordshire","72","69","64","78","71","73"
"Hillingdon","74","78","73","85","78","71"
"Hounslow","72","76","69","81","76","70"
"Isle of Wight","70","50","?","?","77","70"
"Isles of Scilly","79","N/A","N/A","N/A","?","81"
"Islington","68","66","61","75","75","69"
"Kensington and Chelsea","68","60","61","100","74","75"
"Kent","73","77","73","71","76","74"
"Kingston Upon Hull City of","63","73","62","?","67","64"
"Kingston upon Thames","75","70","74","83","74","78"
"Kirklees","69","64","61","67","67","72"
"Knowsley","66","89","43","?","62","66"
"Lambeth","70","60","66","82","69","77"
"Lancashire","67","57","62","69","69","69"
"Leeds","66","62","59","82","66","68"
"Leicester","66","71","61","64","68","63"
"Leicestershire","71","72","65","79","70","71"
"Lewisham","76","74","70","76","77","82"
"Lincolnshire","69","73","67","86","69","69"
"Liverpool","64","61","59","64","62","65"
"Luton","67","68","73","80","69","66"
"Manchester","64","64","67","59","67","66"
"Medway","73","70","73","57","76","73"
"Merton","75","72","72","87","78","77"
"Middlesbrough","61","62","73","50","57","62"
"Milton Keynes","73","80","66","84","77","72"
"Newcastle upon Tyne","70","66","60","88","74","72"
"Newham","74","77","72","85","79","73"
"Norfolk","72","66","76","89","78","72"
"North East Lincolnshire","70","71","60","?","73","71"
"North Lincolnshire","70","69","45","?","69","72"
"North Somerset","74","61","77","?","74","75"
"North Tyneside","71","67","60","69","71","71"
"North Yorkshire","72","56","72","44","76","72"
"Northamptonshire","70","71","72","70","66","70"
"Northumberland","74","67","?","?","70","75"
"Nottingham","65","67","68","73","67","64"
"Nottinghamshire","69","63","67","61","68","70"
"Oldham","66","60","69","54","67","71"
"Oxfordshire","73","66","64","79","72","74"
"Peterborough","65","61","63","76","72","65"
"Plymouth","68","71","82","56","69","68"
"Portsmouth","69","59","69","82","72","70"
"Reading","67","72","60","87","72","69"
"Redbridge","75","79","70","84","78","70"
"Redcar and Cleveland","70","75","?","?","74","70"
"Richmond upon Thames","80","78","64","89","80","82"
"Rochdale","64","61","58","77","63","67"
"Rotherham","69","66","64","81","67","70"
"Rutland","78","?","67","N/A","81","78"
"Salford","66","66","62","90","66","69"
"Sandwell","65","68","65","72","67","65"
"Sefton","68","53","46","67","73","68"
"Sheffield","70","68","69","79","67","72"
"Shropshire","72","58","88","?","86","72"
"Slough","73","77","72","?","74","68"
"Solihull","70","74","49","73","63","72"
"Somerset","71","68","63","78","69","72"
"South Gloucestershire","76","75","73","84","73","77"
"South Tyneside","72","63","42","60","68","73"
"Southampton","70","69","74","81","74","70"
"Southend-on-Sea","73","65","67","92","75","75"
"Southwark","73","71","70","77","78","79"
"St. Helens","68","50","67","?","69","69"
"Staffordshire","73","68","66","74","73","74"
"Stockport","69","62","52","61","63","71"
"Stockton-on-Tees","73","64","74","63","72","74"
"Stoke-on-Trent","65","61","65","63","63","68"
"Suffolk","69","65","61","86","69","71"
"Sunderland","72","65","58","71","66","73"
"Surrey","78","74","72","89","81","78"
"Sutton","72","76","66","81","70","72"
"Swindon","70","73","75","75","73","70"
"Tameside","65","57","48","67","66","68"
"Telford and Wrekin","70","60","72","?","77","70"
"Thurrock","72","69","76","50","77","72"
"Torbay","70","46","0","?","79","71"
"Tower Hamlets","69","69","73","72","69","69"
"Trafford","74","68","60","78","69","77"
"Wakefield","70","61","56","70","69","71"
"Walsall","66","66","61","85","65","67"
"Waltham Forest","76","74","71","78","80","78"
"Wandsworth","76","72","66","77","73","81"
"Warrington","73","67","63","71","71","73"
"Warwickshire","71","73","61","93","72","71"
"West Berkshire","74","78","65","?","76","75"
"West Sussex","71","64","61","54","73","72"
"Westminster","70","77","70","86","68","76"
"Wigan","66","51","57","75","67","67"
"Wiltshire","71","71","67","75","68","72"
"Windsor and Maidenhead","74","68","86","?","74","76"
"Wirral","67","59","83","63","75","68"
"Wokingham","76","78","77","87","77","76"
"Wolverhampton","67","67","64","73","70","67"
"Worcestershire","71","66","62","80","72","72"
"York","74","55","85","90","69","75"
