"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","67","2266","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","73","4337","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","83","223","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","70","250","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","76","473","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","78","165","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","66","196","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","71","361","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","89","35","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","72","36","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","80","71","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","83","202","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","66","238","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","74","440","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","82","1103","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Boys","Boys/Girls/All","70","1197","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","All","Boys/Girls/All","76","2300","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","60","1371","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","78","1381","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","69","2752","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","50","10","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","75","12","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","64","22","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","89","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","78","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","83","18","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","?","1","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","?","1","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","?","2","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","90","31","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","66","35","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","77","66","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Boys","Boys/Girls/All","60","1294","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","Girls","Boys/Girls/All","78","1311","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000016","ONS geography code","Barnsley","All","Boys/Girls/All","69","2605","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","78","906","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","68","939","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","73","1845","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","67","12","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","67","12","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","67","24","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","?","4","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","67","6","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","50","10","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","?","2","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","50","6","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","63","8","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","75","53","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","61","56","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","68","109","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Girls","Boys/Girls/All","79","754","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Boys","Boys/Girls/All","69","812","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Boys/Girls/All","74","1566","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","75","1116","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","61","1198","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","68","2314","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","57","158","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","70","174","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","64","332","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","76","54","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","55","64","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","64","118","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","?","1","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","?","3","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","?","4","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","77","119","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","63","146","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","69","265","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Girls","Boys/Girls/All","75","716","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","Boys","Boys/Girls/All","63","751","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford Borough","All","Boys/Girls/All","69","1467","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","82","1491","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","69","1626","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","75","3117","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","84","149","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","68","164","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","76","313","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","80","230","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","69","267","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","74","497","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","87","23","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","88","34","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","88","57","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","70","129","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","85","135","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","78","264","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Girls","Boys/Girls/All","82","885","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Boys","Boys/Girls/All","70","988","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","All","Boys/Girls/All","76","1873","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","74","7664","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","59","8121","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","66","15785","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","75","2628","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","59","2832","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","67","5460","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","75","811","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","58","864","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","67","1675","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","70","37","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","79","38","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","75","75","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","76","818","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","62","837","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","69","1655","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Girls","Boys/Girls/All","74","2636","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","Boys","Boys/Girls/All","60","2716","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000025","ONS geography code","Birmingham","All","Boys/Girls/All","67","5352","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Girls","Boys/Girls/All","75","988","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Boys","Boys/Girls/All","58","1062","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Boys/Girls/All","66","2050","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Girls","Boys/Girls/All","78","409","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Boys","Boys/Girls/All","57","442","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Boys/Girls/All","67","851","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Girls","Boys/Girls/All","71","7","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Boys","Boys/Girls/All","78","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Boys/Girls/All","75","16","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Girls","Boys/Girls/All","?","2","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Boys","Boys/Girls/All","?","2","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Boys/Girls/All","?","4","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Girls","Boys/Girls/All","76","37","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Boys","Boys/Girls/All","50","40","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Boys/Girls/All","62","77","","Local Authority"
