"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Tariff marker","Number","Value","Value_type","Value_note"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2015/16","Academic Year","Other","1830","2.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2015/16","Academic Year","Total","75290","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2015/16","Academic Year","Low","8320","31","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2015/16","Academic Year","Medium","8545","31.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2015/16","Academic Year","High","8820","32.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2015/16","Academic Year","Other","1155","4.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2015/16","Academic Year","Total","26835","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2015/16","Academic Year","Low","4115","37","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2015/16","Academic Year","Medium","3560","32","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2015/16","Academic Year","High","3115","28","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2015/16","Academic Year","Other","330","3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2015/16","Academic Year","Total","11115","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2015/16","Academic Year","Low","3345","22.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2015/16","Academic Year","Medium","5005","34","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2015/16","Academic Year","High","5635","38.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2015/16","Academic Year","Other","740","5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2015/16","Academic Year","Total","14730","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2015/16","Academic Year","Low","224245","29.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2015/16","Academic Year","Medium","249990","32.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2015/16","Academic Year","High","243720","32","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2015/16","Academic Year","Other","43050","5.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2015/16","Academic Year","Total","761005","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2016/17","Academic Year","Low","159885","27.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2016/17","Academic Year","Medium","179335","30.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2016/17","Academic Year","High","207550","35.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2016/17","Academic Year","Other","37200","6.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2016/17","Academic Year","Total","583965","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2016/17","Academic Year","Low","28795","49.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2016/17","Academic Year","Medium","17650","30.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2016/17","Academic Year","High","10500","17.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2016/17","Academic Year","Other","1575","2.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2016/17","Academic Year","Total","58520","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2016/17","Academic Year","Low","23600","29.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2016/17","Academic Year","Medium","28400","35.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2016/17","Academic Year","High","25445","32.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2016/17","Academic Year","Other","1770","2.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2016/17","Academic Year","Total","79220","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2016/17","Academic Year","Low","8835","30.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2016/17","Academic Year","Medium","8405","29.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2016/17","Academic Year","High","10260","35.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2016/17","Academic Year","Other","1105","3.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2016/17","Academic Year","Total","28605","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2016/17","Academic Year","Low","4240","35.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2016/17","Academic Year","Medium","3955","32.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2016/17","Academic Year","High","3555","29.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2016/17","Academic Year","Other","320","2.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2016/17","Academic Year","Total","12070","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2016/17","Academic Year","Low","3980","25.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2016/17","Academic Year","Medium","4415","28.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2016/17","Academic Year","High","6430","40.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2016/17","Academic Year","Other","910","5.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2016/17","Academic Year","Total","15735","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2016/17","Academic Year","Low","229335","29.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2016/17","Academic Year","Medium","242165","31.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2016/17","Academic Year","High","263735","33.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2016/17","Academic Year","Other","42880","5.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2016/17","Academic Year","Total","778115","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2017/18","Academic Year","Low","165035","28.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2017/18","Academic Year","Medium","170995","29.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2017/18","Academic Year","High","201995","34.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2017/18","Academic Year","Other","39960","6.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2017/18","Academic Year","Total","577985","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2017/18","Academic Year","Low","25660","44.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2017/18","Academic Year","Medium","21365","36.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2017/18","Academic Year","High","9485","16.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2017/18","Academic Year","Other","1650","2.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2017/18","Academic Year","Total","58160","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2017/18","Academic Year","Low","22180","27","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2017/18","Academic Year","Medium","34290","41.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2017/18","Academic Year","High","23810","29","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2017/18","Academic Year","Other","1840","2.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2017/18","Academic Year","Total","82125","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2017/18","Academic Year","Low","8680","29.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2017/18","Academic Year","Medium","9770","33","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2017/18","Academic Year","High","9930","33.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2017/18","Academic Year","Other","1190","4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2017/18","Academic Year","Total","29570","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2017/18","Academic Year","Low","3930","30.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2017/18","Academic Year","Medium","5015","39.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2017/18","Academic Year","High","3500","27.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2017/18","Academic Year","Other","380","3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2017/18","Academic Year","Total","12825","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2017/18","Academic Year","Low","3620","24.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2017/18","Academic Year","Medium","4060","27.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2017/18","Academic Year","High","6025","40.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2017/18","Academic Year","Other","1050","7.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2017/18","Academic Year","Total","14755","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2017/18","Academic Year","Low","229115","29.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2017/18","Academic Year","Medium","245495","31.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2017/18","Academic Year","High","254745","32.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2017/18","Academic Year","Other","46065","5.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2017/18","Academic Year","Total","775420","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2018/19","Academic Year","Low","160100","27.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2018/19","Academic Year","Medium","166290","28.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2018/19","Academic Year","High","209415","36.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2018/19","Academic Year","Other","41010","7.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2018/19","Academic Year","Total","576815","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2018/19","Academic Year","Low","28050","47.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2018/19","Academic Year","Medium","18725","31.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2018/19","Academic Year","High","10400","17.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2018/19","Academic Year","Other","1760","3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2018/19","Academic Year","Total","58935","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2018/19","Academic Year","Low","23910","28.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2018/19","Academic Year","Medium","32000","37.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2018/19","Academic Year","High","27300","32.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2018/19","Academic Year","Other","1880","2.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2018/19","Academic Year","Total","85090","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2018/19","Academic Year","Low","9275","29.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2018/19","Academic Year","Medium","9230","29.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2018/19","Academic Year","High","11150","36","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2018/19","Academic Year","Other","1315","4.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2018/19","Academic Year","Total","30970","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2018/19","Academic Year","Low","4645","34.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2018/19","Academic Year","Medium","4395","32.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2018/19","Academic Year","High","4040","29.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2018/19","Academic Year","Other","410","3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2018/19","Academic Year","Total","13490","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2018/19","Academic Year","Low","3725","25.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2018/19","Academic Year","Medium","3825","25.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2018/19","Academic Year","High","6210","41.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2018/19","Academic Year","Other","1065","7.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2018/19","Academic Year","Total","14825","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2018/19","Academic Year","Low","229705","29.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2018/19","Academic Year","Medium","234465","30.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2018/19","Academic Year","High","268515","34.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2018/19","Academic Year","Other","47440","6.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2018/19","Academic Year","Total","780120","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2019/20","Academic Year","Low","204450","35.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2019/20","Academic Year","Medium","166910","29.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2019/20","Academic Year","High","197820","34.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2019/20","Academic Year","Other","1830","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2019/20","Academic Year","Total","571010","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2019/20","Academic Year","Low","36615","57.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2019/20","Academic Year","Medium","16290","25.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2019/20","Academic Year","High","10285","16.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2019/20","Academic Year","Other","130","0.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2019/20","Academic Year","Total","63315","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2019/20","Academic Year","Low","31735","35.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2019/20","Academic Year","Medium","31220","34.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2019/20","Academic Year","High","26870","29.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2019/20","Academic Year","Other","305","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2019/20","Academic Year","Total","90130","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2019/20","Academic Year","Low","12045","36.8","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2019/20","Academic Year","Medium","9265","28.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2019/20","Academic Year","High","11285","34.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2019/20","Academic Year","Other","150","0.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2019/20","Academic Year","Total","32745","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2019/20","Academic Year","Low","6405","42.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2019/20","Academic Year","Medium","4405","29.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2019/20","Academic Year","High","4265","28.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2019/20","Academic Year","Other","40","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2019/20","Academic Year","Total","15115","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2019/20","Academic Year","Low","6055","36.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2019/20","Academic Year","Medium","4355","25.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2019/20","Academic Year","High","6315","37.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2019/20","Academic Year","Other","60","0.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2019/20","Academic Year","Total","16785","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2019/20","Academic Year","Low","297310","37.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2019/20","Academic Year","Medium","232440","29.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2019/20","Academic Year","High","256835","32.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2019/20","Academic Year","Other","2515","0.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2019/20","Academic Year","Total","789100","100","%","Ethnicity denom"
