"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","earnings quartile","value","value_type"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","All","LEO","earnings LQ","19000","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","earnings LQ","16400","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","earnings LQ","19900","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","earnings LQ","12700","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","earnings LQ","16000","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","earnings LQ","16900","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Chinese","LEO","earnings LQ","20000","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","earnings LQ","18900","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","earnings LQ","19200","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","earnings LQ","17500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Unknown","LEO","earnings LQ","15600","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","White","LEO","earnings LQ","19400","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","All","LEO","earnings_median","19900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","earnings_median","17900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","earnings_median","21900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","earnings_median","18400","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","earnings_median","19500","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","earnings_median","18000","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Chinese","LEO","earnings_median","21700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","earnings_median","19600","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","earnings_median","20800","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","earnings_median","17400","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Unknown","LEO","earnings_median","19700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","White","LEO","earnings_median","20000","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","All","LEO","earnings_median","23300","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","earnings_median","21800","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","earnings_median","25700","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","earnings_median","21000","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","earnings_median","21900","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","earnings_median","21200","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Chinese","LEO","earnings_median","25300","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","earnings_median","23100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","earnings_median","24300","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","earnings_median","21000","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Unknown","LEO","earnings_median","22800","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","White","LEO","earnings_median","23300","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","All","LEO","earnings_median","26000","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","earnings_median","24400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","earnings_median","28500","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","earnings_median","22400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","earnings_median","23900","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","earnings_median","23300","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Chinese","LEO","earnings_median","28100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","earnings_median","26100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","earnings_median","28500","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","earnings_median","22400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Unknown","LEO","earnings_median","24400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","White","LEO","earnings_median","26100","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","All","LEO","earnings_median","30500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","earnings_median","27700","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","earnings_median","33100","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","earnings_median","24700","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","earnings_median","28700","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","earnings_median","27500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Chinese","LEO","earnings_median","32600","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","earnings_median","31400","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","earnings_median","33200","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","earnings_median","27800","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Unknown","LEO","earnings_median","27500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","White","LEO","earnings_median","30700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","All","LEO","earnings_UQ","25700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","23600","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","earnings_UQ","28700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","earnings_UQ","24300","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","earnings_UQ","26200","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","earnings_UQ","24200","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Chinese","LEO","earnings_UQ","28300","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","earnings_UQ","25700","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","earnings_UQ","27900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","earnings_UQ","24600","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Unknown","LEO","earnings_UQ","26100","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","White","LEO","earnings_UQ","25500","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","All","LEO","earnings_UQ","30000","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","27700","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","earnings_UQ","34600","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","earnings_UQ","27900","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","earnings_UQ","29100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","earnings_UQ","27800","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Chinese","LEO","earnings_UQ","34400","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","earnings_UQ","30200","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","earnings_UQ","32800","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","earnings_UQ","28300","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Unknown","LEO","earnings_UQ","31000","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","White","LEO","earnings_UQ","29800","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","All","LEO","earnings_UQ","34500","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","31600","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","earnings_UQ","40100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","earnings_UQ","30800","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","earnings_UQ","32100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","earnings_UQ","30200","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Chinese","LEO","earnings_UQ","41100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","earnings_UQ","35400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","earnings_UQ","40100","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","earnings_UQ","30600","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Unknown","LEO","earnings_UQ","33800","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","White","LEO","earnings_UQ","34400","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","All","LEO","earnings_UQ","42500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","earnings_UQ","39800","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","earnings_UQ","49300","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","earnings_UQ","37800","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","earnings_UQ","39900","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","earnings_UQ","37500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Chinese","LEO","earnings_UQ","48100","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","earnings_UQ","45400","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","earnings_UQ","50400","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","earnings_UQ","40500","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","Unknown","LEO","earnings_UQ","38300","£"
"Earnings of graduates after higher education","2016/2017","2005/2006","10","White","LEO","earnings_UQ","42500","£"
