"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","activity not captured","8.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","activity not captured","4.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","activity not captured","19.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","activity not captured","9.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","activity not captured","10.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","activity not captured","8.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","activity not captured","10.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","activity not captured","6.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","activity not captured","8.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","activity not captured","8.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","activity not captured","7.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","activity not captured","10.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","activity not captured","11.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","activity not captured","5.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","activity not captured","21.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","activity not captured","11.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","activity not captured","14","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","activity not captured","12.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","activity not captured","12.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","activity not captured","8.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","activity not captured","12.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","activity not captured","13.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","activity not captured","11.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","activity not captured","15.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","activity not captured","16.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","activity not captured","9.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","activity not captured","26.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","activity not captured","16.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","activity not captured","17.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","activity not captured","13.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","activity not captured","14.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","activity not captured","12.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","further study, with or without sustained employment","21.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","20.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","22.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","24.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","further study, with or without sustained employment","24.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","18","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","further study, with or without sustained employment","23.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","further study, with or without sustained employment","22","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","further study, with or without sustained employment","24.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","further study, with or without sustained employment","22.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","further study, with or without sustained employment","18.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","further study, with or without sustained employment","20.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","further study, with or without sustained employment","13.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","10.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","13","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","12.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","further study, with or without sustained employment","18.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","12.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","further study, with or without sustained employment","12","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","further study, with or without sustained employment","14.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","further study, with or without sustained employment","14.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","further study, with or without sustained employment","14.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","further study, with or without sustained employment","14.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","further study, with or without sustained employment","13.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","further study, with or without sustained employment","10.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","6.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","8.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","8.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","further study, with or without sustained employment","14.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","11.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","further study, with or without sustained employment","8.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","further study, with or without sustained employment","10.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","further study, with or without sustained employment","11","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","further study, with or without sustained employment","12.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","further study, with or without sustained employment","10.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","further study, with or without sustained employment","10.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","further study, with or without sustained employment","5.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","further study, with or without sustained employment","3.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","further study, with or without sustained employment","4.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","further study, with or without sustained employment","4.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","further study, with or without sustained employment","9.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","further study, with or without sustained employment","7.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","further study, with or without sustained employment","4.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","further study, with or without sustained employment","6.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","further study, with or without sustained employment","6.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","further study, with or without sustained employment","6.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","further study, with or without sustained employment","5.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","further study, with or without sustained employment","5.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","no sustained destination","7.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","no sustained destination","9.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","no sustained destination","8.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","no sustained destination","10.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","no sustained destination","9.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","no sustained destination","9.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","no sustained destination","8.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","no sustained destination","9.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","no sustained destination","9.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","no sustained destination","10","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","no sustained destination","9.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","no sustained destination","7.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","no sustained destination","6.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","no sustained destination","10.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","no sustained destination","6.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","no sustained destination","9.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","no sustained destination","9.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","no sustained destination","9.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","no sustained destination","6.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","no sustained destination","8.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","no sustained destination","8.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","no sustained destination","12.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","no sustained destination","8.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","no sustained destination","6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","no sustained destination","6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","no sustained destination","8.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","no sustained destination","6.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","no sustained destination","8.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","no sustained destination","9.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","no sustained destination","8.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","no sustained destination","5.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","no sustained destination","8.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","no sustained destination","8.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","no sustained destination","10","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","no sustained destination","7.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","no sustained destination","5.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","no sustained destination","4.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","no sustained destination","5.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","no sustained destination","5.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","no sustained destination","7.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","no sustained destination","8.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","no sustained destination","7.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","no sustained destination","4.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","no sustained destination","6.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","no sustained destination","7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","no sustained destination","10.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","no sustained destination","5.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","no sustained destination","4.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","sustained employment further study or both","87.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","86.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","sustained employment further study or both","87.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","83.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","sustained employment further study or both","85.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","sustained employment further study or both","87.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","sustained employment further study or both","80.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","sustained employment further study or both","83.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","sustained employment further study or both","83.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","sustained employment further study or both","84.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","sustained employment further study or both","82.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","sustained employment further study or both","88.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","sustained employment further study or both","86.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","84.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","sustained employment further study or both","87.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","82","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","sustained employment further study or both","82.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","sustained employment further study or both","86.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","sustained employment further study or both","74.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","sustained employment further study or both","81.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","sustained employment further study or both","81.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","sustained employment further study or both","79.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","sustained employment further study or both","81.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","sustained employment further study or both","87.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","sustained employment further study or both","85.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","83.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","sustained employment further study or both","86.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","81","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","sustained employment further study or both","79.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","sustained employment further study or both","85.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","sustained employment further study or both","72.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","sustained employment further study or both","79.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","sustained employment further study or both","77.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","sustained employment further study or both","77.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","sustained employment further study or both","80","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","sustained employment further study or both","86.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","sustained employment further study or both","82.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","sustained employment further study or both","80.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","sustained employment further study or both","83.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","sustained employment further study or both","77.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","sustained employment further study or both","75.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","sustained employment further study or both","83.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","sustained employment further study or both","68.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other (including mixed)","LEO","sustained employment further study or both","76.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Asian Background","LEO","sustained employment further study or both","75.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Other Black Background","LEO","sustained employment further study or both","76.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Unknown","LEO","sustained employment further study or both","79.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","White","LEO","sustained employment further study or both","83.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","sustained employment only","65.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","sustained employment only","65.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","sustained employment only","65.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","sustained employment only","58.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","sustained employment only","60.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","sustained employment only","69.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","sustained employment only","56.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","sustained employment only","61.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","sustained employment only","58.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","sustained employment only","62.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","sustained employment only","64.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","sustained employment only","67.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","sustained employment only","72.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","sustained employment only","73.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","sustained employment only","74.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","sustained employment only","69.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","sustained employment only","64.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","sustained employment only","73.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Chinese","LEO","sustained employment only","62.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","sustained employment only","67.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","sustained employment only","67.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","sustained employment only","65","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Unknown","LEO","sustained employment only","67.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","White","LEO","sustained employment only","73.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","All","LEO","sustained employment only","74.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","sustained employment only","76.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","sustained employment only","77.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","sustained employment only","72.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","sustained employment only","64.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","sustained employment only","74.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Chinese","LEO","sustained employment only","64.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","sustained employment only","69.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","sustained employment only","66.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","sustained employment only","64.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","Unknown","LEO","sustained employment only","69.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2010/2011","5","White","LEO","sustained employment only","75.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","All","LEO","sustained employment only","76.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Bangladeshi","LEO","sustained employment only","77.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Indian","LEO","sustained employment only","78.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Asian or Asian British - Pakistani","LEO","sustained employment only","72.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - African","LEO","sustained employment only","65.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Black or Black British - Caribbean","LEO","sustained employment only","76.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2005/2006","10","Chinese","LEO","sustained employment only","63.8","%"
