"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","91.2987","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","77.19298","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","88.59807","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","University Hospitals Bristol and Weston NHS Foundation Trust","RA7","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","71.35802","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","85.66265","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","75.67568","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","87.70604","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","70.41284","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Mid and South Essex NHS Foundation Trust","RAJ","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","84.00866","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Mid and South Essex NHS Foundation Trust","RAJ","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","67.4476","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","83.73926","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","63.11713","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute Specialist Trusts","87.04225","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute Specialist Trusts","66.52174","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","82.17593","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","59.54416","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","77.8","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","57.98319","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","89.23767","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","77.8032","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","90.37178","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","72.92724","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","90.48193","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","67.21311","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Walsall Healthcare NHS Trust","RBK","White","White & Other","Midlands","Grouped region","Acute and Acute & Community Trusts","81.81818","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Walsall Healthcare NHS Trust","RBK","Other","White & Other","Midlands","Grouped region","Acute and Acute & Community Trusts","55.83756","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Wirral University Teaching Hospital NHS Foundation Trust","RBL","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","86.3079","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Wirral University Teaching Hospital NHS Foundation Trust","RBL","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","71.11111","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","95.48193","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","St Helens and Knowsley Teaching Hospitals NHS Trust","RBN","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","68.96552","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","White","White & Other","North West","Grouped region","Acute Specialist Trusts","93.09309","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Other","White & Other","North West","Grouped region","Acute Specialist Trusts","88.31169","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","90.84279","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","76.62338","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Mid Cheshire Hospitals NHS Foundation Trust","RBT","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","91.97432","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","72.46377","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Christie NHS Foundation Trust","RBV","White","White & Other","North West","Grouped region","Acute Specialist Trusts","90.17857","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Christie NHS Foundation Trust","RBV","Other","White & Other","North West","Grouped region","Acute Specialist Trusts","80.17241","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Northern Devon Healthcare NHS Trust","RBZ","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","88.68999","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Northern Devon Healthcare NHS Trust","RBZ","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","79.31034","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Bedfordshire Hospitals NHS Foundation Trust","RC9","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","87.99613","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Bedfordshire Hospitals NHS Foundation Trust","RC9","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","72.81947","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","York Teaching Hospital NHS Foundation Trust","RCB","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","87.12029","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","York Teaching Hospital NHS Foundation Trust","RCB","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","75.75758","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","86.66667","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","67.1875","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Airedale NHS Foundation Trust","RCF","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","91.63237","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Airedale NHS Foundation Trust","RCF","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","66.66667","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sheffield Children's NHS Foundation Trust","RCU","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","91.04651","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sheffield Children's NHS Foundation Trust","RCU","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","76.71233","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","82.46014","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust","RCX","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","74.01575","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal United Hospitals Bath NHS Foundation Trust","RD1","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","88.78369","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal United Hospitals Bath NHS Foundation Trust","RD1","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","73.91304","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Poole Hospital NHS Foundation Trust","RD3","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","89.1954","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Poole Hospital NHS Foundation Trust","RD3","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","76.85185","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Milton Keynes University Hospital NHS Foundation Trust","RD8","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","90.34392","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Milton Keynes University Hospital NHS Foundation Trust","RD8","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","69.16996","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","East Suffolk and North Essex NHS Foundation Trust","RDE","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","85.16912","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","East Suffolk and North Essex NHS Foundation Trust","RDE","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","73.73418","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sussex Community NHS Foundation Trust","RDR","White","White & Other","South East","Grouped region","Community Trusts","93.06931","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sussex Community NHS Foundation Trust","RDR","Other","White & Other","South East","Grouped region","Community Trusts","75.69061","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","90.11963","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","77.48837","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Dorset HealthCare University NHS Foundation Trust","RDY","White","White & Other","South West","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","91.48082","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Dorset HealthCare University NHS Foundation Trust","RDY","Other","White & Other","South West","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","84.46602","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust","RDZ","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","89.88764","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust","RDZ","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","77.71084","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Cornwall Hospitals NHS Trust","REF","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","86.84327","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Cornwall Hospitals NHS Trust","REF","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","79.26829","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool University Hospitals NHS Foundation Trust","REM","White","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","85.22133","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool University Hospitals NHS Foundation Trust","REM","Other","White & Other","North West","Grouped region","Acute and Acute & Community Trusts","64.70588","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","White","White & Other","North West","Grouped region","Acute Specialist Trusts","91.34438","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Clatterbridge Cancer Centre NHS Foundation Trust","REN","Other","White & Other","North West","Grouped region","Acute Specialist Trusts","81.81818","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool Women's NHS Foundation Trust","REP","White","White & Other","North West","Grouped region","Acute Specialist Trusts","90.69767","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Liverpool Women's NHS Foundation Trust","REP","Other","White & Other","North West","Grouped region","Acute Specialist Trusts","84.21053","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Walton Centre NHS Foundation Trust","RET","White","White & Other","North West","Grouped region","Acute Specialist Trusts","88.05556","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Walton Centre NHS Foundation Trust","RET","Other","White & Other","North West","Grouped region","Acute Specialist Trusts","76.92308","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute and Acute & Community Trusts","75.44685","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute and Acute & Community Trusts","60.14581","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","91.10405","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","88.23529","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Rotherham NHS Foundation Trust","RFR","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","90.25111","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","The Rotherham NHS Foundation Trust","RFR","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","75.22124","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands","Grouped region","Acute and Acute & Community Trusts","92.52959","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands","Grouped region","Acute and Acute & Community Trusts","80.21978","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Leeds and York Partnership NHS Foundation Trust","RGD","White","White & Other","North East and Yorkshire","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","89.4385","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Leeds and York Partnership NHS Foundation Trust","RGD","Other","White & Other","North East and Yorkshire","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","71.42857","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Papworth Hospital NHS Foundation Trust","RGM","White","White & Other","East of England","Grouped region","Acute Specialist Trusts","81.67832","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Papworth Hospital NHS Foundation Trust","RGM","Other","White & Other","East of England","Grouped region","Acute Specialist Trusts","60.71429","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North West Anglia NHS Foundation Trust","RGN","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","84.77199","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","North West Anglia NHS Foundation Trust","RGN","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","71.6263","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","James Paget University Hospitals NHS Foundation Trust","RGP","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","84.96732","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","James Paget University Hospitals NHS Foundation Trust","RGP","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","65.57377","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","West Suffolk NHS Foundation Trust","RGR","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","87.91209","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","76.42276","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","88.93039","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","East of England","Grouped region","Acute and Acute & Community Trusts","74.5","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Somerset NHS Foundation Trust","RH5","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","89.25681","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Somerset NHS Foundation Trust","RH5","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","82.19178","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","88.83579","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South West","Grouped region","Acute and Acute & Community Trusts","75.32468","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","87.84017","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands","Grouped region","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","65.94203","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","90.3147","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South East","Grouped region","Acute and Acute & Community Trusts","77.58347","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","90.03654","%"
"Percentage of staff believing that their trust provides equal opportunities for career progression or promotion, by ethnicity","2020","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North East and Yorkshire","Grouped region","Acute and Acute & Community Trusts","72.91667","%"
