"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute Trust","63","%","222","353"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Croydon Health Services NHS Trust","RJ6","All","All","London","Grouped region","Acute Trust","75","%","641","851"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental Health Trust","84","%","766","914"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental Health Trust","73","%","471","649"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","East London NHS Foundation Trust","RWK","All","All","London","Grouped region","Mental Health Trust","79","%","1237","1563"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Epsom And St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute Trust","85","%","888","1043"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Epsom And St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute Trust","66","%","296","447"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Epsom And St Helier University Hospitals NHS Trust","RVR","All","All","London","Grouped region","Acute Trust","79","%","1184","1490"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute Trust","88","%","239","272"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute Trust","66","%","60","91"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","All","All","London","Grouped region","Acute Trust","82","%","299","363"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute Trust","89","%","2068","2330"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute Trust","70","%","916","1301"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Guy's and St Thomas' NHS Foundation Trust","RJ1","All","All","London","Grouped region","Acute Trust","82","%","2984","3631"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute Trust","89","%","608","687"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute Trust","67","%","346","519"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Homerton University Hospital NHS Foundation Trust","RQX","All","All","London","Grouped region","Acute Trust","79","%","954","1206"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hounslow And Richmond Community Healthcare NHS Trust","RY9","White","White & Other","London","Grouped region","Community Provider Trust","90","%","258","286"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hounslow And Richmond Community Healthcare NHS Trust","RY9","Other","White & Other","London","Grouped region","Community Provider Trust","71","%","97","137"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Hounslow And Richmond Community Healthcare NHS Trust","RY9","All","All","London","Grouped region","Community Provider Trust","84","%","355","423"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Imperial College Healthcare NHS Trust","RYJ","White","White & Other","London","Grouped region","Acute Trust","88","%","173","196"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Imperial College Healthcare NHS Trust","RYJ","Other","White & Other","London","Grouped region","Acute Trust","83","%","91","110"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Imperial College Healthcare NHS Trust","RYJ","All","All","London","Grouped region","Acute Trust","86","%","264","306"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute Trust","83","%","1599","1927"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute Trust","61","%","697","1151"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","King's College Hospital NHS Foundation Trust","RJZ","All","All","London","Grouped region","Acute Trust","75","%","2296","3078"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kingston Hospital NHS Foundation Trust","RAX","White","White & Other","London","Grouped region","Acute Trust","87","%","665","762"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kingston Hospital NHS Foundation Trust","RAX","Other","White & Other","London","Grouped region","Acute Trust","71","%","207","291"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Kingston Hospital NHS Foundation Trust","RAX","All","All","London","Grouped region","Acute Trust","83","%","872","1053"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute Trust","84","%","591","707"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute Trust","66","%","263","400"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Lewisham and Greenwich NHS Trust","RJ2","All","All","London","Grouped region","Acute Trust","77","%","854","1107"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance Trust","62","%","948","1533"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance Trust","47","%","97","206"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London Ambulance Service NHS Trust","RRU","All","All","London","Grouped region","Ambulance Trust","60","%","1045","1739"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London North West Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute Trust","84","%","828","986"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London North West Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute Trust","68","%","916","1347"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","London North West Healthcare NHS Trust","R1K","All","All","London","Grouped region","Acute Trust","75","%","1744","2333"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute Trust","88","%","305","348"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute Trust","72","%","249","348"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Moorfields Eye Hospital NHS Foundation Trust","RP6","All","All","London","Grouped region","Acute Trust","80","%","554","696"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East London NHS Foundation Trust","RAT","White","White & Other","London","Grouped region","Mental Health Trust","86","%","1255","1453"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East London NHS Foundation Trust","RAT","Other","White & Other","London","Grouped region","Mental Health Trust","81","%","623","772"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North East London NHS Foundation Trust","RAT","All","All","London","Grouped region","Mental Health Trust","84","%","1878","2225"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Middlesex University Hospital NHS Trust","RAP","White","White & Other","London","Grouped region","Acute Trust","81","%","299","367"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Middlesex University Hospital NHS Trust","RAP","Other","White & Other","London","Grouped region","Acute Trust","62","%","237","380"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","North Middlesex University Hospital NHS Trust","RAP","All","All","London","Grouped region","Acute Trust","72","%","536","747"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental Health Trust","89","%","550","618"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental Health Trust","73","%","192","264"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Oxleas NHS Foundation Trust","RPG","All","All","London","Grouped region","Mental Health Trust","84","%","742","882"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute Trust","87","%","759","876"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute Trust","72","%","271","379"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Brompton & Harefield NHS Foundation Trust","RT3","All","All","London","Grouped region","Acute Trust","82","%","1030","1255"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute Trust","84","%","1367","1620"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute Trust","65","%","698","1067"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal Free London NHS Foundation Trust","RAL","All","All","London","Grouped region","Acute Trust","77","%","2065","2687"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute Trust","88","%","258","293"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute Trust","68","%","134","196"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Royal National Orthopaedic Hospital NHS Trust","RAN","All","All","London","Grouped region","Acute Trust","80","%","392","489"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South London and Maudsley NHS Foundation Trust","RV5","White","White & Other","London","Grouped region","Mental Health Trust","81","%","634","778"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South London and Maudsley NHS Foundation Trust","RV5","Other","White & Other","London","Grouped region","Mental Health Trust","67","%","258","387"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South London and Maudsley NHS Foundation Trust","RV5","All","All","London","Grouped region","Mental Health Trust","77","%","892","1165"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West London And St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental Health Trust","82","%","304","369"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West London And St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental Health Trust","68","%","155","229"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","South West London And St George's Mental Health NHS Trust","RQY","All","All","London","Grouped region","Mental Health Trust","77","%","459","598"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute Trust","83","%","1438","1735"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute Trust","63","%","658","1047"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","St George's University Hospitals NHS Foundation Trust","RJ7","All","All","London","Grouped region","Acute Trust","75","%","2096","2782"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tavistock and Portman NHS Foundation Trust","RNK","White","White & Other","London","Grouped region","Mental Health Trust","76","%","135","177"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tavistock and Portman NHS Foundation Trust","RNK","Other","White & Other","London","Grouped region","Mental Health Trust","43","%","22","51"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Tavistock and Portman NHS Foundation Trust","RNK","All","All","London","Grouped region","Mental Health Trust","69","%","157","228"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Hillingdon Hospitals NHS Foundation Trust","RAS","White","White & Other","London","Grouped region","Acute Trust","86","%","516","603"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Hillingdon Hospitals NHS Foundation Trust","RAS","Other","White & Other","London","Grouped region","Acute Trust","70","%","269","382"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Hillingdon Hospitals NHS Foundation Trust","RAS","All","All","London","Grouped region","Acute Trust","80","%","785","985"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute Trust","92","%","997","1089"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute Trust","78","%","274","353"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","The Royal Marsden NHS Foundation Trust","RPY","All","All","London","Grouped region","Acute Trust","88","%","1271","1442"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute Trust","84","%","1108","1325"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute Trust","69","%","567","819"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","University College London Hospitals NHS Foundation Trust","RRV","All","All","London","Grouped region","Acute Trust","78","%","1675","2144"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","West London Mental Health NHS Trust","RKL","White","White & Other","London","Grouped region","Mental Health Trust","82","%","451","553"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","West London Mental Health NHS Trust","RKL","Other","White & Other","London","Grouped region","Mental Health Trust","73","%","265","361"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","West London Mental Health NHS Trust","RKL","All","All","London","Grouped region","Mental Health Trust","78","%","716","914"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Whittington Health NHS Trust","RKE","White","White & Other","London","Grouped region","Acute Trust","85","%","546","643"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Whittington Health NHS Trust","RKE","Other","White & Other","London","Grouped region","Acute Trust","61","%","238","388"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Whittington Health NHS Trust","RKE","All","All","London","Grouped region","Acute Trust","76","%","784","1031"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands & East","Grouped region","Acute Trust","82","%","893","1095"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands & East","Grouped region","Acute Trust","77","%","250","326"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","All","All","Midlands & East","Grouped region","Acute Trust","80","%","1143","1421"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands & East","Grouped region","Acute Trust","83","%","192","232"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands & East","Grouped region","Acute Trust","78","%","50","64"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Bedford Hospital NHS Trust","RC1","All","All","Midlands & East","Grouped region","Acute Trust","82","%","242","296"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands & East","Grouped region","Mental Health Trust","78","%","533","685"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands & East","Grouped region","Mental Health Trust","55","%","171","310"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","All","All","Midlands & East","Grouped region","Mental Health Trust","71","%","704","995"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Birmingham Community Healthcare NHS Foundation Trust","RYW","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","85","%","811","949"
