"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Caring, Leisure And Other Service Occupations","SOC 2010","4.9","%","1102100","54000","3.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Sales And Customer Service Occupations","SOC 2010","12.2","%","1102100","134800","3.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Process, Plant And Machine Operatives","SOC 2010","9.9","%","1102100","109200","3.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","Elementary Occupations","SOC 2010","12.3","%","1102100","135400","3.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Managers, Directors And Senior Officials","SOC 2010","8.6","%","493400","42400","6.15","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Professional Occupations","SOC 2010","11.4","%","493400","56100","5.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Associate Professional And Technical Occupations","SOC 2010","16.4","%","493400","81000","5.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Administrative And Secretarial Occupations","SOC 2010","12.9","%","493400","63500","6.12","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Skilled Trades Occupations","SOC 2010","7.5","%","493400","36800","6.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Caring, Leisure And Other Service Occupations","SOC 2010","11.7","%","493400","57800","5.80","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Sales And Customer Service Occupations","SOC 2010","8.4","%","493400","41700","6.43","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Process, Plant And Machine Operatives","SOC 2010","6.5","%","493400","32000","6.11","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","Elementary Occupations","SOC 2010","16.7","%","493400","82200","5.93","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Managers, Directors And Senior Officials","SOC 2010","16.0","%","535000","85700","5.23","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Professional Occupations","SOC 2010","18.3","%","535000","98000","5.08","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Associate Professional And Technical Occupations","SOC 2010","11.8","%","535000","63400","5.39","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Administrative And Secretarial Occupations","SOC 2010","13.4","%","535000","72000","5.52","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Skilled Trades Occupations","SOC 2010","5.8","%","535000","30800","5.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Caring, Leisure And Other Service Occupations","SOC 2010","4.0","%","535000","21600","5.39","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Sales And Customer Service Occupations","SOC 2010","12.1","%","535000","64800","5.60","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Process, Plant And Machine Operatives","SOC 2010","8.2","%","535000","43900","5.22","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Indian","Elementary Occupations","SOC 2010","10.3","%","535000","55000","5.33","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Managers, Directors And Senior Officials","SOC 2010","10.7","%","167600","17900","7.40","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Professional Occupations","SOC 2010","12.0","%","167600","20100","7.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Associate Professional And Technical Occupations","SOC 2010","19.3","%","167600","32300","7.55","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Administrative And Secretarial Occupations","SOC 2010","12.2","%","167600","20400","7.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Skilled Trades Occupations","SOC 2010","7.2","%","167600","12100","7.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Caring, Leisure And Other Service Occupations","SOC 2010","8.1","%","167600","13500","7.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Sales And Customer Service Occupations","SOC 2010","13.2","%","167600","22200","7.96","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Process, Plant And Machine Operatives","SOC 2010","5.6","%","167600","9300","7.86","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Mixed/Multiple ethnic groups","Elementary Occupations","SOC 2010","11.8","%","167600","19800","7.55","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Managers, Directors And Senior Officials","SOC 2010","15.3","%","252200","38500","7.33","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Professional Occupations","SOC 2010","16.4","%","252200","41300","7.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Associate Professional And Technical Occupations","SOC 2010","15.6","%","252200","39300","7.20","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Administrative And Secretarial Occupations","SOC 2010","10.2","%","252200","25800","8.15","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Skilled Trades Occupations","SOC 2010","6.8","%","252200","17200","7.45","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Caring, Leisure And Other Service Occupations","SOC 2010","5.8","%","252200","14700","7.47","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Sales And Customer Service Occupations","SOC 2010","10.8","%","252200","27200","8.25","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Process, Plant And Machine Operatives","SOC 2010","4.8","%","252200","12100","7.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other Asian (inc. Chinese)","Elementary Occupations","SOC 2010","14.4","%","252200","36200","7.53","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Managers, Directors And Senior Officials","SOC 2010","13.7","%","256900","35300","7.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Professional Occupations","SOC 2010","17.8","%","256900","45600","7.15","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Associate Professional And Technical Occupations","SOC 2010","15.5","%","256900","39700","7.22","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Administrative And Secretarial Occupations","SOC 2010","8.5","%","256900","22000","7.89","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Skilled Trades Occupations","SOC 2010","8.0","%","256900","20700","8.09","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Caring, Leisure And Other Service Occupations","SOC 2010","9.0","%","256900","23100","7.10","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Sales And Customer Service Occupations","SOC 2010","7.1","%","256900","18200","7.99","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Process, Plant And Machine Operatives","SOC 2010","5.7","%","256900","14600","7.84","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Other ethnic group","Elementary Occupations","SOC 2010","14.7","%","256900","37700","7.50","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Managers, Directors And Senior Officials","SOC 2010","12.8","%","314900","40200","6.98","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Professional Occupations","SOC 2010","11.4","%","314900","35900","6.95","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Associate Professional And Technical Occupations","SOC 2010","8.1","%","314900","25600","7.41","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Administrative And Secretarial Occupations","SOC 2010","8.7","%","314900","27400","7.34","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Skilled Trades Occupations","SOC 2010","8.9","%","314900","27900","7.15","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Caring, Leisure And Other Service Occupations","SOC 2010","5.6","%","314900","17700","7.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Sales And Customer Service Occupations","SOC 2010","13.6","%","314900","42900","7.17","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Process, Plant And Machine Operatives","SOC 2010","16.9","%","314900","53100","6.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Pakistani/ Bangladehsi","Elementary Occupations","SOC 2010","14.0","%","314900","44200","7.13","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Managers, Directors And Senior Officials","SOC 2010","15.1","%","25487700","3841900","0.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Professional Occupations","SOC 2010","12.3","%","25487700","3122500","0.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Associate Professional And Technical Occupations","SOC 2010","14.0","%","25487700","3565800","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Administrative And Secretarial Occupations","SOC 2010","12.8","%","25487700","3255000","0.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Skilled Trades Occupations","SOC 2010","11.7","%","25487700","2969800","0.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Caring, Leisure And Other Service Occupations","SOC 2010","7.7","%","25487700","1966400","0.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Sales And Customer Service Occupations","SOC 2010","7.5","%","25487700","1915500","0.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Process, Plant And Machine Operatives","SOC 2010","7.6","%","25487700","1928900","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White","Elementary Occupations","SOC 2010","11.5","%","25487700","2921900","0.57","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Managers, Directors And Senior Officials","SOC 2010","15.0","%","24190800","3635800","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Professional Occupations","SOC 2010","12.0","%","24190800","2904200","0.60","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Associate Professional And Technical Occupations","SOC 2010","13.9","%","24190800","3363800","0.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Administrative And Secretarial Occupations","SOC 2010","12.9","%","24190800","3120700","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Skilled Trades Occupations","SOC 2010","11.7","%","24190800","2832500","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Caring, Leisure And Other Service Occupations","SOC 2010","7.7","%","24190800","1869400","0.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Sales And Customer Service Occupations","SOC 2010","7.6","%","24190800","1846700","0.60","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Process, Plant And Machine Operatives","SOC 2010","7.7","%","24190800","1851500","0.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White British","Elementary Occupations","SOC 2010","11.4","%","24190800","2766300","0.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Managers, Directors And Senior Officials","SOC 2010","15.9","%","1296900","206100","2.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Professional Occupations","SOC 2010","16.8","%","1296900","218300","2.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Associate Professional And Technical Occupations","SOC 2010","15.6","%","1296900","201900","2.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Administrative And Secretarial Occupations","SOC 2010","10.4","%","1296900","134300","2.80","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Skilled Trades Occupations","SOC 2010","10.6","%","1296900","137400","2.76","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Caring, Leisure And Other Service Occupations","SOC 2010","7.5","%","1296900","97000","2.78","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Sales And Customer Service Occupations","SOC 2010","5.3","%","1296900","68800","2.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Process, Plant And Machine Operatives","SOC 2010","6.0","%","1296900","77400","2.73","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","White Other","Elementary Occupations","SOC 2010","12.0","%","1296900","155600","2.78","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Managers, Directors And Senior Officials","SOC 2010","14.9","%","27824700","4157600","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Professional Occupations","SOC 2010","12.6","%","27824700","3507500","0.39","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Associate Professional And Technical Occupations","SOC 2010","14.3","%","27824700","3972100","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Administrative And Secretarial Occupations","SOC 2010","12.6","%","27824700","3494300","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Skilled Trades Occupations","SOC 2010","11.1","%","27824700","3098700","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Caring, Leisure And Other Service Occupations","SOC 2010","7.8","%","27824700","2183000","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Sales And Customer Service Occupations","SOC 2010","7.7","%","27824700","2147200","0.39","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Process, Plant And Machine Operatives","SOC 2010","7.5","%","27824700","2091400","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","All","Elementary Occupations","SOC 2010","11.4","%","27824700","3172900","0.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Managers, Directors And Senior Officials","SOC 2010","14.5","%","1162100","168600","3.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Professional Occupations","SOC 2010","17.0","%","1162100","197500","3.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Associate Professional And Technical Occupations","SOC 2010","12.4","%","1162100","144200","3.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Administrative And Secretarial Occupations","SOC 2010","11.1","%","1162100","129400","3.87","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Skilled Trades Occupations","SOC 2010","6.5","%","1162100","75500","3.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Caring, Leisure And Other Service Occupations","SOC 2010","5.3","%","1162100","61900","3.78","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Sales And Customer Service Occupations","SOC 2010","11.1","%","1162100","129400","3.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Process, Plant And Machine Operatives","SOC 2010","9.6","%","1162100","111300","3.67","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Asian","Elementary Occupations","SOC 2010","12.4","%","1162100","144300","3.68","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Managers, Directors And Senior Officials","SOC 2010","7.8","%","535300","41600","5.98","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Professional Occupations","SOC 2010","11.5","%","535300","61400","5.72","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Associate Professional And Technical Occupations","SOC 2010","17.3","%","535300","92900","5.66","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Administrative And Secretarial Occupations","SOC 2010","12.5","%","535300","66700","6.12","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Skilled Trades Occupations","SOC 2010","6.5","%","535300","34900","6.16","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Caring, Leisure And Other Service Occupations","SOC 2010","13.8","%","535300","73800","5.83","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Sales And Customer Service Occupations","SOC 2010","8.6","%","535300","46000","6.35","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Process, Plant And Machine Operatives","SOC 2010","6.4","%","535300","34300","6.08","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Black","Elementary Occupations","SOC 2010","15.6","%","535300","83700","5.94","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Managers, Directors And Senior Officials","SOC 2010","14.9","%","551600","82400","5.21","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Professional Occupations","SOC 2010","20.8","%","551600","114800","5.17","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Associate Professional And Technical Occupations","SOC 2010","13.1","%","551600","72000","5.38","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Administrative And Secretarial Occupations","SOC 2010","12.4","%","551600","68500","5.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Skilled Trades Occupations","SOC 2010","5.2","%","551600","28600","5.56","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Caring, Leisure And Other Service Occupations","SOC 2010","4.4","%","551600","24400","5.51","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Sales And Customer Service Occupations","SOC 2010","10.3","%","551600","56900","5.59","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Process, Plant And Machine Operatives","SOC 2010","7.8","%","551600","43200","5.26","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Indian","Elementary Occupations","SOC 2010","11.1","%","551600","61000","5.39","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Managers, Directors And Senior Officials","SOC 2010","11.4","%","170900","19400","7.63","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Professional Occupations","SOC 2010","12.3","%","170900","21000","7.65","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Associate Professional And Technical Occupations","SOC 2010","17.2","%","170900","29400","7.74","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Administrative And Secretarial Occupations","SOC 2010","12.4","%","170900","21100","7.82","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Skilled Trades Occupations","SOC 2010","7.2","%","170900","12400","8.11","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Caring, Leisure And Other Service Occupations","SOC 2010","9.4","%","170900","16100","8.22","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Sales And Customer Service Occupations","SOC 2010","12.3","%","170900","21000","8.06","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Process, Plant And Machine Operatives","SOC 2010","5.6","%","170900","9500","8.00","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Mixed/Multiple ethnic groups","Elementary Occupations","SOC 2010","12.3","%","170900","21000","7.68","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Managers, Directors And Senior Officials","SOC 2010","15.1","%","283700","42900","7.02","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Professional Occupations","SOC 2010","16.3","%","283700","46300","7.34","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Associate Professional And Technical Occupations","SOC 2010","14.4","%","283700","40800","7.01","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Administrative And Secretarial Occupations","SOC 2010","10.5","%","283700","29800","7.81","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Skilled Trades Occupations","SOC 2010","7.4","%","283700","20900","7.26","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Caring, Leisure And Other Service Occupations","SOC 2010","6.6","%","283700","18800","7.36","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Sales And Customer Service Occupations","SOC 2010","9.5","%","283700","27000","7.68","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Process, Plant And Machine Operatives","SOC 2010","5.6","%","283700","15800","8.03","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other Asian (inc. Chinese)","Elementary Occupations","SOC 2010","14.6","%","283700","41300","7.06","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Managers, Directors And Senior Officials","SOC 2010","12.1","%","308200","37400","7.07","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Professional Occupations","SOC 2010","17.1","%","308200","52800","6.81","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Associate Professional And Technical Occupations","SOC 2010","15.8","%","308200","48600","6.92","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Administrative And Secretarial Occupations","SOC 2010","9.4","%","308200","28900","7.58","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Skilled Trades Occupations","SOC 2010","7.4","%","308200","22900","7.09","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Caring, Leisure And Other Service Occupations","SOC 2010","9.7","%","308200","30000","6.75","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Sales And Customer Service Occupations","SOC 2010","7.9","%","308200","24400","7.85","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Process, Plant And Machine Operatives","SOC 2010","6.9","%","308200","21100","7.29","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Other ethnic group","Elementary Occupations","SOC 2010","13.6","%","308200","42000","6.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Managers, Directors And Senior Officials","SOC 2010","13.3","%","326800","43300","6.91","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Professional Occupations","SOC 2010","11.1","%","326800","36400","7.06","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Associate Professional And Technical Occupations","SOC 2010","9.6","%","326800","31400","7.71","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Administrative And Secretarial Occupations","SOC 2010","9.5","%","326800","31000","7.35","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Skilled Trades Occupations","SOC 2010","8.0","%","326800","26100","7.16","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Caring, Leisure And Other Service Occupations","SOC 2010","5.7","%","326800","18700","7.37","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Sales And Customer Service Occupations","SOC 2010","13.9","%","326800","45400","7.27","","","","","","",""
"Proportion of ethnic group who are employed, split by occupation group","2005","Year","Pakistani/ Bangladehsi","Process, Plant And Machine Operatives","SOC 2010","16.0","%","326800","52300","6.69","","","","","","",""
