"Measure","Time","Ethnicity","Ethnicity_type","AllLearners","MatchedLearners","SustainedEmploymentStudyorBoth","Destination that was not sustained","ActivityNotCaptured","SustainedEmploymentRate","SustainedLearningRate"
"Percentage of students by destination after further education","201516","Black/African/Caribbean/Black British","ONS 5+1","86390","84670","74","20","5","59","33"
"Percentage of students by destination after further education","201516","Mixed/Multiple ethnic group","ONS 5+1","28890","28490","73","20","7","60","28"
"Percentage of students by destination after further education","201516","Other Ethnic Group","ONS 5+1","31240","30140","67","22","10","44","35"
"Percentage of students by destination after further education","201516","White","ONS 5+1","797430","791990","78","16","6","71","22"
"Percentage of students by destination after further education","201516","Unknown","ONS 5+1","16100","15830","73","19","7","64","23"
"Percentage of students by destination after further education","201617","All","All","1017810","1007090","76","18","6","66","24"
"Percentage of students by destination after further education","201617","Bangladeshi","LEO","19590","19380","68","22","10","42","37"
"Percentage of students by destination after further education","201617","Chinese","LEO","4230","3990","73","17","10","51","37"
"Percentage of students by destination after further education","201617","Indian","LEO","19820","19580","75","17","8","61","26"
"Percentage of students by destination after further education","201617","Pakistani","LEO","31600","31100","64","26","10","43","31"
"Percentage of students by destination after further education","201617","Asian Other","LEO","25480","24500","71","20","9","46","38"
"Percentage of students by destination after further education","201617","Black African","LEO","56080","54590","75","20","5","57","36"
"Percentage of students by destination after further education","201617","Black Caribbean","LEO","19130","18990","67","28","5","57","22"
"Percentage of students by destination after further education","201617","Black Other","LEO","10490","10320","70","24","6","57","27"
"Percentage of students by destination after further education","201617","Other inc. Mixed","LEO","49380","48000","72","21","7","55","30"
"Percentage of students by destination after further education","201617","White","LEO","756040","751510","78","17","5","71","21"
"Percentage of students by destination after further education","201617","Unknown","LEO","25970","25130","69","22","8","46","34"
"Percentage of students by destination after further education","201617","Asian/Asian British","ONS 5+1","100720","98540","69","21","10","48","33"
"Percentage of students by destination after further education","201617","Black/African/Caribbean/Black British","ONS 5+1","85700","83900","73","22","5","57","32"
"Percentage of students by destination after further education","201617","Mixed/Multiple ethnic group","ONS 5+1","28540","28090","72","22","6","59","27"
"Percentage of students by destination after further education","201617","Other Ethnic Group","ONS 5+1","32730","31240","68","22","9","42","38"
"Percentage of students by destination after further education","201617","White","ONS 5+1","756040","751510","78","17","5","71","21"
"Percentage of students by destination after further education","201617","Unknown","ONS 5+1","14080","13810","74","19","7","61","25"
