"Measure","Time","Time_type","Ethnicity","Gender","FSM eligibility","Value","Denominator"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","All","FSM eligible","24","290"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","All","FSM eligible","32","562"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","All","FSM eligible","55","2673"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","All","FSM eligible","58","2961"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","All","FSM eligible","61","1149"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","All","FSM eligible","59","1330"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","All","FSM eligible","63","2533"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","All","FSM eligible","63","706"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","All","FSM eligible","58","3346"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","All","FSM eligible","59","1469"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","All","FSM eligible","61","1190"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","All","FSM eligible","64","1515"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","All","FSM eligible","63","4356"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","All","FSM eligible","60","930"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","All","FSM eligible","62","186"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","All","FSM eligible","56","2220"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","All","FSM eligible","55","87190"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","All","All other pupils","75","365721"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","All","All other pupils","78","1383"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","All","All other pupils","37","301"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","All","All other pupils","34","1462"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","All","All other pupils","65","42933"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","All","All other pupils","73","7012"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","All","All other pupils","74","4534"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","All","All other pupils","77","8958"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","All","All other pupils","74","13144"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","All","All other pupils","77","19484"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","All","All other pupils","63","23730"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","All","All other pupils","67","8802"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","All","All other pupils","70","10427"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","All","All other pupils","69","4144"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","All","All other pupils","70","17743"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","All","All other pupils","68","3654"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","All","All other pupils","77","3092"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","All","All other pupils","63","9817"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","All","All other pupils","73","565159"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Boys","All pupils","65","217461"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Boys","All pupils","68","807"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Boys","All pupils","23","312"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Boys","All pupils","28","1067"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Boys","All pupils","58","23487"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Boys","All pupils","60","5133"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Boys","All pupils","65","2932"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Boys","All pupils","67","5288"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Boys","All pupils","66","8044"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Boys","All pupils","70","10236"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Boys","All pupils","55","13813"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Boys","All pupils","58","5180"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Boys","All pupils","61","5930"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Boys","All pupils","59","2861"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Boys","All pupils","61","11158"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Boys","All pupils","59","2368"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","All pupils","69","1683"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Boys","All pupils","54","6193"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","All pupils","63","334079"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Boys","FSM eligible","45","30120"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Boys","FSM eligible","36","115"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Boys","FSM eligible","17","154"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Boys","FSM eligible","23","287"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Boys","FSM eligible","49","1396"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Boys","FSM eligible","49","1557"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Boys","FSM eligible","53","596"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Boys","FSM eligible","50","690"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Boys","FSM eligible","56","1282"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Boys","FSM eligible","55","365"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Boys","FSM eligible","49","1688"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Boys","FSM eligible","53","731"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Boys","FSM eligible","52","614"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Boys","FSM eligible","55","749"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Boys","FSM eligible","55","2170"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Boys","FSM eligible","51","485"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","FSM eligible","54","101"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Boys","FSM eligible","46","1112"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","FSM eligible","47","44787"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Boys","All other pupils","69","187341"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Boys","All other pupils","74","692"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Boys","All other pupils","30","158"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Boys","All other pupils","29","780"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Boys","All other pupils","58","22091"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Boys","All other pupils","65","3576"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Boys","All other pupils","68","2336"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Boys","All other pupils","69","4598"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Boys","All other pupils","68","6762"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Boys","All other pupils","71","9871"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Boys","All other pupils","56","12125"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Boys","All other pupils","59","4449"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Boys","All other pupils","62","5316"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Boys","All other pupils","61","2112"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Boys","All other pupils","62","8988"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Boys","All other pupils","61","1883"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","All other pupils","70","1582"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Boys","All other pupils","56","5081"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","All other pupils","66","289292"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Girls","All pupils","79","206718"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Girls","All pupils","80","791"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Girls","All pupils","39","279"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Girls","All pupils","40","957"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Girls","All pupils","71","22119"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Girls","All pupils","77","4840"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Girls","All pupils","79","2751"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Girls","All pupils","82","5000"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Girls","All pupils","79","7633"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Girls","All pupils","84","9954"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Girls","All pupils","71","13263"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Girls","All pupils","74","5091"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Girls","All pupils","76","5687"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Girls","All pupils","75","2798"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Girls","All pupils","77","10941"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Girls","All pupils","75","2216"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","All pupils","83","1595"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Girls","All pupils","70","5844"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","All pupils","77","318270"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Girls","FSM eligible","62","28338"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Girls","FSM eligible","54","100"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Girls","FSM eligible","32","136"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Girls","FSM eligible","41","275"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Girls","FSM eligible","62","1277"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Girls","FSM eligible","68","1404"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Girls","FSM eligible","70","553"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Girls","FSM eligible","68","640"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Girls","FSM eligible","70","1251"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Girls","FSM eligible","71","341"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Girls","FSM eligible","68","1658"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Girls","FSM eligible","66","738"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Girls","FSM eligible","70","576"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Girls","FSM eligible","72","766"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Girls","FSM eligible","71","2186"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Girls","FSM eligible","70","445"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","FSM eligible","71","85"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Girls","FSM eligible","65","1108"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","FSM eligible","64","42403"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","Girls","All other pupils","82","178380"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","Girls","All other pupils","83","691"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","Girls","All other pupils","45","143"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","Girls","All other pupils","39","682"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","Girls","All other pupils","72","20842"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","Girls","All other pupils","81","3436"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","Girls","All other pupils","82","2198"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","Girls","All other pupils","84","4360"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","Girls","All other pupils","81","6382"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","Girls","All other pupils","84","9613"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","Girls","All other pupils","71","11605"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","Girls","All other pupils","76","4353"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","Girls","All other pupils","77","5111"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","Girls","All other pupils","77","2032"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","Girls","All other pupils","78","8755"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","Girls","All other pupils","76","1771"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","All other pupils","84","1510"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","Girls","All other pupils","71","4736"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","All other pupils","80","275867"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","All","All pupils","71","473998"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","All","All pupils","68","69154"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","All","All pupils","72","41621"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","All","All pupils","68","32342"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","All","All pupils","76","3278"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","All","All pupils","70","652349"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Boys","All pupils","64","243134"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Boys","All pupils","61","35159"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Boys","All pupils","65","21397"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Boys","All pupils","60","16387"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","All pupils","69","1683"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","All pupils","63","334079"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Boys","FSM eligible","45","32072"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Boys","FSM eligible","51","3398"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Boys","FSM eligible","52","4125"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Boys","FSM eligible","55","3404"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","FSM eligible","54","101"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","FSM eligible","47","44787"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Boys","All other pupils","67","211062"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Boys","All other pupils","62","31761"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Boys","All other pupils","67","17272"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Boys","All other pupils","62","12983"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Boys","All other pupils","70","1582"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Boys","All other pupils","66","289292"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Girls","All pupils","78","230864"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Girls","All pupils","76","33995"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Girls","All pupils","79","20224"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Girls","All pupils","76","15955"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","All pupils","83","1595"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","All pupils","77","318270"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Girls","FSM eligible","62","30126"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Girls","FSM eligible","68","3313"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Girls","FSM eligible","69","3848"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Girls","FSM eligible","71","3397"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","FSM eligible","71","85"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","FSM eligible","64","42403"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","Girls","All other pupils","81","200738"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","Girls","All other pupils","77","30682"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","Girls","All other pupils","82","16376"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","Girls","All other pupils","78","12558"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","Girls","All other pupils","84","1510"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","Girls","All other pupils","80","275867"
