"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000017","ONS geography code","Rutland","All","Male/Female/All","x","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000017","ONS geography code","Rutland","All","Male/Female/All","x","x","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000017","ONS geography code","Rutland","All","Male/Female/All","70","10","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000017","ONS geography code","Rutland","All","Male/Female/All","73","357","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000017","ONS geography code","Rutland","All","Male/Female/All","72","404","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","65","641","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","68","395","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","71","24","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","66","507","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","66","1999","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","All","Male/Female/All","65","3813","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","71","14","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","x","x","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","x","x","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","68","53","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","75","1870","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","All","Male/Female/All","74","1991","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","63","156","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","70","73","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","x","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","72","126","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","70","1935","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000020","ONS geography code","Telford and Wrekin","All","Male/Female/All","70","2345","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","60","502","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","66","115","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","79","19","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","69","179","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","66","2387","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000021","ONS geography code","Stoke-on-Trent","All","Male/Female/All","64","3332","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","63","32","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","64","14","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","x","9","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","72","106","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","72","1652","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","All","Male/Female/All","71","1911","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","57","366","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","56","558","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","71","31","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","68","499","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","71","3810","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000023","ONS geography code","Bristol, City of","All","Male/Female/All","68","5517","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","77","31","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","43","7","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","x","5","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","69","81","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","76","2235","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","All","Male/Female/All","75","2440","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000025","ONS geography code","South Gloucestershire","All","Male/Female/All","78","133","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black","White/Black/Asian/Mixed/Chinese/All","E06000025","ONS geography code","South Gloucestershire","All","Male/Female/All","80","51","","Local Authority"
