"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Rate per 1,000 people","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","168"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Assailant","78","4787"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Assailant","96","619"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Assailant","188","2031"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Assailant","217","703"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Assailant","111","111"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","145"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Fighter","94","5800"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Fighter","112","730"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Fighter","226","2444"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Fighter","248","805"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Fighter","118","119"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","194"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","White","ONS 5+1 2001","Victim","70","4302"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Asian","ONS 5+1 2001","Victim","80","521"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Black","ONS 5+1 2001","Victim","87","943"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Mixed","ONS 5+1 2001","Victim","110","358"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Other","ONS 5+1 2001","Victim","71","71"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2013","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Assailant","95","5914"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Assailant","89","592"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Assailant","217","2325"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Assailant","262","905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Assailant","120","123"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","80"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Fighter","100","6269"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Fighter","116","767"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Fighter","229","2450"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Fighter","255","880"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Fighter","160","164"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","89"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","White","ONS 5+1 2001","Victim","85","5307"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Asian","ONS 5+1 2001","Victim","85","564"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Black","ONS 5+1 2001","Victim","101","1079"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Mixed","ONS 5+1 2001","Victim","120","416"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Other","ONS 5+1 2001","Victim","105","107"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2014","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","73"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Assailant","127","8026"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Assailant","118","810"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Assailant","285","3017"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Assailant","336","1177"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Assailant","163","160"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","60"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Fighter","125","7905"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Fighter","125","858"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Fighter","266","2817"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Fighter","279","980"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Fighter","195","191"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","50"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","White","ONS 5+1 2001","Victim","107","6761"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Asian","ONS 5+1 2001","Victim","112","769"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Black","ONS 5+1 2001","Victim","126","1335"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Mixed","ONS 5+1 2001","Victim","135","475"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Other","ONS 5+1 2001","Victim","131","128"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2015","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","48"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Assailant","167","10442"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Assailant","150","1032"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Assailant","338","3549"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Assailant","405","1465"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Assailant","221","225"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","69"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Fighter","149","9339"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Fighter","145","1002"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Fighter","334","3506"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Fighter","375","1359"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Fighter","199","202"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","58"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","White","ONS 5+1 2001","Victim","136","8493"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Asian","ONS 5+1 2001","Victim","132","906"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Black","ONS 5+1 2001","Victim","153","1604"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Mixed","ONS 5+1 2001","Victim","209","757"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Other","ONS 5+1 2001","Victim","122","124"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2016","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","57"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Assailant","179","11196"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Assailant","167","1157"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Assailant","379","4051"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Assailant","433","1624"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Assailant","269","293"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","75"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Fighter","124","7763"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Fighter","141","979"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Fighter","298","3189"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Fighter","300","1125"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Fighter","239","260"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","58"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","White","ONS 5+1 2001","Victim","148","9227"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Asian","ONS 5+1 2001","Victim","153","1060"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Black","ONS 5+1 2001","Victim","164","1757"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Mixed","ONS 5+1 2001","Victim","189","708"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Other","ONS 5+1 2001","Victim","169","184"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2017","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","78"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","White","ONS 5+1 2001","Assailant","218","13159"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Asian","ONS 5+1 2001","Assailant","200","1333"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Black","ONS 5+1 2001","Assailant","433","4505"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Mixed","ONS 5+1 2001","Assailant","479","1787"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Other","ONS 5+1 2001","Assailant","241","290"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","194"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","White","ONS 5+1 2001","Fighter","133","7999"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Asian","ONS 5+1 2001","Fighter","149","992"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Black","ONS 5+1 2001","Fighter","320","3335"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Mixed","ONS 5+1 2001","Fighter","305","1137"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Other","ONS 5+1 2001","Fighter","207","249"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","125"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","White","ONS 5+1 2001","Victim","169","10171"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Asian","ONS 5+1 2001","Victim","173","1151"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Black","ONS 5+1 2001","Victim","182","1896"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Mixed","ONS 5+1 2001","Victim","243","907"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Other","ONS 5+1 2001","Victim","183","220"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2018","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","111"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","White","ONS 5+1 2001","Assailant","207","12449"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Asian","ONS 5+1 2001","Assailant","185","1226"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Black","ONS 5+1 2001","Assailant","438","4633"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Mixed","ONS 5+1 2001","Assailant","452","1755"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Other","ONS 5+1 2001","Assailant","290","374"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","452"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","White","ONS 5+1 2001","Fighter","128","7685"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Asian","ONS 5+1 2001","Fighter","136","902"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Black","ONS 5+1 2001","Fighter","302","3198"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Mixed","ONS 5+1 2001","Fighter","284","1104"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Other","ONS 5+1 2001","Fighter","206","266"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","215"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","White","ONS 5+1 2001","Victim","155","9292"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Asian","ONS 5+1 2001","Victim","153","1016"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Black","ONS 5+1 2001","Victim","183","1940"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Mixed","ONS 5+1 2001","Victim","205","798"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Other","ONS 5+1 2001","Victim","176","227"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2019","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","291"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","White","ONS 5+1 2001","Assailant","145","8380"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Asian","ONS 5+1 2001","Assailant","129","816"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Black","ONS 5+1 2001","Assailant","319","3284"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Mixed","ONS 5+1 2001","Assailant","317","1237"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Other","ONS 5+1 2001","Assailant","203","241"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","224"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","White","ONS 5+1 2001","Fighter","82","4755"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Asian","ONS 5+1 2001","Fighter","85","539"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Black","ONS 5+1 2001","Fighter","185","1903"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Mixed","ONS 5+1 2001","Fighter","165","643"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Other","ONS 5+1 2001","Fighter","142","169"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","93"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","White","ONS 5+1 2001","Victim","95","5448"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Asian","ONS 5+1 2001","Victim","98","619"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Black","ONS 5+1 2001","Victim","116","1191"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Mixed","ONS 5+1 2001","Victim","128","501"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Other","ONS 5+1 2001","Victim","114","136"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2020","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","110"
