"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Comments","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","White","White & Other","South","Grouped region","Mental Health","5.50","%","1.15"
"Percentage of shortlisted applicants who are appointed for an NHS job","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Other","White & Other","South","Grouped region","Mental Health","4.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute","25.50","%","1.64"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute","15.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health","42.60","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health","30.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnsley Hospital NHS Foundation Trust","RFF","White","White & Other","North","Grouped region","Acute","29.00","%","2.15"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnsley Hospital NHS Foundation Trust","RFF","Other","White & Other","North","Grouped region","Acute","13.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute","11.70","%","1.95"
"Percentage of shortlisted applicants who are appointed for an NHS job","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute","6.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","White","White & Other","Midlands & East","Grouped region","Acute","5.00","%","1.03"
"Percentage of shortlisted applicants who are appointed for an NHS job","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Other","White & Other","Midlands & East","Grouped region","Acute","4.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bedford Hospital NHS Trust","RC1","White","White & Other","Midlands & East","Grouped region","Acute","12.40","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bedford Hospital NHS Trust","RC1","Other","White & Other","Midlands & East","Grouped region","Acute","9.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Berkshire Healthcare NHS Foundation Trust","RWX","White","White & Other","South","Grouped region","Mental Health","27.60","%","1.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Berkshire Healthcare NHS Foundation Trust","RWX","Other","White & Other","South","Grouped region","Mental Health","20.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","White","White & Other","Midlands & East","Grouped region","Mental Health","4.80","%","1.07"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham and Solihull Mental Health NHS Foundation Trust","RXT","Other","White & Other","Midlands & East","Grouped region","Mental Health","4.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Community Healthcare NHS Foundation Trust","RYW","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","20.30","%","1.21"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Community Healthcare NHS Foundation Trust","RYW","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","16.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands & East","Grouped region","Acute","20.90","%","1.69"
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands & East","Grouped region","Acute","12.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Black Country Partnership NHS Foundation Trust","TAJ","White","White & Other","Midlands & East","Grouped region","Mental Health","9.70","%","0.74"
"Percentage of shortlisted applicants who are appointed for an NHS job","Black Country Partnership NHS Foundation Trust","TAJ","Other","White & Other","Midlands & East","Grouped region","Mental Health","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","White","White & Other","North","Grouped region","Acute","20.50","%","0.82"
"Percentage of shortlisted applicants who are appointed for an NHS job","Blackpool Teaching Hospitals NHS Foundation Trust","RXL","Other","White & Other","North","Grouped region","Acute","25.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bolton NHS Foundation Trust","RMC","White","White & Other","North","Grouped region","Acute","21.00","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bolton NHS Foundation Trust","RMC","Other","White & Other","North","Grouped region","Acute","15.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford District Care NHS Foundation Trust","TAD","White","White & Other","North","Grouped region","Mental Health","18.10","%","1.15"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford District Care NHS Foundation Trust","TAD","Other","White & Other","North","Grouped region","Mental Health","15.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute","44.30","%","1.48"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute","30.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bridgewater Community Healthcare NHS Foundation Trust","RY2","White","White & Other","North","Grouped region","Community Provider Trust","14.90","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","Bridgewater Community Healthcare NHS Foundation Trust","RY2","Other","White & Other","North","Grouped region","Community Provider Trust","12.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Buckinghamshire Healthcare NHS Trust","RXQ","White","White & Other","South","Grouped region","Acute","20.90","%","2.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Buckinghamshire Healthcare NHS Trust","RXQ","Other","White & Other","South","Grouped region","Acute","8.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands & East","Grouped region","Acute","25.00","%","1.49"
"Percentage of shortlisted applicants who are appointed for an NHS job","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands & East","Grouped region","Acute","16.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Calderdale and Huddersfield NHS Foundation Trust","RWY","White","White & Other","North","Grouped region","Acute","23.30","%","1.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Calderdale and Huddersfield NHS Foundation Trust","RWY","Other","White & Other","North","Grouped region","Acute","13.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands & East","Grouped region","Acute","29.70","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands & East","Grouped region","Acute","20.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands & East","Grouped region","Mental Health","19.50","%","1.54"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands & East","Grouped region","Mental Health","12.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire Community Services NHS Trust","RYV","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","14.20","%","1.87"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire Community Services NHS Trust","RYV","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","7.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","TAF","White","White & Other","London","Grouped region","Mental Health","25.50","%","1.96"
"Percentage of shortlisted applicants who are appointed for an NHS job","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","TAF","Other","White & Other","London","Grouped region","Mental Health","13.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health","41.90","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health","29.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Central London Community Healthcare NHS Trust","RYX","White","White & Other","London","Grouped region","Community Provider Trust","26.60","%","1.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Central London Community Healthcare NHS Trust","RYX","Other","White & Other","London","Grouped region","Community Provider Trust","15.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute","23.50","%","1.66"
"Percentage of shortlisted applicants who are appointed for an NHS job","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute","14.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","White","White & Other","North","Grouped region","Mental Health","13.90","%","1.27"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cheshire and Wirral Partnership NHS Foundation Trust","RXA","Other","White & Other","North","Grouped region","Mental Health","11.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Chesterfield Royal Hospital NHS Foundation Trust","RFS","White","White & Other","Midlands & East","Grouped region","Acute","10.60","%","2.3"
"Percentage of shortlisted applicants who are appointed for an NHS job","Chesterfield Royal Hospital NHS Foundation Trust","RFS","Other","White & Other","Midlands & East","Grouped region","Acute","4.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","City Hospitals Sunderland NHS Foundation Trust","RLN","White","White & Other","North","Grouped region","Acute","61.20","%","1.03"
"Percentage of shortlisted applicants who are appointed for an NHS job","City Hospitals Sunderland NHS Foundation Trust","RLN","Other","White & Other","North","Grouped region","Acute","59.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Colchester Hospital University NHS Foundation Trust","RDE","White","White & Other","Midlands & East","Grouped region","Acute","19.30","%","1.68"
"Percentage of shortlisted applicants who are appointed for an NHS job","Colchester Hospital University NHS Foundation Trust","RDE","Other","White & Other","Midlands & East","Grouped region","Acute","11.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health","13.40","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health","8.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute","28.70","%","1.71"
"Percentage of shortlisted applicants who are appointed for an NHS job","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute","16.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","County Durham and Darlington NHS Foundation Trust","RXP","White","White & Other","North","Grouped region","Acute","8.80","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","County Durham and Darlington NHS Foundation Trust","RXP","Other","White & Other","North","Grouped region","Acute","7.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Coventry and Warwickshire Partnership NHS Trust","RYG","White","White & Other","Midlands & East","Grouped region","Mental Health","15.80","%","1.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","Coventry and Warwickshire Partnership NHS Trust","RYG","Other","White & Other","Midlands & East","Grouped region","Mental Health","11.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute","20.00","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute","12.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cumbria Partnership NHS Foundation Trust","RNN","White","White & Other","North","Grouped region","Mental Health","9.90","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Cumbria Partnership NHS Foundation Trust","RNN","Other","White & Other","North","Grouped region","Mental Health","6.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dartford and Gravesham NHS Trust","RN7","White","White & Other","South","Grouped region","Acute","26.60","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dartford and Gravesham NHS Trust","RN7","Other","White & Other","South","Grouped region","Acute","18.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands & East","Grouped region","Acute","31.50","%","1.32"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands & East","Grouped region","Acute","23.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Community Health Services NHS Foundation Trust","RY8","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","22.30","%","3.18"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Community Health Services NHS Foundation Trust","RY8","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","7.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Healthcare NHS Foundation Trust","RXM","White","White & Other","Midlands & East","Grouped region","Mental Health","20.60","%","1.57"
"Percentage of shortlisted applicants who are appointed for an NHS job","Derbyshire Healthcare NHS Foundation Trust","RXM","Other","White & Other","Midlands & East","Grouped region","Mental Health","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Devon Partnership NHS Trust","RWV","White","White & Other","South","Grouped region","Mental Health","17.60","%","1.88"
"Percentage of shortlisted applicants who are appointed for an NHS job","Devon Partnership NHS Trust","RWV","Other","White & Other","South","Grouped region","Mental Health","9.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute","70.50","%","1.22"
"Percentage of shortlisted applicants who are appointed for an NHS job","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute","57.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset County Hospital NHS Foundation Trust","RBD","White","White & Other","South","Grouped region","Acute","26.50","%","5.14"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset County Hospital NHS Foundation Trust","RBD","Other","White & Other","South","Grouped region","Acute","5.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset Healthcare University NHS Foundation Trust","RDY","White","White & Other","South","Grouped region","Mental Health","24.10","%","1.75"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dorset Healthcare University NHS Foundation Trust","RDY","Other","White & Other","South","Grouped region","Mental Health","13.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","White","White & Other","Midlands & East","Grouped region","Mental Health","20.50","%","1.43"
"Percentage of shortlisted applicants who are appointed for an NHS job","Dudley and Walsall Mental Health Partnership NHS Trust","RYK","Other","White & Other","Midlands & East","Grouped region","Mental Health","14.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East and North Hertfordshire NHS Trust","RWH","White","White & Other","Midlands & East","Grouped region","Acute","35.00","%","1.02"
"Percentage of shortlisted applicants who are appointed for an NHS job","East and North Hertfordshire NHS Trust","RWH","Other","White & Other","Midlands & East","Grouped region","Acute","34.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute","47.60","%","0.97"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute","48.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Kent Hospitals University NHS Foundation Trust","RVV","White","White & Other","South","Grouped region","Acute","21.90","%","1.21"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Kent Hospitals University NHS Foundation Trust","RVV","Other","White & Other","South","Grouped region","Acute","18.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Lancashire Hospitals NHS Trust","RXR","White","White & Other","North","Grouped region","Acute","0.50","%","2.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Lancashire Hospitals NHS Trust","RXR","Other","White & Other","North","Grouped region","Acute","0.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East London NHS Foundation Trust","RWK","White","White & Other","London","Grouped region","Mental Health","19.00","%","1.31"
"Percentage of shortlisted applicants who are appointed for an NHS job","East London NHS Foundation Trust","RWK","Other","White & Other","London","Grouped region","Mental Health","14.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Midlands Ambulance Service NHS Trust","RX9","White","White & Other","Midlands & East","Grouped region","Ambulance","5.20","%","1.38"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Midlands Ambulance Service NHS Trust","RX9","Other","White & Other","Midlands & East","Grouped region","Ambulance","3.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East of England Ambulance Service NHS Trust","RYC","White","White & Other","Midlands & East","Grouped region","Ambulance","9.00","%","2.69"
"Percentage of shortlisted applicants who are appointed for an NHS job","East of England Ambulance Service NHS Trust","RYC","Other","White & Other","Midlands & East","Grouped region","Ambulance","3.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Sussex Healthcare NHS Trust","RXC","White","White & Other","South","Grouped region","Acute","5.70","%","0.91"
"Percentage of shortlisted applicants who are appointed for an NHS job","East Sussex Healthcare NHS Trust","RXC","Other","White & Other","South","Grouped region","Acute","6.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Epsom and St Helier University Hospitals NHS Trust","RVR","White","White & Other","London","Grouped region","Acute","13.90","%","2.33"
"Percentage of shortlisted applicants who are appointed for an NHS job","Epsom and St Helier University Hospitals NHS Trust","RVR","Other","White & Other","London","Grouped region","Acute","5.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","R1L","White","White & Other","Midlands & East","Grouped region","Mental Health","48.90","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","R1L","Other","White & Other","Midlands & East","Grouped region","Mental Health","34.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Frimley Health NHS Foundation Trust","RDU","White","White & Other","South","Grouped region","Acute","23.50","%","1.91"
"Percentage of shortlisted applicants who are appointed for an NHS job","Frimley Health NHS Foundation Trust","RDU","Other","White & Other","South","Grouped region","Acute","12.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute","12.70","%","1.41"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute","9.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","George Eliot Hospital NHS Trust","RLT","White","White & Other","Midlands & East","Grouped region","Acute","19.90","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","George Eliot Hospital NHS Trust","RLT","Other","White & Other","Midlands & East","Grouped region","Acute","16.00","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","22.60","%","2.34"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","9.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute","18.00","%","1.53"
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute","11.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute","28.20","%","2.15"
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Western Hospitals NHS Foundation Trust","RN3","White","White & Other","South","Grouped region","Acute","14.20","%","1.32"
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Western Hospitals NHS Foundation Trust","RN3","Other","White & Other","South","Grouped region","Acute","10.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Greater Manchester Mental Health NHS Foundation Trust","RXV","White","White & Other","North","Grouped region","Mental Health","18.20","%","1.85"
"Percentage of shortlisted applicants who are appointed for an NHS job","Greater Manchester Mental Health NHS Foundation Trust","RXV","Other","White & Other","North","Grouped region","Mental Health","9.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute","5.60","%","2.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute","2.50","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hampshire Hospitals NHS Foundation Trust","RN5","White","White & Other","South","Grouped region","Acute","19.40","%","1.23"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hampshire Hospitals NHS Foundation Trust","RN5","Other","White & Other","South","Grouped region","Acute","15.70","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Harrogate and District NHS Foundation Trust","RCD","White","White & Other","North","Grouped region","Acute","24.20","%","2.14"
"Percentage of shortlisted applicants who are appointed for an NHS job","Harrogate and District NHS Foundation Trust","RCD","Other","White & Other","North","Grouped region","Acute","11.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Heart of England NHS Foundation Trust","RR1","White","White & Other","Midlands & East","Grouped region","Acute","20.20","%","1.58"
"Percentage of shortlisted applicants who are appointed for an NHS job","Heart of England NHS Foundation Trust","RR1","Other","White & Other","Midlands & East","Grouped region","Acute","12.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Community NHS Trust","RY4","White","White & Other","Midlands & East","Grouped region","Community Provider Trust","22.30","%","1.79"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Community NHS Trust","RY4","Other","White & Other","Midlands & East","Grouped region","Community Provider Trust","12.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Partnership University NHS Foundation Trust","RWR","White","White & Other","Midlands & East","Grouped region","Mental Health","20.60","%","1.44"
"Percentage of shortlisted applicants who are appointed for an NHS job","Hertfordshire Partnership University NHS Foundation Trust","RWR","Other","White & Other","Midlands & East","Grouped region","Mental Health","14.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute","29.20","%","1.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute","16.80","%","-"
