"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Studio Schools","All","44.3","887","39273.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Studio Schools","All","25.2","25","631"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Studio Schools","All","32.2","240","7734"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Studio Schools","All","31.6","265","8365"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Studio Schools","All","44.3","887","39273.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Studio Schools","All","41.4","1152","47638.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","University Technical Colleges (UTCs)","All","44.4","3517","156025"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","University Technical Colleges (UTCs)","All","46.2","2799","129429.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","32.2","63","2029.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","37.5","655","24566"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","37","718","26595.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","46.2","2799","129429.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","41.2","203","8373"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","44.6","3314","147652"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Church of England","52.1","30917","1609452.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Church of England","52.1","30917","1609452.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Church of England","54.5","26852","1464705.77"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Church of England","30.2","632","19108.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Church of England","36.6","3433","125638"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Church of England","35.6","4065","144746.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Church of England","54.5","26852","1464705.77"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Hindu","!","173","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Hindu","!","173","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Hindu","!","170","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Hindu","!","1","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Hindu","!","2","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Hindu","!","3","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Hindu","!","170","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Jewish","62.1","1425","88548"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Jewish","62.1","1425","88548"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Jewish","64.4","1275","82083.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Jewish","39.3","40","1571"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Jewish","44.5","110","4893.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Jewish","43.1","150","6464.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Jewish","64.4","1275","82083.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Muslim","61.7","1347","83155.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Muslim","61.7","1347","83155.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Muslim","64.2","1192","76506.52"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Muslim","31","11","340.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Muslim","43.8","144","6308"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Muslim","42.9","155","6648.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Muslim","64.2","1192","76506.52"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","No religious character","49.7","463280","23020425.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","No religious character","50.9","451933","22982318.24"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","No religious character","53.3","393036","20930925.59"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","No religious character","27.4","8762","240294.14"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","No religious character","36.1","50135","1811098.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","No religious character","34.8","58897","2051392.65"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","No religious character","53.3","393036","20930925.59"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Other Christian faith","54.5","10185","554952.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Other Christian faith","54.5","10177","554762.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Other Christian faith","56.8","8970","509270.41"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","29.4","195","5740.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Other Christian faith","39.3","1012","39751.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Other Christian faith","37.7","1207","45491.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","56.8","8970","509270.41"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Roman catholic","53.1","52278","2776176.59"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Roman catholic","53.1","52278","2776176.59"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Roman catholic","55.3","46081","2548017.33"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","28.5","939","26766.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Roman catholic","38.3","5258","201392.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Roman catholic","36.8","6197","228159.26"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","55.3","46081","2548017.33"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Sikh","56.6","413","23381.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Sikh","56.6","413","23381.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Sikh","58.5","373","21814.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Sikh","31.3","7","219"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Sikh","40.8","33","1348"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Sikh","39.2","40","1567"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Sikh","58.5","373","21814.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","Academies and free schools","All","40.5","62516","2533190.19"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","All state-funded","All","38.6","88666","3420730.98"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","No SEN","All","All","All state-funded","All","43.9","65779","2890693.47"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","SEN State EHC","All","All","All state-funded","All","11","7816","86186.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","SEN Supp","All","All","All state-funded","All","29.5","15066","443851.01"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","Converter Academies","All","41.7","33266","1386721.56"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","FE 14-16 Colleges","All","4.4","16","71"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","Free Schools","All","44.7","2075","92700.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","LA maintained mainstream","All","40.9","21266","869485.53"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","Sponsored Academies","All","38.8","26302","1020477.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","All","40.6","83855","3405838.47"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","37.7","5185","195693.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","non-selective schools in other areas","State-funded mainstream","All","40.5","77745","3146800.94"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","selective schools","State-funded mainstream","All","69.6","909","63273.15"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded special schools","All","3.1","4811","14892.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","Studio Schools","All","33.9","248","8412.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","University Technical Colleges (UTCs)","All","39.8","625","24879"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","Church of England","41.9","4573","191505"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","Hindu","!","11","!"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","Jewish","47.2","68","3208.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","Muslim","57.1","243","13866.88"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","No religious character","40.3","69977","2818159.2"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","FSM","All","All","All","State-funded mainstream","Other Christian faith","41.3","1692","69957.01"
