"Ethnicity","Geography","Score","Pupils"
"All","Harrow","53.4","2,334"
"All","Hartlepool","46.8","1,041"
"All","Havering","51.9","2,842"
"All","Herefordshire, County of","50.3","1,773"
"All","Hertfordshire","54.2","13,200"
"All","Hillingdon","52.1","3,301"
"All","Hounslow","52.6","2,916"
"All","Inner London","52.3","28,132"
"All","Isle of Wight","46.6","1,187"
"All","Isles of Scilly","!","18"
"All","Islington","49.7","1,471"
"All","Kensington and Chelsea","58.0","899"
"All","Kent","51.0","16,378"
"All","Kingston upon Hull, City of","45.9","2,681"
"All","Kingston upon Thames","58.9","1,767"
"All","Kirklees","48.6","4,963"
"All","Knowsley","38.2","1,051"
"All","Lambeth","49.3","2,250"
"All","Lancashire","49.7","12,640"
"All","Leeds","47.6","8,219"
"All","Leicester","46.2","3,898"
"All","Leicestershire","50.1","7,413"
"All","Lewisham","48.4","2,305"
"All","Lincolnshire","50.3","7,710"
"All","Liverpool","48.0","4,848"
"All","London","53.2","83,129"
"All","Luton","46.7","2,754"
"All","Manchester","47.2","5,483"
"All","Medway","49.8","3,091"
"All","Merton","53.1","1,555"
"All","Middlesbrough","45.4","1,532"
"All","Milton Keynes","47.1","3,128"
"All","Newcastle upon Tyne","47.6","2,548"
"All","Newham","53.1","4,079"
"All","Norfolk","49.2","7,974"
"All","North East","48.4","26,395"
"All","North East Lincolnshire","43.2","1,742"
"All","North Lincolnshire","47.6","1,925"
"All","North Somerset","50.2","2,200"
"All","North Tyneside","49.2","1,945"
"All","North West","49.0","77,572"
"All","North Yorkshire","51.9","6,174"
"All","Northamptonshire","48.5","7,773"
"All","Northumberland","49.6","3,138"
"All","Nottingham","45.3","2,896"
"All","Nottinghamshire","50.5","8,094"
"All","Oldham","44.8","3,128"
"All","Outer London","53.6","54,997"
"All","Oxfordshire","50.2","6,316"
"All","Peterborough","46.3","2,549"
"All","Plymouth","48.5","2,623"
"All","Portsmouth","45.7","1,839"
"All","Reading","54.0","1,360"
"All","Redbridge","56.0","3,815"
"All","Redcar and Cleveland","48.0","1,600"
"All","Richmond upon Thames","57.5","1,667"
"All","Rochdale","46.2","2,519"
"All","Rotherham","48.1","3,193"
"All","Rutland","55.3","497"
"All","Salford","43.0","2,292"
"All","Sandwell","46.1","3,773"
"All","Sefton","47.6","2,945"
"All","Sheffield","47.7","5,567"
"All","Shropshire","49.5","2,910"
"All","Slough","55.9","1,958"
"All","Solihull","50.4","3,029"
"All","Somerset","48.4","4,950"
"All","South East","51.4","88,737"
"All","South Gloucestershire","49.6","2,553"
"All","South Tyneside","45.9","1,639"
"All","South West","50.4","52,331"
"All","Southampton","46.4","2,154"
"All","Southend-on-Sea","54.5","2,239"
"All","Southwark","53.7","2,659"
"All","St. Helens","47.0","1,889"
"All","Staffordshire","48.8","8,864"
"All","Stockport","51.3","2,808"
"All","Stockton-on-Tees","48.6","2,032"
"All","Stoke-on-Trent","46.3","2,578"
"All","Suffolk","48.4","7,413"
"All","Sunderland","48.1","2,798"
"All","Surrey","53.6","10,734"
"All","Sutton","61.3","2,920"
"All","Swindon","48.7","2,184"
"All","Tameside","48.0","2,668"
"All","Telford and Wrekin","49.9","2,051"
"All","Thurrock","48.6","1,864"
"All","Torbay","51.0","1,617"
"All","Tower Hamlets","50.1","3,082"
"All","Trafford","59.2","3,029"
"All","Wakefield","48.8","3,715"
"All","Walsall","47.4","3,382"
"All","Waltham Forest","50.0","2,693"
"All","Wandsworth","52.7","1,865"
"All","Warrington","51.7","2,418"
"All","Warwickshire","52.6","5,990"
"All","West Berkshire","51.9","1,856"
"All","West Midlands","49.0","64,062"
"All","West Sussex","50.3","8,199"
"All","Westminster","57.1","1,721"
"All","Wigan","49.3","3,482"
"All","Wiltshire","51.2","4,921"
"All","Windsor and Maidenhead","52.8","1,585"
"All","Wirral","51.5","3,499"
"All","Wokingham","55.9","1,675"
"All","Wolverhampton","49.2","3,023"
"All","Worcestershire","49.5","5,641"
"All","York","54.0","1,755"
"All","Yorkshire and The Humber","48.3","57,544"
"Asian","All - England","54.5","61,023"
"Asian","Barking and Dagenham","56.5","555"
"Asian","Barnet","70.4","560"
"Asian","Barnsley","59.6","9"
"Asian","Bath and North East Somerset","59.9","30"
"Asian","Bedford","49.0","286"
"Asian","Bexley","65.5","266"
"Asian","Birmingham","51.6","5,440"
"Asian","Blackburn with Darwen","54.5","905"
"Asian","Blackpool","48.2","29"
"Asian","Bolton","52.6","875"
"Asian","Bournemouth, Christchurch and Poole","63.9","98"
"Asian","Bracknell Forest","58.7","60"
"Asian","Bradford","47.2","2,853"
"Asian","Brent","55.8","927"
"Asian","Brighton and Hove","51.8","78"
"Asian","Bristol, City of","51.5","313"
"Asian","Bromley","68.9","254"
"Asian","Buckinghamshire","60.5","1,229"
"Asian","Bury","49.5","322"
"Asian","Calderdale","54.0","455"
"Asian","Cambridgeshire","58.1","190"
"Asian","Camden","49.0","304"
"Asian","Central Bedfordshire","53.2","61"
"Asian","Cheshire East","56.0","68"
"Asian","Cheshire West and Chester","54.9","47"
"Asian","Cornwall","45.5","9"
"Asian","County Durham","58.0","31"
"Asian","Coventry","53.1","789"
"Asian","Croydon","55.2","488"
"Asian","Cumbria","56.2","32"
"Asian","Darlington","55.7","28"
"Asian","Derby","49.6","548"
"Asian","Derbyshire","52.4","86"
"Asian","Devon","61.6","35"
"Asian","Doncaster","51.6","89"
"Asian","Dorset","52.8","23"
"Asian","Dudley","47.4","317"
"Asian","Ealing","53.7","940"
"Asian","East Midlands","53.1","4,326"
"Asian","East Riding of Yorkshire","56.5","12"
"Asian","East Sussex","55.3","78"
"Asian","East of England","55.8","4,309"
"Asian","Enfield","61.9","316"
"Asian","Essex","67.2","425"
"Asian","Gateshead","60.1","53"
"Asian","Gloucestershire","64.5","196"
"Asian","Greenwich","54.7","191"
"Asian","Hackney","55.9","283"
"Asian","Halton","64.3","5"
"Asian","Hammersmith and Fulham","58.4","128"
"Asian","Hampshire","55.1","322"
"Asian","Haringey","57.5","173"
"Asian","Harrow","57.9","1,068"
"Asian","Hartlepool","45.7","33"
"Asian","Havering","57.4","154"
"Asian","Herefordshire, County of","69.9","7"
"Asian","Hertfordshire","60.9","1,107"
"Asian","Hillingdon","56.5","870"
"Asian","Hounslow","56.7","883"
"Asian","Inner London","55.6","5,998"
"Asian","Isle of Wight","55.6","6"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","55.5","164"
"Asian","Kensington and Chelsea","58.9","41"
"Asian","Kent","63.5","714"
"Asian","Kingston upon Hull, City of","59.9","25"
"Asian","Kingston upon Thames","66.3","417"
"Asian","Kirklees","49.7","1,343"
"Asian","Knowsley","50.2","10"
"Asian","Lambeth","56.6","111"
"Asian","Lancashire","50.5","1,431"
"Asian","Leeds","48.8","1,002"
"Asian","Leicester","50.3","1,834"
"Asian","Leicestershire","58.6","609"
"Asian","Lewisham","50.9","130"
"Asian","Lincolnshire","69.6","143"
"Asian","Liverpool","59.2","160"
"Asian","London","58.0","17,721"
"Asian","Luton","49.2","1,274"
"Asian","Manchester","51.0","1,323"
"Asian","Medway","62.2","178"
"Asian","Merton","56.0","275"
"Asian","Middlesbrough","50.7","188"
"Asian","Milton Keynes","52.4","351"
"Asian","Newcastle upon Tyne","51.3","288"
"Asian","Newham","56.5","1,941"
"Asian","Norfolk","56.8","118"
"Asian","North East","52.3","989"
"Asian","North East Lincolnshire","49.3","13"
"Asian","North Lincolnshire","52.3","77"
"Asian","North Somerset","57.0","36"
"Asian","North Tyneside","49.1","41"
"Asian","North West","51.9","8,034"
"Asian","North Yorkshire","58.8","147"
"Asian","Northamptonshire","56.3","374"
"Asian","Northumberland","51.7","46"
"Asian","Nottingham","50.5","520"
"Asian","Nottinghamshire","60.2","211"
"Asian","Oldham","44.7","992"
"Asian","Outer London","59.2","11,723"
"Asian","Oxfordshire","50.7","340"
"Asian","Peterborough","47.5","443"
"Asian","Plymouth","61.8","24"
"Asian","Portsmouth","57.3","109"
"Asian","Reading","64.2","304"
"Asian","Redbridge","59.3","2,015"
"Asian","Redcar and Cleveland","57.2","23"
"Asian","Richmond upon Thames","58.7","125"
"Asian","Rochdale","48.8","624"
"Asian","Rotherham","50.6","252"
"Asian","Rutland","!","1"
"Asian","Salford","53.5","50"
"Asian","Sandwell","48.8","1,044"
"Asian","Sefton","62.6","31"
"Asian","Sheffield","48.5","645"
"Asian","Shropshire","52.2","16"
"Asian","Slough","60.2","989"
"Asian","Solihull","53.4","361"
"Asian","Somerset","54.9","70"
"Asian","South East","58.4","6,440"
"Asian","South Gloucestershire","52.6","74"
"Asian","South Tyneside","53.1","61"
"Asian","South West","55.8","1,237"
"Asian","Southampton","51.8","229"
"Asian","Southend-on-Sea","68.1","218"
"Asian","Southwark","57.8","128"
"Asian","St. Helens","58.3","12"
"Asian","Staffordshire","48.6","345"
"Asian","Stockport","53.9","184"
"Asian","Stockton-on-Tees","52.9","90"
"Asian","Stoke-on-Trent","48.0","373"
"Asian","Suffolk","56.1","114"
"Asian","Sunderland","53.3","107"
"Asian","Surrey","57.3","706"
"Asian","Sutton","72.3","697"
"Asian","Swindon","48.5","233"
"Asian","Tameside","51.0","313"
"Asian","Telford and Wrekin","55.0","145"
"Asian","Thurrock","61.0","73"
"Asian","Torbay","65.1","15"
"Asian","Tower Hamlets","54.8","2,025"
"Asian","Trafford","65.9","432"
"Asian","Wakefield","48.8","153"
"Asian","Walsall","53.2","721"
"Asian","Waltham Forest","53.4","722"
"Asian","Wandsworth","57.0","353"
"Asian","Warrington","57.5","49"
"Asian","Warwickshire","63.6","318"
"Asian","West Berkshire","54.2","44"
"Asian","West Midlands","51.8","10,857"
"Asian","West Sussex","55.6","357"
"Asian","Westminster","58.6","217"
"Asian","Wigan","53.5","39"
"Asian","Wiltshire","60.9","81"
"Asian","Windsor and Maidenhead","54.1","184"
"Asian","Wirral","64.5","101"
"Asian","Wokingham","62.1","162"
"Asian","Wolverhampton","54.2","775"
"Asian","Worcestershire","51.6","206"
"Asian","York","59.0","35"
"Asian","Yorkshire and The Humber","49.1","7,110"
"Black","All - England","48.9","32,935"
"Black","Barking and Dagenham","51.3","733"
"Black","Barnet","53.9","513"
"Black","Barnsley","42.9","16"
"Black","Bath and North East Somerset","51.4","24"
"Black","Bedford","47.6","136"
"Black","Bexley","57.2","662"
"Black","Birmingham","46.2","1,888"
"Black","Blackburn with Darwen","40.8","18"
"Black","Blackpool","32.7","5"
"Black","Bolton","43.2","204"
"Black","Bournemouth, Christchurch and Poole","57.0","20"
"Black","Bracknell Forest","48.4","39"
"Black","Bradford","42.3","135"
"Black","Brent","48.8","687"
"Black","Brighton and Hove","44.0","41"
"Black","Bristol, City of","43.0","408"
"Black","Bromley","53.6","362"
"Black","Buckinghamshire","55.3","186"
"Black","Bury","42.7","66"
"Black","Calderdale","55.9","23"
"Black","Cambridgeshire","50.1","87"
"Black","Camden","47.8","353"
"Black","Central Bedfordshire","47.9","64"
"Black","Cheshire East","43.2","16"
"Black","Cheshire West and Chester","47.8","12"
"Black","Cornwall","47.5","9"
"Black","County Durham","52.5","12"
"Black","Coventry","46.6","427"
"Black","Croydon","45.4","1,173"
"Black","Cumbria","46.4","11"
"Black","Darlington","40.8","6"
"Black","Derby","45.1","114"
"Black","Derbyshire","55.7","36"
"Black","Devon","52.9","17"
"Black","Doncaster","47.4","46"
"Black","Dorset","47.5","10"
"Black","Dudley","44.0","106"
"Black","Ealing","50.6","528"
"Black","East Midlands","47.8","1,619"
"Black","East Riding of Yorkshire","51.4","5"
"Black","East Sussex","38.1","34"
"Black","East of England","51.5","2,354"
"Black","Enfield","46.7","963"
"Black","Essex","53.5","565"
"Black","Gateshead","50.8","29"
"Black","Gloucestershire","48.1","87"
"Black","Greenwich","49.9","799"
"Black","Hackney","48.1","869"
"Black","Halton","54.3","2"
"Black","Hammersmith and Fulham","50.1","315"
"Black","Hampshire","50.7","122"
"Black","Haringey","47.2","617"
"Black","Harrow","47.6","296"
"Black","Hartlepool","40.8","6"
"Black","Havering","51.6","368"
"Black","Herefordshire, County of","53.2","3"
"Black","Hertfordshire","50.8","611"
"Black","Hillingdon","49.6","398"
"Black","Hounslow","49.9","365"
"Black","Inner London","48.7","8,158"
"Black","Isle of Wight","30.0","2"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","47.6","404"
"Black","Kensington and Chelsea","52.1","161"
"Black","Kent","58.1","549"
"Black","Kingston upon Hull, City of","53.1","44"
"Black","Kingston upon Thames","49.4","81"
"Black","Kirklees","42.2","84"
"Black","Knowsley","37.2","4"
"Black","Lambeth","47.1","1,079"
"Black","Lancashire","47.2","48"
"Black","Leeds","46.9","607"
"Black","Leicester","46.0","462"
"Black","Leicestershire","50.3","84"
"Black","Lewisham","45.8","998"
"Black","Lincolnshire","59.8","30"
"Black","Liverpool","46.8","177"
"Black","London","49.4","17,847"
"Black","Luton","47.0","311"
"Black","Manchester","48.6","993"
"Black","Medway","58.4","223"
"Black","Merton","47.4","276"
"Black","Middlesbrough","39.7","22"
"Black","Milton Keynes","46.1","491"
"Black","Newcastle upon Tyne","46.7","111"
"Black","Newham","50.4","948"
"Black","Norfolk","52.4","69"
"Black","North East","48.2","252"
"Black","North East Lincolnshire","46.3","6"
"Black","North Lincolnshire","48.4","5"
"Black","North Somerset","48.9","20"
"Black","North Tyneside","51.3","15"
"Black","North West","47.8","2,194"
"Black","North Yorkshire","42.0","26"
"Black","Northamptonshire","48.2","410"
"Black","Northumberland","61.0","2"
"Black","Nottingham","47.3","358"
"Black","Nottinghamshire","50.3","119"
"Black","Oldham","41.2","96"
"Black","Outer London","50.0","9,689"
"Black","Oxfordshire","46.7","157"
"Black","Peterborough","46.7","83"
"Black","Plymouth","43.1","23"
"Black","Portsmouth","46.6","48"
"Black","Reading","46.9","120"
"Black","Redbridge","49.6","497"
"Black","Redcar and Cleveland","!","1"
"Black","Richmond upon Thames","49.3","79"
"Black","Rochdale","49.9","110"
"Black","Rotherham","47.5","55"
"Black","Rutland","60.8","6"
"Black","Salford","47.0","132"
"Black","Sandwell","43.0","371"
"Black","Sefton","47.7","14"
"Black","Sheffield","45.3","283"
"Black","Shropshire","44.2","10"
"Black","Slough","50.7","159"
"Black","Solihull","44.5","104"
"Black","Somerset","50.4","21"
"Black","South East","51.0","2,703"
"Black","South Gloucestershire","47.9","52"
"Black","South Tyneside","38.8","6"
"Black","South West","45.7","819"
"Black","Southampton","47.3","77"
"Black","Southend-on-Sea","64.4","175"
"Black","Southwark","51.2","1,197"
"Black","St. Helens","45.8","11"
"Black","Staffordshire","47.2","57"
"Black","Stockport","49.5","37"
"Black","Stockton-on-Tees","60.3","24"
"Black","Stoke-on-Trent","44.0","89"
"Black","Suffolk","45.8","71"
"Black","Sunderland","49.6","18"
"Black","Surrey","52.1","210"
"Black","Sutton","59.0","271"
"Black","Swindon","49.8","65"
"Black","Tameside","45.5","60"
"Black","Telford and Wrekin","50.2","67"
"Black","Thurrock","52.2","182"
"Black","Torbay","31.3","3"
"Black","Tower Hamlets","49.3","325"
"Black","Trafford","59.8","121"
"Black","Wakefield","46.5","51"
"Black","Walsall","48.2","188"
"Black","Waltham Forest","47.9","638"
"Black","Wandsworth","46.8","500"
"Black","Warrington","47.5","12"
"Black","Warwickshire","51.1","76"
"Black","West Berkshire","38.3","30"
"Black","West Midlands","46.1","3,750"
"Black","West Sussex","42.7","127"
"Black","Westminster","54.2","392"
"Black","Wigan","49.6","33"
"Black","Wiltshire","45.2","60"
"Black","Windsor and Maidenhead","50.3","26"
"Black","Wirral","60.0","12"
"Black","Wokingham","50.8","62"
"Black","Wolverhampton","46.7","332"
"Black","Worcestershire","47.0","32"
"Black","York","46.4","11"
"Black","Yorkshire and The Humber","46.1","1,397"
"Chinese","All - England","67.6","1,959"
"Chinese","Barking and Dagenham","65.0","10"
"Chinese","Barnet","76.8","42"
"Chinese","Barnsley","69.8","2"
"Chinese","Bath and North East Somerset","68.5","4"
"Chinese","Bedford","62.1","4"
"Chinese","Bexley","71.8","31"
"Chinese","Birmingham","69.8","53"
"Chinese","Blackburn with Darwen","!","1"
"Chinese","Blackpool","61.8","4"
"Chinese","Bolton","58.6","8"
"Chinese","Bournemouth, Christchurch and Poole","62.0","18"
"Chinese","Bracknell Forest","56.9","5"
"Chinese","Bradford","68.2","5"
"Chinese","Brent","52.5","4"
"Chinese","Brighton and Hove","58.8","11"
"Chinese","Bristol, City of","66.8","12"
"Chinese","Bromley","74.8","40"
"Chinese","Buckinghamshire","75.9","30"
"Chinese","Bury","53.4","8"
"Chinese","Calderdale","72.1","4"
"Chinese","Cambridgeshire","75.9","29"
"Chinese","Camden","56.2","4"
"Chinese","Central Bedfordshire","60.4","9"
"Chinese","Cheshire East","62.7","14"
"Chinese","Cheshire West and Chester","67.2","13"
"Chinese","Cornwall","59.5","9"
"Chinese","County Durham","76.6","10"
"Chinese","Coventry","59.2","9"
"Chinese","Croydon","69.3","17"
"Chinese","Cumbria","63.2","13"
"Chinese","Darlington","63.8","5"
"Chinese","Derby","69.0","8"
"Chinese","Derbyshire","67.3","17"
"Chinese","Devon","59.8","15"
"Chinese","Doncaster","45.5","6"
"Chinese","Dorset","59.0","2"
"Chinese","Dudley","62.0","4"
"Chinese","Ealing","66.9","15"
"Chinese","East Midlands","70.8","120"
"Chinese","East Riding of Yorkshire","N/A","0"
"Chinese","East Sussex","59.0","7"
"Chinese","East of England","69.9","235"
"Chinese","Enfield","58.1","11"
"Chinese","Essex","71.4","62"
"Chinese","Gateshead","70.7","9"
"Chinese","Gloucestershire","62.4","17"
"Chinese","Greenwich","65.5","21"
"Chinese","Hackney","65.1","16"
"Chinese","Halton","!","1"
"Chinese","Hammersmith and Fulham","63.4","9"
"Chinese","Hampshire","70.3","35"
"Chinese","Haringey","63.9","12"
"Chinese","Harrow","62.1","12"
"Chinese","Hartlepool","70.0","5"
"Chinese","Havering","70.8","13"
"Chinese","Herefordshire, County of","N/A","0"
"Chinese","Hertfordshire","71.1","62"
"Chinese","Hillingdon","59.4","7"
"Chinese","Hounslow","73.3","6"
"Chinese","Inner London","65.2","173"
"Chinese","Isle of Wight","!","1"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","68.8","6"
"Chinese","Kensington and Chelsea","80.0","4"
"Chinese","Kent","72.3","63"
"Chinese","Kingston upon Hull, City of","!","1"
"Chinese","Kingston upon Thames","76.5","16"
"Chinese","Kirklees","67.0","6"
"Chinese","Knowsley","75.0","2"
"Chinese","Lambeth","63.6","15"
"Chinese","Lancashire","72.5","36"
"Chinese","Leeds","64.2","31"
"Chinese","Leicester","80.0","6"
"Chinese","Leicestershire","68.3","15"
"Chinese","Lewisham","63.6","27"
"Chinese","Lincolnshire","70.0","27"
"Chinese","Liverpool","65.3","48"
"Chinese","London","69.1","518"
"Chinese","Luton","80.8","4"
"Chinese","Manchester","60.7","35"
"Chinese","Medway","51.5","8"
"Chinese","Merton","66.3","7"
"Chinese","Middlesbrough","!","1"
"Chinese","Milton Keynes","61.2","13"
"Chinese","Newcastle upon Tyne","65.6","15"
"Chinese","Newham","63.4","14"
"Chinese","Norfolk","55.0","20"
"Chinese","North East","68.9","71"
"Chinese","North East Lincolnshire","!","1"
"Chinese","North Lincolnshire","77.0","3"
"Chinese","North Somerset","61.8","8"
"Chinese","North Tyneside","66.1","11"
"Chinese","North West","66.4","306"
"Chinese","North Yorkshire","66.6","13"
"Chinese","Northamptonshire","73.6","25"
"Chinese","Northumberland","!","4"
"Chinese","Nottingham","69.4","7"
"Chinese","Nottinghamshire","72.2","14"
"Chinese","Oldham","35.3","4"
"Chinese","Outer London","71.0","345"
"Chinese","Oxfordshire","60.8","16"
"Chinese","Peterborough","69.6","9"
"Chinese","Plymouth","56.2","11"
"Chinese","Portsmouth","59.6","7"
"Chinese","Reading","71.3","9"
"Chinese","Redbridge","71.5","21"
"Chinese","Redcar and Cleveland","79.8","2"
"Chinese","Richmond upon Thames","73.2","14"
"Chinese","Rochdale","N/A","0"
"Chinese","Rotherham","73.1","5"
"Chinese","Rutland","!","1"
"Chinese","Salford","52.5","4"
"Chinese","Sandwell","64.2","7"
"Chinese","Sefton","67.2","6"
"Chinese","Sheffield","57.1","25"
"Chinese","Shropshire","61.5","6"
"Chinese","Slough","74.3","6"
"Chinese","Solihull","49.9","8"
"Chinese","Somerset","58.8","7"
"Chinese","South East","68.3","285"
"Chinese","South Gloucestershire","64.0","7"
"Chinese","South Tyneside","!","1"
"Chinese","South West","61.9","132"
"Chinese","Southampton","70.5","8"
"Chinese","Southend-on-Sea","73.1","21"
"Chinese","Southwark","67.9","29"
"Chinese","St. Helens","61.8","4"
"Chinese","Staffordshire","60.6","25"
"Chinese","Stockport","58.8","13"
"Chinese","Stockton-on-Tees","61.1","4"
"Chinese","Stoke-on-Trent","59.3","7"
"Chinese","Suffolk","62.6","6"
"Chinese","Sunderland","73.8","4"
"Chinese","Surrey","68.6","33"
"Chinese","Sutton","77.6","45"
"Chinese","Swindon","65.8","4"
"Chinese","Tameside","59.0","2"
"Chinese","Telford and Wrekin","70.1","12"
"Chinese","Thurrock","71.5","9"
"Chinese","Torbay","66.8","6"
"Chinese","Tower Hamlets","62.3","9"
"Chinese","Trafford","77.9","55"
"Chinese","Wakefield","66.0","13"
"Chinese","Walsall","64.2","12"
"Chinese","Waltham Forest","58.8","13"
"Chinese","Wandsworth","66.0","9"
"Chinese","Warrington","71.1","10"
"Chinese","Warwickshire","69.3","15"
"Chinese","West Berkshire","64.1","9"
"Chinese","West Midlands","65.2","170"
"Chinese","West Sussex","69.6","19"
"Chinese","Westminster","66.6","19"
"Chinese","Wigan","56.7","5"
"Chinese","Wiltshire","61.0","12"
"Chinese","Windsor and Maidenhead","!","1"
"Chinese","Wirral","64.2","20"
"Chinese","Wokingham","72.1","4"
"Chinese","Wolverhampton","68.4","6"
"Chinese","Worcestershire","64.9","6"
"Chinese","York","66.9","7"
"Chinese","Yorkshire and The Humber","64.0","122"
"Mixed","All - England","50.8","29,481"
"Mixed","Barking and Dagenham","45.0","211"
"Mixed","Barnet","61.2","405"
"Mixed","Barnsley","53.9","51"
"Mixed","Bath and North East Somerset","50.2","112"
"Mixed","Bedford","45.1","160"
"Mixed","Bexley","54.7","208"
"Mixed","Birmingham","47.5","1,079"
"Mixed","Blackburn with Darwen","49.2","53"
"Mixed","Blackpool","39.1","53"
"Mixed","Bolton","48.0","141"
"Mixed","Bournemouth, Christchurch and Poole","56.0","146"
"Mixed","Bracknell Forest","48.8","55"
"Mixed","Bradford","42.6","281"
"Mixed","Brent","51.9","220"
"Mixed","Brighton and Hove","53.5","216"
"Mixed","Bristol, City of","48.1","280"
"Mixed","Bromley","53.5","341"
"Mixed","Buckinghamshire","55.6","360"
"Mixed","Bury","47.2","107"
"Mixed","Calderdale","51.8","114"
"Mixed","Cambridgeshire","54.7","287"
"Mixed","Camden","53.9","181"
"Mixed","Central Bedfordshire","50.4","140"
"Mixed","Cheshire East","51.5","105"
"Mixed","Cheshire West and Chester","51.9","72"
"Mixed","Cornwall","46.9","107"
"Mixed","County Durham","54.5","67"
"Mixed","Coventry","44.9","192"
"Mixed","Croydon","49.0","638"
"Mixed","Cumbria","51.6","78"
"Mixed","Darlington","48.8","32"
"Mixed","Derby","45.4","206"
"Mixed","Derbyshire","50.5","177"
"Mixed","Devon","53.0","138"
"Mixed","Doncaster","45.5","91"
"Mixed","Dorset","52.2","71"
"Mixed","Dudley","47.2","203"
"Mixed","Ealing","54.6","221"
"Mixed","East Midlands","48.1","2,288"
"Mixed","East Riding of Yorkshire","51.8","76"
"Mixed","East Sussex","49.7","232"
"Mixed","East of England","51.5","3,334"
"Mixed","Enfield","52.3","336"
"Mixed","Essex","51.6","657"
"Mixed","Gateshead","54.5","34"
"Mixed","Gloucestershire","54.4","265"
"Mixed","Greenwich","50.2","237"
"Mixed","Hackney","56.9","206"
"Mixed","Halton","55.8","32"
"Mixed","Hammersmith and Fulham","55.1","183"
"Mixed","Hampshire","52.8","427"
"Mixed","Haringey","51.6","283"
"Mixed","Harrow","52.8","181"
"Mixed","Hartlepool","43.6","13"
"Mixed","Havering","52.1","146"
"Mixed","Herefordshire, County of","57.3","35"
"Mixed","Hertfordshire","55.0","899"
"Mixed","Hillingdon","51.1","352"
"Mixed","Hounslow","52.6","262"
"Mixed","Inner London","53.0","2,927"
"Mixed","Isle of Wight","48.3","39"
"Mixed","Isles of Scilly","!","1"
"Mixed","Islington","48.9","213"
"Mixed","Kensington and Chelsea","56.5","141"
"Mixed","Kent","55.4","825"
"Mixed","Kingston upon Hull, City of","51.7","76"
"Mixed","Kingston upon Thames","61.8","182"
"Mixed","Kirklees","46.4","285"
"Mixed","Knowsley","45.6","15"
"Mixed","Lambeth","49.9","273"
"Mixed","Lancashire","49.0","325"
"Mixed","Leeds","46.8","453"
"Mixed","Leicester","44.0","256"
"Mixed","Leicestershire","50.3","317"
"Mixed","Lewisham","51.0","313"
"Mixed","Lincolnshire","55.4","208"
"Mixed","Liverpool","48.8","277"
"Mixed","London","53.0","8,088"
"Mixed","Luton","44.3","207"
"Mixed","Manchester","45.1","512"
"Mixed","Medway","51.6","181"
"Mixed","Merton","51.7","210"
"Mixed","Middlesbrough","47.5","64"
"Mixed","Milton Keynes","45.7","224"
"Mixed","Newcastle upon Tyne","55.7","94"
"Mixed","Newham","51.4","242"
"Mixed","Norfolk","50.4","228"
"Mixed","North East","52.7","563"
"Mixed","North East Lincolnshire","43.5","29"
"Mixed","North Lincolnshire","46.9","25"
"Mixed","North Somerset","49.7","59"
"Mixed","North Tyneside","50.8","53"
"Mixed","North West","49.0","2,984"
"Mixed","North Yorkshire","56.2","142"
"Mixed","Northamptonshire","47.3","424"
"Mixed","Northumberland","56.6","41"
