"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Qualification_level","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","1872","115"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","90","% of cohort","42","38"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","52","% of cohort","42","22"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","42","1"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","36","% of cohort","42","15"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","7","% of cohort","42","3"
"Student destinations after 16 to 18 study","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","42","1"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","90","% of cohort","9874","8872"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","80","% of cohort","9874","7901"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","9874","133"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","9874","838"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","7","% of cohort","9874","689"
"Student destinations after 16 to 18 study","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","9874","313"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","84","% of cohort","2997","2518"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","2997","2205"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","2997","35"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","9","% of cohort","2997","278"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","9","% of cohort","2997","262"
"Student destinations after 16 to 18 study","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","7","% of cohort","2997","217"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","7509","6372"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","76","% of cohort","7509","5698"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","7509","107"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","7509","567"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","7509","803"
"Student destinations after 16 to 18 study","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","7509","334"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","95","% of cohort","19","18"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","58","% of cohort","19","11"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","11","% of cohort","19","2"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","26","% of cohort","19","5"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","5","% of cohort","19","1"
"Student destinations after 16 to 18 study","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","0","% of cohort","19","0"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","73","% of cohort","18092","13188"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","51","% of cohort","18092","9193"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","18092","403"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","20","% of cohort","18092","3592"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","18092","2061"
"Student destinations after 16 to 18 study","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","16","% of cohort","18092","2843"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","88","% of cohort","264982","231864"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","57","% of cohort","264982","152272"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","4","% of cohort","264982","10981"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","26","% of cohort","264982","68611"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","264982","27277"
"Student destinations after 16 to 18 study","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","264982","5841"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","1213","1054"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","63","% of cohort","1213","768"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","1213","26"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","21","% of cohort","1213","260"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","1213","122"
"Student destinations after 16 to 18 study","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","1213","37"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","1948","1686"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","68","% of cohort","1948","1322"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","1948","44"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","16","% of cohort","1948","320"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","1948","198"
"Student destinations after 16 to 18 study","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","1948","64"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","795","686"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","67","% of cohort","795","531"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","795","19"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","17","% of cohort","795","136"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","795","82"
"Student destinations after 16 to 18 study","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","795","27"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","2416","2070"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","62","% of cohort","2416","1490"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","4","% of cohort","2416","88"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","20","% of cohort","2416","492"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","12","% of cohort","2416","290"
"Student destinations after 16 to 18 study","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","2416","56"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","23975","20897"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","77","% of cohort","23975","18559"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","23975","346"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","23975","1992"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","9","% of cohort","23975","2115"
"Student destinations after 16 to 18 study","Asian","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","23975","963"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","11670","10074"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","75","% of cohort","11670","8732"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","11670","220"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","10","% of cohort","11670","1122"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","11670","1136"
"Student destinations after 16 to 18 study","Black","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","11670","460"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","89","% of cohort","1872","1675"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","84","% of cohort","1872","1568"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","0","% of cohort","1872","9"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","5","% of cohort","1872","98"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","4","% of cohort","1872","82"
"Student destinations after 16 to 18 study","Chinese","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","1872","115"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","8328","7147"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","65","% of cohort","8328","5437"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","8328","212"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","18","% of cohort","8328","1498"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","8328","908"
"Student destinations after 16 to 18 study","Mixed","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","8328","273"
"Student destinations after 16 to 18 study","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","84","% of cohort","2997","2518"
"Student destinations after 16 to 18 study","Other","White/Mixed/Asian/Black/Chinese/Other/Unclassified","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","2997","2205"
