"","Other","","Unknown","","White",""
"CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST","0","0.0","0","0.0","12","100.0"
"CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","2","13.3","0","0.0","13","86.7"
"CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","3","18.8","0","0.0","13","81.3"
"CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","2","16.7","0","0.0","10","83.3"
"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","1","5.3","0","0.0","18","94.7"
"CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST","1","7.1","1","7.1","12","85.7"
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","11","100.0"
"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","0","0.0","3","18.8","13","81.3"
"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST","3","23.1","0","0.0","10","76.9"
"CROYDON HEALTH SERVICES NHS TRUST","4","26.7","1","6.7","10","66.7"
"CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST","0","0.0","2","18.2","9","81.8"
"DARTFORD AND GRAVESHAM NHS TRUST","1","7.1","1","7.1","12","85.7"
"DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST","2","13.3","0","0.0","13","86.7"
"DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"DEVON PARTNERSHIP NHS TRUST","0","0.0","2","10.5","17","89.5"
"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","2","13.3","1","6.7","12","80.0"
"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","9.1","0","0.0","20","90.9"
"DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST","2","16.7","0","0.0","10","83.3"
"EAST AND NORTH HERTFORDSHIRE NHS TRUST","0","0.0","0","0.0","14","100.0"
"EAST CHESHIRE NHS TRUST","0","0.0","1","7.7","12","92.3"
"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","2","13.3","3","20.0","10","66.7"
"EAST LANCASHIRE HOSPITALS NHS TRUST","2","11.8","0","0.0","15","88.2"
"EAST LONDON NHS FOUNDATION TRUST","9","50.0","0","0.0","9","50.0"
"EAST MIDLANDS AMBULANCE SERVICE NHS TRUST","1","7.1","0","0.0","13","92.9"
"EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST","1","7.1","5","35.7","8","57.1"
"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","2","10.5","1","5.3","16","84.2"
"EAST SUSSEX HEALTHCARE NHS TRUST","0","0.0","2","25.0","6","75.0"
"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","4","21.1","0","0.0","15","78.9"
"ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","1","6.7","2","13.3","12","80.0"
"FRIMLEY HEALTH NHS FOUNDATION TRUST","3","20.0","2","13.3","10","66.7"
"GATESHEAD HEALTH NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"GEORGE ELIOT HOSPITAL NHS TRUST","3","20.0","0","0.0","12","80.0"
"GLOUCESTERSHIRE CARE SERVICES NHS TRUST","0","0.0","0","0.0","10","100.0"
"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","2","11.8","0","0.0","15","88.2"
"GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","3","23.1","0","0.0","10","76.9"
"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST","2","14.3","0","0.0","12","85.7"
"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","3","21.4","0","0.0","11","78.6"
"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","0","0.0","4","33.3","8","66.7"
"HARROGATE AND DISTRICT NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"HERTFORDSHIRE COMMUNITY NHS TRUST","2","16.7","0","0.0","10","83.3"
"HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","2","12.5","1","6.3","13","81.3"
"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","2","14.3","2","14.3","10","71.4"
"HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","5","33.3","0","0.0","10","66.7"
"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST","1","6.3","0","0.0","15","93.8"
"HUMBER TEACHING NHS FOUNDATION TRUST","0","0.0","7","35.0","13","65.0"
"IMPERIAL COLLEGE HEALTHCARE NHS TRUST","0","0.0","0","0.0","9","100.0"
"ISLE OF WIGHT NHS TRUST","0","0.0","17","100.0","0","0.0"
"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","14","100.0"
"KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST","3","16.7","0","0.0","15","83.3"
"KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","0","0.0","1","5.3","18","94.7"
"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","2","11.8","0","0.0","15","88.2"
"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"KINGSTON HOSPITAL NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"LANCASHIRE CARE NHS FOUNDATION TRUST","1","7.7","0","0.0","12","92.3"
"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","1","7.7","0","0.0","12","92.3"
"LEEDS COMMUNITY HEALTHCARE NHS TRUST","0","0.0","5","38.5","8","61.5"
"LEEDS TEACHING HOSPITALS NHS TRUST","1","6.3","0","0.0","15","93.8"
"LEICESTERSHIRE PARTNERSHIP NHS TRUST","1","7.1","0","0.0","13","92.9"
"LEWISHAM AND GREENWICH NHS TRUST","3","15.8","0","0.0","16","84.2"
"LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","0","0.0","0","0.0","12","100.0"
"LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST","3","20.0","0","0.0","12","80.0"
"LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","1","7.7","1","7.7","11","84.6"
"LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"LONDON AMBULANCE SERVICE NHS TRUST","1","8.3","0","0.0","11","91.7"
"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST","2","12.5","0","0.0","14","87.5"
"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","5.9","0","0.0","16","94.1"
"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","1","7.7","0","0.0","12","92.3"
"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","3","17.6","2","11.8","12","70.6"
"MEDWAY NHS FOUNDATION TRUST","1","5.9","0","0.0","16","94.1"
"MERSEY CARE NHS FOUNDATION TRUST","0","0.0","0","0.0","14","100.0"
"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","14","100.0"
"MID ESSEX HOSPITAL SERVICES NHS TRUST","2","11.8","0","0.0","15","88.2"
"MID YORKSHIRE HOSPITALS NHS TRUST","2","12.5","0","0.0","14","87.5"
"MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","2","10.5","2","10.5","15","78.9"
"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","6.3","0","0.0","15","93.8"
"MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","2","10.5","0","0.0","17","89.5"
"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST","1","8.3","0","0.0","11","91.7"
"NORTH BRISTOL NHS TRUST","0","0.0","0","0.0","15","100.0"
"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","1","10.0","0","0.0","9","90.0"
"NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"NORTH EAST LONDON NHS FOUNDATION TRUST","3","23.1","3","23.1","7","53.8"
"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","2","14.3","1","7.1","11","78.6"
"NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","2","14.3","0","0.0","12","85.7"
"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"NORTH WEST AMBULANCE SERVICE NHS TRUST","1","7.7","2","15.4","10","76.9"
"NORTH WEST ANGLIA NHS FOUNDATION TRUST","1","7.7","0","0.0","12","92.3"
"NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST","2","16.7","0","0.0","10","83.3"
"NORTHAMPTON GENERAL HOSPITAL NHS TRUST","0","0.0","0","0.0","15","100.0"
"NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"NORTHERN DEVON HEALTHCARE NHS TRUST","0","0.0","2","20.0","8","80.0"
"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST","1","7.7","1","7.7","11","84.6"
"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","2","12.5","0","0.0","14","87.5"
"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","1","9.1","0","0.0","10","90.9"
"NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"OXFORD HEALTH NHS FOUNDATION TRUST","1","5.9","0","0.0","16","94.1"
"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","1","7.1","1","7.1","12","85.7"
"OXLEAS NHS FOUNDATION TRUST","6","42.9","0","0.0","8","57.1"
"PENNINE ACUTE HOSPITALS NHS TRUST","1","11.1","0","0.0","8","88.9"
"PENNINE CARE NHS FOUNDATION TRUST","1","6.7","1","6.7","13","86.7"
"POOLE HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"PORTSMOUTH HOSPITALS NHS TRUST","1","7.1","0","0.0","13","92.9"
"QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","1","8.3","0","0.0","11","91.7"
"ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","2","11.8","3","17.6","12","70.6"
"ROYAL BERKSHIRE NHS FOUNDATION TRUST","0","0.0","5","41.7","7","58.3"
"ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","1","6.7","5","33.3","9","60.0"
"ROYAL CORNWALL HOSPITALS NHS TRUST","0","0.0","0","0.0","8","100.0"
"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"ROYAL FREE LONDON NHS FOUNDATION TRUST","2","11.8","0","0.0","15","88.2"
"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","0","0.0","0","0.0","15","100.0"
"ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","4","19.0","1","4.8","16","76.2"
"ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","1","7.1","1","7.1","12","85.7"
"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"SALFORD ROYAL NHS FOUNDATION TRUST","1","6.3","0","0.0","15","93.8"
"SALISBURY NHS FOUNDATION TRUST","0","0.0","1","7.1","13","92.9"
"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","3","18.8","1","6.3","12","75.0"
"SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","1","8.3","0","0.0","11","91.7"
"SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST","2","15.4","0","0.0","11","84.6"
"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0","2","15.4","11","84.6"
"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","1","6.3","0","0.0","15","93.8"
"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","2","11.8","0","0.0","15","88.2"
"SHROPSHIRE COMMUNITY HEALTH NHS TRUST","1","10.0","0","0.0","9","90.0"
"SOLENT NHS TRUST","1","7.7","1","7.7","11","84.6"
"SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","0","0.0","0","0.0","17","100.0"
"SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST","3","20.0","0","0.0","12","80.0"
"SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST","0","0.0","0","0.0","16","100.0"
"SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","4","25.0","0","0.0","12","75.0"
"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"SOUTH TYNESIDE NHS FOUNDATION TRUST","0","0.0","3","42.9","4","57.1"
"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","1","5.9","0","0.0","16","94.1"
"SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","2","15.4","0","0.0","11","84.6"
"SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST","3","18.8","0","0.0","13","81.3"
"SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST","2","11.8","0","0.0","15","88.2"
"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","5.0","1","5.0","18","90.0"
"SOUTHERN HEALTH NHS FOUNDATION TRUST","1","5.9","3","17.6","13","76.5"
"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","1","7.1","0","0.0","13","92.9"
"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","2","12.5","0","0.0","14","87.5"
"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST","2","13.3","0","0.0","13","86.7"
"STOCKPORT NHS FOUNDATION TRUST","1","6.7","3","20.0","11","73.3"
"SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","2","14.3","0","0.0","12","85.7"
"SURREY AND SUSSEX HEALTHCARE NHS TRUST","1","7.1","0","0.0","13","92.9"
"SUSSEX COMMUNITY NHS FOUNDATION TRUST","0","0.0","0","0.0","11","100.0"
"SUSSEX PARTNERSHIP NHS FOUNDATION TRUST","3","16.7","0","0.0","15","83.3"
"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"TAUNTON AND SOMERSET NHS FOUNDATION TRUST","0","0.0","0","0.0","18","100.0"
"TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","2","14.3","0","0.0","12","85.7"
"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"THE CHRISTIE NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","2","16.7","0","0.0","10","83.3"
"THE DUDLEY GROUP NHS FOUNDATION TRUST","1","6.7","1","6.7","13","86.7"
"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","2","20.0","0","0.0","8","80.0"
"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","1","7.1","0","0.0","13","92.9"
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"THE ROTHERHAM NHS FOUNDATION TRUST","1","5.0","4","20.0","15","75.0"
"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"THE ROYAL MARSDEN NHS FOUNDATION TRUST","1","7.7","0","0.0","12","92.3"
"THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"THE ROYAL WOLVERHAMPTON NHS TRUST","1","7.7","0","0.0","12","92.3"
"THE WALTON CENTRE NHS FOUNDATION TRUST","1","11.1","0","0.0","8","88.9"
"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","0","0.0","0","0.0","15","100.0"
"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","0","0.0","0","0.0","15","100.0"
"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","3","16.7","1","5.6","14","77.8"
"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","2","15.4","0","0.0","11","84.6"
"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","2","8.3","0","0.0","22","91.7"
"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","0","0.0","2","11.8","15","88.2"
"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","0","0.0","3","27.3","8","72.7"
"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","0","0.0","4","23.5","13","76.5"
"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","3","16.7","0","0.0","15","83.3"
"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","2","16.7","1","8.3","9","75.0"
"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","0","0.0","0","0.0","15","100.0"
"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","1","5.6","5","27.8","12","66.7"
"WALSALL HEALTHCARE NHS TRUST","3","18.8","0","0.0","13","81.3"
"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","0","0.0","1","6.3","15","93.8"
"WEST HERTFORDSHIRE HOSPITALS NHS TRUST","1","6.3","0","0.0","15","93.8"
"WEST LONDON NHS TRUST","1","5.9","0","0.0","16","94.1"
"WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST","3","23.1","0","0.0","10","76.9"
"WEST SUFFOLK NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","1","6.7","2","13.3","12","80.0"
"WESTON AREA HEALTH NHS TRUST","0","0.0","0","0.0","10","100.0"
"WHITTINGTON HEALTH NHS TRUST","3","20.0","0","0.0","12","80.0"
"WIRRAL COMMUNITY NHS FOUNDATION TRUST","0","0.0","0","0.0","12","100.0"
"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","14","100.0"
"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","2","12.5","0","0.0","14","87.5"
"WORCESTERSHIRE HEALTH AND CARE NHS TRUST","1","6.7","0","0.0","14","93.3"
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"WYE VALLEY NHS TRUST","0","0.0","0","0.0","15","100.0"
"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","14","100.0"
"YORKSHIRE AMBULANCE SERVICE NHS TRUST","0","0.0","0","0.0","12","100.0"
