"Ethnicity","NHS trust board","Headcount","%"
"Other","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","5.9"
"Other","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","1","7.7"
"Other","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","3","17.6"
"Other","MEDWAY NHS FOUNDATION TRUST","1","5.9"
"Other","MERSEY CARE NHS FOUNDATION TRUST","0","0.0"
"Other","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Other","MID ESSEX HOSPITAL SERVICES NHS TRUST","2","11.8"
"Other","MID YORKSHIRE HOSPITALS NHS TRUST","2","12.5"
"Other","MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST","2","10.5"
"Other","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","6.3"
"Other","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","2","10.5"
"Other","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Other","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","1","7.1"
"Other","NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST","1","8.3"
"Other","NORTH BRISTOL NHS TRUST","0","0.0"
"Other","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","1","10.0"
"Other","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","0","0.0"
"Other","NORTH EAST LONDON NHS FOUNDATION TRUST","3","23.1"
"Other","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","2","14.3"
"Other","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","2","14.3"
"Other","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","1","6.7"
"Other","NORTH WEST AMBULANCE SERVICE NHS TRUST","1","7.7"
"Other","NORTH WEST ANGLIA NHS FOUNDATION TRUST","1","7.7"
"Other","NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST","2","16.7"
"Other","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","0","0.0"
"Other","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","1","7.1"
"Other","NORTHERN DEVON HEALTHCARE NHS TRUST","0","0.0"
"Other","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","1","7.1"
"Other","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST","1","7.7"
"Other","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","2","12.5"
"Other","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","1","9.1"
"Other","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","1","6.7"
"Other","OXFORD HEALTH NHS FOUNDATION TRUST","1","5.9"
"Other","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","1","7.1"
"Other","OXLEAS NHS FOUNDATION TRUST","6","42.9"
"Other","PENNINE ACUTE HOSPITALS NHS TRUST","1","11.1"
"Other","PENNINE CARE NHS FOUNDATION TRUST","1","6.7"
"Other","POOLE HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Other","PORTSMOUTH HOSPITALS NHS TRUST","1","7.1"
"Other","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","1","8.3"
"Other","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","2","11.8"
"Other","ROYAL BERKSHIRE NHS FOUNDATION TRUST","0","0.0"
"Other","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","1","6.7"
"Other","ROYAL CORNWALL HOSPITALS NHS TRUST","0","0.0"
"Other","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","0","0.0"
"Other","ROYAL FREE LONDON NHS FOUNDATION TRUST","2","11.8"
"Other","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","0","0.0"
"Other","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","4","19.0"
"Other","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","1","7.1"
"Other","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","1","7.1"
"Other","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","0","0.0"
"Other","SALFORD ROYAL NHS FOUNDATION TRUST","1","6.3"
"Other","SALISBURY NHS FOUNDATION TRUST","0","0.0"
"Other","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","3","18.8"
"Other","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","1","8.3"
"Other","SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST","2","15.4"
"Other","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Other","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","1","6.3"
"Other","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","2","11.8"
"Other","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","1","10.0"
"Other","SOLENT NHS TRUST","1","7.7"
"Other","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","0","0.0"
"Other","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST","3","20.0"
"Other","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST","0","0.0"
"Other","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","4","25.0"
"Other","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","1","6.7"
"Other","SOUTH TYNESIDE NHS FOUNDATION TRUST","0","0.0"
"Other","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","1","5.9"
"Other","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","2","15.4"
"Other","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST","3","18.8"
"Other","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST","2","11.8"
"Other","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","1","5.0"
"Other","SOUTHERN HEALTH NHS FOUNDATION TRUST","1","5.9"
"Other","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","1","7.1"
"Other","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","2","12.5"
"Other","ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST","2","13.3"
"Other","STOCKPORT NHS FOUNDATION TRUST","1","6.7"
"Other","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","2","14.3"
"Other","SURREY AND SUSSEX HEALTHCARE NHS TRUST","1","7.1"
"Other","SUSSEX COMMUNITY NHS FOUNDATION TRUST","0","0.0"
"Other","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST","3","16.7"
"Other","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","0","0.0"
"Other","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","0","0.0"
"Other","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","2","14.3"
"Other","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST","1","7.1"
"Other","THE CHRISTIE NHS FOUNDATION TRUST","1","7.1"
"Other","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","2","16.7"
"Other","THE DUDLEY GROUP NHS FOUNDATION TRUST","1","6.7"
"Other","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","2","20.0"
"Other","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Other","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","1","7.1"
"Other","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","0","0.0"
"Other","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Other","THE ROTHERHAM NHS FOUNDATION TRUST","1","5.0"
"Other","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","1","7.1"
"Other","THE ROYAL MARSDEN NHS FOUNDATION TRUST","1","7.7"
"Other","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Other","THE ROYAL WOLVERHAMPTON NHS TRUST","1","7.7"
"Other","THE WALTON CENTRE NHS FOUNDATION TRUST","1","11.1"
"Other","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","0","0.0"
"Other","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","0","0.0"
"Other","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","3","16.7"
"Other","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","2","15.4"
"Other","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","2","8.3"
"Other","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","0","0.0"
"Other","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","0","0.0"
"Other","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST","0","0.0"
"Other","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","3","16.7"
"Other","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","2","16.7"
"Other","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","0","0.0"
"Other","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","1","5.6"
"Other","WALSALL HEALTHCARE NHS TRUST","3","18.8"
"Other","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Other","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","1","6.3"
"Other","WEST LONDON NHS TRUST","1","5.9"
"Other","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST","3","23.1"
"Other","WEST SUFFOLK NHS FOUNDATION TRUST","0","0.0"
"Other","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","1","6.7"
"Other","WESTON AREA HEALTH NHS TRUST","0","0.0"
"Other","WHITTINGTON HEALTH NHS TRUST","3","20.0"
"Other","WIRRAL COMMUNITY NHS FOUNDATION TRUST","0","0.0"
"Other","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Other","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","2","12.5"
"Other","WORCESTERSHIRE HEALTH AND CARE NHS TRUST","1","6.7"
"Other","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","1","7.1"
"Other","WYE VALLEY NHS TRUST","0","0.0"
"Other","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","1","6.7"
"Other","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Other","YORKSHIRE AMBULANCE SERVICE NHS TRUST","0","0.0"
"Unknown","2GETHER NHS FOUNDATION TRUST","0","0.0"
"Unknown","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","AIREDALE NHS FOUNDATION TRUST","0","0.0"
"Unknown","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","0","0.0"
"Unknown","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","3","21.4"
"Unknown","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","0","0.0"
"Unknown","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","0","0.0"
"Unknown","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","BARTS HEALTH NHS TRUST","0","0.0"
"Unknown","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","1","6.7"
"Unknown","BEDFORD HOSPITAL NHS TRUST","0","0.0"
"Unknown","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","0","0.0"
"Unknown","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","7","50.0"
"Unknown","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","1","7.1"
"Unknown","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","4","28.6"
"Unknown","BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST","1","16.7"
"Unknown","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","BOLTON NHS FOUNDATION TRUST","2","13.3"
"Unknown","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST","2","13.3"
"Unknown","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","3","25.0"
"Unknown","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","2","13.3"
"Unknown","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","0","0.0"
"Unknown","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","2","11.8"
"Unknown","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST","1","6.7"
"Unknown","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST","0","0.0"
"Unknown","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST","0","0.0"
"Unknown","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","0","0.0"
"Unknown","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST","0","0.0"
"Unknown","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST","1","7.1"
"Unknown","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","0","0.0"
"Unknown","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","3","18.8"
"Unknown","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","0","0.0"
"Unknown","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST","0","0.0"
"Unknown","CROYDON HEALTH SERVICES NHS TRUST","1","6.7"
"Unknown","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST","2","18.2"
"Unknown","DARTFORD AND GRAVESHAM NHS TRUST","1","7.1"
"Unknown","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST","0","0.0"
"Unknown","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST","0","0.0"
"Unknown","DEVON PARTNERSHIP NHS TRUST","2","10.5"
"Unknown","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","1","6.7"
"Unknown","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","0","0.0"
"Unknown","DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST","0","0.0"
"Unknown","EAST AND NORTH HERTFORDSHIRE NHS TRUST","0","0.0"
"Unknown","EAST CHESHIRE NHS TRUST","1","7.7"
"Unknown","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","3","20.0"
"Unknown","EAST LANCASHIRE HOSPITALS NHS TRUST","0","0.0"
"Unknown","EAST LONDON NHS FOUNDATION TRUST","0","0.0"
"Unknown","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST","0","0.0"
"Unknown","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST","5","35.7"
"Unknown","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","1","5.3"
"Unknown","EAST SUSSEX HEALTHCARE NHS TRUST","2","25.0"
"Unknown","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","0","0.0"
"Unknown","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","2","13.3"
"Unknown","FRIMLEY HEALTH NHS FOUNDATION TRUST","2","13.3"
"Unknown","GATESHEAD HEALTH NHS FOUNDATION TRUST","0","0.0"
"Unknown","GEORGE ELIOT HOSPITAL NHS TRUST","0","0.0"
"Unknown","GLOUCESTERSHIRE CARE SERVICES NHS TRUST","0","0.0"
"Unknown","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","0","0.0"
"Unknown","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST","0","0.0"
"Unknown","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","0","0.0"
"Unknown","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","4","33.3"
"Unknown","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","0","0.0"
"Unknown","HERTFORDSHIRE COMMUNITY NHS TRUST","0","0.0"
"Unknown","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","1","6.3"
"Unknown","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","2","14.3"
"Unknown","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","0","0.0"
"Unknown","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST","0","0.0"
"Unknown","HUMBER TEACHING NHS FOUNDATION TRUST","7","35.0"
"Unknown","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","0","0.0"
"Unknown","ISLE OF WIGHT NHS TRUST","17","100.0"
"Unknown","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST","0","0.0"
"Unknown","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","1","5.3"
"Unknown","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","KINGSTON HOSPITAL NHS FOUNDATION TRUST","0","0.0"
"Unknown","LANCASHIRE CARE NHS FOUNDATION TRUST","0","0.0"
"Unknown","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0"
"Unknown","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","0","0.0"
"Unknown","LEEDS COMMUNITY HEALTHCARE NHS TRUST","5","38.5"
"Unknown","LEEDS TEACHING HOSPITALS NHS TRUST","0","0.0"
"Unknown","LEICESTERSHIRE PARTNERSHIP NHS TRUST","0","0.0"
"Unknown","LEWISHAM AND GREENWICH NHS TRUST","0","0.0"
"Unknown","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","0","0.0"
