"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of adults (aged 18+) classified as overweight or obese","All","All","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","61.98040627","%","151677","61.74566678","62.22433197"
"Percentage of adults (aged 18+) classified as overweight or obese","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","62.92798094","%","129957","62.66994083","63.18936264"
"Percentage of adults (aged 18+) classified as overweight or obese","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","57.81952975","%","8340","56.78657074","58.88489209"
"Percentage of adults (aged 18+) classified as overweight or obese","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","56.9528649","%","4890","55.56237219","58.32310838"
"Percentage of adults (aged 18+) classified as overweight or obese","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","72.75029736","%","1654","70.61668682","74.84885127"
"Percentage of adults (aged 18+) classified as overweight or obese","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","34.50675254","%","741","31.17408907","37.9217274"
"Percentage of adults (aged 18+) classified as overweight or obese","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","58.54597458","%","1568","56.12244898","60.96938776"
"Percentage of adults (aged 18+) classified as overweight or obese","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2017/18","Financial year","England","Country","E92000001","Persons","18+ yrs","58.29070072","%","972","55.14403292","61.31687243"
"Percentage of adults (aged 18+) classified as overweight or obese","All","All","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","62.33814408","%","152979","62.09348996","62.58113859"
"Percentage of adults (aged 18+) classified as overweight or obese","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","63.29293286","%","131104","63.03545277","63.55107396"
"Percentage of adults (aged 18+) classified as overweight or obese","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","58.08240814","%","8262","57.04399661","59.1503268"
"Percentage of adults (aged 18+) classified as overweight or obese","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","56.21147871","%","5254","54.85344499","57.53711458"
"Percentage of adults (aged 18+) classified as overweight or obese","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","73.55420517","%","1634","71.41982864","75.64259486"
"Percentage of adults (aged 18+) classified as overweight or obese","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","35.32465027","%","799","32.04005006","38.67334168"
"Percentage of adults (aged 18+) classified as overweight or obese","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","56.96908429","%","1654","54.5949214","59.37122128"
"Percentage of adults (aged 18+) classified as overweight or obese","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2018/19","Financial year","England","Country","E92000001","Persons","18+ yrs","52.60256737","%","1018","49.50884086","55.69744597"
"Percentage of adults (aged 18+) classified as overweight or obese","All","All","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","62.79654177","%","149476","62.55184779","63.03956822"
"Percentage of adults (aged 18+) classified as overweight or obese","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","63.6782534","%","127113","63.41758907","63.93917223"
"Percentage of adults (aged 18+) classified as overweight or obese","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","57.9582515","%","8281","56.91341625","59.0266876"
"Percentage of adults (aged 18+) classified as overweight or obese","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","59.71683923","%","5781","58.45009514","60.95831171"
"Percentage of adults (aged 18+) classified as overweight or obese","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","67.535757","%","1730","65.31791908","69.71098266"
"Percentage of adults (aged 18+) classified as overweight or obese","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","32.17916628","%","837","29.15173238","35.36439665"
"Percentage of adults (aged 18+) classified as overweight or obese","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","59.61073366","%","1755","57.32193732","61.88034188"
"Percentage of adults (aged 18+) classified as overweight or obese","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2019/20","Financial year","England","Country","E92000001","Persons","18+ yrs","61.18903509","%","1118","58.31842576","64.04293381"
