"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","86","%","856","740"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","88","%","4343","3820"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","84","%","34229","28713"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","80","%","7398","5905"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","85","%","26831","22808"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","80","%","17377","13915"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","75","%","3816","2877"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","81","%","13561","11038"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","88","%","16852","14798"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","85","%","3582","3028"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","89","%","13270","11770"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","85","%","23185","19743"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","82","%","4677","3838"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","86","%","18508","15905"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","82","%","11827","9654"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","78","%","2400","1864"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","83","%","9427","7790"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","89","%","11358","10089"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","87","%","2277","1974"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","89","%","9081","8115"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","80","%","6042","4841"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","74","%","1669","1242"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","82","%","4373","3599"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","75","%","3046","2292"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","69","%","862","597"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","78","%","2184","1695"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","85","%","2996","2549"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","80","%","807","645"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","87","%","2189","1904"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","83","%","5002","4129"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","78","%","1052","825"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","84","%","3950","3304"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","79","%","2504","1969"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","75","%","554","416"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","80","%","1950","1553"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","86","%","2498","2160"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","82","%","498","409"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","88","%","2000","1751"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","91","%","3342","3027"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","87","%","198","173"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","91","%","3144","2854"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","89","%","1710","1526"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","84","%","94","79"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","90","%","1616","1447"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","92","%","1632","1501"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","90","%","104","94"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Chinese","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","92","%","1528","1407"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","90","%","20858","18829"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","82","%","784","646"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","91","%","20074","18183"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","88","%","10708","9389"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","77","%","424","325"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","88","%","10284","9064"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","93","%","10150","9440"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","89","%","360","321"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Indian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","93","%","9790","9119"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","84","%","42213","35561"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","74","%","8037","5953"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","87","%","34176","29608"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","81","%","21695","17585"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","69","%","4142","2874"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","84","%","17553","14711"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","88","%","20518","17976"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","79","%","3895","3079"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","90","%","16623","14897"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","85","%","15534","13255"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","75","%","2597","1946"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","87","%","12937","11309"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","82","%","8052","6616"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","70","%","1399","982"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","85","%","6653","5634"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","89","%","7482","6639"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","80","%","1198","964"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","90","%","6284","5675"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","88","%","10315","9033"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","77","%","1343","1033"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","89","%","8972","8000"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","85","%","5286","4512"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","74","%","665","491"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","87","%","4621","4021"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","90","%","5029","4521"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","80","%","678","542"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Asian","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","91","%","4351","3979"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","84","%","5814","4903"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","77","%","1107","850"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","86","%","4707","4053"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","82","%","2954","2414"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","73","%","536","392"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","84","%","2418","2022"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","87","%","2860","2489"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","80","%","571","458"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","89","%","2289","2031"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","79","%","10550","8370"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","71","%","2990","2124"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","83","%","7560","6246"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","75","%","5403","4043"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","65","%","1542","1009"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","79","%","3861","3034"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","84","%","5147","4327"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","77","%","1448","1115"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Mixed White and Black Caribbean","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","87","%","3699","3212"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","81","%","12269","9907"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","75","%","2417","1817"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","82","%","9852","8090"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","78","%","6316","4924"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","72","%","1249","904"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","79","%","5067","4020"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","84","%","5953","4983"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","78","%","1168","913"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Other","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","85","%","4785","4070"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","82","%","28474","23452"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","78","%","3967","3110"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","83","%","24507","20342"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","78","%","14360","11253"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","73","%","1974","1443"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","79","%","12386","9810"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","86","%","14114","12199"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","84","%","1993","1667"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Pakistani","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","87","%","12121","10532"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","62","%","9723","6057"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","67","%","944","637"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","62","%","8779","5420"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","59","%","4946","2925"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","61","%","486","298"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","59","%","4460","2627"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","66","%","4777","3132"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","74","%","458","339"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Unknown","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","65","%","4319","2793"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","White","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","82","%","490994","403553"
