"Measure","Measure_type","time","ethnicity","Ethnicity_type","Value"
"Employed","Percentage of individuals employed","Apr-Jun 2002","White","White and Other","73.9"
"Employed","Percentage of individuals employed","Jul-Sep 2002","White","White and Other","74.2"
"Employed","Percentage of individuals employed","Oct-Dec 2002","White","White and Other","74.4"
"Employed","Percentage of individuals employed","Jan-Mar 2003","White","White and Other","73.9"
"Employed","Percentage of individuals employed","Apr-Jun 2003","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Jul-Sep 2003","White","White and Other","74.4"
"Employed","Percentage of individuals employed","Oct-Dec 2003","White","White and Other","74.2"
"Employed","Percentage of individuals employed","Jan-Mar 2004","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Apr-Jun 2004","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Jul-Sep 2004","White","White and Other","74.5"
"Employed","Percentage of individuals employed","Oct-Dec 2004","White","White and Other","74.6"
"Employed","Percentage of individuals employed","Jan-Mar 2005","White","White and Other","74.2"
"Employed","Percentage of individuals employed","Apr-Jun 2005","White","White and Other","74.3"
"Employed","Percentage of individuals employed","Jul-Sep 2005","White","White and Other","74.9"
"Employed","Percentage of individuals employed","Oct-Dec 2005","White","White and Other","74.3"
"Employed","Percentage of individuals employed","Jan-Mar 2006","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Apr-Jun 2006","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Jul-Sep 2006","White","White and Other","74.5"
"Employed","Percentage of individuals employed","Oct-Dec 2006","White","White and Other","74.3"
"Employed","Percentage of individuals employed","Jan-Mar 2007","White","White and Other","73.8"
"Employed","Percentage of individuals employed","Apr-Jun 2007","White","White and Other","74"
"Employed","Percentage of individuals employed","Jul-Sep 2007","White","White and Other","74.4"
"Employed","Percentage of individuals employed","Oct-Dec 2007","White","White and Other","74.6"
"Employed","Percentage of individuals employed","Jan-Mar 2008","White","White and Other","74.3"
"Employed","Percentage of individuals employed","Apr-Jun 2008","White","White and Other","74.2"
"Employed","Percentage of individuals employed","Jul-Sep 2008","White","White and Other","74.2"
"Employed","Percentage of individuals employed","Oct-Dec 2008","White","White and Other","73.8"
"Employed","Percentage of individuals employed","Jan-Mar 2009","White","White and Other","72.9"
"Employed","Percentage of individuals employed","Apr-Jun 2009","White","White and Other","72.2"
"Employed","Percentage of individuals employed","Jul-Sep 2009","White","White and Other","72.5"
"Employed","Percentage of individuals employed","Oct-Dec 2009","White","White and Other","72.2"
"Employed","Percentage of individuals employed","Jan-Mar 2010","White","White and Other","71.4"
"Employed","Percentage of individuals employed","Apr-Jun 2010","White","White and Other","71.7"
"Employed","Percentage of individuals employed","Jul-Sep 2010","White","White and Other","72.3"
"Employed","Percentage of individuals employed","Oct-Dec 2010","White","White and Other","71.9"
"Employed","Percentage of individuals employed","Jan-Mar 2011","White","White and Other","71.8"
"Employed","Percentage of individuals employed","Apr-Jun 2011","White","White and Other","71.8"
"Employed","Percentage of individuals employed","Jul-Sep 2011","White","White and Other","71.9"
"Employed","Percentage of individuals employed","Oct-Dec 2011","White","White and Other","72"
"Employed","Percentage of individuals employed","Jan-Mar 2012","White","White and Other","71.9"
"Employed","Percentage of individuals employed","Apr-Jun 2012","White","White and Other","72.4"
"Employed","Percentage of individuals employed","Jul-Sep 2012","White","White and Other","73"
"Employed","Percentage of individuals employed","Oct-Dec 2012","White","White and Other","73.3"
"Employed","Percentage of individuals employed","Jan-Mar 2013","White","White and Other","72.7"
"Employed","Percentage of individuals employed","Apr-Jun 2013","White","White and Other","72.9"
"Employed","Percentage of individuals employed","Jul-Sep 2013","White","White and Other","73.6"
"Employed","Percentage of individuals employed","Oct-Dec 2013","White","White and Other","73.8"
"Employed","Percentage of individuals employed","Jan-Mar 2014","White","White and Other","74"
"Employed","Percentage of individuals employed","Apr-Jun 2014","White","White and Other","74.4"
"Employed","Percentage of individuals employed","Jul-Sep 2014","White","White and Other","74.9"
"Employed","Percentage of individuals employed","Oct-Dec 2014","White","White and Other","75.2"
"Employed","Percentage of individuals employed","Jan-Mar 2015","White","White and Other","75"
"Employed","Percentage of individuals employed","Apr-Jun 2015","White","White and Other","75"
"Employed","Percentage of individuals employed","Jul-Sep 2015","White","White and Other","75.6"
"Employed","Percentage of individuals employed","Oct-Dec 2015","White","White and Other","75.9"
"Employed","Percentage of individuals employed","Jan-Mar 2016","White","White and Other","75.6"
"Employed","Percentage of individuals employed","Apr-Jun 2016","White","White and Other","75.9"
"Employed","Percentage of individuals employed","Jul-Sep 2016","White","White and Other","76.3"
"Employed","Percentage of individuals employed","Oct-Dec 2016","White","White and Other","76.4"
"Employed","Percentage of individuals employed","Jan-Mar 2017","White","White and Other","76.4"
"Employed","Percentage of individuals employed","Apr-Jun 2017","White","White and Other","76.7"
"Employed","Percentage of individuals employed","Jul-Sep 2017","White","White and Other","76.8"
"Employed","Percentage of individuals employed","Oct-Dec 2017","White","White and Other","77.1"
"Employed","Percentage of individuals employed","Jan-Mar 2018","White","White and Other","77.1"
"Employed","Percentage of individuals employed","Apr-Jun 2018","White","White and Other","77"
"Employed","Percentage of individuals employed","Jul-Sep 2018","White","White and Other","77.2"
"Employed","Percentage of individuals employed","Oct-Dec 2018","White","White and Other","77.6"
"Employed","Percentage of individuals employed","Jan-Mar 2019","White","White and Other","77.5"
"Employed","Percentage of individuals employed","Apr-Jun 2019","White","White and Other","77.8"
"Employed","Percentage of individuals employed","Jul-Sep 2019","White","White and Other","77.8"
"Employed","Percentage of individuals employed","Oct-Dec 2019","White","White and Other","78.2"
"Employed","Percentage of individuals employed","Jan-Mar 2020 r","White","White and Other","77.8"
"Employed","Percentage of individuals employed","Apr-Jun 2020 r","White","White and Other","77"
"Employed","Percentage of individuals employed","Jul-Sep 2020","White","White and Other","76.4"
"Employed","Percentage of individuals employed","Apr-Jun 2001","Other than White","White and Other","55.7"
"Employed","Percentage of individuals employed","Jul-Sep 2001","Other than White","White and Other","57.7"
"Employed","Percentage of individuals employed","Oct-Dec 2001","Other than White","White and Other","57.8"
"Employed","Percentage of individuals employed","Jan-Mar 2002","Other than White","White and Other","57.3"
"Employed","Percentage of individuals employed","Apr-Jun 2002","Other than White","White and Other","57.2"
"Employed","Percentage of individuals employed","Jul-Sep 2002","Other than White","White and Other","57.7"
"Employed","Percentage of individuals employed","Oct-Dec 2002","Other than White","White and Other","57.6"
"Employed","Percentage of individuals employed","Jan-Mar 2003","Other than White","White and Other","56.3"
"Employed","Percentage of individuals employed","Apr-Jun 2003","Other than White","White and Other","56.9"
"Employed","Percentage of individuals employed","Jul-Sep 2003","Other than White","White and Other","58.6"
"Employed","Percentage of individuals employed","Oct-Dec 2003","Other than White","White and Other","59.3"
"Employed","Percentage of individuals employed","Jan-Mar 2004","Other than White","White and Other","59"
"Employed","Percentage of individuals employed","Apr-Jun 2004","Other than White","White and Other","58.6"
"Employed","Percentage of individuals employed","Jul-Sep 2004","Other than White","White and Other","59"
"Employed","Percentage of individuals employed","Oct-Dec 2004","Other than White","White and Other","59.1"
"Employed","Percentage of individuals employed","Jan-Mar 2005","Other than White","White and Other","59.1"
"Employed","Percentage of individuals employed","Apr-Jun 2005","Other than White","White and Other","58.1"
"Employed","Percentage of individuals employed","Jul-Sep 2005","Other than White","White and Other","58.9"
"Employed","Percentage of individuals employed","Oct-Dec 2005","Other than White","White and Other","58.8"
"Employed","Percentage of individuals employed","Jan-Mar 2006","Other than White","White and Other","59.9"
"Employed","Percentage of individuals employed","Apr-Jun 2006","Other than White","White and Other","60.1"
"Employed","Percentage of individuals employed","Jul-Sep 2006","Other than White","White and Other","60.5"
"Employed","Percentage of individuals employed","Oct-Dec 2006","Other than White","White and Other","60.6"
"Employed","Percentage of individuals employed","Jan-Mar 2007","Other than White","White and Other","59.4"
"Employed","Percentage of individuals employed","Apr-Jun 2007","Other than White","White and Other","59.6"
"Employed","Percentage of individuals employed","Jul-Sep 2007","Other than White","White and Other","61.1"
"Employed","Percentage of individuals employed","Oct-Dec 2007","Other than White","White and Other","60.4"
"Employed","Percentage of individuals employed","Jan-Mar 2008","Other than White","White and Other","59.9"
"Employed","Percentage of individuals employed","Apr-Jun 2008","Other than White","White and Other","60"
"Employed","Percentage of individuals employed","Jul-Sep 2008","Other than White","White and Other","60.7"
"Employed","Percentage of individuals employed","Oct-Dec 2008","Other than White","White and Other","61.1"
"Employed","Percentage of individuals employed","Jan-Mar 2009","Other than White","White and Other","60.5"
"Employed","Percentage of individuals employed","Apr-Jun 2009","Other than White","White and Other","58.4"
"Employed","Percentage of individuals employed","Jul-Sep 2009","Other than White","White and Other","58.7"
"Employed","Percentage of individuals employed","Oct-Dec 2009","Other than White","White and Other","59.2"
"Employed","Percentage of individuals employed","Jan-Mar 2010","Other than White","White and Other","58.8"
"Employed","Percentage of individuals employed","Apr-Jun 2010","Other than White","White and Other","59.3"
"Employed","Percentage of individuals employed","Jul-Sep 2010","Other than White","White and Other","60.9"
"Employed","Percentage of individuals employed","Oct-Dec 2010","Other than White","White and Other","60"
"Employed","Percentage of individuals employed","Jan-Mar 2011","Other than White","White and Other","59.4"
"Employed","Percentage of individuals employed","Apr-Jun 2011","Other than White","White and Other","58.8"
"Employed","Percentage of individuals employed","Jul-Sep 2011","Other than White","White and Other","59.3"
"Employed","Percentage of individuals employed","Oct-Dec 2011","Other than White","White and Other","58.9"
"Employed","Percentage of individuals employed","Jan-Mar 2012","Other than White","White and Other","58.4"
"Employed","Percentage of individuals employed","Apr-Jun 2012","Other than White","White and Other","59.1"
"Employed","Percentage of individuals employed","Jul-Sep 2012","Other than White","White and Other","60.4"
"Employed","Percentage of individuals employed","Oct-Dec 2012","Other than White","White and Other","59.9"
"Employed","Percentage of individuals employed","Jan-Mar 2013","Other than White","White and Other","59"
"Employed","Percentage of individuals employed","Apr-Jun 2013","Other than White","White and Other","59.2"
"Employed","Percentage of individuals employed","Jul-Sep 2013","Other than White","White and Other","60.4"
"Employed","Percentage of individuals employed","Oct-Dec 2013","Other than White","White and Other","60.8"
"Employed","Percentage of individuals employed","Jan-Mar 2014","Other than White","White and Other","60.7"
"Employed","Percentage of individuals employed","Apr-Jun 2014","Other than White","White and Other","61.2"
"Employed","Percentage of individuals employed","Jul-Sep 2014","Other than White","White and Other","62.5"
"Employed","Percentage of individuals employed","Oct-Dec 2014","Other than White","White and Other","61.5"
"Employed","Percentage of individuals employed","Jan-Mar 2015","Other than White","White and Other","61.8"
"Employed","Percentage of individuals employed","Apr-Jun 2015","Other than White","White and Other","61.9"
"Employed","Percentage of individuals employed","Jul-Sep 2015","Other than White","White and Other","63.7"
"Employed","Percentage of individuals employed","Oct-Dec 2015","Other than White","White and Other","64"
"Employed","Percentage of individuals employed","Jan-Mar 2016","Other than White","White and Other","63.5"
"Employed","Percentage of individuals employed","Apr-Jun 2016","Other than White","White and Other","63.9"
"Employed","Percentage of individuals employed","Jul-Sep 2016","Other than White","White and Other","64.4"
"Employed","Percentage of individuals employed","Oct-Dec 2016","Other than White","White and Other","64.7"
"Employed","Percentage of individuals employed","Jan-Mar 2017","Other than White","White and Other","63.8"
"Employed","Percentage of individuals employed","Apr-Jun 2017","Other than White","White and Other","64.8"
"Employed","Percentage of individuals employed","Jul-Sep 2017","Other than White","White and Other","65.4"
"Employed","Percentage of individuals employed","Oct-Dec 2017","Other than White","White and Other","64.8"
"Employed","Percentage of individuals employed","Jan-Mar 2018","Other than White","White and Other","65.2"
"Employed","Percentage of individuals employed","Apr-Jun 2018","Other than White","White and Other","66.1"
"Employed","Percentage of individuals employed","Jul-Sep 2018","Other than White","White and Other","66.9"
"Employed","Percentage of individuals employed","Oct-Dec 2018","Other than White","White and Other","66.5"
"Employed","Percentage of individuals employed","Jan-Mar 2019","Other than White","White and Other","66.4"
"Employed","Percentage of individuals employed","Apr-Jun 2019","Other than White","White and Other","64.9"
"Employed","Percentage of individuals employed","Jul-Sep 2019","Other than White","White and Other","66.6"
"Employed","Percentage of individuals employed","Oct-Dec 2019","Other than White","White and Other","66.8"
"Employed","Percentage of individuals employed","Jan-Mar 2020 r","Other than White","White and Other","67.9"
"Employed","Percentage of individuals employed","Apr-Jun 2020 r","Other than White","White and Other","67.7"
"Employed","Percentage of individuals employed","Jul-Sep 2020","Other than White","White and Other","68.2"
