"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","ONS geography code","Gender","FSM","SEN","Admission_Basis","Type_of_school","Religious_character","Value","Denominator","Lower confidence interval","Upper confidence interval","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","0.9","3845","0.86","0.94","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","-0.26","5150","-0.29","-0.22","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","0.53","45308","0.52","0.55","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","-0.06","3819","-0.1","-0.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","-0.82","1331","-0.89","-0.75","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.15","8110","0.12","0.18","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.69","6689","0.66","0.72","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.65","7522","0.62","0.68","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.31","833","0.23","0.4","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.51","6574","0.47","0.54","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.44","8759","0.42","0.47","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.26","2185","0.21","0.31","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.75","11897","0.72","0.77","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.72","12817","0.7","0.74","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.33","920","0.25","0.41","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.28","17190","0.26","0.3","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.23","21362","0.21","0.25","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.02","4172","-0.02","0.05","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.18","19933","0.16","0.2","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","0.2","15775","0.18","0.22","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","0.11","2316","0.06","0.16","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","-1.15","1","-3.63","1.32","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","0.13","27","-0.34","0.61","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","1.13","57","0.8","1.46","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","0.12","16944","0.1","0.14","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","0.26","433","0.14","0.38","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","0.3","4860","0.27","0.34","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","0.15","4","-1.09","1.39","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.12","25183","0.11","0.14","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","0.25","9569","0.22","0.28","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","0.22","530","0.12","0.33","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","-2.75","1","-5.22","-0.27","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","0.09","8833","0.06","0.11","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","0.15","5471","0.12","0.19","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","-1.57","540","-1.68","-1.47","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","-0.5","23","-1.01","0.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","-0.85","182","-1.04","-0.67","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","0.19","1039","0.11","0.27","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","0.14","22759","0.12","0.16","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","0.69","844","0.6","0.77","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","-0.5","3865","-0.54","-0.46","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","0.24","21317","0.22","0.25","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","-0.3","2800","-0.35","-0.26","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","-1.03","1065","-1.11","-0.96","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.09","5250","-0.13","-0.06","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.16","2396","0.11","0.21","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.08","3030","0.04","0.13","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.2","634","-0.3","-0.11","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.35","12366","0.33","0.38","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.31","15514","0.29","0.33","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","0.15","3148","0.11","0.19","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.22","5171","-0.26","-0.19","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.3","6639","-0.33","-0.27","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.56","1468","-0.62","-0.5","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","1.03","1439","0.97","1.1","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","1.06","1144","0.99","1.14","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","1.18","113","0.95","1.41","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","1.47","1","-1.01","3.94","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","1.05","1224","0.98","1.12","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","1.37","55","1.04","1.71","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","0.91","124","0.69","1.13","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","-0.37","1","-2.84","2.11","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","1.03","1536","0.97","1.09","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","1.07","916","0.98","1.15","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","1.13","14","0.47","1.8","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","1.06","371","0.93","1.18","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","1.04","211","0.87","1.21","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","-1.6","18","-2.18","-1.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","0.1","1","-2.38","2.57","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","2.21","2","0.46","3.96","","","",""
