"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Essex","-0.09","-0.32","0.16","0.83","0.75","0.93","0.37","-0.02","0.71","0.88","0.47","1.34","0.04","-0.17","0.24","-0.14","-0.38","0.11"
"Gateshead","-0.25","-0.47","-0.02","0.54","0.40","0.87","0.13","0.39","-0.16","0.47","0.84","0.38","-0.03","-0.04","-0.02","-0.30","-0.54","-0.05"
"Gloucestershire","0.02","-0.21","0.25","0.82","0.79","0.87","-0.15","-0.41","0.09","0.84","0.43","1.42","-0.01","-0.40","0.35","-0.01","-0.23","0.23"
"Greenwich","-0.18","-0.34","-0.02","0.22","0.15","0.30","-0.04","-0.36","0.29","0.81","1.24","0.16","-0.21","-0.39","-0.01","-0.37","-0.44","-0.29"
"Hackney","0.31","-0.02","0.57","0.44","0.18","0.67","0.11","-0.24","0.36","0.61","0.23","0.91","0.06","-0.07","0.19","0.51","0.08","0.85"
"Halton","-0.26","-0.50","-0.01","-0.21","-1.58","1.15","N/A","N/A","N/A","1.20","N/A","1.20","-0.09","-0.41","0.31","-0.27","-0.51","-0.02"
"Hammersmith and Fulham","0.34","0.06","0.62","0.49","0.22","0.81","0.10","-0.14","0.32","0.95","0.96","0.94","0.20","-0.30","0.62","0.39","0.13","0.67"
"Hampshire","-0.09","-0.31","0.15","0.54","0.38","0.73","0.23","0.03","0.47","1.11","0.96","1.26","0.06","-0.14","0.26","-0.12","-0.34","0.12"
"Haringey","0.16","-0.07","0.39","0.35","-0.01","0.67","-0.19","-0.47","0.12","1.02","0.48","1.82","-0.04","-0.39","0.31","0.38","0.25","0.50"
"Harrow","0.45","0.22","0.67","0.69","0.45","0.92","0.11","-0.35","0.47","0.56","0.38","0.75","0.46","0.29","0.64","0.19","0.07","0.29"
"Hartlepool","-0.47","-0.84","-0.11","0.50","-0.08","0.98","0.47","N/A","0.47","1.16","N/A","1.16","-0.31","-0.90","0.35","-0.50","-0.85","-0.15"
"Havering","-0.09","-0.23","0.07","0.64","0.67","0.61","0.37","0.23","0.50","1.45","1.41","1.48","-0.08","-0.04","-0.14","-0.22","-0.39","-0.04"
"Herefordshire, County of","-0.03","-0.26","0.21","0.95","-0.01","1.33","0.00","-0.66","1.32","1.15","1.15","N/A","-0.09","-0.20","-0.04","-0.04","-0.26","0.20"
"Hertfordshire","0.19","-0.04","0.43","0.67","0.50","0.88","0.31","0.03","0.59","1.28","0.81","1.59","0.23","0.02","0.46","0.12","-0.11","0.36"
"Hillingdon","0.15","-0.08","0.38","0.73","0.50","0.93","0.22","0.05","0.37","0.54","0.51","0.61","0.18","0.09","0.29","-0.23","-0.50","0.04"
"Hounslow","0.43","0.21","0.65","0.86","0.61","1.11","0.37","0.23","0.52","0.50","N/A","0.50","0.20","-0.11","0.55","0.16","0.03","0.30"
"Isle of Wight","-0.38","-0.63","-0.13","0.49","N/A","0.49","0.81","N/A","0.81","N/A","N/A","N/A","-0.61","-0.69","-0.52","-0.38","-0.62","-0.13"
"Isles of Scilly","0.85","0.26","1.43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-0.07","-0.07","N/A","0.95","0.32","1.58"
"Islington","0.15","0.05","0.26","0.64","0.80","0.48","0.04","-0.08","0.18","0.83","0.62","1.09","-0.26","-0.41","-0.01","0.08","-0.04","0.20"
"Kensington and Chelsea","0.11","0.09","0.13","0.58","0.52","0.64","-0.01","-0.03","0.02","0.02","N/A","0.02","0.12","0.03","0.22","0.15","0.26","-0.07"
"Kent","-0.08","-0.30","0.15","0.70","0.64","0.78","0.45","0.34","0.57","1.24","0.99","1.49","0.15","0.01","0.28","-0.15","-0.38","0.09"
"Kingston upon Hull, City of","-0.08","-0.25","0.11","0.74","0.60","0.91","0.62","0.14","1.24","1.60","1.38","1.82","0.31","0.21","0.41","-0.06","-0.26","0.17"
"Kingston upon Thames","0.53","0.33","0.71","1.04","0.99","1.08","0.17","-0.16","0.48","1.19","0.97","1.27","0.43","0.20","0.64","0.33","0.11","0.54"
"Kirklees","-0.04","-0.36","0.27","0.21","-0.15","0.54","-0.02","-0.33","0.34","1.04","0.67","1.31","-0.44","-0.78","-0.05","-0.12","-0.41","0.18"
"Knowsley","-0.82","-1.09","-0.55","0.11","-0.85","0.59","0.10","0.10","N/A","-0.30","-0.30","N/A","-1.23","-1.05","-1.60","-0.82","-1.09","-0.54"
"Lambeth","-0.05","-0.34","0.24","0.55","0.53","0.58","-0.23","-0.54","0.07","0.40","0.07","0.77","-0.27","-0.64","0.24","0.17","-0.05","0.39"
"Lancashire","-0.09","-0.34","0.18","0.29","0.01","0.58","0.03","0.02","0.05","0.95","0.49","1.21","-0.02","-0.18","0.15","-0.14","-0.39","0.12"
"Leeds","-0.02","-0.25","0.22","0.27","-0.03","0.68","0.48","0.25","0.73","0.98","0.68","1.16","-0.21","-0.51","0.10","-0.01","-0.23","0.22"
"Leicester","-0.04","-0.35","0.30","0.44","0.13","0.78","-0.04","-0.50","0.46","0.94","0.99","0.90","-0.50","-0.74","-0.25","-0.63","-0.96","-0.29"
"Leicestershire","-0.04","-0.30","0.25","0.76","0.55","0.96","0.34","0.27","0.42","1.86","2.04","1.78","-0.13","-0.39","0.14","-0.11","-0.38","0.18"
"Lewisham","-0.22","-0.45","0.02","0.09","0.01","0.19","-0.31","-0.60","0.00","0.72","0.53","1.03","-0.24","-0.46","-0.05","-0.14","-0.39","0.11"
"Lincolnshire","-0.14","-0.38","0.12","1.03","0.94","1.09","0.72","0.16","1.02","0.75","0.74","0.77","0.20","0.12","0.26","-0.17","-0.41","0.09"
"Liverpool","-0.32","-0.55","-0.09","0.74","0.60","0.85","-0.11","-0.42","0.22","1.04","1.09","0.98","-0.22","-0.45","-0.03","-0.39","-0.62","-0.16"
"Luton","-0.04","-0.20","0.14","0.32","0.19","0.46","-0.17","-0.33","0.01","1.21","1.50","1.03","-0.24","-0.57","0.03","-0.46","-0.63","-0.27"
"Manchester","-0.13","-0.37","0.11","0.47","0.19","0.76","0.08","-0.19","0.34","0.97","0.83","1.18","-0.19","-0.41","0.05","-0.52","-0.72","-0.32"
"Medway","0.02","-0.16","0.19","0.95","0.99","0.91","0.43","0.37","0.46","1.45","1.78","1.01","0.14","-0.08","0.36","-0.07","-0.25","0.10"
"Merton","0.44","0.24","0.65","0.98","0.83","1.12","0.31","0.03","0.54","1.63","1.18","2.38","0.34","0.06","0.68","0.33","0.14","0.51"
"Middlesbrough","-0.24","-0.46","-0.02","0.65","0.56","0.74","0.60","0.30","0.90","1.45","1.45","N/A","0.05","-0.08","0.12","-0.36","-0.60","-0.09"
"Milton Keynes","-0.15","-0.39","0.10","0.38","0.32","0.45","0.22","-0.02","0.45","0.47","-0.44","0.73","-0.11","-0.42","0.27","-0.30","-0.54","-0.04"
"Newcastle upon Tyne","-0.14","-0.31","0.04","0.62","0.39","0.83","0.63","0.42","0.79","1.31","1.21","1.35","0.42","0.10","0.72","-0.30","-0.42","-0.17"
"Newham","0.32","0.08","0.55","0.57","0.35","0.79","0.16","-0.10","0.40","1.11","0.77","1.31","-0.13","-0.34","0.07","-0.02","-0.38","0.32"
"Norfolk","0.00","-0.21","0.21","0.71","0.66","0.75","0.77","0.35","1.16","1.62","3.61","1.12","0.15","0.02","0.33","-0.03","-0.23","0.19"
"North East Lincolnshire","-0.03","-0.22","0.17","0.47","0.79","0.18","0.79","1.01","0.68","0.29","N/A","0.29","-0.06","-0.33","0.34","0.02","-0.19","0.25"
"North Lincolnshire","0.11","-0.07","0.31","0.48","0.41","0.57","1.09","1.02","1.24","1.14","1.00","1.43","0.44","-0.39","0.75","0.09","-0.10","0.29"
"North Somerset","-0.09","-0.28","0.09","0.59","0.44","0.77","0.28","0.32","0.24","-0.12","-0.12","N/A","0.03","-0.19","0.24","-0.11","-0.30","0.08"
"North Tyneside","-0.20","-0.42","0.03","0.39","0.26","0.63","-0.45","-0.88","3.05","0.95","0.39","1.51","0.45","0.04","0.85","-0.22","-0.44","0.01"
"North Yorkshire","0.13","-0.09","0.36","0.52","0.48","0.56","0.45","0.16","0.63","0.78","-0.03","1.33","0.37","0.19","0.54","0.12","-0.11","0.35"
"Northamptonshire","0.00","-0.22","0.24","0.64","0.39","0.85","0.40","0.16","0.68","1.21","1.39","1.12","0.11","0.01","0.19","-0.06","-0.29","0.18"
"Northumberland","-0.09","-0.30","0.12","0.54","0.37","0.72","1.18","1.27","1.09","0.85","0.85","N/A","0.18","0.10","0.34","-0.09","-0.31","0.13"
"Nottingham","-0.27","-0.47","-0.07","0.27","0.03","0.51","-0.09","-0.25","0.06","1.52","1.08","2.17","-0.55","-0.64","-0.45","-0.45","-0.64","-0.26"
"Nottinghamshire","-0.02","-0.23","0.20","0.66","0.42","0.93","0.29","0.05","0.51","1.17","0.97","1.42","0.04","-0.21","0.27","-0.05","-0.25","0.17"
"Oldham","-0.30","-0.67","0.08","0.07","-0.37","0.48","0.26","-0.27","0.59","1.50","0.62","1.85","-0.58","-0.86","-0.22","-0.47","-0.79","-0.14"
"Oxfordshire","-0.01","-0.22","0.21","0.17","0.01","0.38","0.27","0.16","0.37","1.24","0.92","1.32","-0.14","-0.39","0.11","-0.02","-0.23","0.20"
"Peterborough","-0.20","-0.46","0.09","0.11","-0.16","0.38","0.17","0.05","0.29","0.16","-0.19","1.55","-0.29","-0.50","-0.03","-0.28","-0.56","0.03"
"Plymouth","-0.32","-0.54","-0.09","1.06","1.03","1.07","1.20","0.73","1.59","0.96","0.94","1.01","-0.51","-0.43","-0.59","-0.35","-0.57","-0.11"
"Poole","0.30","0.14","0.47","1.02","1.06","0.99","0.08","0.41","-0.04","1.86","N/A","1.86","0.46","0.34","0.66","0.27","0.11","0.44"
"Portsmouth","-0.34","-0.60","-0.03","0.79","0.49","1.04","0.26","-0.56","0.79","0.17","-0.79","0.81","-0.41","-0.68","0.26","-0.44","-0.66","-0.17"
"Reading","-0.04","-0.32","0.28","0.65","0.33","0.96","0.07","-0.28","0.46","1.02","0.96","1.08","-0.39","-0.85","-0.02","-0.27","-0.49","-0.01"
"Redbridge","0.47","0.25","0.72","0.68","0.50","0.89","0.27","-0.11","0.60","1.22","1.46","1.06","0.24","-0.09","0.61","0.17","-0.06","0.44"
"Redcar and Cleveland","-0.45","-0.66","-0.22","0.71","0.49","1.04","0.82","0.82","N/A","0.50","0.50","N/A","-0.06","0.24","-0.40","-0.47","-0.70","-0.23"
"Richmond upon Thames","0.14","-0.04","0.32","0.64","0.48","0.86","-0.19","-0.28","-0.09","1.18","1.36","1.05","0.01","-0.26","0.29","0.13","-0.04","0.30"
"Rochdale","-0.14","-0.37","0.10","0.26","-0.07","0.58","0.13","-0.40","0.62","1.04","0.04","2.04","-0.08","-0.45","0.36","-0.33","-0.49","-0.16"
"Rotherham","-0.09","-0.34","0.15","0.09","-0.17","0.36","0.39","0.07","0.71","1.51","1.97","1.32","-0.07","-0.20","0.09","-0.12","-0.36","0.12"
"Rutland","0.43","0.30","0.57","0.84","N/A","0.84","1.24","0.90","1.57","N/A","N/A","N/A","0.86","1.21","0.04","0.41","0.26","0.57"
"Salford","-0.46","-0.78","-0.15","0.64","0.48","0.88","0.32","-0.14","0.76","-0.08","N/A","-0.08","-0.02","-0.17","0.13","-0.56","-0.90","-0.23"
"Sandwell","-0.31","-0.45","-0.17","0.13","-0.07","0.38","-0.21","-0.21","-0.21","0.99","0.99","N/A","-0.46","-0.59","-0.34","-0.55","-0.70","-0.40"
"Sefton","-0.30","-0.47","-0.12","0.22","-0.10","1.11","0.16","-0.33","0.56","0.83","0.52","1.14","-0.07","-0.13","0.00","-0.28","-0.46","-0.08"
"Sheffield","0.00","-0.23","0.24","0.35","0.10","0.62","0.16","-0.06","0.36","1.18","1.11","1.32","-0.17","-0.60","0.25","-0.07","-0.28","0.15"
"Shropshire","-0.08","-0.28","0.14","0.15","-0.17","0.66","0.38","-0.28","0.82","1.06","0.96","1.20","0.03","0.12","-0.08","-0.09","-0.30","0.13"
"Slough","0.30","-0.04","0.59","0.45","0.10","0.75","0.05","-0.43","0.49","0.98","0.95","1.04","0.23","0.17","0.28","0.03","-0.31","0.32"
"Solihull","-0.14","-0.36","0.09","0.23","0.08","0.43","-0.05","-0.38","0.36","1.34","1.08","1.61","-0.34","-0.57","-0.14","-0.18","-0.41","0.05"
"Somerset","-0.14","-0.39","0.13","0.46","0.45","0.47","0.78","1.03","0.53","0.68","0.30","0.99","-0.04","-0.50","0.51","-0.15","-0.40","0.11"
"South Gloucestershire","-0.18","-0.43","0.08","0.62","0.33","0.82","0.03","-0.21","0.58","-0.19","-0.89","0.51","-0.31","-0.81","0.20","-0.21","-0.44","0.04"
"South Tyneside","-0.26","-0.50","-0.02","0.65","0.62","0.66","0.42","-0.51","1.66","1.63","1.63","N/A","-0.06","-0.60","0.63","-0.26","-0.48","-0.05"
"Southampton","-0.22","-0.40","-0.03","0.47","0.45","0.48","0.29","0.15","0.45","1.03","1.37","-0.33","-0.23","-0.50","0.02","-0.33","-0.53","-0.13"
"Southend-on-Sea","0.14","0.00","0.29","0.93","0.96","0.88","0.61","0.59","0.64","0.75","0.10","1.30","0.22","0.06","0.35","-0.01","-0.20","0.19"
"Southwark","0.30","0.11","0.49","0.67","0.38","0.95","0.31","0.15","0.45","0.56","0.46","0.68","0.16","0.07","0.24","0.13","-0.10","0.39"
"St. Helens","-0.39","-0.57","-0.19","0.77","0.67","0.87","0.34","0.33","0.34","1.15","-0.11","1.78","-0.05","-0.30","0.91","-0.38","-0.57","-0.17"
"Staffordshire","-0.12","-0.36","0.13","0.30","0.00","0.67","0.41","-0.02","0.83","0.68","0.36","1.05","-0.20","-0.42","-0.01","-0.14","-0.37","0.11"
"Stockport","-0.03","-0.28","0.25","0.59","0.15","1.06","0.22","0.03","0.59","0.81","0.70","1.01","0.04","-0.15","0.26","-0.07","-0.33","0.20"
"Stockton-on-Tees","-0.08","-0.24","0.10","0.53","0.38","0.72","1.23","0.94","1.34","1.00","-0.75","2.17","0.10","-0.06","0.32","-0.14","-0.30","0.04"
"Stoke-on-Trent","-0.26","-0.48","-0.04","0.11","-0.11","0.33","0.25","0.22","0.28","0.66","0.68","0.59","-0.17","-0.23","-0.09","-0.37","-0.61","-0.13"
"Suffolk","0.08","-0.10","0.26","0.79","0.48","1.10","0.41","-0.20","0.91","1.34","1.30","1.39","0.17","-0.18","0.55","0.06","-0.11","0.23"
"Sunderland","-0.37","-0.59","-0.15","0.82","0.70","0.91","0.34","-0.05","0.86","0.57","0.27","1.45","-0.35","-0.73","-0.03","-0.42","-0.63","-0.21"
"Surrey","0.17","-0.04","0.39","0.59","0.38","0.84","0.08","-0.28","0.46","0.92","1.45","0.58","0.26","-0.02","0.54","0.13","-0.07","0.35"
"Sutton","0.39","0.25","0.53","1.05","0.93","1.18","0.29","-0.06","0.62","1.02","1.05","0.99","0.45","0.29","0.60","0.11","-0.02","0.24"
"Swindon","-0.14","-0.40","0.14","0.47","0.18","0.76","0.11","-0.03","0.25","0.62","0.88","0.35","-0.39","-0.51","-0.24","-0.21","-0.45","0.07"
"Tameside","-0.17","-0.42","0.10","0.50","0.19","0.79","0.15","-0.45","0.79","1.34","0.58","1.64","-0.07","-0.29","0.17","-0.28","-0.52","-0.03"
"Telford and Wrekin","-0.13","-0.35","0.10","0.27","0.09","0.51","0.30","-0.01","0.61","1.21","1.32","1.10","-0.10","-0.44","0.25","-0.17","-0.39","0.05"
"Thurrock","-0.19","-0.36","-0.01","0.29","0.17","0.43","0.46","0.27","0.62","1.10","0.68","1.41","0.13","-0.20","0.46","-0.31","-0.47","-0.15"
"Torbay","-0.07","-0.22","0.08","1.13","1.03","1.16","1.16","1.16","N/A","1.76","N/A","1.76","0.51","0.33","0.80","-0.09","-0.25","0.10"
"Tower Hamlets","0.15","-0.12","0.39","0.36","0.11","0.59","-0.08","-0.39","0.21","1.25","1.15","1.28","-0.69","-0.86","-0.46","-0.55","-0.71","-0.39"
"Trafford","0.22","0.05","0.40","0.61","0.43","0.81","0.32","0.06","0.61","1.10","0.81","1.42","-0.03","-0.12","0.07","0.14","-0.03","0.33"
"Wakefield","-0.19","-0.39","0.03","0.10","-0.38","0.55","0.17","0.15","0.19","1.13","1.24","0.39","-0.03","-0.38","0.22","-0.21","-0.41","0.00"
"Walsall","-0.19","-0.43","0.04","0.27","0.06","0.50","-0.11","-0.34","0.11","1.71","0.29","2.41","-0.32","-0.54","-0.16","-0.34","-0.58","-0.09"
"Waltham Forest","0.21","-0.05","0.45","0.48","0.23","0.73","-0.03","-0.33","0.22","2.29","2.70","1.88","0.04","-0.30","0.37","0.11","-0.11","0.33"
"Wandsworth","0.30","0.15","0.46","0.59","0.57","0.63","-0.01","-0.19","0.16","0.69","0.98","0.25","0.31","-0.04","0.60","0.39","0.24","0.55"
"Warrington","-0.14","-0.37","0.12","0.61","0.56","0.72","-0.46","-1.67","0.23","0.97","0.60","1.15","0.12","-0.04","0.29","-0.17","-0.41","0.10"
"Warwickshire","0.06","-0.22","0.36","0.71","0.45","0.95","0.65","0.33","0.88","1.00","1.03","0.98","0.04","-0.30","0.34","0.02","-0.26","0.32"
"West Berkshire","0.11","-0.17","0.37","0.40","0.08","0.80","0.17","-0.05","0.53","1.21","1.21","N/A","-0.23","-0.37","-0.04","0.15","-0.14","0.42"
"West Sussex","0.05","-0.20","0.31","0.69","0.48","0.93","0.25","0.04","0.43","1.75","1.78","1.74","0.15","-0.13","0.45","0.01","-0.24","0.27"
"Westminster","0.47","0.13","0.81","0.59","0.36","0.90","0.29","-0.12","0.75","1.27","0.87","1.38","0.34","0.08","0.50","0.55","0.16","0.81"
"Wigan","-0.33","-0.62","-0.04","0.42","-0.18","1.07","0.10","-0.28","0.48","1.44","1.37","1.97","-0.22","-0.52","0.15","-0.35","-0.64","-0.06"
"Wiltshire","0.01","-0.22","0.24","0.78","0.60","0.97","0.31","0.38","0.25","1.08","1.95","0.58","0.24","0.30","0.21","-0.01","-0.25","0.24"
"Windsor and Maidenhead","0.26","0.05","0.48","0.38","0.18","0.56","0.25","-0.14","0.74","1.06","N/A","1.06","0.37","0.24","0.53","0.24","0.03","0.45"
"Wirral","0.03","-0.21","0.27","1.10","1.00","1.19","-0.81","-1.88","-0.28","1.13","1.01","1.28","0.31","0.08","0.54","0.01","-0.24","0.25"
"Wokingham","0.34","0.12","0.57","0.64","0.51","0.88","0.37","-0.13","1.09","-0.11","-0.12","-0.05","0.28","-0.05","0.56","0.29","0.07","0.51"
"Wolverhampton","-0.05","-0.29","0.17","0.52","0.23","0.80","-0.07","-0.31","0.20","-0.05","-0.05","N/A","-0.28","-0.44","-0.15","-0.22","-0.45","0.00"
"Worcestershire","0.06","-0.20","0.34","0.61","0.25","0.88","0.18","0.05","0.29","1.46","0.46","1.89","0.04","-0.30","0.48","0.04","-0.21","0.31"
"York","0.11","-0.21","0.42","0.83","0.44","1.07","0.93","0.30","1.96","1.03","0.65","1.81","0.31","0.06","0.48","0.08","-0.24","0.40"
