"Ethnic group","Country of birth","Value","Geography","Source","Period"
"Chinese","United Kingdom: Total","23.7","E&W","Census","2011"
"Other Asian","United Kingdom: Total","24.8","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","United Kingdom: Total","46.8","E&W","Census","2011"
"African","United Kingdom: Total","32.7","E&W","Census","2011"
"Caribbean","United Kingdom: Total","60.1","E&W","Census","2011"
"Other Black","United Kingdom: Total","68.4","E&W","Census","2011"
"Other ethnic group: Total","United Kingdom: Total","29.9","E&W","Census","2011"
"Arab","United Kingdom: Total","27.6","E&W","Census","2011"
"Any other ethnic group","United Kingdom: Total","31.4","E&W","Census","2011"
"All categories: Ethnic group","England","80.0","E&W","Census","2011"
"White: Total","England","85.4","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","England","90.0","E&W","Census","2011"
"Irish","England","27.0","E&W","Census","2011"
"Gypsy or Irish Traveller","England","81.6","E&W","Census","2011"
"Other White","England","14.1","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","England","77.8","E&W","Census","2011"
"White and Black Caribbean","England","91.3","E&W","Census","2011"
"White and Black African","England","65.5","E&W","Census","2011"
"White and Asian","England","76.4","E&W","Census","2011"
"Other Mixed","England","66.7","E&W","Census","2011"
"Asian/Asian British: Total","England","41.2","E&W","Census","2011"
"Indian","England","42.3","E&W","Census","2011"
"Pakistani","England","55.2","E&W","Census","2011"
"Bangladeshi","England","50.6","E&W","Census","2011"
"Chinese","England","22.3","E&W","Census","2011"
"Other Asian","England","24.3","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","England","46.3","E&W","Census","2011"
"African","England","32.1","E&W","Census","2011"
"Caribbean","England","59.7","E&W","Census","2011"
"Other Black","England","67.6","E&W","Census","2011"
"Other ethnic group: Total","England","28.8","E&W","Census","2011"
"Arab","England","26.1","E&W","Census","2011"
"Any other ethnic group","England","30.7","E&W","Census","2011"
"All categories: Ethnic group","Northern Ireland","0.4","E&W","Census","2011"
"White: Total","Northern Ireland","0.4","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Northern Ireland","0.4","E&W","Census","2011"
"Irish","Northern Ireland","5.6","E&W","Census","2011"
"Gypsy or Irish Traveller","Northern Ireland","0.8","E&W","Census","2011"
"Other White","Northern Ireland","0.0","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Northern Ireland","0.1","E&W","Census","2011"
"White and Black Caribbean","Northern Ireland","0.1","E&W","Census","2011"
"White and Black African","Northern Ireland","0.1","E&W","Census","2011"
"White and Asian","Northern Ireland","0.1","E&W","Census","2011"
"Other Mixed","Northern Ireland","0.1","E&W","Census","2011"
"Asian/Asian British: Total","Northern Ireland","0.0","E&W","Census","2011"
"Indian","Northern Ireland","0.0","E&W","Census","2011"
"Pakistani","Northern Ireland","0.0","E&W","Census","2011"
"Bangladeshi","Northern Ireland","0.0","E&W","Census","2011"
"Chinese","Northern Ireland","0.2","E&W","Census","2011"
"Other Asian","Northern Ireland","0.0","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Northern Ireland","0.0","E&W","Census","2011"
"African","Northern Ireland","0.0","E&W","Census","2011"
"Caribbean","Northern Ireland","0.0","E&W","Census","2011"
"Other Black","Northern Ireland","0.1","E&W","Census","2011"
"Other ethnic group: Total","Northern Ireland","0.1","E&W","Census","2011"
"Arab","Northern Ireland","0.1","E&W","Census","2011"
"Any other ethnic group","Northern Ireland","0.0","E&W","Census","2011"
"All categories: Ethnic group","Scotland","1.3","E&W","Census","2011"
"White: Total","Scotland","1.5","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Scotland","1.6","E&W","Census","2011"
"Irish","Scotland","0.4","E&W","Census","2011"
"Gypsy or Irish Traveller","Scotland","1.0","E&W","Census","2011"
"Other White","Scotland","0.1","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Scotland","0.4","E&W","Census","2011"
"White and Black Caribbean","Scotland","0.3","E&W","Census","2011"
"White and Black African","Scotland","0.4","E&W","Census","2011"
"White and Asian","Scotland","0.6","E&W","Census","2011"
"Other Mixed","Scotland","0.5","E&W","Census","2011"
"Asian/Asian British: Total","Scotland","0.2","E&W","Census","2011"
"Indian","Scotland","0.2","E&W","Census","2011"
"Pakistani","Scotland","0.3","E&W","Census","2011"
"Bangladeshi","Scotland","0.1","E&W","Census","2011"
"Chinese","Scotland","0.3","E&W","Census","2011"
"Other Asian","Scotland","0.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Scotland","0.1","E&W","Census","2011"
"African","Scotland","0.2","E&W","Census","2011"
"Caribbean","Scotland","0.0","E&W","Census","2011"
"Other Black","Scotland","0.2","E&W","Census","2011"
"Other ethnic group: Total","Scotland","0.3","E&W","Census","2011"
"Arab","Scotland","0.3","E&W","Census","2011"
"Any other ethnic group","Scotland","0.2","E&W","Census","2011"
"All categories: Ethnic group","Wales","4.9","E&W","Census","2011"
"White: Total","Wales","5.5","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Wales","5.9","E&W","Census","2011"
"Irish","Wales","0.4","E&W","Census","2011"
"Gypsy or Irish Traveller","Wales","4.3","E&W","Census","2011"
"Other White","Wales","0.3","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Wales","2.1","E&W","Census","2011"
"White and Black Caribbean","Wales","2.3","E&W","Census","2011"
"White and Black African","Wales","2.1","E&W","Census","2011"
"White and Asian","Wales","2.0","E&W","Census","2011"
"Other Mixed","Wales","1.8","E&W","Census","2011"
"Asian/Asian British: Total","Wales","0.5","E&W","Census","2011"
"Indian","Wales","0.3","E&W","Census","2011"
"Pakistani","Wales","0.6","E&W","Census","2011"
"Bangladeshi","Wales","1.2","E&W","Census","2011"
"Chinese","Wales","0.9","E&W","Census","2011"
"Other Asian","Wales","0.3","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Wales","0.3","E&W","Census","2011"
"African","Wales","0.2","E&W","Census","2011"
"Caribbean","Wales","0.3","E&W","Census","2011"
"Other Black","Wales","0.5","E&W","Census","2011"
"Other ethnic group: Total","Wales","0.7","E&W","Census","2011"
"Arab","Wales","1.1","E&W","Census","2011"
"Any other ethnic group","Wales","0.5","E&W","Census","2011"
"All categories: Ethnic group","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"White: Total","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Irish","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Gypsy or Irish Traveller","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Other White","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"White and Black Caribbean","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"White and Black African","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"White and Asian","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Other Mixed","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Asian/Asian British: Total","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Indian","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Pakistani","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Bangladeshi","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Chinese","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Other Asian","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"African","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Caribbean","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Other Black","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Other ethnic group: Total","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Arab","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"Any other ethnic group","Great Britain not otherwise specified","0.0","E&W","Census","2011"
"All categories: Ethnic group","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"White: Total","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Irish","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Gypsy or Irish Traveller","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Other White","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"White and Black Caribbean","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"White and Black African","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"White and Asian","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Other Mixed","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Asian/Asian British: Total","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Indian","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Pakistani","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Bangladeshi","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Chinese","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Other Asian","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"African","United Kingdom not otherwise specified","0.1","E&W","Census","2011"
"Caribbean","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Other Black","United Kingdom not otherwise specified","0.1","E&W","Census","2011"
"Other ethnic group: Total","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Arab","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"Any other ethnic group","United Kingdom not otherwise specified","0.0","E&W","Census","2011"
"All categories: Ethnic group","Ireland","0.7","E&W","Census","2011"
"White: Total","Ireland","0.8","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Ireland","0.1","E&W","Census","2011"
"Irish","Ireland","62.1","E&W","Census","2011"
"Gypsy or Irish Traveller","Ireland","3.0","E&W","Census","2011"
"Other White","Ireland","0.4","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Ireland","0.3","E&W","Census","2011"
"White and Black Caribbean","Ireland","0.2","E&W","Census","2011"
"White and Black African","Ireland","0.4","E&W","Census","2011"
"White and Asian","Ireland","0.3","E&W","Census","2011"
"Other Mixed","Ireland","0.6","E&W","Census","2011"
"Asian/Asian British: Total","Ireland","0.1","E&W","Census","2011"
"Indian","Ireland","0.1","E&W","Census","2011"
"Pakistani","Ireland","0.1","E&W","Census","2011"
"Bangladeshi","Ireland","0.1","E&W","Census","2011"
"Chinese","Ireland","0.2","E&W","Census","2011"
"Other Asian","Ireland","0.2","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Ireland","0.3","E&W","Census","2011"
"African","Ireland","0.3","E&W","Census","2011"
"Caribbean","Ireland","0.3","E&W","Census","2011"
"Other Black","Ireland","0.3","E&W","Census","2011"
"Other ethnic group: Total","Ireland","0.4","E&W","Census","2011"
"Arab","Ireland","0.4","E&W","Census","2011"
"Any other ethnic group","Ireland","0.4","E&W","Census","2011"
"All categories: Ethnic group","Other Europe: Total","4.2","E&W","Census","2011"
"White: Total","Other Europe: Total","4.4","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Other Europe: Total","0.9","E&W","Census","2011"
"Irish","Other Europe: Total","1.7","E&W","Census","2011"
"Gypsy or Irish Traveller","Other Europe: Total","8.3","E&W","Census","2011"
"Other White","Other Europe: Total","67.4","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Other Europe: Total","4.9","E&W","Census","2011"
"White and Black Caribbean","Other Europe: Total","1.2","E&W","Census","2011"
"White and Black African","Other Europe: Total","8.1","E&W","Census","2011"
"White and Asian","Other Europe: Total","4.7","E&W","Census","2011"
"Other Mixed","Other Europe: Total","8.6","E&W","Census","2011"
"Asian/Asian British: Total","Other Europe: Total","1.5","E&W","Census","2011"
"Indian","Other Europe: Total","0.8","E&W","Census","2011"
"Pakistani","Other Europe: Total","1.0","E&W","Census","2011"
"Bangladeshi","Other Europe: Total","0.8","E&W","Census","2011"
"Chinese","Other Europe: Total","1.8","E&W","Census","2011"
"Other Asian","Other Europe: Total","3.5","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Other Europe: Total","3.0","E&W","Census","2011"
"African","Other Europe: Total","3.8","E&W","Census","2011"
"Caribbean","Other Europe: Total","0.8","E&W","Census","2011"
"Other Black","Other Europe: Total","4.9","E&W","Census","2011"
"Other ethnic group: Total","Other Europe: Total","11.7","E&W","Census","2011"
"Arab","Other Europe: Total","5.8","E&W","Census","2011"
"Any other ethnic group","Other Europe: Total","15.8","E&W","Census","2011"
"All categories: Ethnic group","EU countries: Total","3.6","E&W","Census","2011"
"White: Total","EU countries: Total","3.8","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","EU countries: Total","0.8","E&W","Census","2011"
"Irish","EU countries: Total","1.5","E&W","Census","2011"
"Gypsy or Irish Traveller","EU countries: Total","7.9","E&W","Census","2011"
"Other White","EU countries: Total","59.7","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","EU countries: Total","3.9","E&W","Census","2011"
"White and Black Caribbean","EU countries: Total","1.1","E&W","Census","2011"
"White and Black African","EU countries: Total","7.6","E&W","Census","2011"
"White and Asian","EU countries: Total","3.0","E&W","Census","2011"
"Other Mixed","EU countries: Total","7.0","E&W","Census","2011"
"Asian/Asian British: Total","EU countries: Total","1.2","E&W","Census","2011"
"Indian","EU countries: Total","0.7","E&W","Census","2011"
"Pakistani","EU countries: Total","0.9","E&W","Census","2011"
"Bangladeshi","EU countries: Total","0.7","E&W","Census","2011"
"Chinese","EU countries: Total","1.6","E&W","Census","2011"
"Other Asian","EU countries: Total","2.6","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","EU countries: Total","2.8","E&W","Census","2011"
"African","EU countries: Total","3.5","E&W","Census","2011"
"Caribbean","EU countries: Total","0.8","E&W","Census","2011"
"Other Black","EU countries: Total","4.5","E&W","Census","2011"
"Other ethnic group: Total","EU countries: Total","7.4","E&W","Census","2011"
"Arab","EU countries: Total","5.1","E&W","Census","2011"
"Any other ethnic group","EU countries: Total","9.0","E&W","Census","2011"
"All categories: Ethnic group","EU Member countries in March 2001","1.6","E&W","Census","2011"
"White: Total","Member countries in March 2001","1.6","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Member countries in March 2001","0.6","E&W","Census","2011"
"Irish","Member countries in March 2001","0.9","E&W","Census","2011"
"Gypsy or Irish Traveller","Member countries in March 2001","0.9","E&W","Census","2011"
"Other White","Member countries in March 2001","21.4","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Member countries in March 2001","2.6","E&W","Census","2011"
"White and Black Caribbean","Member countries in March 2001","0.8","E&W","Census","2011"
"White and Black African","Member countries in March 2001","6.3","E&W","Census","2011"
"White and Asian","Member countries in March 2001","2.1","E&W","Census","2011"
"Other Mixed","Member countries in March 2001","3.8","E&W","Census","2011"
"Asian/Asian British: Total","Member countries in March 2001","0.8","E&W","Census","2011"
"Indian","Member countries in March 2001","0.4","E&W","Census","2011"
"Pakistani","Member countries in March 2001","0.7","E&W","Census","2011"
"Bangladeshi","Member countries in March 2001","0.4","E&W","Census","2011"
"Chinese","Member countries in March 2001","0.9","E&W","Census","2011"
"Other Asian","Member countries in March 2001","1.8","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Member countries in March 2001","2.3","E&W","Census","2011"
"African","Member countries in March 2001","3.0","E&W","Census","2011"
"Caribbean","Member countries in March 2001","0.6","E&W","Census","2011"
"Other Black","Member countries in March 2001","3.8","E&W","Census","2011"
"Other ethnic group: Total","Member countries in March 2001","3.4","E&W","Census","2011"
"Arab","Member countries in March 2001","3.6","E&W","Census","2011"
"Any other ethnic group","Member countries in March 2001","3.3","E&W","Census","2011"
"All categories: Ethnic group","EU Accession countries April 2001 to March 2011","2.0","E&W","Census","2011"
"White: Total","Accession countries April 2001 to March 2011","2.2","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"Irish","Accession countries April 2001 to March 2011","0.6","E&W","Census","2011"
"Gypsy or Irish Traveller","Accession countries April 2001 to March 2011","7.0","E&W","Census","2011"
"Other White","Accession countries April 2001 to March 2011","38.3","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Accession countries April 2001 to March 2011","1.3","E&W","Census","2011"
"White and Black Caribbean","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"White and Black African","Accession countries April 2001 to March 2011","1.3","E&W","Census","2011"
"White and Asian","Accession countries April 2001 to March 2011","1.0","E&W","Census","2011"
"Other Mixed","Accession countries April 2001 to March 2011","3.2","E&W","Census","2011"
"Asian/Asian British: Total","Accession countries April 2001 to March 2011","0.4","E&W","Census","2011"
"Indian","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"Pakistani","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"Bangladeshi","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"Chinese","Accession countries April 2001 to March 2011","0.6","E&W","Census","2011"
"Other Asian","Accession countries April 2001 to March 2011","0.8","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Accession countries April 2001 to March 2011","0.5","E&W","Census","2011"
"African","Accession countries April 2001 to March 2011","0.6","E&W","Census","2011"
"Caribbean","Accession countries April 2001 to March 2011","0.2","E&W","Census","2011"
"Other Black","Accession countries April 2001 to March 2011","0.7","E&W","Census","2011"
"Other ethnic group: Total","Accession countries April 2001 to March 2011","4.0","E&W","Census","2011"
"Arab","Accession countries April 2001 to March 2011","1.5","E&W","Census","2011"
"Any other ethnic group","Accession countries April 2001 to March 2011","5.7","E&W","Census","2011"
"All categories: Ethnic group","Rest of Europe","0.5","E&W","Census","2011"
"White: Total","Rest of Europe","0.5","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Rest of Europe","0.1","E&W","Census","2011"
"Irish","Rest of Europe","0.2","E&W","Census","2011"
"Gypsy or Irish Traveller","Rest of Europe","0.4","E&W","Census","2011"
"Other White","Rest of Europe","7.6","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Rest of Europe","1.0","E&W","Census","2011"
"White and Black Caribbean","Rest of Europe","0.1","E&W","Census","2011"
"White and Black African","Rest of Europe","0.5","E&W","Census","2011"
"White and Asian","Rest of Europe","1.7","E&W","Census","2011"
"Other Mixed","Rest of Europe","1.6","E&W","Census","2011"
"Asian/Asian British: Total","Rest of Europe","0.3","E&W","Census","2011"
"Indian","Rest of Europe","0.1","E&W","Census","2011"
"Pakistani","Rest of Europe","0.1","E&W","Census","2011"
"Bangladeshi","Rest of Europe","0.1","E&W","Census","2011"
"Chinese","Rest of Europe","0.2","E&W","Census","2011"
"Other Asian","Rest of Europe","0.9","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Rest of Europe","0.2","E&W","Census","2011"
"African","Rest of Europe","0.3","E&W","Census","2011"
"Caribbean","Rest of Europe","0.1","E&W","Census","2011"
"Other Black","Rest of Europe","0.4","E&W","Census","2011"
"Other ethnic group: Total","Rest of Europe","4.3","E&W","Census","2011"
"Arab","Rest of Europe","0.7","E&W","Census","2011"
"Any other ethnic group","Rest of Europe","6.8","E&W","Census","2011"
"All categories: Ethnic group","Africa: Total","2.3","E&W","Census","2011"
"White: Total","Africa: Total","0.6","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Africa: Total","0.4","E&W","Census","2011"
"Irish","Africa: Total","0.8","E&W","Census","2011"
"Gypsy or Irish Traveller","Africa: Total","0.2","E&W","Census","2011"
"Other White","Africa: Total","4.4","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Africa: Total","4.5","E&W","Census","2011"
"White and Black Caribbean","Africa: Total","0.3","E&W","Census","2011"
"White and Black African","Africa: Total","20.2","E&W","Census","2011"
"White and Asian","Africa: Total","1.3","E&W","Census","2011"
"Other Mixed","Africa: Total","5.7","E&W","Census","2011"
"Asian/Asian British: Total","Africa: Total","5.3","E&W","Census","2011"
"Indian","Africa: Total","11.9","E&W","Census","2011"
"Pakistani","Africa: Total","0.7","E&W","Census","2011"
"Bangladeshi","Africa: Total","0.3","E&W","Census","2011"
"Chinese","Africa: Total","1.1","E&W","Census","2011"
"Other Asian","Africa: Total","5.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Africa: Total","35.4","E&W","Census","2011"
"African","Africa: Total","61.4","E&W","Census","2011"
"Caribbean","Africa: Total","0.5","E&W","Census","2011"
"Other Black","Africa: Total","17.8","E&W","Census","2011"
"Other ethnic group: Total","Africa: Total","14.8","E&W","Census","2011"
"Arab","Africa: Total","22.0","E&W","Census","2011"
"Any other ethnic group","Africa: Total","9.9","E&W","Census","2011"
"All categories: Ethnic group","North Africa","0.2","E&W","Census","2011"
"White: Total","North Africa","0.1","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","North Africa","0.0","E&W","Census","2011"
"Irish","North Africa","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","North Africa","0.0","E&W","Census","2011"
"Other White","North Africa","0.5","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","North Africa","0.6","E&W","Census","2011"
"White and Black Caribbean","North Africa","0.0","E&W","Census","2011"
"White and Black African","North Africa","2.8","E&W","Census","2011"
"White and Asian","North Africa","0.1","E&W","Census","2011"
"Other Mixed","North Africa","0.7","E&W","Census","2011"
"Asian/Asian British: Total","North Africa","0.1","E&W","Census","2011"
"Indian","North Africa","0.1","E&W","Census","2011"
"Pakistani","North Africa","0.0","E&W","Census","2011"
"Bangladeshi","North Africa","0.0","E&W","Census","2011"
"Chinese","North Africa","0.1","E&W","Census","2011"
"Other Asian","North Africa","0.1","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","North Africa","0.9","E&W","Census","2011"
"African","North Africa","1.4","E&W","Census","2011"
"Caribbean","North Africa","0.0","E&W","Census","2011"
"Other Black","North Africa","0.7","E&W","Census","2011"
"Other ethnic group: Total","North Africa","10.4","E&W","Census","2011"
"Arab","North Africa","19.8","E&W","Census","2011"
"Any other ethnic group","North Africa","3.9","E&W","Census","2011"
"All categories: Ethnic group","Central and Western Africa","0.7","E&W","Census","2011"
"White: Total","Central and Western Africa","0.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Central and Western Africa","0.0","E&W","Census","2011"
"Irish","Central and Western Africa","0.1","E&W","Census","2011"
"Gypsy or Irish Traveller","Central and Western Africa","0.1","E&W","Census","2011"
"Other White","Central and Western Africa","0.2","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Central and Western Africa","1.3","E&W","Census","2011"
"White and Black Caribbean","Central and Western Africa","0.1","E&W","Census","2011"
"White and Black African","Central and Western Africa","7.3","E&W","Census","2011"
"White and Asian","Central and Western Africa","0.1","E&W","Census","2011"
"Other Mixed","Central and Western Africa","0.9","E&W","Census","2011"
"Asian/Asian British: Total","Central and Western Africa","0.1","E&W","Census","2011"
"Indian","Central and Western Africa","0.1","E&W","Census","2011"
"Pakistani","Central and Western Africa","0.1","E&W","Census","2011"
"Bangladeshi","Central and Western Africa","0.1","E&W","Census","2011"
"Chinese","Central and Western Africa","0.1","E&W","Census","2011"
"Other Asian","Central and Western Africa","0.2","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Central and Western Africa","19.1","E&W","Census","2011"
"African","Central and Western Africa","34.4","E&W","Census","2011"
"Caribbean","Central and Western Africa","0.2","E&W","Census","2011"
"Other Black","Central and Western Africa","5.1","E&W","Census","2011"
"Other ethnic group: Total","Central and Western Africa","0.8","E&W","Census","2011"
"Arab","Central and Western Africa","0.7","E&W","Census","2011"
"Any other ethnic group","Central and Western Africa","0.8","E&W","Census","2011"
"All categories: Ethnic group","South and Eastern Africa","1.4","E&W","Census","2011"
"White: Total","South and Eastern Africa","0.5","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","South and Eastern Africa","0.3","E&W","Census","2011"
"Irish","South and Eastern Africa","0.7","E&W","Census","2011"
"Gypsy or Irish Traveller","South and Eastern Africa","0.1","E&W","Census","2011"
"Other White","South and Eastern Africa","3.7","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","South and Eastern Africa","2.7","E&W","Census","2011"
"White and Black Caribbean","South and Eastern Africa","0.2","E&W","Census","2011"
"White and Black African","South and Eastern Africa","9.9","E&W","Census","2011"
"White and Asian","South and Eastern Africa","1.1","E&W","Census","2011"
"Other Mixed","South and Eastern Africa","4.0","E&W","Census","2011"
"Asian/Asian British: Total","South and Eastern Africa","4.9","E&W","Census","2011"
"Indian","South and Eastern Africa","11.1","E&W","Census","2011"
"Pakistani","South and Eastern Africa","0.6","E&W","Census","2011"
"Bangladeshi","South and Eastern Africa","0.2","E&W","Census","2011"
"Chinese","South and Eastern Africa","0.9","E&W","Census","2011"
"Other Asian","South and Eastern Africa","4.7","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","South and Eastern Africa","15.3","E&W","Census","2011"
