"Source of Referral","Ethnicity","2015/16 %","2016/17 %","2017/18 %"
"Internal transfer","Mixed","10.7","10.6","10.8"
"Internal transfer","Mixed White/Asian","10.5","9.6","11.3"
"Internal transfer","Mixed White/Black African","12.0","12.1","10.9"
"Internal transfer","Mixed White/Black Caribbean","11.3","10.7","11.8"
"Internal transfer","Mixed other","8.8","9.8","9.0"
"Internal transfer","White","13.5","13.1","12.6"
"Internal transfer","White British","13.7","13.3","12.8"
"Internal transfer","White Irish","17.6","15.4","15.5"
"Internal transfer","White Gypsy/Traveller","7.6","14.4","10.0"
"Internal transfer","White other","8.5","8.3","8.6"
"Internal transfer","Other","10.7","9.4","9.8"
"Internal transfer","Arab","10.5","10.3","10.7"
"Internal transfer","Any other","10.8","9.0","9.1"
"Referred by local authority housing department","All","4.9","4.9","4.5"
"Referred by local authority housing department","Asian","4.3","4.2","4.1"
"Referred by local authority housing department","Bangladeshi","2.9","3.1","2.2"
"Referred by local authority housing department","Chinese","3.0","3.4","5.9"
"Referred by local authority housing department","Indian","5.2","5.4","5.1"
"Referred by local authority housing department","Pakistani","4.2","4.5","4.8"
"Referred by local authority housing department","Asian other","5.2","4.2","3.9"
"Referred by local authority housing department","Black","5.5","5.8","5.0"
"Referred by local authority housing department","Black African","5.0","5.3","4.6"
"Referred by local authority housing department","Black Caribbean","6.8","6.9","6.0"
"Referred by local authority housing department","Black other","4.4","5.3","4.1"
"Referred by local authority housing department","Mixed","6.8","7.0","6.4"
"Referred by local authority housing department","Mixed White/Asian","7.3","8.2","7.9"
"Referred by local authority housing department","Mixed White/Black African","5.1","5.7","5.3"
"Referred by local authority housing department","Mixed White/Black Caribbean","7.5","7.8","7.1"
"Referred by local authority housing department","Mixed other","6.3","5.6","5.3"
"Referred by local authority housing department","White","4.8","4.8","4.4"
"Referred by local authority housing department","White British","4.9","4.8","4.5"
"Referred by local authority housing department","White Irish","6.6","7.2","6.8"
"Referred by local authority housing department","White Gypsy/Traveller","6.4","7.0","5.6"
"Referred by local authority housing department","White other","2.5","2.9","2.4"
"Referred by local authority housing department","Other","5.4","4.6","5.1"
"Referred by local authority housing department","Arab","7.5","5.4","5.9"
"Referred by local authority housing department","Any other","4.5","4.3","4.5"
"Social services","All","2.7","2.9","2.8"
"Social services","Asian","2.7","3.2","3.0"
"Social services","Bangladeshi","2.0","2.5","2.0"
"Social services","Chinese","1.6","3.6","4.7"
"Social services","Indian","3.1","4.4","3.2"
"Social services","Pakistani","2.8","2.5","3.3"
"Social services","Asian other","2.9","3.6","3.2"
"Social services","Black","2.5","2.8","3.3"
"Social services","Black African","2.0","2.3","3.1"
"Social services","Black Caribbean","3.2","3.5","4.0"
"Social services","Black other","2.5","2.8","2.5"
"Social services","Mixed","3.0","3.3","3.7"
"Social services","Mixed White/Asian","2.3","3.2","4.1"
"Social services","Mixed White/Black African","2.2","3.3","2.9"
"Social services","Mixed White/Black Caribbean","3.6","3.4","3.5"
"Social services","Mixed other","2.9","3.0","4.2"
"Social services","White","2.7","2.8","2.7"
"Social services","White British","2.7","2.9","2.7"
"Social services","White Irish","3.8","2.8","3.6"
"Social services","White Gypsy/Traveller","2.8","3.3","2.4"
"Social services","White other","1.6","1.8","1.7"
"Social services","Other","3.0","3.5","3.0"
"Social services","Arab","3.2","4.6","3.0"
"Social services","Any other","2.9","3.1","3.0"
"Voluntary agency","All","1.8","1.5","1.4"
"Voluntary agency","Asian","3.6","2.9","2.4"
"Voluntary agency","Bangladeshi","2.0","1.9","1.6"
"Voluntary agency","Chinese","1.3","1.9","1.2"
"Voluntary agency","Indian","3.8","3.0","3.2"
"Voluntary agency","Pakistani","5.2","4.1","3.3"
"Voluntary agency","Asian other","3.1","2.1","1.8"
"Voluntary agency","Black","3.1","2.8","2.7"
"Voluntary agency","Black African","3.3","2.8","2.9"
"Voluntary agency","Black Caribbean","3.3","3.3","2.6"
"Voluntary agency","Black other","2.0","1.8","2.1"
"Voluntary agency","Mixed","3.0","2.8","2.2"
"Voluntary agency","Mixed White/Asian","2.8","3.0","1.4"
"Voluntary agency","Mixed White/Black African","2.7","2.4","1.7"
"Voluntary agency","Mixed White/Black Caribbean","3.6","3.2","3.0"
"Voluntary agency","Mixed other","2.3","2.3","1.5"
"Voluntary agency","White","1.5","1.3","1.2"
"Voluntary agency","White British","1.5","1.3","1.2"
"Voluntary agency","White Irish","3.8","3.1","2.2"
"Voluntary agency","White Gypsy/Traveller","3.6","2.3","2.4"
"Voluntary agency","White other","1.5","1.1","1.1"
"Voluntary agency","Other","3.7","3.0","1.5"
"Voluntary agency","Arab","4.2","3.9","1.6"
"Voluntary agency","Any other","3.5","2.6","1.4"
"Police, probation, prison","All","1.3","0.9","0.7"
"Police, probation, prison","Asian","1.6","1.0","0.8"
"Police, probation, prison","Bangladeshi","0.8","0.6","0.8"
"Police, probation, prison","Chinese","0.0","0.5","0.0"
"Police, probation, prison","Indian","2.1","1.1","1.4"
"Police, probation, prison","Pakistani","2.7","1.8","1.0"
"Police, probation, prison","Asian other","0.6","0.5","0.4"
"Police, probation, prison","Black","1.2","0.9","0.7"
"Police, probation, prison","Black African","0.6","0.5","0.4"
"Police, probation, prison","Black Caribbean","2.1","1.6","1.1"
"Police, probation, prison","Black other","1.4","0.8","0.7"
"Police, probation, prison","Mixed","1.9","1.4","1.0"
"Police, probation, prison","Mixed White/Asian","1.1","1.4","1.5"
"Police, probation, prison","Mixed White/Black African","1.7","0.5","0.6"
"Police, probation, prison","Mixed White/Black Caribbean","2.6","1.8","1.0"
"Police, probation, prison","Mixed other","1.0","1.1","0.8"
"Police, probation, prison","White","1.3","0.8","0.7"
"Police, probation, prison","White British","1.3","0.9","0.7"
"Police, probation, prison","White Irish","2.4","1.7","1.0"
"Police, probation, prison","White Gypsy/Traveller","1.7","1.7","!"
"Police, probation, prison","White other","0.4","0.4","0.2"
"Police, probation, prison","Other","0.8","0.6","0.4"
"Police, probation, prison","Arab","0.7","0.1","0.7"
"Police, probation, prison","Any other","0.9","0.8","0.3"
"Other social landlord","All","0.5","0.5","0.5"
"Other social landlord","Asian","0.7","0.5","0.7"
"Other social landlord","Bangladeshi","0.4","0.5","0.5"
"Other social landlord","Chinese","1.0","0.6","0.9"
"Other social landlord","Indian","0.6","0.2","0.6"
"Other social landlord","Pakistani","0.7","0.5","0.9"
"Other social landlord","Asian other","0.8","0.6","0.6"
"Other social landlord","Black","0.8","0.8","0.7"
"Other social landlord","Black African","0.9","0.7","0.6"
"Other social landlord","Black Caribbean","0.9","1.0","0.8"
"Other social landlord","Black other","0.4","0.5","0.7"
"Other social landlord","Mixed","0.8","0.8","0.7"
"Other social landlord","Mixed White/Asian","0.4","0.9","0.7"
"Other social landlord","Mixed White/Black African","1.0","0.4","0.6"
"Other social landlord","Mixed White/Black Caribbean","0.8","0.9","0.7"
"Other social landlord","Mixed other","1.0","0.8","0.9"
"Other social landlord","White","0.5","0.5","0.4"
"Other social landlord","White British","0.5","0.4","0.4"
"Other social landlord","White Irish","0.9","1.0","0.5"
"Other social landlord","White Gypsy/Traveller","1.7","0.5","!"
"Other social landlord","White other","0.4","0.4","0.3"
"Other social landlord","Other","0.8","0.5","0.7"
"Other social landlord","Arab","0.7","0.5","0.5"
"Other social landlord","Any other","0.9","0.5","0.9"
"Other","All","6.2","6.2","6.0"
"Other","Asian","7.6","7.6","7.4"
"Other","Bangladeshi","4.6","5.2","5.6"
"Other","Chinese","9.2","7.9","6.5"
"Other","Indian","9.6","9.0","9.8"
"Other","Pakistani","8.4","8.0","7.7"
"Other","Asian other","7.4","7.9","7.2"
"Other","Black","9.1","9.8","9.0"
"Other","Black African","8.2","9.2","8.7"
"Other","Black Caribbean","10.6","11.0","10.1"
"Other","Black other","8.3","9.3","7.4"
"Other","Mixed","8.9","8.9","7.7"
"Other","Mixed White/Asian","7.8","8.5","8.0"
"Other","Mixed White/Black African","9.6","9.0","6.0"
"Other","Mixed White/Black Caribbean","9.5","9.6","8.0"
"Other","Mixed other","7.6","7.5","8.1"
"Other","White","5.7","5.6","5.5"
"Other","White British","5.7","5.6","5.5"
"Other","White Irish","10.1","11.6","10.5"
"Other","White Gypsy/Traveller","7.0","7.4","6.7"
"Other","White other","5.2","5.0","5.4"
"Other","Other","8.5","10.3","10.3"
"Other","Arab","9.5","14.3","12.2"
"Other","Any other","8.1","8.6","9.0"
