"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Voluntary agency","3.2","64","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Voluntary agency","3.3","149","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Voluntary agency","1.6","47","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Voluntary agency","1.8","88","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Voluntary agency","2.6","173","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Voluntary agency","2.9","331","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Voluntary agency","2.1","63","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Voluntary agency","1.2","5","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Voluntary agency","1.4","29","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Voluntary agency","2.4","9","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Voluntary agency","1.6","25","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Social services","2.7","6463","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Social services","3.6","57","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Social services","1.7","191","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Social services","3.5","145","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Social services","2.9","46","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Social services","4.1","48","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Social services","4.2","101","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Social services","3.2","63","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Social services","3.3","146","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Social services","2.0","58","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Social services","3.2","151","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Social services","4.0","263","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Social services","3.1","348","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Social services","2.5","76","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Social services","4.7","20","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Social services","3.0","64","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Social services","2.4","9","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Social services","3.0","45","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other social landlord","0.4","984","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Other social landlord","0.5","7","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Other social landlord","0.3","35","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other social landlord","0.7","29","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Other social landlord","0.6","10","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Other social landlord","0.7","8","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Other social landlord","0.9","22","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other social landlord","0.6","11","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other social landlord","0.9","38","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other social landlord","0.5","15","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Other social landlord","0.6","30","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other social landlord","0.8","56","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other social landlord","0.6","71","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other social landlord","0.7","20","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other social landlord","0.9","4","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Other social landlord","0.9","19","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other social landlord","..","..","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other social landlord","0.5","7","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Police, probation, prison","0.7","1722","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Police, probation, prison","1.0","16","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Police, probation, prison","0.2","28","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Police, probation, prison","1.0","43","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Police, probation, prison","0.6","10","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Police, probation, prison","1.5","18","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Police, probation, prison","0.8","18","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Police, probation, prison","1.4","28","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Police, probation, prison","1.0","43","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Police, probation, prison","0.8","22","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Police, probation, prison","0.4","19","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Police, probation, prison","1.1","73","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Police, probation, prison","0.4","43","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Police, probation, prison","0.7","21","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Police, probation, prison","0.0","0","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Police, probation, prison","0.3","6","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Police, probation, prison","..","..","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Police, probation, prison","0.7","10","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other","5.5","13027","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Irish","ONS 18+1","Other","10.5","169","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Other","ONS 18+1","Other","5.4","611","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other","8.0","331","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Other","6.0","95","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Other","8.0","95","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed: Other","ONS 18+1","Other","8.1","192","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other","9.8","194","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other","7.7","341","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other","5.6","162","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Other","7.2","344","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other","10.1","662","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other","8.7","981","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other","7.4","223","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other","6.5","27","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Other","9.0","191","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other","6.7","25","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other","12.2","185","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Internal transfer","10.1","1465","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Nominated by local housing authority","26.6","3863","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Other","7.4","1068","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Other social landlord","0.7","97","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Police, probation, prison","0.8","112","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Referred by local authority housing department","4.1","593","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Social services","3.0","438","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Tenant applied direct","45.0","6542","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Asian","ONS 5+1 2011","Voluntary agency","2.4","352","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Internal transfer","13.5","2802","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Nominated by local housing authority","23.9","4981","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Other","9.0","1867","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Other social landlord","0.7","147","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Police, probation, prison","0.7","137","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Referred by local authority housing department","5.0","1031","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Social services","3.3","686","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Tenant applied direct","41.3","8590","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Black","ONS 5+1 2011","Voluntary agency","2.7","567","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Internal transfer","10.8","1006","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Nominated by local housing authority","28.3","2624","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Other","7.7","713","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Other social landlord","0.7","69","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Police, probation, prison","1.0","89","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Referred by local authority housing department","6.4","597","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Social services","3.7","341","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Tenant applied direct","39.1","3628","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Mixed","ONS 5+1 2011","Voluntary agency","2.2","204","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other","ONS 5+1 2011","Internal transfer","9.8","356","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other","ONS 5+1 2011","Nominated by local housing authority","19.0","690","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other","ONS 5+1 2011","Other","10.3","376","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other","ONS 5+1 2011","Other social landlord","0.7","26","","","","","","","","",""
"Percentage of new lettings by source of referral","2017/18","Financial Year","Other","ONS 5+1 2011","Police, probation, prison","0.4","16","","","","","","","","",""
