"Source of Referral","Ethnicity","%"
"Referred by local authority housing department","Mixed White/Black Caribbean","7.1"
"Referred by local authority housing department","Mixed other","5.3"
"Referred by local authority housing department","White","4.4"
"Referred by local authority housing department","White British","4.5"
"Referred by local authority housing department","White Irish","6.8"
"Referred by local authority housing department","White Gypsy/Traveller","5.6"
"Referred by local authority housing department","White other","2.4"
"Referred by local authority housing department","Other","5.1"
"Referred by local authority housing department","Arab","5.9"
"Referred by local authority housing department","Any other","4.5"
"Social services","All","2.8"
"Social services","Asian","3.0"
"Social services","Bangladeshi","2.0"
"Social services","Chinese","4.7"
"Social services","Indian","3.2"
"Social services","Pakistani","3.3"
"Social services","Asian other","3.2"
"Social services","Black","3.3"
"Social services","Black African","3.1"
"Social services","Black Caribbean","4.0"
"Social services","Black other","2.5"
"Social services","Mixed","3.7"
"Social services","Mixed White/Asian","4.1"
"Social services","Mixed White/Black African","2.9"
"Social services","Mixed White/Black Caribbean","3.5"
"Social services","Mixed other","4.2"
"Social services","White","2.7"
"Social services","White British","2.7"
"Social services","White Irish","3.6"
"Social services","White Gypsy/Traveller","2.4"
"Social services","White other","1.7"
"Social services","Other","3.0"
"Social services","Arab","3.0"
"Social services","Any other","3.0"
"Voluntary agency","All","1.4"
"Voluntary agency","Asian","2.4"
"Voluntary agency","Bangladeshi","1.6"
"Voluntary agency","Chinese","1.2"
"Voluntary agency","Indian","3.2"
"Voluntary agency","Pakistani","3.3"
"Voluntary agency","Asian other","1.8"
"Voluntary agency","Black","2.7"
"Voluntary agency","Black African","2.9"
"Voluntary agency","Black Caribbean","2.6"
"Voluntary agency","Black other","2.1"
"Voluntary agency","Mixed","2.2"
"Voluntary agency","Mixed White/Asian","1.4"
"Voluntary agency","Mixed White/Black African","1.7"
"Voluntary agency","Mixed White/Black Caribbean","3.0"
"Voluntary agency","Mixed other","1.5"
"Voluntary agency","White","1.2"
"Voluntary agency","White British","1.2"
"Voluntary agency","White Irish","2.2"
"Voluntary agency","White Gypsy/Traveller","2.4"
"Voluntary agency","White other","1.1"
"Voluntary agency","Other","1.5"
"Voluntary agency","Arab","1.6"
"Voluntary agency","Any other","1.4"
"Police, probation, prison","All","0.7"
"Police, probation, prison","Asian","0.8"
"Police, probation, prison","Bangladeshi","0.8"
"Police, probation, prison","Chinese","0.0"
"Police, probation, prison","Indian","1.4"
"Police, probation, prison","Pakistani","1.0"
"Police, probation, prison","Asian other","0.4"
"Police, probation, prison","Black","0.7"
"Police, probation, prison","Black African","0.4"
"Police, probation, prison","Black Caribbean","1.1"
"Police, probation, prison","Black other","0.7"
"Police, probation, prison","Mixed","1.0"
"Police, probation, prison","Mixed White/Asian","1.5"
"Police, probation, prison","Mixed White/Black African","0.6"
"Police, probation, prison","Mixed White/Black Caribbean","1.0"
"Police, probation, prison","Mixed other","0.8"
"Police, probation, prison","White","0.7"
"Police, probation, prison","White British","0.7"
"Police, probation, prison","White Irish","1.0"
"Police, probation, prison","White Gypsy/Traveller","!"
"Police, probation, prison","White other","0.2"
"Police, probation, prison","Other","0.4"
"Police, probation, prison","Arab","0.7"
"Police, probation, prison","Any other","0.3"
"Other social landlord","All","0.5"
"Other social landlord","Asian","0.7"
"Other social landlord","Bangladeshi","0.5"
"Other social landlord","Chinese","0.9"
"Other social landlord","Indian","0.6"
"Other social landlord","Pakistani","0.9"
"Other social landlord","Asian other","0.6"
"Other social landlord","Black","0.7"
"Other social landlord","Black African","0.6"
"Other social landlord","Black Caribbean","0.8"
"Other social landlord","Black other","0.7"
"Other social landlord","Mixed","0.7"
"Other social landlord","Mixed White/Asian","0.7"
"Other social landlord","Mixed White/Black African","0.6"
"Other social landlord","Mixed White/Black Caribbean","0.7"
"Other social landlord","Mixed other","0.9"
"Other social landlord","White","0.4"
"Other social landlord","White British","0.4"
"Other social landlord","White Irish","0.5"
"Other social landlord","White Gypsy/Traveller","!"
"Other social landlord","White other","0.3"
"Other social landlord","Other","0.7"
"Other social landlord","Arab","0.5"
"Other social landlord","Any other","0.9"
"Other","All","6.0"
"Other","Asian","7.4"
"Other","Bangladeshi","5.6"
"Other","Chinese","6.5"
"Other","Indian","9.8"
"Other","Pakistani","7.7"
"Other","Asian other","7.2"
"Other","Black","9.0"
"Other","Black African","8.7"
"Other","Black Caribbean","10.1"
"Other","Black other","7.4"
"Other","Mixed","7.7"
"Other","Mixed White/Asian","8.0"
"Other","Mixed White/Black African","6.0"
"Other","Mixed White/Black Caribbean","8.0"
"Other","Mixed other","8.1"
"Other","White","5.5"
"Other","White British","5.5"
"Other","White Irish","10.5"
"Other","White Gypsy/Traveller","6.7"
"Other","White other","5.4"
"Other","Other","10.3"
"Other","Arab","12.2"
"Other","Any other","9.0"
