"Measure","Time","Time_type","Ethnicity","Median hourly pay","Value_type","Denominator (weighted)"
"Average Hourly Pay","2015","Year","White Other","10.29","£ ","2265400"
"Average Hourly Pay","2016","Year","All","11.02","£ ","26281700"
"Average Hourly Pay","2016","Year","Asian","11.00","£ ","1530600"
"Average Hourly Pay","2016","Year","Black","10.27","£ ","746500"
"Average Hourly Pay","2016","Year","Indian","12.50","£ ","684100"
"Average Hourly Pay","2016","Year","Mixed/Multiple ethnic groups","11.26","£ ","280900"
"Average Hourly Pay","2016","Year","Other Asian (inc. Chinese)","10.63","£ ","421400"
"Average Hourly Pay","2016","Year","Other ethnic group","10.17","£ ","377000"
"Average Hourly Pay","2016","Year","Pakistani/ Bangladeshi","9.36","£ ","425200"
"Average Hourly Pay","2016","Year","White","11.05","£ ","23332200"
"Average Hourly Pay","2016","Year","White British","11.13","£ ","20890900"
"Average Hourly Pay","2016","Year","White Other","10.38","£ ","2441200"
"Average Hourly Pay","2017","Year","All","11.41","£ ","26691900"
"Average Hourly Pay","2017","Year","Asian","11.14","£ ","1544000"
"Average Hourly Pay","2017","Year","Black","10.78","£ ","703400"
"Average Hourly Pay","2017","Year","Indian","12.76","£ ","675900"
"Average Hourly Pay","2017","Year","Mixed/Multiple ethnic groups","10.71","£ ","313600"
"Average Hourly Pay","2017","Year","Other Asian (inc. Chinese)","11.06","£ ","435900"
"Average Hourly Pay","2017","Year","Other ethnic group","10.58","£ ","383600"
"Average Hourly Pay","2017","Year","Pakistani/ Bangladeshi","9.45","£ ","432200"
"Average Hourly Pay","2017","Year","White","11.46","£ ","23732100"
"Average Hourly Pay","2017","Year","White British","11.53","£ ","21143600"
"Average Hourly Pay","2017","Year","White Other","10.74","£ ","2587900"
"Average Hourly Pay","2018","Year","All","11.82","£ ","26937000"
"Average Hourly Pay","2018","Year","Asian","11.80","£ ","1603700"
"Average Hourly Pay","2018","Year","Black","10.80","£ ","766300"
"Average Hourly Pay","2018","Year","Indian","13.46","£ ","686100"
"Average Hourly Pay","2018","Year","Mixed/Multiple ethnic groups","12.16","£ ","324100"
"Average Hourly Pay","2018","Year","Other Asian (inc. Chinese)","12.50","£ ","432200"
"Average Hourly Pay","2018","Year","Other ethnic group","10.95","£ ","388200"
"Average Hourly Pay","2018","Year","Pakistani/ Bangladeshi","9.62","£ ","485400"
"Average Hourly Pay","2018","Year","White","11.87","£ ","23838900"
"Average Hourly Pay","2018","Year","White British","11.90","£ ","21248700"
"Average Hourly Pay","2018","Year","White Other","11.55","£ ","2589000"
"Average Hourly Pay","2019","Year","All","12.17","£","27207903"
"Average Hourly Pay","2019","Year","Asian","12.32","£","1663209"
"Average Hourly Pay","2019","Year","Black","11.54","£","818797"
"Average Hourly Pay","2019","Year","Indian","14.43","£","737469"
"Average Hourly Pay","2019","Year","Mixed/Multiple ethnic groups","12.30","£","322155"
"Average Hourly Pay","2019","Year","Other Asian (inc. Chinese)","12.03","£","451032"
"Average Hourly Pay","2019","Year","Other ethnic group","11.39","£","393936"
"Average Hourly Pay","2019","Year","Pakistani/ Bangladeshi","10.55","£","474708"
"Average Hourly Pay","2019","Year","White","12.21","£","24001281"
"Average Hourly Pay","2019","Year","White British","12.25","£","21274829"
"Average Hourly Pay","2019","Year","White Other","12.02","£","2726452"
