"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Cheshire East","53.2","3,803","67.6","68","50.0","16","71.4","14","43.8","105","53.4","3,541"
"Cheshire West and Chester","50.4","3,551","63.8","47","58.3","12","84.6","13","51.4","72","50.0","3,380"
"Cornwall","44.9","5,233","55.6","9","33.3","9","77.8","9","43.0","107","44.9","5,023"
"County Durham","47.4","5,017","71.0","31","41.7","12","90.0","10","61.2","67","48.0","4,758"
"Coventry","44.8","3,766","56.3","789","42.2","427","66.7","9","41.7","192","41.6","2,255"
"Croydon","48.9","3,755","67.0","488","40.6","1,173","82.4","17","48.7","638","49.9","1,269"
"Cumbria","48.5","5,109","65.6","32","45.5","11","61.5","13","46.2","78","48.6","4,771"
"Darlington","51.2","1,170","64.3","28","50.0","6","60.0","5","40.6","32","50.8","1,074"
"Derby","42.8","2,979","47.6","548","34.2","114","87.5","8","39.3","206","42.3","2,030"
"Derbyshire","50.2","7,282","55.8","86","63.9","36","76.5","17","49.2","177","50.1","6,919"
"Devon","48.7","6,895","74.3","35","47.1","17","73.3","15","50.7","138","48.6","6,446"
"Doncaster","45.8","3,055","53.9","89","45.7","46","50.0","6","40.7","91","45.8","2,773"
"Dorset","48.6","3,559","52.2","23","20.0","10","50.0","2","57.7","71","48.6","3,409"
"Dudley","43.8","3,309","43.2","317","34.9","106","75.0","4","44.8","203","44.5","2,586"
"Ealing","58.1","3,043","58.7","940","53.2","528","86.7","15","60.6","221","62.4","812"
"East Midlands","48.2","48,542","56.1","4,326","42.5","1,619","83.3","120","44.9","2,288","47.9","39,187"
"East Riding of Yorkshire","50.5","3,227","75.0","12","60.0","5","N/A","0","46.1","76","50.7","3,086"
"East Sussex","47.4","4,815","66.7","78","23.5","34","57.1","7","48.3","232","47.3","4,376"
"East of England","50.1","63,682","60.7","4,309","52.9","2,354","83.8","235","52.1","3,334","48.9","51,830"
"Enfield","49.6","3,767","72.2","316","44.9","963","54.5","11","56.8","336","46.9","1,798"
"Essex","47.8","15,188","79.8","425","55.8","565","83.9","62","52.2","657","45.9","13,102"
"Gateshead","48.4","1,935","71.7","53","44.8","29","88.9","9","55.9","34","47.4","1,781"
"Gloucestershire","54.9","6,359","77.6","196","49.4","87","70.6","17","53.2","265","54.3","5,650"
"Greenwich","50.7","2,448","62.3","191","51.7","799","85.7","21","48.5","237","47.4","1,114"
"Hackney","53.8","2,286","61.8","283","42.2","869","68.8","16","60.7","206","61.2","743"
"Halton","41.8","1,448","80.0","5","50.0","2","!","1","59.4","32","40.4","1,373"
"Hammersmith and Fulham","62.0","1,458","65.6","128","50.8","315","66.7","9","50.3","183","70.8","612"
"Hampshire","51.1","12,987","62.1","322","47.5","122","94.3","35","53.9","427","50.8","11,875"
"Haringey","50.9","2,484","66.5","173","41.7","617","58.3","12","52.3","283","54.0","1,136"
"Harrow","55.7","2,334","66.4","1,068","39.2","296","66.7","12","53.6","181","48.8","627"
"Hartlepool","45.1","1,041","39.4","33","33.3","6","80.0","5","38.5","13","45.4","976"
"Havering","54.6","2,842","63.6","154","52.7","368","92.3","13","55.5","146","54.4","2,094"
"Herefordshire, County of","50.7","1,773","100.0","7","66.7","3","N/A","0","60.0","35","50.3","1,709"
"Hertfordshire","58.5","13,200","72.7","1,107","51.9","611","87.1","62","58.6","899","57.2","10,277"
"Hillingdon","55.1","3,301","65.5","870","51.0","398","71.4","7","51.7","352","49.6","1,374"
"Hounslow","55.0","2,916","65.1","883","47.1","365","100.0","6","52.7","262","54.1","958"
"Inner London","53.4","28,132","60.5","5,998","45.7","8,158","73.4","173","53.7","2,927","56.5","7,912"
"Isle of Wight","41.2","1,187","50.0","6","50.0","2","!","1","43.6","39","40.9","1,126"
"Isles of Scilly","!","18","N/A","0","N/A","0","N/A","0","!","1","!","16"
"Islington","50.5","1,471","62.8","164","45.5","404","83.3","6","49.3","213","50.0","546"
"Kensington and Chelsea","64.3","899","73.2","41","50.3","161","100.0","4","60.3","141","69.4","359"
"Kent","52.1","16,378","78.0","714","67.4","549","85.7","63","60.2","825","49.8","13,827"
"Kingston upon Hull, City of","39.9","2,681","64.0","25","40.9","44","!","1","56.6","76","41.3","2,289"
"Kingston upon Thames","65.2","1,767","79.1","417","43.2","81","93.8","16","69.8","182","59.7","936"
"Kirklees","48.1","4,963","49.9","1,343","28.6","84","83.3","6","43.2","285","48.5","3,157"
"Knowsley","26.5","1,051","70.0","10","25.0","4","100.0","2","26.7","15","26.0","1,002"
"Lambeth","47.3","2,250","64.0","111","44.7","1,079","66.7","15","48.0","273","49.5","568"
"Lancashire","49.0","12,640","50.0","1,431","47.9","48","77.8","36","44.6","325","49.0","10,599"
"Leeds","46.7","8,219","47.4","1,002","37.7","607","74.2","31","41.5","453","49.3","5,717"
"Leicester","42.3","3,898","50.4","1,834","41.8","462","100.0","6","37.1","256","31.3","1,204"
"Leicestershire","50.9","7,413","70.3","609","51.2","84","73.3","15","53.6","317","48.8","6,294"
"Lewisham","45.7","2,305","50.8","130","40.7","998","70.4","27","50.2","313","50.1","674"
"Lincolnshire","49.4","7,710","85.3","143","70.0","30","70.4","27","55.8","208","48.8","7,090"
"Liverpool","44.1","4,848","67.5","160","41.2","177","79.2","48","46.6","277","43.1","3,953"
"London","55.4","83,129","65.7","17,721","47.5","17,847","81.9","518","54.2","8,088","54.6","31,819"
"Luton","43.4","2,754","48.6","1,274","47.3","311","100.0","4","35.7","207","36.4","879"
"Manchester","43.0","5,483","49.8","1,323","43.7","993","65.7","35","39.6","512","39.4","2,194"
"Medway","49.0","3,091","77.5","178","69.5","223","75.0","8","56.4","181","44.6","2,457"
"Merton","54.5","1,555","63.6","275","43.1","276","57.1","7","46.7","210","57.6","728"
"Middlesbrough","42.0","1,532","48.4","188","31.8","22","!","1","46.9","64","40.8","1,198"
"Milton Keynes","42.5","3,128","55.8","351","37.5","491","61.5","13","41.5","224","41.6","1,992"
"Newcastle upon Tyne","46.4","2,548","46.5","288","36.9","111","60.0","15","62.8","94","46.4","1,943"
"Newham","54.0","4,079","61.6","1,941","47.7","948","71.4","14","49.6","242","44.4","662"
"Norfolk","48.1","7,974","64.4","118","56.5","69","55.0","20","51.3","228","47.6","7,368"
"North East","47.3","26,395","53.3","989","41.7","252","73.2","71","55.1","563","47.2","23,956"
"North East Lincolnshire","38.5","1,742","38.5","13","33.3","6","!","1","41.4","29","45.1","1,357"
"North Lincolnshire","48.7","1,925","57.1","77","40.0","5","66.7","3","44.0","25","48.3","1,718"
"North Somerset","49.9","2,200","61.1","36","50.0","20","75.0","8","47.5","59","49.9","2,058"
"North Tyneside","46.9","1,945","41.5","41","40.0","15","63.6","11","50.9","53","47.0","1,792"
"North West","47.4","77,572","52.7","8,034","43.5","2,194","76.8","306","45.4","2,984","47.1","61,944"
"North Yorkshire","53.8","6,174","66.7","147","30.8","26","76.9","13","59.9","142","53.5","5,739"
"Northamptonshire","46.7","7,773","63.1","374","43.7","410","92.0","25","43.9","424","46.1","6,423"
"Northumberland","48.9","3,138","56.5","46","50.0","2","!","4","56.1","41","48.7","3,017"
"Nottingham","39.2","2,896","49.8","520","36.9","358","85.7","7","32.0","347","37.4","1,521"
"Nottinghamshire","51.2","8,094","70.6","211","46.2","119","100.0","14","50.9","340","50.9","7,236"
"Oldham","38.8","3,128","36.3","992","36.5","96","25.0","4","35.6","118","41.0","1,825"
"Outer London","56.5","54,997","68.3","11,723","49.0","9,689","86.1","345","54.5","5,161","54.0","23,907"
"Oxfordshire","52.0","6,316","49.1","340","42.0","157","56.3","16","48.4","382","53.1","5,212"
"Peterborough","40.4","2,549","43.1","443","41.0","83","100.0","9","37.3","153","40.0","1,801"
"Plymouth","47.1","2,623","66.7","24","30.4","23","45.5","11","55.6","72","47.2","2,425"
"Portsmouth","43.3","1,839","69.7","109","39.6","48","71.4","7","48.7","78","41.4","1,536"
"Reading","54.3","1,360","71.1","304","35.8","120","77.8","9","48.5","136","51.0","734"
"Redbridge","62.0","3,815","70.0","2,015","46.7","497","85.7","21","55.2","306","54.6","889"
"Redcar and Cleveland","50.0","1,600","69.6","23","!","1","100.0","2","47.8","23","50.0","1,529"
"Richmond upon Thames","63.5","1,667","69.6","125","38.0","79","100.0","14","57.8","161","65.0","1,220"
"Rochdale","42.0","2,519","46.2","624","41.8","110","N/A","0","41.9","136","40.7","1,598"
"Rotherham","45.3","3,193","46.0","252","41.8","55","100.0","5","46.3","80","45.3","2,776"
"Rutland","64.8","497","!","1","50.0","6","!","1","61.5","13","65.3","470"
"Salford","37.3","2,292","66.0","50","45.5","132","25.0","4","38.4","138","35.7","1,880"
"Sandwell","38.0","3,773","45.9","1,044","31.5","371","71.4","7","36.9","290","35.3","1,880"
"Sefton","44.7","2,945","67.7","31","35.7","14","83.3","6","42.3","71","46.2","2,682"
"Sheffield","46.4","5,567","46.8","645","42.0","283","60.0","25","36.7","357","47.8","3,987"
"Shropshire","47.5","2,910","43.8","16","30.0","10","66.7","6","42.2","64","47.9","2,774"
"Slough","60.6","1,958","70.8","989","51.6","159","100.0","6","57.0","172","44.8","522"
"Solihull","51.6","3,029","60.4","361","35.6","104","37.5","8","46.2","223","51.4","2,265"
"Somerset","45.2","4,950","64.3","70","28.6","21","57.1","7","44.1","118","45.1","4,680"
"South East","52.4","88,737","66.6","6,440","50.8","2,703","82.5","285","54.3","4,742","51.0","72,525"
"South Gloucestershire","49.0","2,553","48.6","74","38.5","52","71.4","7","45.3","117","49.7","2,248"
"South Tyneside","42.5","1,639","55.7","61","33.3","6","!","1","48.0","25","43.9","1,455"
"South West","49.9","52,331","60.3","1,237","37.0","819","74.2","132","50.2","1,811","50.0","46,820"
"Southampton","40.7","2,154","52.4","229","48.1","77","87.5","8","37.1","124","38.5","1,671"
"Southend-on-Sea","60.0","2,239","80.7","218","77.7","175","90.5","21","64.6","127","57.6","1,576"
"Southwark","53.4","2,659","60.2","128","49.1","1,197","79.3","29","56.8","322","56.7","704"
"St. Helens","44.2","1,889","50.0","12","36.4","11","75.0","4","32.4","34","45.9","1,750"
"Staffordshire","46.3","8,864","49.6","345","35.1","57","72.0","25","44.7","253","46.2","8,076"
"Stockport","54.0","2,808","60.9","184","43.2","37","61.5","13","56.1","132","53.5","2,387"
"Stockton-on-Tees","52.0","2,032","66.7","90","70.8","24","50.0","4","63.4","71","50.6","1,823"
"Stoke-on-Trent","41.9","2,578","45.3","373","32.6","89","71.4","7","32.7","110","42.1","1,948"
"Suffolk","46.8","7,413","66.7","114","42.3","71","66.7","6","48.1","339","46.8","6,674"
"Sunderland","45.4","2,798","54.2","107","44.4","18","100.0","4","54.3","46","44.7","2,610"
"Surrey","57.7","10,734","66.9","706","55.2","210","87.9","33","61.5","598","56.6","8,905"
"Sutton","67.2","2,920","88.7","697","62.7","271","88.9","45","65.3","277","57.7","1,531"
"Swindon","48.4","2,184","45.5","233","40.0","65","100.0","4","59.6","109","48.4","1,709"
"Tameside","47.1","2,668","51.8","313","38.3","60","50.0","2","40.7","113","46.9","2,137"
"Telford and Wrekin","45.9","2,051","54.5","145","41.8","67","83.3","12","48.4","95","45.0","1,719"
"Thurrock","48.3","1,864","74.0","73","55.5","182","88.9","9","53.3","137","45.3","1,403"
"Torbay","55.1","1,617","80.0","15","0.0","3","83.3","6","56.5","46","57.9","1,389"
"Tower Hamlets","51.3","3,082","57.9","2,025","45.2","325","66.7","9","46.4","140","37.8","307"
"Trafford","68.4","3,029","79.4","432","67.8","121","94.5","55","68.9","222","65.4","2,116"
"Wakefield","49.5","3,715","52.3","153","39.2","51","76.9","13","55.6","108","49.4","3,363"
"Walsall","40.9","3,382","54.8","721","41.5","188","75.0","12","35.1","185","36.8","2,184"
"Waltham Forest","49.5","2,693","56.2","722","44.4","638","69.2","13","42.7","267","50.7","921"
"Wandsworth","56.2","1,865","68.0","353","44.0","500","88.9","9","53.5","230","62.9","630"
"Warrington","54.3","2,418","63.3","49","33.3","12","100.0","10","47.9","71","54.6","2,218"
"Warwickshire","55.6","5,990","76.4","318","56.6","76","86.7","15","55.5","247","54.5","5,238"
"West Berkshire","53.1","1,856","56.8","44","33.3","30","88.9","9","46.1","89","53.9","1,638"
"West Midlands","46.7","64,062","52.2","10,857","39.1","3,750","75.9","170","43.6","3,461","46.4","43,800"
"West Sussex","49.5","8,199","61.3","357","36.2","127","78.9","19","50.6","352","49.1","7,194"
"Westminster","63.1","1,721","72.4","217","55.4","392","78.9","19","67.5","200","70.0","404"
"Wigan","48.0","3,482","46.2","39","45.5","33","60.0","5","52.2","69","48.0","3,296"
"Wiltshire","50.8","4,921","67.9","81","30.0","60","75.0","12","51.2","170","51.1","4,437"
"Windsor and Maidenhead","54.3","1,585","54.9","184","50.0","26","!","1","51.8","137","55.1","1,202"
"Wirral","50.5","3,499","77.2","101","66.7","12","70.0","20","57.3","110","49.1","3,227"
"Wokingham","60.4","1,675","71.6","162","46.8","62","100.0","4","65.2","115","58.8","1,286"
"Wolverhampton","44.5","3,023","55.6","775","38.0","332","66.7","6","35.4","297","42.3","1,543"
"Worcestershire","48.0","5,641","52.9","206","37.5","32","100.0","6","52.7","188","47.6","5,159"
"York","56.4","1,755","62.9","35","45.5","11","71.4","7","73.8","42","55.9","1,641"
"Yorkshire and The Humber","47.5","57,544","47.9","7,110","38.0","1,397","73.8","122","44.9","2,210","48.6","44,623"
