"Ethnicity","Geography","%","Pupils"
"Asian","Hillingdon","65.5","870"
"Asian","Hounslow","65.1","883"
"Asian","Inner London","60.5","5,998"
"Asian","Isle of Wight","50.0","6"
"Asian","Isles of Scilly","N/A","0"
"Asian","Islington","62.8","164"
"Asian","Kensington and Chelsea","73.2","41"
"Asian","Kent","78.0","714"
"Asian","Kingston upon Hull, City of","64.0","25"
"Asian","Kingston upon Thames","79.1","417"
"Asian","Kirklees","49.9","1,343"
"Asian","Knowsley","70.0","10"
"Asian","Lambeth","64.0","111"
"Asian","Lancashire","50.0","1,431"
"Asian","Leeds","47.4","1,002"
"Asian","Leicester","50.4","1,834"
"Asian","Leicestershire","70.3","609"
"Asian","Lewisham","50.8","130"
"Asian","Lincolnshire","85.3","143"
"Asian","Liverpool","67.5","160"
"Asian","London","65.7","17,721"
"Asian","Luton","48.6","1,274"
"Asian","Manchester","49.8","1,323"
"Asian","Medway","77.5","178"
"Asian","Merton","63.6","275"
"Asian","Middlesbrough","48.4","188"
"Asian","Milton Keynes","55.8","351"
"Asian","Newcastle upon Tyne","46.5","288"
"Asian","Newham","61.6","1,941"
"Asian","Norfolk","64.4","118"
"Asian","North East","53.3","989"
"Asian","North East Lincolnshire","38.5","13"
"Asian","North Lincolnshire","57.1","77"
"Asian","North Somerset","61.1","36"
"Asian","North Tyneside","41.5","41"
"Asian","North West","52.7","8,034"
"Asian","North Yorkshire","66.7","147"
"Asian","Northamptonshire","63.1","374"
"Asian","Northumberland","56.5","46"
"Asian","Nottingham","49.8","520"
"Asian","Nottinghamshire","70.6","211"
"Asian","Oldham","36.3","992"
"Asian","Outer London","68.3","11,723"
"Asian","Oxfordshire","49.1","340"
"Asian","Peterborough","43.1","443"
"Asian","Plymouth","66.7","24"
"Asian","Portsmouth","69.7","109"
"Asian","Reading","71.1","304"
"Asian","Redbridge","70.0","2,015"
"Asian","Redcar and Cleveland","69.6","23"
"Asian","Richmond upon Thames","69.6","125"
"Asian","Rochdale","46.2","624"
"Asian","Rotherham","46.0","252"
"Asian","Rutland","!","1"
"Asian","Salford","66.0","50"
"Asian","Sandwell","45.9","1,044"
"Asian","Sefton","67.7","31"
"Asian","Sheffield","46.8","645"
"Asian","Shropshire","43.8","16"
"Asian","Slough","70.8","989"
"Asian","Solihull","60.4","361"
"Asian","Somerset","64.3","70"
"Asian","South East","66.6","6,440"
"Asian","South Gloucestershire","48.6","74"
"Asian","South Tyneside","55.7","61"
"Asian","South West","60.3","1,237"
"Asian","Southampton","52.4","229"
"Asian","Southend-on-Sea","80.7","218"
"Asian","Southwark","60.2","128"
"Asian","St. Helens","50.0","12"
"Asian","Staffordshire","49.6","345"
"Asian","Stockport","60.9","184"
"Asian","Stockton-on-Tees","66.7","90"
"Asian","Stoke-on-Trent","45.3","373"
"Asian","Suffolk","66.7","114"
"Asian","Sunderland","54.2","107"
"Asian","Surrey","66.9","706"
"Asian","Sutton","88.7","697"
"Asian","Swindon","45.5","233"
"Asian","Tameside","51.8","313"
"Asian","Telford and Wrekin","54.5","145"
"Asian","Thurrock","74.0","73"
"Asian","Torbay","80.0","15"
"Asian","Tower Hamlets","57.9","2,025"
"Asian","Trafford","79.4","432"
"Asian","Wakefield","52.3","153"
"Asian","Walsall","54.8","721"
"Asian","Waltham Forest","56.2","722"
"Asian","Wandsworth","68.0","353"
"Asian","Warrington","63.3","49"
"Asian","Warwickshire","76.4","318"
"Asian","West Berkshire","56.8","44"
"Asian","West Midlands","52.2","10,857"
"Asian","West Sussex","61.3","357"
"Asian","Westminster","72.4","217"
"Asian","Wigan","46.2","39"
"Asian","Wiltshire","67.9","81"
"Asian","Windsor and Maidenhead","54.9","184"
"Asian","Wirral","77.2","101"
"Asian","Wokingham","71.6","162"
"Asian","Wolverhampton","55.6","775"
"Asian","Worcestershire","52.9","206"
"Asian","York","62.9","35"
"Asian","Yorkshire and The Humber","47.9","7,110"
"Black","All - England","46.0","32,935"
"Black","Barking and Dagenham","49.8","733"
"Black","Barnet","56.1","513"
"Black","Barnsley","25.0","16"
"Black","Bath and North East Somerset","41.7","24"
"Black","Bedford","40.4","136"
"Black","Bexley","62.5","662"
"Black","Birmingham","40.0","1,888"
"Black","Blackburn with Darwen","33.3","18"
"Black","Blackpool","0.0","5"
"Black","Bolton","37.3","204"
"Black","Bournemouth, Christchurch and Poole","55.0","20"
"Black","Bracknell Forest","38.5","39"
"Black","Bradford","29.6","135"
"Black","Brent","46.1","687"
"Black","Brighton and Hove","31.7","41"
"Black","Bristol, City of","34.1","408"
"Black","Bromley","56.4","362"
"Black","Buckinghamshire","58.1","186"
"Black","Bury","34.8","66"
"Black","Calderdale","56.5","23"
"Black","Cambridgeshire","51.7","87"
"Black","Camden","47.9","353"
"Black","Central Bedfordshire","40.6","64"
"Black","Cheshire East","50.0","16"
"Black","Cheshire West and Chester","58.3","12"
"Black","Cornwall","33.3","9"
"Black","County Durham","41.7","12"
"Black","Coventry","42.2","427"
"Black","Croydon","40.6","1,173"
"Black","Cumbria","45.5","11"
"Black","Darlington","50.0","6"
"Black","Derby","34.2","114"
"Black","Derbyshire","63.9","36"
"Black","Devon","47.1","17"
"Black","Doncaster","45.7","46"
"Black","Dorset","20.0","10"
"Black","Dudley","34.9","106"
"Black","Ealing","53.2","528"
"Black","East Midlands","42.5","1,619"
"Black","East Riding of Yorkshire","60.0","5"
"Black","East Sussex","23.5","34"
"Black","East of England","52.9","2,354"
"Black","Enfield","44.9","963"
"Black","Essex","55.8","565"
"Black","Gateshead","44.8","29"
"Black","Gloucestershire","49.4","87"
"Black","Greenwich","51.7","799"
"Black","Hackney","42.2","869"
"Black","Halton","50.0","2"
"Black","Hammersmith and Fulham","50.8","315"
"Black","Hampshire","47.5","122"
"Black","Haringey","41.7","617"
"Black","Harrow","39.2","296"
"Black","Hartlepool","33.3","6"
"Black","Havering","52.7","368"
"Black","Herefordshire, County of","66.7","3"
"Black","Hertfordshire","51.9","611"
"Black","Hillingdon","51.0","398"
"Black","Hounslow","47.1","365"
"Black","Inner London","45.7","8,158"
"Black","Isle of Wight","50.0","2"
"Black","Isles of Scilly","N/A","0"
"Black","Islington","45.5","404"
"Black","Kensington and Chelsea","50.3","161"
"Black","Kent","67.4","549"
"Black","Kingston upon Hull, City of","40.9","44"
"Black","Kingston upon Thames","43.2","81"
"Black","Kirklees","28.6","84"
"Black","Knowsley","25.0","4"
"Black","Lambeth","44.7","1,079"
"Black","Lancashire","47.9","48"
"Black","Leeds","37.7","607"
"Black","Leicester","41.8","462"
"Black","Leicestershire","51.2","84"
"Black","Lewisham","40.7","998"
"Black","Lincolnshire","70.0","30"
"Black","Liverpool","41.2","177"
"Black","London","47.5","17,847"
"Black","Luton","47.3","311"
"Black","Manchester","43.7","993"
"Black","Medway","69.5","223"
"Black","Merton","43.1","276"
"Black","Middlesbrough","31.8","22"
"Black","Milton Keynes","37.5","491"
"Black","Newcastle upon Tyne","36.9","111"
"Black","Newham","47.7","948"
"Black","Norfolk","56.5","69"
"Black","North East","41.7","252"
"Black","North East Lincolnshire","33.3","6"
"Black","North Lincolnshire","40.0","5"
"Black","North Somerset","50.0","20"
"Black","North Tyneside","40.0","15"
"Black","North West","43.5","2,194"
"Black","North Yorkshire","30.8","26"
"Black","Northamptonshire","43.7","410"
"Black","Northumberland","50.0","2"
"Black","Nottingham","36.9","358"
"Black","Nottinghamshire","46.2","119"
"Black","Oldham","36.5","96"
"Black","Outer London","49.0","9,689"
"Black","Oxfordshire","42.0","157"
"Black","Peterborough","41.0","83"
"Black","Plymouth","30.4","23"
"Black","Portsmouth","39.6","48"
"Black","Reading","35.8","120"
"Black","Redbridge","46.7","497"
"Black","Redcar and Cleveland","!","1"
"Black","Richmond upon Thames","38.0","79"
"Black","Rochdale","41.8","110"
"Black","Rotherham","41.8","55"
"Black","Rutland","50.0","6"
"Black","Salford","45.5","132"
"Black","Sandwell","31.5","371"
"Black","Sefton","35.7","14"
"Black","Sheffield","42.0","283"
"Black","Shropshire","30.0","10"
"Black","Slough","51.6","159"
"Black","Solihull","35.6","104"
"Black","Somerset","28.6","21"
"Black","South East","50.8","2,703"
"Black","South Gloucestershire","38.5","52"
"Black","South Tyneside","33.3","6"
"Black","South West","37.0","819"
"Black","Southampton","48.1","77"
"Black","Southend-on-Sea","77.7","175"
"Black","Southwark","49.1","1,197"
"Black","St. Helens","36.4","11"
"Black","Staffordshire","35.1","57"
"Black","Stockport","43.2","37"
"Black","Stockton-on-Tees","70.8","24"
"Black","Stoke-on-Trent","32.6","89"
"Black","Suffolk","42.3","71"
"Black","Sunderland","44.4","18"
"Black","Surrey","55.2","210"
"Black","Sutton","62.7","271"
"Black","Swindon","40.0","65"
"Black","Tameside","38.3","60"
"Black","Telford and Wrekin","41.8","67"
"Black","Thurrock","55.5","182"
"Black","Torbay","0.0","3"
"Black","Tower Hamlets","45.2","325"
"Black","Trafford","67.8","121"
"Black","Wakefield","39.2","51"
"Black","Walsall","41.5","188"
"Black","Waltham Forest","44.4","638"
"Black","Wandsworth","44.0","500"
"Black","Warrington","33.3","12"
"Black","Warwickshire","56.6","76"
"Black","West Berkshire","33.3","30"
"Black","West Midlands","39.1","3,750"
"Black","West Sussex","36.2","127"
"Black","Westminster","55.4","392"
"Black","Wigan","45.5","33"
"Black","Wiltshire","30.0","60"
"Black","Windsor and Maidenhead","50.0","26"
"Black","Wirral","66.7","12"
"Black","Wokingham","46.8","62"
"Black","Wolverhampton","38.0","332"
"Black","Worcestershire","37.5","32"
"Black","York","45.5","11"
"Black","Yorkshire and The Humber","38.0","1,397"
"Chinese","All - England","79.6","1,959"
"Chinese","Barking and Dagenham","80.0","10"
"Chinese","Barnet","95.2","42"
"Chinese","Barnsley","50.0","2"
"Chinese","Bath and North East Somerset","100.0","4"
"Chinese","Bedford","75.0","4"
"Chinese","Bexley","90.3","31"
"Chinese","Birmingham","81.1","53"
"Chinese","Blackburn with Darwen","!","1"
"Chinese","Blackpool","75.0","4"
"Chinese","Bolton","87.5","8"
"Chinese","Bournemouth, Christchurch and Poole","83.3","18"
"Chinese","Bracknell Forest","60.0","5"
"Chinese","Bradford","100.0","5"
"Chinese","Brent","50.0","4"
"Chinese","Brighton and Hove","72.7","11"
"Chinese","Bristol, City of","83.3","12"
"Chinese","Bromley","92.5","40"
"Chinese","Buckinghamshire","90.0","30"
"Chinese","Bury","62.5","8"
"Chinese","Calderdale","100.0","4"
"Chinese","Cambridgeshire","89.7","29"
"Chinese","Camden","75.0","4"
"Chinese","Central Bedfordshire","77.8","9"
"Chinese","Cheshire East","71.4","14"
"Chinese","Cheshire West and Chester","84.6","13"
"Chinese","Cornwall","77.8","9"
"Chinese","County Durham","90.0","10"
"Chinese","Coventry","66.7","9"
"Chinese","Croydon","82.4","17"
"Chinese","Cumbria","61.5","13"
"Chinese","Darlington","60.0","5"
"Chinese","Derby","87.5","8"
"Chinese","Derbyshire","76.5","17"
"Chinese","Devon","73.3","15"
"Chinese","Doncaster","50.0","6"
"Chinese","Dorset","50.0","2"
"Chinese","Dudley","75.0","4"
"Chinese","Ealing","86.7","15"
"Chinese","East Midlands","83.3","120"
"Chinese","East Riding of Yorkshire","N/A","0"
"Chinese","East Sussex","57.1","7"
"Chinese","East of England","83.8","235"
"Chinese","Enfield","54.5","11"
"Chinese","Essex","83.9","62"
"Chinese","Gateshead","88.9","9"
"Chinese","Gloucestershire","70.6","17"
"Chinese","Greenwich","85.7","21"
"Chinese","Hackney","68.8","16"
"Chinese","Halton","!","1"
"Chinese","Hammersmith and Fulham","66.7","9"
"Chinese","Hampshire","94.3","35"
"Chinese","Haringey","58.3","12"
"Chinese","Harrow","66.7","12"
"Chinese","Hartlepool","80.0","5"
"Chinese","Havering","92.3","13"
"Chinese","Herefordshire, County of","N/A","0"
"Chinese","Hertfordshire","87.1","62"
"Chinese","Hillingdon","71.4","7"
"Chinese","Hounslow","100.0","6"
"Chinese","Inner London","73.4","173"
"Chinese","Isle of Wight","!","1"
"Chinese","Isles of Scilly","N/A","0"
"Chinese","Islington","83.3","6"
"Chinese","Kensington and Chelsea","100.0","4"
"Chinese","Kent","85.7","63"
"Chinese","Kingston upon Hull, City of","!","1"
"Chinese","Kingston upon Thames","93.8","16"
"Chinese","Kirklees","83.3","6"
"Chinese","Knowsley","100.0","2"
"Chinese","Lambeth","66.7","15"
"Chinese","Lancashire","77.8","36"
"Chinese","Leeds","74.2","31"
"Chinese","Leicester","100.0","6"
"Chinese","Leicestershire","73.3","15"
"Chinese","Lewisham","70.4","27"
"Chinese","Lincolnshire","70.4","27"
"Chinese","Liverpool","79.2","48"
"Chinese","London","81.9","518"
"Chinese","Luton","100.0","4"
"Chinese","Manchester","65.7","35"
"Chinese","Medway","75.0","8"
"Chinese","Merton","57.1","7"
"Chinese","Middlesbrough","!","1"
"Chinese","Milton Keynes","61.5","13"
"Chinese","Newcastle upon Tyne","60.0","15"
"Chinese","Newham","71.4","14"
"Chinese","Norfolk","55.0","20"
"Chinese","North East","73.2","71"
"Chinese","North East Lincolnshire","!","1"
"Chinese","North Lincolnshire","66.7","3"
"Chinese","North Somerset","75.0","8"
"Chinese","North Tyneside","63.6","11"
"Chinese","North West","76.8","306"
"Chinese","North Yorkshire","76.9","13"
"Chinese","Northamptonshire","92.0","25"
"Chinese","Northumberland","!","4"
"Chinese","Nottingham","85.7","7"
"Chinese","Nottinghamshire","100.0","14"
"Chinese","Oldham","25.0","4"
"Chinese","Outer London","86.1","345"
"Chinese","Oxfordshire","56.3","16"
"Chinese","Peterborough","100.0","9"
"Chinese","Plymouth","45.5","11"
"Chinese","Portsmouth","71.4","7"
"Chinese","Reading","77.8","9"
"Chinese","Redbridge","85.7","21"
"Chinese","Redcar and Cleveland","100.0","2"
"Chinese","Richmond upon Thames","100.0","14"
"Chinese","Rochdale","N/A","0"
"Chinese","Rotherham","100.0","5"
"Chinese","Rutland","!","1"
"Chinese","Salford","25.0","4"
"Chinese","Sandwell","71.4","7"
"Chinese","Sefton","83.3","6"
"Chinese","Sheffield","60.0","25"
"Chinese","Shropshire","66.7","6"
"Chinese","Slough","100.0","6"
"Chinese","Solihull","37.5","8"
"Chinese","Somerset","57.1","7"
"Chinese","South East","82.5","285"
"Chinese","South Gloucestershire","71.4","7"
"Chinese","South Tyneside","!","1"
"Chinese","South West","74.2","132"
"Chinese","Southampton","87.5","8"
"Chinese","Southend-on-Sea","90.5","21"
"Chinese","Southwark","79.3","29"
"Chinese","St. Helens","75.0","4"
"Chinese","Staffordshire","72.0","25"
"Chinese","Stockport","61.5","13"
"Chinese","Stockton-on-Tees","50.0","4"
"Chinese","Stoke-on-Trent","71.4","7"
"Chinese","Suffolk","66.7","6"
"Chinese","Sunderland","100.0","4"
"Chinese","Surrey","87.9","33"
"Chinese","Sutton","88.9","45"
"Chinese","Swindon","100.0","4"
"Chinese","Tameside","50.0","2"
"Chinese","Telford and Wrekin","83.3","12"
"Chinese","Thurrock","88.9","9"
"Chinese","Torbay","83.3","6"
"Chinese","Tower Hamlets","66.7","9"
"Chinese","Trafford","94.5","55"
"Chinese","Wakefield","76.9","13"
"Chinese","Walsall","75.0","12"
"Chinese","Waltham Forest","69.2","13"
"Chinese","Wandsworth","88.9","9"
"Chinese","Warrington","100.0","10"
"Chinese","Warwickshire","86.7","15"
"Chinese","West Berkshire","88.9","9"
"Chinese","West Midlands","75.9","170"
"Chinese","West Sussex","78.9","19"
"Chinese","Westminster","78.9","19"
"Chinese","Wigan","60.0","5"
"Chinese","Wiltshire","75.0","12"
"Chinese","Windsor and Maidenhead","!","1"
"Chinese","Wirral","70.0","20"
"Chinese","Wokingham","100.0","4"
"Chinese","Wolverhampton","66.7","6"
"Chinese","Worcestershire","100.0","6"
"Chinese","York","71.4","7"
"Chinese","Yorkshire and The Humber","73.8","122"
"Mixed","All - England","50.2","29,481"
"Mixed","Barking and Dagenham","34.6","211"
"Mixed","Barnet","68.6","405"
"Mixed","Barnsley","54.9","51"
"Mixed","Bath and North East Somerset","46.4","112"
"Mixed","Bedford","37.5","160"
"Mixed","Bexley","59.1","208"
"Mixed","Birmingham","44.5","1,079"
"Mixed","Blackburn with Darwen","39.6","53"
"Mixed","Blackpool","30.2","53"
"Mixed","Bolton","38.3","141"
"Mixed","Bournemouth, Christchurch and Poole","60.3","146"
"Mixed","Bracknell Forest","40.0","55"
"Mixed","Bradford","38.4","281"
"Mixed","Brent","56.8","220"
"Mixed","Brighton and Hove","56.9","216"
"Mixed","Bristol, City of","42.9","280"
"Mixed","Bromley","53.7","341"
"Mixed","Buckinghamshire","59.7","360"
"Mixed","Bury","43.9","107"
"Mixed","Calderdale","56.1","114"
"Mixed","Cambridgeshire","56.4","287"
"Mixed","Camden","57.5","181"
"Mixed","Central Bedfordshire","55.7","140"
"Mixed","Cheshire East","43.8","105"
"Mixed","Cheshire West and Chester","51.4","72"
"Mixed","Cornwall","43.0","107"
"Mixed","County Durham","61.2","67"
"Mixed","Coventry","41.7","192"
"Mixed","Croydon","48.7","638"
"Mixed","Cumbria","46.2","78"
"Mixed","Darlington","40.6","32"
"Mixed","Derby","39.3","206"
"Mixed","Derbyshire","49.2","177"
"Mixed","Devon","50.7","138"
"Mixed","Doncaster","40.7","91"
"Mixed","Dorset","57.7","71"
"Mixed","Dudley","44.8","203"
"Mixed","Ealing","60.6","221"
"Mixed","East Midlands","44.9","2,288"
"Mixed","East Riding of Yorkshire","46.1","76"
"Mixed","East Sussex","48.3","232"
"Mixed","East of England","52.1","3,334"
"Mixed","Enfield","56.8","336"
"Mixed","Essex","52.2","657"
"Mixed","Gateshead","55.9","34"
"Mixed","Gloucestershire","53.2","265"
"Mixed","Greenwich","48.5","237"
"Mixed","Hackney","60.7","206"
"Mixed","Halton","59.4","32"
"Mixed","Hammersmith and Fulham","50.3","183"
"Mixed","Hampshire","53.9","427"
"Mixed","Haringey","52.3","283"
"Mixed","Harrow","53.6","181"
"Mixed","Hartlepool","38.5","13"
"Mixed","Havering","55.5","146"
"Mixed","Herefordshire, County of","60.0","35"
"Mixed","Hertfordshire","58.6","899"
"Mixed","Hillingdon","51.7","352"
"Mixed","Hounslow","52.7","262"
"Mixed","Inner London","53.7","2,927"
"Mixed","Isle of Wight","43.6","39"
"Mixed","Isles of Scilly","!","1"
"Mixed","Islington","49.3","213"
"Mixed","Kensington and Chelsea","60.3","141"
"Mixed","Kent","60.2","825"
"Mixed","Kingston upon Hull, City of","56.6","76"
"Mixed","Kingston upon Thames","69.8","182"
"Mixed","Kirklees","43.2","285"
"Mixed","Knowsley","26.7","15"
"Mixed","Lambeth","48.0","273"
"Mixed","Lancashire","44.6","325"
"Mixed","Leeds","41.5","453"
"Mixed","Leicester","37.1","256"
"Mixed","Leicestershire","53.6","317"
"Mixed","Lewisham","50.2","313"
"Mixed","Lincolnshire","55.8","208"
"Mixed","Liverpool","46.6","277"
"Mixed","London","54.2","8,088"
"Mixed","Luton","35.7","207"
"Mixed","Manchester","39.6","512"
"Mixed","Medway","56.4","181"
"Mixed","Merton","46.7","210"
"Mixed","Middlesbrough","46.9","64"
"Mixed","Milton Keynes","41.5","224"
"Mixed","Newcastle upon Tyne","62.8","94"
"Mixed","Newham","49.6","242"
"Mixed","Norfolk","51.3","228"
"Mixed","North East","55.1","563"
"Mixed","North East Lincolnshire","41.4","29"
"Mixed","North Lincolnshire","44.0","25"
"Mixed","North Somerset","47.5","59"
"Mixed","North Tyneside","50.9","53"
"Mixed","North West","45.4","2,984"
"Mixed","North Yorkshire","59.9","142"
"Mixed","Northamptonshire","43.9","424"
"Mixed","Northumberland","56.1","41"
