"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","48","%","50","24"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","66.7","%","36","24"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","47.2","%","2525","1193"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","63.2","%","19","12"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","64.7","%","17","11"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","63.6","%","555","353"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","72.7","%","11","8"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","83.3","%","6","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","49.8","%","733","365"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","47","%","100","47"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","51.9","%","77","40"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","80","%","10","8"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","45.3","%","3697","1675"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","55.3","%","3585","1981"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","34.6","%","211","73"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Boys","45.1","%","3498","1578"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Derbyshire","Local authority","E10000007","Girls","55.2","%","3421","1888"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Barking and Dagenham","Local authority","E09000002","All","38.7","%","936","362"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","46.2","%","937","433"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","54.7","%","897","491"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","67.9","%","4010","2724"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","37.3","%","233","87"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","46.3","%","229","106"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","84.3","%","560","472"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","100","%","2","2"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","100","%","4","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","56.1","%","513","288"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","32.8","%","131","43"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","41.6","%","125","52"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","95.2","%","42","40"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","37.7","%","1980","747"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","47.1","%","1918","903"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","68.6","%","405","278"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Boys","25.5","%","609","155"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Leicester","Local authority","E06000016","Girls","37.3","%","595","222"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Barnet","Local authority","E09000003","All","67.8","%","1951","1322"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","67.9","%","330","224"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","73.1","%","279","204"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","48","%","2303","1105"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","35.9","%","39","14"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","64.4","%","45","29"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","77.8","%","9","7"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","100","%","5","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","60","%","10","6"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","25","%","16","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","50.3","%","159","80"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","57","%","158","90"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","50","%","2","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","48","%","3844","1847"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","53.9","%","3569","1923"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","54.9","%","51","28"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Boys","46","%","3272","1504"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Leicestershire","Local authority","E10000018","Girls","51.9","%","3022","1568"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Barnsley","Local authority","E08000016","All","50.9","%","2082","1059"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","87.8","%","82","72"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","82","%","61","50"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","54.2","%","2166","1174"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","66.7","%","12","8"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","72.2","%","18","13"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","66.7","%","30","20"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","57.1","%","14","8"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","84.6","%","13","11"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","41.7","%","24","10"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","51.5","%","103","53"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","60","%","105","63"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","100","%","4","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","45.6","%","3894","1777"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","53.2","%","3816","2030"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","46.4","%","112","52"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Boys","44.9","%","3565","1599"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Lincolnshire","Local authority","E10000019","Girls","52.7","%","3525","1859"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Bath and North East Somerset","Local authority","E06000022","All","55.2","%","1845","1019"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","63.2","%","174","110"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","63","%","200","126"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","43.4","%","1943","843"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","39.7","%","204","81"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","47.6","%","206","98"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","41.6","%","286","119"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","93.3","%","15","14"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","90","%","10","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","40.4","%","136","55"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","42.4","%","210","89"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","45.3","%","214","97"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","75","%","4","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","43.2","%","3931","1700"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","50.2","%","3842","1929"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","37.5","%","160","60"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Boys","42.4","%","3251","1377"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Northamptonshire","Local authority","E10000021","Girls","49.9","%","3172","1583"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Bedford","Local authority","E06000055","All","44.3","%","1308","580"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","46.1","%","256","118"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","53.4","%","264","141"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","55.9","%","3150","1760"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","32.4","%","185","60"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","41.6","%","173","72"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","75.9","%","266","202"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","75","%","4","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","100","%","3","3"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","62.5","%","662","414"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","29.5","%","183","54"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","34.8","%","164","57"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","90.3","%","31","28"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","35.3","%","1496","528"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","43.3","%","1400","606"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","59.1","%","208","123"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Boys","34.3","%","796","273"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Nottingham","Local authority","E06000018","Girls","40.8","%","725","296"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Bexley","Local authority","E09000004","All","49.5","%","1888","934"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","67","%","115","77"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","75","%","96","72"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","47.5","%","13973","6636"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","36.9","%","65","24"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","57.4","%","54","31"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","51.1","%","5440","2778"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","100","%","9","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","100","%","5","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","40","%","1888","755"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","50.3","%","167","84"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","51.4","%","173","89"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","81.1","%","53","43"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","47.9","%","4194","2008"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","54.8","%","3900","2136"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","44.5","%","1079","480"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Boys","47.3","%","3747","1774"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Nottinghamshire","Local authority","E10000024","Girls","54.7","%","3489","1910"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Birmingham","Local authority","E08000025","All","47.6","%","4464","2123"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Rutland","Local authority","E06000017","Boys","!","%","1","!"
