"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","ONS geography code","Gender","FSM","SEN","Admission_Basis","Type_of_school","Religious_character","Value","Value_Type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","42.6","%","455815"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","92.9","%","23192"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","13.5","%","73530"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","48.3","%","448849"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","16.5","%","54033"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","5.3","%","19497"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","21.6","%","66365"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","53","%","47127"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","53.6","%","36343"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","53.4","%","2491"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","68","%","97"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","69.6","%","46"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","67.5","%","772"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","49.8","%","46521"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","69","%","810"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","53.9","%","4001"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","58","%","283"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","50.2","%","55737"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","58.6","%","25479"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","61.3","%","1291"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","0","%","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","45.6","%","18640"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","39.8","%","9231"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","0.4","%","711"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","22.4","%","76"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","30.5","%","266"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","43","%","2009"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","47.3","%","48782"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","96.1","%","4230"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","13.4","%","5520"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","54.3","%","50214"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","15.8","%","4101"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","6.4","%","1419"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","35.2","%","8610"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","60.8","%","7905"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","58.3","%","8938"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","38.9","%","1033"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","52.4","%","7128"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","49.1","%","9384"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","38.9","%","2256"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","63.4","%","13618"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","62","%","14575"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","43.1","%","957"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","42.3","%","18476"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","40.1","%","22840"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","30.6","%","4364"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","41.6","%","23037"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","41.2","%","18236"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","39.3","%","2573"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","0","%","1"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","41.4","%","29"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","67.2","%","67"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","38.5","%","19768"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","40.3","%","504"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","43.6","%","5383"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","25","%","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","38.8","%","28949"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","44.8","%","10735"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","45.1","%","588"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","0","%","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","36.7","%","10056"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","35.5","%","6670"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","0","%","616"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","29.4","%","34"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","24.4","%","209"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","40.8","%","1226"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","37.6","%","26181"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","95.3","%","922"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","9.7","%","4199"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","43.7","%","24745"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","11.7","%","3039"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","4.4","%","1160"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","27.7","%","5912"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","35.9","%","2916"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","33.2","%","3658"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","22.4","%","742"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","46.9","%","14719"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","44.3","%","18358"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","33.7","%","3639"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","30.1","%","5402"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","26.9","%","6933"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","15.7","%","1531"
