"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Cheshire East","31.9","3,537","42.6","61","50.0","12","62.5","8","32.9","85","31.6","3,328"
"Cheshire West and Chester","44.3","3,298","56.7","30","58.3","12","70.0","10","44.1","59","44.0","3,161"
"City of London","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Cornwall","30.6","5,117","43.8","16","20.0","5","16.7","6","36.6","82","30.5","4,940"
"County Durham","33.8","4,614","43.8","32","45.5","11","66.7","6","46.9","49","34.0","4,434"
"Coventry","38.9","3,377","52.4","687","51.0","335","50.0","6","37.0","192","32.5","2,105"
"Croydon","45.5","3,452","46.8","472","44.8","998","69.2","13","49.9","499","46.1","1,268"
"Cumbria","33.8","4,689","53.3","30","33.3","15","46.7","15","42.4","59","33.7","4,407"
"Darlington","44.6","1,097","43.8","32","60.0","5","50.0","4","56.3","32","43.9","1,008"
"Derby","41.0","2,747","59.8","487","35.4","96","58.3","12","32.2","174","37.5","1,925"
"Derbyshire","32.1","7,069","42.9","70","63.0","27","41.7","12","33.9","171","31.9","6,739"
"Devon","37.5","6,559","69.6","23","40.0","5","61.5","13","33.9","109","37.5","6,179"
"Doncaster","19.0","2,903","27.4","95","18.5","27","40.0","5","20.6","68","18.5","2,677"
"Dorset","41.6","3,989","60.7","28","28.6","7","41.7","12","58.2","79","41.1","3,827"
"Dudley","34.9","3,283","39.1","302","35.4","82","100.0","4","42.5","181","33.6","2,643"
"Ealing","54.3","2,853","42.7","824","45.6","563","81.8","11","64.4","222","65.4","837"
"East Riding of Yorkshire","31.7","3,151","71.4","7","33.3","3","0.0","3","32.8","58","31.7","3,032"
"East Sussex","29.1","4,665","60.0","80","36.0","25","66.7","12","31.1","183","28.4","4,274"
"Enfield","52.7","3,414","73.2","299","46.8","852","100.0","17","52.1","336","50.1","1,619"
"Essex","32.9","14,040","59.5","380","45.7","440","63.4","41","37.7","546","31.2","12,382"
"Gateshead","38.4","1,885","65.9","44","42.9","21","100.0","5","60.0","20","36.9","1,729"
"Gloucestershire","34.7","6,006","54.5","176","38.0","71","66.7","15","38.5","231","33.7","5,417"
"Greenwich","50.9","2,269","55.8","197","55.8","747","62.5","16","51.1","227","45.5","1,011"
"Hackney","55.6","2,058","56.2","258","55.7","758","77.8","9","50.0","172","55.8","713"
"Halton","45.8","1,333","50.0","4","N/A","0","0.0","1","80.6","31","44.8","1,281"
"Hammersmith and Fulham","64.6","1,291","57.9","114","57.1","315","58.3","12","68.3","126","72.3","567"
"Hampshire","35.3","12,497","50.8","319","43.9","123","54.1","37","45.5","323","34.2","11,536"
"Haringey","44.2","2,190","49.4","158","33.2","566","55.6","9","44.6","222","48.6","1,021"
"Harrow","59.9","2,044","65.5","912","57.6","311","50.0","8","62.9","167","49.7","507"
"Hartlepool","26.9","1,016","60.0","25","50.0","4","100.0","1","17.6","17","26.1","966"
"Havering","49.1","2,774","60.3","146","47.0","366","85.7","7","49.0","143","48.4","2,025"
"Herefordshire, County of","40.3","1,644","85.7","7","0.0","3","50.0","2","51.4","37","39.9","1,580"
"Hertfordshire","46.7","12,372","61.6","947","49.6","532","58.5","65","50.9","797","44.7","9,820"
"Hillingdon","45.7","3,064","62.1","715","39.1","345","75.0","4","44.8","339","36.5","1,410"
"Hounslow","62.2","2,666","72.3","805","61.6","346","100.0","3","60.8","237","56.4","915"
"Isle of Wight","23.7","1,070","20.0","5","50.0","2","N/A","0","46.7","15","23.4","1,042"
"Isles of Scilly","53.3","15","N/A","0","N/A","0","N/A","0","0.0","1","53.8","13"
"Islington","40.1","1,404","30.2","179","38.9","406","66.7","9","39.8","181","41.7","484"
"Kensington and Chelsea","24.8","718","29.3","41","24.0","121","50.0","2","22.7","119","28.1","260"
"Kent","40.7","15,516","59.2","581","53.4","393","75.4","57","49.2","716","38.9","13,479"
"Kingston upon Hull, City of","48.4","2,307","58.8","34","61.1","36","100.0","2","58.2","55","50.1","2,036"
"Kingston upon Thames","62.8","1,515","79.9","384","50.0","76","83.3","12","58.2","134","56.1","841"
"Kirklees","41.6","4,488","50.3","1,235","26.3","80","73.3","15","29.9","254","39.2","2,861"
"Knowsley","31.1","929","25.0","4","0.0","2","0.0","1","41.7","12","31.2","900"
"Lambeth","53.5","2,114","56.3","96","52.5","1,012","75.0","16","49.2","258","57.8","540"
"Lancashire","29.7","11,631","34.2","1,347","26.8","41","66.7","36","32.9","258","28.9","9,797"
"Leeds","37.3","7,598","47.0","956","49.4","476","73.7","38","41.2","369","35.7","5,344"
"Leicester","30.7","3,511","40.6","1,719","34.5","365","14.3","7","21.4","229","16.0","1,108"
"Leicestershire","34.6","6,837","54.3","547","44.9","78","58.3","12","37.3","260","32.4","5,877"
"Lewisham","43.7","2,104","44.8","125","40.6","902","36.0","25","44.4","297","46.8","596"
"Lincolnshire","40.9","7,255","85.0","80","67.7","31","68.0","25","53.1","162","40.0","6,878"
"Liverpool","34.2","4,461","57.8","128","31.5","181","50.0","44","33.8","228","33.4","3,748"
"Luton","30.2","2,567","38.7","1,177","24.5","282","75.0","8","26.2","183","21.0","863"
"Manchester","33.5","4,734","42.9","1,068","35.5","815","46.7","45","34.4","375","27.0","2,081"
"Medway","40.7","2,899","59.0","156","54.0","124","71.4","7","41.9","136","38.8","2,424"
"Merton","49.3","1,404","56.5","232","45.6","261","60.0","10","40.3","149","49.5","677"
"Middlesbrough","22.4","1,337","29.4","177","38.9","18","0.0","2","20.5","44","21.4","1,021"
"Milton Keynes","44.9","2,774","55.8","240","54.3","376","54.5","11","42.2","192","41.6","1,892"
"Newcastle upon Tyne","41.1","2,438","56.3","268","56.0","91","68.8","16","71.4","77","36.7","1,906"
"Newham","64.9","3,745","71.4","1,710","65.5","890","66.7","9","60.5","210","48.1","657"
"Norfolk","33.8","7,486","54.3","94","40.9","88","61.1","18","38.1","181","33.3","6,995"
"North East Lincolnshire","32.9","1,558","40.0","15","33.3","3","50.0","2","47.8","23","35.6","1,360"
"North Lincolnshire","30.2","1,680","31.4","70","30.0","10","33.3","3","36.0","25","30.2","1,526"
"North Somerset","32.0","2,085","25.0","32","26.7","15","75.0","4","42.6","54","31.8","1,970"
"North Tyneside","37.3","1,879","52.9","34","44.4","9","0.0","5","46.7","30","36.9","1,782"
"North Yorkshire","39.8","5,971","53.2","111","58.3","24","80.0","5","50.9","110","39.2","5,654"
"Northamptonshire","38.3","7,323","47.2","343","35.9","334","57.1","28","36.0","333","37.8","6,196"
"Northumberland","29.7","3,056","51.2","41","16.7","6","0.0","3","35.9","39","29.6","2,933"
"Nottingham","29.3","2,539","44.5","467","31.2","285","45.5","11","26.7","240","23.0","1,441"
"Nottinghamshire","36.1","7,494","51.6","213","41.1","90","62.5","24","35.0","277","35.4","6,792"
"Oldham","23.5","2,957","14.7","894","45.9","85","57.1","7","25.2","107","26.7","1,781"
"Oxfordshire","34.0","5,886","25.9","293","27.8","126","72.0","25","31.5","324","35.2","4,944"
"Peterborough","35.3","2,305","37.5","365","43.8","80","85.7","7","36.2","130","34.0","1,679"
"Plymouth","40.4","2,480","70.0","20","53.3","15","53.8","13","29.8","47","39.9","2,339"
"Poole","39.7","1,306","50.0","38","25.0","4","57.1","7","49.1","53","39.1","1,188"
"Portsmouth","45.0","1,686","54.2","96","44.4","45","80.0","5","36.1","61","44.1","1,437"
"Reading","38.5","1,076","51.7","211","20.7","87","90.0","20","36.3","91","34.6","621"
"Redbridge","43.8","3,508","52.8","1,858","31.4","507","83.3","24","35.1","231","32.4","797"
"Redcar and Cleveland","22.7","1,517","15.4","26","50.0","2","33.3","3","37.5","16","22.5","1,459"
"Richmond upon Thames","54.5","1,479","63.1","111","40.3","62","66.7","6","53.8","145","54.4","1,110"
"Rochdale","20.6","2,231","26.3","617","22.7","66","25.0","8","25.7","74","17.5","1,430"
"Rotherham","23.8","3,141","12.5","272","35.7","28","62.5","8","22.1","68","24.8","2,739"
"Rutland","27.2","459","75.0","4","25.0","4","N/A","0","50.0","10","26.4","439"
"Salford","32.4","2,082","57.1","42","46.7","90","40.0","5","38.4","99","30.1","1,786"
"Sandwell","20.8","3,634","23.7","1,066","18.9","318","25.0","4","18.7","241","19.9","1,896"
"Sefton","33.8","2,855","36.4","33","57.1","14","66.7","6","38.3","60","34.1","2,662"
"Sheffield","35.7","4,993","46.2","550","40.0","230","63.2","19","31.0","294","33.1","3,683"
"Shropshire","37.1","2,850","32.1","28","50.0","8","45.5","11","34.5","58","37.2","2,695"
"Slough","41.5","1,679","43.4","891","38.8","139","50.0","6","46.6","133","37.1","429"
"Solihull","37.7","2,917","50.8","319","31.8","88","71.4","7","30.7","218","36.3","2,204"
"Somerset","31.9","4,606","23.8","42","30.0","10","66.7","9","32.1","84","31.9","4,421"
"South Gloucestershire","29.8","2,498","37.3","75","17.9","39","60.0","5","33.3","99","29.6","2,251"
"South Tyneside","26.1","1,462","51.7","58","42.9","7","0.0","1","60.0","25","24.7","1,324"
"Southampton","33.9","1,893","32.5","203","35.4","48","83.3","6","34.0","103","33.8","1,511"
"Southend-on-Sea","43.8","2,019","64.5","200","63.9","133","69.2","13","34.9","83","39.8","1,565"
"Southwark","61.7","2,386","68.1","138","56.0","1,064","86.7","30","65.8","260","62.9","645"
"St. Helens","37.8","1,732","42.9","14","33.3","6","66.7","3","41.4","29","38.6","1,634"
"Staffordshire","33.9","8,288","36.9","287","37.2","43","68.4","19","31.4","229","33.6","7,642"
"Stockport","40.6","2,571","50.3","151","37.0","27","62.5","16","43.5","108","39.7","2,239"
"Stockton-on-Tees","38.9","1,929","50.4","117","46.7","15","40.0","5","39.0","41","38.1","1,739"
"Stoke-on-Trent","27.2","2,168","31.8","355","28.8","66","60.0","5","35.0","80","25.7","1,636"
"Suffolk","31.0","6,775","39.7","116","27.3","55","66.7","6","31.2","263","30.8","6,206"
"Sunderland","41.9","2,608","74.0","96","64.3","14","50.0","4","45.5","33","40.4","2,446"
"Surrey","45.6","9,841","52.5","604","43.1","195","54.8","31","49.7","495","44.7","8,356"
"Sutton","54.8","2,719","75.9","636","55.4","224","80.0","40","56.7","238","44.7","1,519"
"Swindon","32.1","2,029","27.7","238","35.0","40","100.0","2","32.6","92","32.3","1,605"
"Tameside","31.3","2,512","23.2","302","31.0","42","57.1","7","26.1","88","32.8","2,053"
"Telford and Wrekin","44.9","1,934","55.1","127","58.8","51","90.9","11","37.5","80","43.8","1,654"
"Thurrock","41.4","1,634","67.6","71","50.0","162","66.7","12","41.4","70","39.2","1,271"
"Torbay","28.2","1,409","61.1","18","0.0","3","85.7","7","45.5","33","28.5","1,267"
"Tower Hamlets","46.4","2,721","54.5","1,865","31.8","302","25.0","4","29.7","111","26.4","299"
"Trafford","52.7","2,850","56.8","377","48.4","95","75.6","41","50.8","185","51.6","2,079"
"Wakefield","28.2","3,406","37.6","125","37.0","46","50.0","10","38.0","79","27.2","3,123"
"Walsall","35.0","3,233","48.6","716","40.0","160","50.0","4","30.0","180","30.4","2,142"
"Waltham Forest","48.3","2,484","49.7","743","45.2","546","69.2","13","48.1","237","49.3","840"
"Wandsworth","58.4","1,707","66.8","334","51.8","475","85.7","7","66.5","224","54.3","565"
"Warrington","33.4","2,365","56.9","51","21.4","14","60.0","10","38.2","68","32.8","2,184"
"Warwickshire","38.2","5,466","62.1","293","41.5","41","55.6","18","44.4","205","36.5","4,809"
"West Berkshire","46.4","1,741","45.8","48","37.9","29","66.7","3","45.6","68","47.2","1,562"
"West Sussex","36.7","7,578","46.4","330","32.2","115","45.5","22","34.3","286","36.4","6,736"
"Westminster","50.8","1,495","47.7","216","40.8","353","73.3","15","45.1","133","62.0","371"
"Wigan","24.2","3,221","51.7","29","31.3","32","25.0","8","12.7","55","24.0","3,070"
"Wiltshire","32.7","4,631","39.3","56","35.6","45","58.3","12","40.5","121","32.9","4,241"
"Windsor and Maidenhead","49.0","1,489","52.1","192","61.3","31","80.0","5","52.9","121","47.6","1,090"
"Wirral","49.5","3,237","72.9","59","33.3","6","75.0","16","61.2","85","48.7","3,035"
"Wokingham","51.4","1,636","58.4","185","50.9","57","57.1","14","47.2","89","50.6","1,253"
"Wolverhampton","27.2","2,612","45.3","578","26.3","266","42.9","7","20.8","269","21.4","1,454"
"Worcestershire","41.6","5,273","31.1","196","41.7","24","61.5","13","43.7","167","42.2","4,830"
"York","51.5","1,620","46.4","28","36.4","11","66.7","3","50.0","40","51.5","1,521"
