"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Doncaster","19.0","16.6","21.7","27.4","29.6","24.4","18.5","14.3","23.1","40.0","50.0","33.3","20.6","17.1","25.9","18.5","15.6","21.4"
"Dorset","41.6","39.2","44.2","60.7","68.8","50.0","28.6","25.0","33.3","41.7","33.3","44.4","58.2","57.7","59.3","41.1","38.5","44.0"
"Dudley","34.9","28.5","41.8","39.1","31.8","46.1","35.4","37.5","32.4","100.0","100.0","100.0","42.5","38.5","47.1","33.6","26.9","40.7"
"Ealing","54.3","48.3","60.1","42.7","38.2","46.9","45.6","36.0","55.1","81.8","87.5","66.7","64.4","52.8","75.0","65.4","60.7","70.0"
"East Riding of Yorkshire","31.7","23.8","39.7","71.4","60.0","100.0","33.3","33.3","N/A","0.0","0.0","N/A","32.8","21.9","46.2","31.7","23.8","39.6"
"East Sussex","29.1","22.7","35.9","60.0","53.3","64.0","36.0","46.7","20.0","66.7","100.0","55.6","31.1","21.3","38.8","28.4","22.2","35.2"
"Enfield","52.7","47.4","58.2","73.2","66.2","81.0","46.8","40.3","53.6","100.0","100.0","100.0","52.1","44.3","60.6","50.1","46.4","54.0"
"Essex","32.9","27.4","38.6","59.5","52.8","68.1","45.7","33.2","56.3","63.4","55.0","71.4","37.7","30.2","45.4","31.2","26.2","36.5"
"Gateshead","38.4","33.4","43.6","65.9","67.7","61.5","42.9","36.4","50.0","100.0","100.0","100.0","60.0","57.1","61.5","36.9","31.5","42.5"
"Gloucestershire","34.7","30.9","38.7","54.5","45.4","65.8","38.0","42.9","33.3","66.7","50.0","85.7","38.5","36.3","40.7","33.7","29.9","37.7"
"Greenwich","50.9","49.7","52.2","55.8","58.5","52.7","55.8","55.3","56.3","62.5","70.0","50.0","51.1","42.9","60.2","45.5","44.1","46.9"
"Hackney","55.6","53.3","57.5","56.2","59.0","53.7","55.7","48.6","60.8","77.8","50.0","100.0","50.0","49.4","50.6","55.8","55.2","56.3"
"Halton","45.8","42.5","49.1","50.0","50.0","50.0","N/A","N/A","N/A","0.0","N/A","0.0","80.6","83.3","76.9","44.8","41.4","48.3"
"Hammersmith and Fulham","64.6","60.7","68.5","57.9","52.4","64.7","57.1","58.9","55.5","58.3","57.1","60.0","68.3","59.6","75.4","72.3","65.6","79.1"
"Hampshire","35.3","30.9","39.9","50.8","44.8","57.8","43.9","38.1","50.0","54.1","55.6","52.6","45.5","39.6","51.2","34.2","30.0","38.7"
"Haringey","44.2","38.4","50.0","49.4","40.0","57.8","33.2","28.1","39.0","55.6","60.0","50.0","44.6","35.8","53.1","48.6","44.4","52.7"
"Harrow","59.9","52.6","66.9","65.5","57.5","73.7","57.6","47.1","65.9","50.0","25.0","75.0","62.9","55.3","70.7","49.7","45.2","53.8"
"Hartlepool","26.9","16.9","36.9","60.0","38.5","83.3","50.0","N/A","50.0","100.0","N/A","100.0","17.6","22.2","12.5","26.1","16.3","36.0"
"Havering","49.1","45.6","52.9","60.3","63.5","56.9","47.0","37.9","55.6","85.7","50.0","100.0","49.0","51.9","45.3","48.4","45.0","52.1"
"Herefordshire, County of","40.3","33.3","47.7","85.7","100.0","80.0","0.0","0.0","0.0","50.0","50.0","N/A","51.4","53.8","50.0","39.9","33.3","47.2"
"Hertfordshire","46.7","42.0","51.6","61.6","58.6","65.0","49.6","42.5","56.5","58.5","50.0","64.9","50.9","47.9","54.1","44.7","39.8","49.7"
"Hillingdon","45.7","40.6","51.0","62.1","56.8","67.1","39.1","35.3","42.9","75.0","66.7","100.0","44.8","38.9","51.6","36.5","30.8","42.5"
"Hounslow","62.2","59.7","64.8","72.3","68.6","75.9","61.6","59.7","63.6","100.0","N/A","100.0","60.8","61.1","60.4","56.4","55.6","57.2"
"Isle of Wight","23.7","21.6","25.9","20.0","N/A","20.0","50.0","N/A","50.0","N/A","N/A","N/A","46.7","50.0","42.9","23.4","21.3","25.6"
"Isles of Scilly","53.3","25.0","85.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0","0.0","N/A","53.8","28.6","83.3"
"Islington","40.1","47.5","31.8","30.2","42.2","18.0","38.9","49.1","27.1","66.7","80.0","50.0","39.8","42.2","36.1","41.7","46.3","37.2"
"Kensington and Chelsea","24.8","24.0","25.9","29.3","33.3","26.1","24.0","20.0","29.4","50.0","N/A","50.0","22.7","22.6","22.8","28.1","30.1","24.5"
"Kent","40.7","33.6","48.1","59.2","52.3","67.2","53.4","49.8","57.8","75.4","70.4","80.0","49.2","40.1","58.0","38.9","31.9","46.3"
"Kingston upon Hull, City of","48.4","44.0","53.3","58.8","63.2","53.3","61.1","44.4","77.8","100.0","100.0","100.0","58.2","63.0","53.6","50.1","44.4","56.8"
"Kingston upon Thames","62.8","59.6","65.8","79.9","73.2","86.1","50.0","43.2","56.4","83.3","100.0","77.8","58.2","56.3","60.0","56.1","55.0","57.2"
"Kirklees","41.6","33.9","49.3","50.3","42.4","57.9","26.3","26.2","26.3","73.3","57.1","87.5","29.9","26.3","33.9","39.2","31.1","47.4"
"Knowsley","31.1","27.0","35.3","25.0","0.0","50.0","0.0","0.0","N/A","0.0","0.0","N/A","41.7","37.5","50.0","31.2","27.3","35.2"
"Lambeth","53.5","45.7","61.5","56.3","52.4","63.6","52.5","44.1","60.3","75.0","87.5","62.5","49.2","45.0","55.1","57.8","47.3","68.8"
"Lancashire","29.7","25.0","34.6","34.2","24.4","44.2","26.8","31.8","21.1","66.7","61.5","69.6","32.9","26.7","39.8","28.9","25.0","33.0"
"Leeds","37.3","32.3","42.7","47.0","40.0","56.4","49.4","39.7","59.4","73.7","64.7","81.0","41.2","34.2","48.1","35.7","31.1","40.5"
"Leicester","30.7","25.4","36.4","40.6","35.2","46.6","34.5","25.0","44.2","14.3","0.0","25.0","21.4","16.4","26.5","16.0","11.4","20.8"
"Leicestershire","34.6","29.2","40.4","54.3","47.7","61.1","44.9","36.6","54.1","58.3","75.0","50.0","37.3","33.1","41.7","32.4","27.1","38.0"
"Lewisham","43.7","35.8","51.5","44.8","38.6","52.7","40.6","30.1","51.5","36.0","40.0","30.0","44.4","40.7","47.8","46.8","38.8","54.6"
"Lincolnshire","40.9","34.6","47.5","85.0","80.0","88.9","67.7","53.8","77.8","68.0","58.8","87.5","53.1","49.3","56.2","40.0","33.7","46.7"
"Liverpool","34.2","29.8","38.3","57.8","54.1","61.2","31.5","26.1","37.1","50.0","45.8","55.0","33.8","32.7","34.7","33.4","28.9","37.8"
"Luton","30.2","28.0","32.7","38.7","36.2","41.2","24.5","22.7","26.2","75.0","66.7","80.0","26.2","23.3","28.9","21.0","19.5","22.7"
"Manchester","33.5","25.2","41.9","42.9","23.6","62.3","35.5","31.1","39.8","46.7","44.0","50.0","34.4","22.8","46.7","27.0","23.3","30.7"
"Medway","40.7","33.2","47.9","59.0","49.4","68.4","54.0","40.4","62.3","71.4","50.0","100.0","41.9","37.7","46.3","38.8","31.6","46.0"
"Merton","49.3","41.9","57.1","56.5","43.1","69.8","45.6","34.7","55.0","60.0","66.7","50.0","40.3","31.3","51.5","49.5","45.3","53.8"
"Middlesbrough","22.4","17.1","27.8","29.4","15.7","41.5","38.9","25.0","50.0","0.0","0.0","N/A","20.5","18.8","21.4","21.4","17.5","25.8"
"Milton Keynes","44.9","38.6","51.5","55.8","50.4","61.5","54.3","47.1","61.6","54.5","75.0","42.9","42.2","36.7","49.4","41.6","35.1","48.4"
"Newcastle upon Tyne","41.1","39.9","42.5","56.3","56.0","56.7","56.0","54.8","57.1","68.8","40.0","81.8","71.4","68.4","74.4","36.7","36.3","37.0"
"Newham","64.9","60.5","69.3","71.4","67.7","75.4","65.5","60.3","70.1","66.7","75.0","60.0","60.5","50.5","69.7","48.1","42.8","53.1"
"Norfolk","33.8","28.9","39.0","54.3","52.2","56.3","40.9","34.1","47.7","61.1","71.4","54.5","38.1","37.0","39.5","33.3","28.2","38.5"
"North East Lincolnshire","32.9","26.5","39.5","40.0","14.3","62.5","33.3","0.0","50.0","50.0","N/A","50.0","47.8","53.8","40.0","35.6","28.2","43.4"
"North Lincolnshire","30.2","25.5","35.4","31.4","28.2","35.5","30.0","28.6","33.3","33.3","0.0","100.0","36.0","0.0","50.0","30.2","25.5","35.5"
"North Somerset","32.0","26.9","37.1","25.0","23.5","26.7","26.7","33.3","16.7","75.0","75.0","N/A","42.6","32.1","53.8","31.8","26.5","37.0"
"North Tyneside","37.3","28.9","45.8","52.9","40.9","75.0","44.4","37.5","100.0","0.0","0.0","0.0","46.7","30.8","58.8","36.9","28.6","45.3"
"North Yorkshire","39.8","33.0","47.0","53.2","36.7","72.5","58.3","55.6","60.0","80.0","100.0","66.7","50.9","43.6","58.2","39.2","32.5","46.3"
"Northamptonshire","38.3","34.1","42.7","47.2","43.2","50.5","35.9","27.3","45.6","57.1","50.0","61.1","36.0","31.6","39.9","37.8","33.9","42.1"
"Northumberland","29.7","24.7","34.9","51.2","55.0","47.6","16.7","0.0","50.0","0.0","0.0","N/A","35.9","36.0","35.7","29.6","24.4","35.0"
"Nottingham","29.3","20.5","37.9","44.5","27.8","60.4","31.2","24.4","37.3","45.5","57.1","25.0","26.7","18.9","36.1","23.0","15.8","30.2"
"Nottinghamshire","36.1","30.1","42.4","51.6","40.3","66.0","41.1","35.6","46.7","62.5","50.0","80.0","35.0","27.6","42.0","35.4","29.6","41.5"
"Oldham","23.5","18.5","28.7","14.7","10.2","18.9","45.9","27.8","59.2","57.1","50.0","60.0","25.2","25.0","25.5","26.7","21.6","32.2"
"Oxfordshire","34.0","28.8","39.4","25.9","22.8","29.8","27.8","23.1","32.8","72.0","50.0","82.4","31.5","24.1","39.2","35.2","30.1","40.4"
"Peterborough","35.3","28.6","42.9","37.5","29.6","46.0","43.8","43.9","43.6","85.7","83.3","100.0","36.2","28.4","46.4","34.0","27.4","41.4"
"Plymouth","40.4","33.8","47.2","70.0","55.6","81.8","53.3","37.5","71.4","53.8","55.6","50.0","29.8","34.8","25.0","39.9","33.1","47.0"
"Poole","39.7","36.4","43.3","50.0","33.3","60.9","25.0","0.0","33.3","57.1","50.0","60.0","49.1","52.9","42.1","39.1","36.0","42.5"
"Portsmouth","45.0","43.6","46.6","54.2","56.5","52.0","44.4","43.8","44.8","80.0","50.0","100.0","36.1","33.3","42.1","44.1","42.8","45.6"
"Reading","38.5","35.1","42.5","51.7","47.7","55.9","20.7","23.4","17.5","90.0","91.7","87.5","36.3","25.6","44.2","34.6","31.1","39.1"
"Redbridge","43.8","38.0","50.3","52.8","46.3","60.4","31.4","24.1","38.0","83.3","70.0","92.9","35.1","26.3","44.2","32.4","28.3","37.0"
"Redcar and Cleveland","22.7","17.5","28.2","15.4","12.5","20.0","50.0","50.0","N/A","33.3","33.3","N/A","37.5","44.4","28.6","22.5","17.0","28.4"
"Richmond upon Thames","54.5","50.6","58.3","63.1","54.0","75.0","40.3","36.7","43.8","66.7","66.7","66.7","53.8","45.1","62.2","54.4","52.1","56.6"
"Rochdale","20.6","16.7","24.7","26.3","23.5","29.0","22.7","21.9","23.5","25.0","25.0","25.0","25.7","18.4","33.3","17.5","13.4","21.9"
"Rotherham","23.8","19.5","28.0","12.5","7.9","17.4","35.7","15.4","53.3","62.5","33.3","80.0","22.1","22.2","21.9","24.8","20.7","28.8"
"Rutland","27.2","22.2","32.4","75.0","50.0","100.0","25.0","0.0","50.0","N/A","N/A","N/A","50.0","57.1","33.3","26.4","21.2","31.8"
"Salford","32.4","25.7","38.9","57.1","50.0","66.7","46.7","41.9","51.1","40.0","100.0","25.0","38.4","27.7","48.1","30.1","23.2","36.7"
"Sandwell","20.8","17.9","23.9","23.7","19.8","28.5","18.9","14.2","23.3","25.0","25.0","N/A","18.7","14.8","22.2","19.9","17.8","22.1"
"Sefton","33.8","29.2","38.8","36.4","28.6","50.0","57.1","33.3","75.0","66.7","100.0","33.3","38.3","31.3","46.4","34.1","29.3","39.2"
"Sheffield","35.7","31.2","40.5","46.2","40.8","52.1","40.0","30.7","49.1","63.2","60.0","66.7","31.0","25.2","36.4","33.1","29.4","37.1"
"Shropshire","37.1","32.9","41.6","32.1","29.4","36.4","50.0","33.3","60.0","45.5","50.0","33.3","34.5","30.3","40.0","37.2","33.0","41.6"
"Slough","41.5","32.4","49.5","43.4","35.6","50.4","38.8","14.9","61.1","50.0","50.0","50.0","46.6","43.5","49.3","37.1","28.6","44.3"
"Solihull","37.7","33.2","42.3","50.8","47.3","55.5","31.8","22.0","44.7","71.4","33.3","100.0","30.7","29.8","31.6","36.3","31.5","41.2"
"Somerset","31.9","26.4","37.8","23.8","19.0","28.6","30.0","33.3","28.6","66.7","50.0","80.0","32.1","20.5","45.0","31.9","26.5","37.7"
"South Gloucestershire","29.8","24.7","35.1","37.3","20.0","48.9","17.9","15.4","23.1","60.0","0.0","100.0","33.3","22.4","44.0","29.6","25.3","34.1"
"South Tyneside","26.1","22.2","29.9","51.7","55.6","48.4","42.9","25.0","66.7","0.0","0.0","N/A","60.0","46.2","75.0","24.7","20.7","28.5"
"Southampton","33.9","31.1","36.8","32.5","36.4","28.8","35.4","32.0","39.1","83.3","100.0","50.0","34.0","28.6","38.9","33.8","30.5","37.2"
"Southend-on-Sea","43.8","37.4","50.5","64.5","59.3","71.3","63.9","56.8","72.9","69.2","60.0","75.0","34.9","21.1","46.7","39.8","33.3","46.4"
"Southwark","61.7","54.1","69.1","68.1","56.1","79.2","56.0","47.6","63.3","86.7","86.7","86.7","65.8","58.1","73.3","62.9","54.5","72.4"
"St. Helens","37.8","32.6","43.5","42.9","28.6","57.1","33.3","50.0","0.0","66.7","100.0","50.0","41.4","34.8","66.7","38.6","33.1","44.6"
"Staffordshire","33.9","28.4","39.7","36.9","33.8","40.6","37.2","22.7","52.4","68.4","50.0","88.9","31.4","27.5","35.0","33.6","28.1","39.6"
"Stockport","40.6","35.5","46.1","50.3","38.5","63.0","37.0","35.3","40.0","62.5","63.6","60.0","43.5","38.6","49.0","39.7","34.7","44.8"
"Stockton-on-Tees","38.9","32.5","46.2","50.4","42.4","60.8","46.7","40.0","50.0","40.0","0.0","66.7","39.0","34.8","44.4","38.1","31.6","45.4"
"Stoke-on-Trent","27.2","21.0","33.5","31.8","22.5","41.2","28.8","33.3","22.2","60.0","66.7","50.0","35.0","26.1","47.1","25.7","19.7","31.7"
"Suffolk","31.0","26.2","35.9","39.7","33.3","45.8","27.3","15.4","37.9","66.7","50.0","100.0","31.2","22.6","40.0","30.8","26.2","35.4"
"Sunderland","41.9","33.7","50.1","74.0","64.3","81.5","64.3","62.5","66.7","50.0","33.3","100.0","45.5","37.5","52.9","40.4","32.6","48.4"
"Surrey","45.6","39.1","52.6","52.5","41.1","65.4","43.1","35.0","51.6","54.8","46.2","61.1","49.7","41.0","58.6","44.7","38.7","51.1"
"Sutton","54.8","46.3","63.8","75.9","67.7","84.7","55.4","37.0","72.4","80.0","78.9","81.0","56.7","44.0","68.9","44.7","37.8","52.1"
"Swindon","32.1","26.7","37.9","27.7","22.9","32.5","35.0","25.0","45.0","100.0","100.0","100.0","32.6","22.0","45.2","32.3","27.7","37.5"
"Tameside","31.3","21.5","41.6","23.2","13.8","32.7","31.0","25.0","36.4","57.1","50.0","60.0","26.1","19.0","32.6","32.8","22.7","43.5"
"Telford and Wrekin","44.9","41.5","48.4","55.1","51.4","60.4","58.8","56.7","61.9","90.9","100.0","83.3","37.5","35.0","40.0","43.8","40.0","47.5"
"Thurrock","41.4","36.4","46.3","67.6","58.3","77.1","50.0","41.0","58.3","66.7","60.0","71.4","41.4","35.3","47.2","39.2","34.9","43.3"
"Torbay","28.2","24.1","32.5","61.1","80.0","53.8","0.0","0.0","N/A","85.7","100.0","80.0","45.5","45.0","46.2","28.5","23.2","34.3"
"Tower Hamlets","46.4","44.1","48.5","54.5","52.4","56.4","31.8","30.4","33.1","25.0","0.0","33.3","29.7","25.0","36.2","26.4","25.9","27.0"
"Trafford","52.7","44.9","60.9","56.8","47.7","66.7","48.4","41.2","56.8","75.6","61.1","87.0","50.8","45.5","57.0","51.6","43.5","60.0"
"Wakefield","28.2","22.9","33.7","37.6","30.5","43.9","37.0","29.2","45.5","50.0","57.1","33.3","38.0","37.1","38.6","27.2","22.0","32.7"
"Walsall","35.0","31.1","39.0","48.6","46.0","51.3","40.0","30.4","49.4","50.0","50.0","50.0","30.0","33.8","27.2","30.4","25.8","35.2"
"Waltham Forest","48.3","41.8","54.7","49.7","39.0","60.4","45.2","41.8","48.1","69.2","100.0","33.3","48.1","41.9","54.2","49.3","43.0","55.4"
"Wandsworth","58.4","50.4","67.2","66.8","53.7","83.6","51.8","45.7","58.3","85.7","66.7","100.0","66.5","58.7","73.3","54.3","49.2","60.3"
"Warrington","33.4","27.3","40.4","56.9","46.9","73.7","21.4","0.0","42.9","60.0","66.7","57.1","38.2","38.9","37.5","32.8","26.4","39.9"
"Warwickshire","38.2","32.3","44.3","62.1","57.0","66.9","41.5","33.3","47.8","55.6","66.7","44.4","44.4","41.2","47.2","36.5","30.5","42.7"
"West Berkshire","46.4","40.8","51.8","45.8","26.9","68.2","37.9","23.5","58.3","66.7","66.7","N/A","45.6","42.1","50.0","47.2","42.1","52.0"
"West Sussex","36.7","29.7","44.0","46.4","38.5","55.1","32.2","30.9","33.3","45.5","50.0","42.9","34.3","25.0","44.2","36.4","29.5","43.5"
"Westminster","50.8","39.8","61.7","47.7","43.9","52.7","40.8","29.9","53.0","73.3","60.0","80.0","45.1","29.4","54.9","62.0","49.3","70.6"
"Wigan","24.2","17.7","30.7","51.7","26.7","78.6","31.3","16.7","50.0","25.0","28.6","0.0","12.7","6.9","19.2","24.0","17.6","30.2"
"Wiltshire","32.7","27.5","37.8","39.3","21.9","62.5","35.6","15.8","50.0","58.3","50.0","62.5","40.5","42.2","39.5","32.9","27.9","37.9"
"Windsor and Maidenhead","49.0","40.4","58.2","52.1","35.2","67.3","61.3","64.3","58.8","80.0","N/A","80.0","52.9","40.3","68.5","47.6","40.7","55.0"
"Wirral","49.5","46.8","52.0","72.9","75.0","71.0","33.3","0.0","50.0","75.0","88.9","57.1","61.2","57.5","64.4","48.7","45.9","51.3"
"Wokingham","51.4","43.3","59.9","58.4","49.1","73.9","50.9","37.1","72.7","57.1","66.7","40.0","47.2","38.1","55.3","50.6","42.7","58.2"
"Wolverhampton","27.2","20.4","33.7","45.3","36.6","53.7","26.3","18.7","34.6","42.9","40.0","50.0","20.8","15.6","25.2","21.4","15.0","27.4"
"Worcestershire","41.6","36.9","46.6","31.1","28.7","33.0","41.7","36.4","46.2","61.5","33.3","70.0","43.7","41.5","46.6","42.2","37.2","47.3"
"York","51.5","46.0","56.8","46.4","58.3","37.5","36.4","25.0","66.7","66.7","50.0","100.0","50.0","52.9","47.8","51.5","45.5","57.5"
