"Measure","Gender","Long Term Support Setting","Year Ending March","Ethnicity","Ethnicity Classification","Number","Percentage"
"Total clients receiving long term support by ethnicity","All","All","2020","Gypsy or Irish Traveller","Ethnicity 18+1","230","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2020","White Irish","Ethnicity 18+1","6,960","1.1%"
"Total clients receiving long term support by ethnicity","All","All","2020","White Other","Ethnicity 18+1","16,600","2.6%"
"Total clients receiving long term support by ethnicity","All","All","2019","Asian","Ethnicity 5+1","31,860","5.0%"
"Total clients receiving long term support by ethnicity","All","All","2019","Black","Ethnicity 5+1","26,545","4.2%"
"Total clients receiving long term support by ethnicity","All","All","2019","Mixed","Ethnicity 5+1","6,380","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2019","Unknown","Ethnicity 5+1","22,435","3.5%"
"Total clients receiving long term support by ethnicity","All","All","2019","Other Ethnic Group","Ethnicity 5+1","5,865","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2019","White","Ethnicity 5+1","544,905","85.4%"
"Total clients receiving long term support by ethnicity","All","All","2019","Bangladeshi","Ethnicity 18+1","3,125","0.5%"
"Total clients receiving long term support by ethnicity","All","All","2019","Chinese","Ethnicity 18+1","1,215","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2019","Indian","Ethnicity 18+1","11,725","1.8%"
"Total clients receiving long term support by ethnicity","All","All","2019","Asian Other","Ethnicity 18+1","7,140","1.1%"
"Total clients receiving long term support by ethnicity","All","All","2019","Pakistani","Ethnicity 18+1","8,660","1.4%"
"Total clients receiving long term support by ethnicity","All","All","2019","Black African","Ethnicity 18+1","8,565","1.3%"
"Total clients receiving long term support by ethnicity","All","All","2019","Black Caribbean","Ethnicity 18+1","12,775","2.0%"
"Total clients receiving long term support by ethnicity","All","All","2019","Black Other","Ethnicity 18+1","5,205","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2019","Mixed Other","Ethnicity 18+1","2,750","0.4%"
"Total clients receiving long term support by ethnicity","All","All","2019","Mixed White/Asian","Ethnicity 18+1","985","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2019","Mixed White/Black African","Ethnicity 18+1","595","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2019","Mixed White/Black Caribbean","Ethnicity 18+1","2,050","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2019","Arab","Ethnicity 18+1","470","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2019","Any other","Ethnicity 18+1","5,395","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2019","White British","Ethnicity 18+1","521,025","81.7%"
"Total clients receiving long term support by ethnicity","All","All","2019","Gypsy or Irish Traveller","Ethnicity 18+1","230","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2019","White Irish","Ethnicity 18+1","7,430","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2019","White Other","Ethnicity 18+1","16,225","2.5%"
"Total clients receiving long term support by ethnicity","All","All","2018","Asian","Ethnicity 5+1","30,780","4.8%"
"Total clients receiving long term support by ethnicity","All","All","2018","Black","Ethnicity 5+1","25,405","4.0%"
"Total clients receiving long term support by ethnicity","All","All","2018","Mixed","Ethnicity 5+1","5,920","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2018","Unknown","Ethnicity 5+1","20,815","3.2%"
"Total clients receiving long term support by ethnicity","All","All","2018","Other Ethnic Group","Ethnicity 5+1","5,980","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2018","White","Ethnicity 5+1","552,260","86.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","Bangladeshi","Ethnicity 18+1","2,855","0.4%"
"Total clients receiving long term support by ethnicity","All","All","2018","Chinese","Ethnicity 18+1","1,190","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2018","Indian","Ethnicity 18+1","11,475","1.8%"
"Total clients receiving long term support by ethnicity","All","All","2018","Asian Other","Ethnicity 18+1","6,950","1.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","Pakistani","Ethnicity 18+1","8,310","1.3%"
"Total clients receiving long term support by ethnicity","All","All","2018","Black African","Ethnicity 18+1","7,520","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2018","Black Caribbean","Ethnicity 18+1","12,965","2.0%"
"Total clients receiving long term support by ethnicity","All","All","2018","Black Other","Ethnicity 18+1","4,920","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2018","Mixed Other","Ethnicity 18+1","2,405","0.4%"
"Total clients receiving long term support by ethnicity","All","All","2018","Mixed White/Asian","Ethnicity 18+1","955","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","Mixed White/Black African","Ethnicity 18+1","580","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","Mixed White/Black Caribbean","Ethnicity 18+1","1,985","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2018","Arab","Ethnicity 18+1","445","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","Any other","Ethnicity 18+1","5,535","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2018","White British","Ethnicity 18+1","528,310","82.4%"
"Total clients receiving long term support by ethnicity","All","All","2018","Gypsy or Irish Traveller","Ethnicity 18+1","320","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2018","White Irish","Ethnicity 18+1","7,425","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2018","White Other","Ethnicity 18+1","16,200","2.5%"
"Total clients receiving long term support by ethnicity","All","All","2017","Asian","Ethnicity 5+1","30,295","4.6%"
"Total clients receiving long term support by ethnicity","All","All","2017","Black","Ethnicity 5+1","26,045","4.0%"
"Total clients receiving long term support by ethnicity","All","All","2017","Mixed","Ethnicity 5+1","5,405","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2017","Unknown","Ethnicity 5+1","18,765","2.9%"
"Total clients receiving long term support by ethnicity","All","All","2017","Other Ethnic Group","Ethnicity 5+1","5,795","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2017","White","Ethnicity 5+1","569,095","86.8%"
"Total clients receiving long term support by ethnicity","All","All","2017","Bangladeshi","Ethnicity 18+1","2,740","0.4%"
"Total clients receiving long term support by ethnicity","All","All","2017","Chinese","Ethnicity 18+1","1,165","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2017","Indian","Ethnicity 18+1","11,500","1.8%"
"Total clients receiving long term support by ethnicity","All","All","2017","Asian Other","Ethnicity 18+1","6,765","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2017","Pakistani","Ethnicity 18+1","8,125","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2017","Black African","Ethnicity 18+1","7,540","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2017","Black Caribbean","Ethnicity 18+1","13,900","2.1%"
"Total clients receiving long term support by ethnicity","All","All","2017","Black Other","Ethnicity 18+1","4,600","0.7%"
"Total clients receiving long term support by ethnicity","All","All","2017","Mixed Other","Ethnicity 18+1","2,280","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2017","Mixed White/Asian","Ethnicity 18+1","960","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2017","Mixed White/Black African","Ethnicity 18+1","565","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2017","Mixed White/Black Caribbean","Ethnicity 18+1","1,600","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2017","Arab","Ethnicity 18+1","505","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2017","Any other","Ethnicity 18+1","5,290","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2017","White British","Ethnicity 18+1","542,655","82.8%"
"Total clients receiving long term support by ethnicity","All","All","2017","Gypsy or Irish Traveller","Ethnicity 18+1","280","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2017","White Irish","Ethnicity 18+1","8,085","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2017","White Other","Ethnicity 18+1","18,075","2.8%"
"Total clients receiving long term support by ethnicity","All","All","2016","Asian","Ethnicity 5+1","28,855","4.4%"
"Total clients receiving long term support by ethnicity","All","All","2016","Black","Ethnicity 5+1","24,565","3.8%"
"Total clients receiving long term support by ethnicity","All","All","2016","Mixed","Ethnicity 5+1","4,815","0.7%"
"Total clients receiving long term support by ethnicity","All","All","2016","Unknown","Ethnicity 5+1","15,870","2.4%"
"Total clients receiving long term support by ethnicity","All","All","2016","Other Ethnic Group","Ethnicity 5+1","5,295","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2016","White","Ethnicity 5+1","573,670","87.8%"
"Total clients receiving long term support by ethnicity","All","All","2016","Bangladeshi","Ethnicity 18+1","2,645","0.4%"
"Total clients receiving long term support by ethnicity","All","All","2016","Chinese","Ethnicity 18+1","1,180","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2016","Indian","Ethnicity 18+1","10,875","1.7%"
"Total clients receiving long term support by ethnicity","All","All","2016","Asian Other","Ethnicity 18+1","6,480","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2016","Pakistani","Ethnicity 18+1","7,675","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2016","Black African","Ethnicity 18+1","6,690","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2016","Black Caribbean","Ethnicity 18+1","13,360","2.0%"
"Total clients receiving long term support by ethnicity","All","All","2016","Black Other","Ethnicity 18+1","4,515","0.7%"
"Total clients receiving long term support by ethnicity","All","All","2016","Mixed Other","Ethnicity 18+1","1,960","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2016","Mixed White/Asian","Ethnicity 18+1","840","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2016","Mixed White/Black African","Ethnicity 18+1","510","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2016","Mixed White/Black Caribbean","Ethnicity 18+1","1,505","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2016","Arab","Ethnicity 18+1","325","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2016","Any other","Ethnicity 18+1","4,975","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2016","White British","Ethnicity 18+1","546,370","83.7%"
"Total clients receiving long term support by ethnicity","All","All","2016","Gypsy or Irish Traveller","Ethnicity 18+1","185","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2016","White Irish","Ethnicity 18+1","9,600","1.5%"
"Total clients receiving long term support by ethnicity","All","All","2016","White Other","Ethnicity 18+1","17,510","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Asian","Ethnicity 5+1","28,605","6.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Black","Ethnicity 5+1","23,945","5.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Mixed","Ethnicity 5+1","6,305","1.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Unknown","Ethnicity 5+1","23,030","5.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Other Ethnic Group","Ethnicity 5+1","5,205","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","White","Ethnicity 5+1","361,905","80.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Asian","Ethnicity 5+1","935","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Black","Ethnicity 5+1","1,385","3.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Mixed","Ethnicity 5+1","300","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Unknown","Ethnicity 5+1","2,225","4.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Other Ethnic Group","Ethnicity 5+1","290","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","White","Ethnicity 5+1","41,335","88.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Asian","Ethnicity 5+1","2,240","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Black","Ethnicity 5+1","2,705","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Mixed","Ethnicity 5+1","1,010","0.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Unknown","Ethnicity 5+1","5,025","4.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Other Ethnic Group","Ethnicity 5+1","690","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","White","Ethnicity 5+1","113,825","90.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Bangladeshi","Ethnicity 18+1","3,170","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Chinese","Ethnicity 18+1","925","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Indian","Ethnicity 18+1","9,745","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Other","Ethnicity 18+1","6,515","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Pakistani","Ethnicity 18+1","8,250","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Black African","Ethnicity 18+1","8,755","1.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Black Caribbean","Ethnicity 18+1","10,805","2.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Black Other","Ethnicity 18+1","4,385","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Mixed Other","Ethnicity 18+1","3,250","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Mixed White/Asian","Ethnicity 18+1","930","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Mixed White/Black African","Ethnicity 18+1","580","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Mixed White/Black Caribbean","Ethnicity 18+1","1,545","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Arab","Ethnicity 18+1","475","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Any other","Ethnicity 18+1","4,730","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","White British","Ethnicity 18+1","345,470","76.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","Gypsy or Irish Traveller","Ethnicity 18+1","200","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","White Irish","Ethnicity 18+1","4,335","1.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2021","White Other","Ethnicity 18+1","11,905","2.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Bangladeshi","Ethnicity 18+1","50","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Chinese","Ethnicity 18+1","80","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Indian","Ethnicity 18+1","380","0.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Other","Ethnicity 18+1","295","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Pakistani","Ethnicity 18+1","130","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Black African","Ethnicity 18+1","355","0.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Black Caribbean","Ethnicity 18+1","830","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Black Other","Ethnicity 18+1","200","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Mixed Other","Ethnicity 18+1","195","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Mixed White/Asian","Ethnicity 18+1","35","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Mixed White/Black African","Ethnicity 18+1","20","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Mixed White/Black Caribbean","Ethnicity 18+1","55","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Arab","Ethnicity 18+1","15","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Any other","Ethnicity 18+1","275","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","White British","Ethnicity 18+1","39,385","84.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","Gypsy or Irish Traveller","Ethnicity 18+1","25","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","White Irish","Ethnicity 18+1","700","1.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2021","White Other","Ethnicity 18+1","1,225","2.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Bangladeshi","Ethnicity 18+1","160","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Chinese","Ethnicity 18+1","205","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Indian","Ethnicity 18+1","895","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Other","Ethnicity 18+1","620","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Pakistani","Ethnicity 18+1","365","0.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Black African","Ethnicity 18+1","615","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Black Caribbean","Ethnicity 18+1","1,620","1.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Black Other","Ethnicity 18+1","470","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Mixed Other","Ethnicity 18+1","520","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Mixed White/Asian","Ethnicity 18+1","170","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Mixed White/Black African","Ethnicity 18+1","80","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Mixed White/Black Caribbean","Ethnicity 18+1","245","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Arab","Ethnicity 18+1","25","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Any other","Ethnicity 18+1","665","0.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","White British","Ethnicity 18+1","109,530","87.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","Gypsy or Irish Traveller","Ethnicity 18+1","45","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","White Irish","Ethnicity 18+1","1,490","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2021","White Other","Ethnicity 18+1","2,760","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Asian","Ethnicity 5+1","28,545","6.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Black","Ethnicity 5+1","22,385","5.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Mixed","Ethnicity 5+1","5,990","1.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Unknown","Ethnicity 5+1","17,435","4.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Other Ethnic Group","Ethnicity 5+1","5,155","1.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","White","Ethnicity 5+1","360,940","81.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Asian","Ethnicity 5+1","1,105","2.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Black","Ethnicity 5+1","1,515","2.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Mixed","Ethnicity 5+1","320","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Unknown","Ethnicity 5+1","2,005","3.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","Other Ethnic Group","Ethnicity 5+1","360","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Nursing","2020","White","Ethnicity 5+1","47,890","90.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Asian","Ethnicity 5+1","2,335","1.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Black","Ethnicity 5+1","2,785","2.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Mixed","Ethnicity 5+1","1,090","0.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Unknown","Ethnicity 5+1","4,595","3.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","Other Ethnic Group","Ethnicity 5+1","805","0.6%"
"Number of clients receiving long term support by support setting and ethnicity","All","Residential","2020","White","Ethnicity 5+1","124,790","91.5%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Bangladeshi","Ethnicity 18+1","3,055","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Chinese","Ethnicity 18+1","870","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Indian","Ethnicity 18+1","9,975","2.3%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Other","Ethnicity 18+1","6,330","1.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Pakistani","Ethnicity 18+1","8,315","1.9%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Black African","Ethnicity 18+1","7,940","1.8%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Black Caribbean","Ethnicity 18+1","9,815","2.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Black Other","Ethnicity 18+1","4,635","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Mixed Other","Ethnicity 18+1","2,925","0.7%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Mixed White/Asian","Ethnicity 18+1","815","0.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Mixed White/Black African","Ethnicity 18+1","560","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Mixed White/Black Caribbean","Ethnicity 18+1","1,685","0.4%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Arab","Ethnicity 18+1","450","0.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Any other","Ethnicity 18+1","4,705","1.1%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","White British","Ethnicity 18+1","344,405","78.2%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","Gypsy or Irish Traveller","Ethnicity 18+1","170","0.0%"
"Number of clients receiving long term support by support setting and ethnicity","All","Community/Prison","2020","White Irish","Ethnicity 18+1","4,410","1.0%"
