"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"North Lincolnshire","79","86","76","93","78","75","100","100","89","91","79","87","40","50"
"North Somerset","83","88","78","93","67","100","67","100","83","88","84","88","100","100"
"North Tyneside","81","86","83","88","86","79","92","100","94","88","81","87","60","33"
"North Yorkshire","78","84","74","79","54","90","67","100","82","82","79","84","69","77"
"Northamptonshire","79","86","82","93","79","90","100","100","80","85","79","86","75","73"
"Northumberland","82","88","100","95","50","NA","50","100","78","81","82","88","50","100"
"Nottingham","76","82","80","89","80","88","100","94","78","84","74","79","82","74"
"Nottinghamshire","76","84","86","89","72","97","84","87","79","83","76","84","68","65"
"Oldham","72","83","72","81","80","82","92","100","68","85","73","86","71","60"
"Oxfordshire","78","86","79","87","75","89","94","100","74","89","79","87","73","75"
"Peterborough","72","81","74","84","77","76","100","75","77","88","72","81","50","71"
"Plymouth","79","85","83","100","85","89","80","100","79","88","79","85","87","95"
"Poole","84","88","90","94","100","100","100","100","86","100","84","88","67","100"
"Portsmouth","76","82","76","88","67","85","78","100","80","81","77","81","67","91"
"Reading","78","88","83","90","77","92","71","100","81","84","78","87","73","100"
"Redbridge","82","88","84","92","79","87","100","90","86","87","78","85","72","88"
"Redcar and Cleveland","76","88","100","67","67","100","NA","100","78","80","76","89","100","0"
"Richmond upon Thames","86","89","86","92","68","88","100","95","86","89","86","90","82","86"
"Rochdale","78","86","78","88","80","84","80","100","77","87","78","86","86","83"
"Rotherham","78","84","73","92","78","84","100","90","85","87","78","84","73","71"
"Rutland","83","87","100","100","75","50","100","NA","67","100","83","87","100","0"
"Salford","80","85","89","92","88","90","100","100","86","92","78","84","82","89"
"Sandwell","75","83","79","85","76","84","90","67","74","88","74","82","69","70"
"Sefton","81","85","76","83","100","100","88","100","86","85","80","85","62","67"
"Sheffield","75","83","71","85","77","83","91","95","76","86","76","83","68","80"
"Shropshire","78","85","61","76","100","100","100","75","83","85","79","86","75","80"
"Slough","82","89","85","92","82","94","100","100","81","91","78","84","84","90"
"Solihull","83","89","86","91","78","95","100","100","84","84","83","89","85","85"
"Somerset","77","85","79","84","83","80","100","100","78","82","78","86","71","67"
"South Gloucestershire","82","88","88","91","83","78","91","100","78","87","82","88","85","70"
"South Tyneside","79","87","90","88","83","100","100","100","84","91","78","87","100","60"
"Southampton","77","86","83","91","90","91","100","91","81","89","76","86","80","70"
"Southend-on-Sea","79","85","83","92","92","93","80","100","80","87","79","84","56","100"
"Southwark","82","87","79","92","84","88","94","96","81","85","82","88","77","81"
"St. Helens","77","85","92","83","100","100","100","100","81","89","77","85","71","67"
"Staffordshire","82","88","82","88","78","67","100","100","76","88","82","88","95","75"
"Stockport","81","84","83","82","78","84","91","83","84","87","80","84","79","83"
"Stockton-on-Tees","81","86","83","90","67","93","80","100","90","89","81","86","71","50"
"Stoke-on-Trent","75","85","78","89","73","80","89","100","81","87","75","86","72","68"
"Suffolk","78","84","90","92","77","90","100","83","80","88","78","84","88","88"
"Sunderland","78","86","86","85","93","73","90","88","79","87","78","87","100","75"
"Surrey","81","87","89","92","88","88","88","96","83","91","80","87","88","94"
"Sutton","84","89","89","94","86","94","92","100","87","91","82","87","71","81"
"Swindon","78","86","79","93","82","95","100","100","81","86","77","85","86","88"
"Tameside","76","83","81","80","51","82","83","67","77","78","76","84","80","89"
"Telford and Wrekin","81","88","78","87","89","83","60","100","83","90","81","88","71","100"
"Thurrock","81","87","84","94","86","93","88","100","87","90","79","86","89","83"
"Torbay","82","90","78","93","67","0","0","100","93","94","82","90","75","100"
"Tower Hamlets","79","86","81","87","78","87","83","77","79","87","76","84","67","80"
"Trafford","83","90","83","90","75","85","100","86","76","84","84","92","79","84"
"Wakefield","74","82","71","87","73","87","80","100","84","87","74","82","85","95"
"Walsall","80","87","85","91","82","88","85","86","83","89","79","86","71","87"
"Waltham Forest","84","88","87","90","80","90","95","95","81","95","85","86","75","88"
"Wandsworth","86","90","87","89","80","87","89","100","88","88","89","93","84","87"
"Warrington","82","86","83","86","67","100","67","100","85","87","82","86","89","88"
"Warwickshire","80","88","86","94","82","97","100","81","80","90","80","87","67","87"
"West Berkshire","77","85","86","90","85","75","80","60","80","88","76","85","50","88"
"West Sussex","78","85","79","90","63","86","79","93","79","86","79","85","83","88"
"Westminster","84","89","88","90","79","92","100","92","84","93","85","88","83","86"
"Wigan","80","88","77","89","74","82","90","100","81","88","81","89","76","80"
"Wiltshire","78","85","86","83","66","86","88","86","76","84","78","85","94","84"
"Windsor and Maidenhead","82","90","84","93","86","100","100","50","92","88","81","89","76","83"
"Wirral","77","85","75","92","75","100","100","90","86","86","77","85","71","75"
"Wokingham","85","87","86","93","83","76","82","100","92","87","84","87","100","85"
"Wolverhampton","77","86","85","91","81","82","100","100","78","91","75","84","50","78"
"Worcestershire","80","85","78","87","58","81","89","100","89","85","80","85","68","92"
"York","81","88","84","88","83","50","80","100","89","91","81","88","70","100"
