"","All","Asian","Black","Chinese","Mixed","White","Other"
"Newcastle upon Tyne","83","85","86","85","85","83","83"
"Newham","88","89","88","88","92","85","91"
"Norfolk","80","90","76","95","86","80","86"
"North East Lincolnshire","82","91","100","50","75","83","81"
"North Lincolnshire","83","85","77","100","90","83","45"
"North Somerset","86","88","80","80","85","86","100"
"North Tyneside","84","86","81","93","91","84","50"
"North Yorkshire","81","76","70","81","82","81","72"
"Northamptonshire","83","88","84","100","82","83","74"
"Northumberland","85","97","50","75","80","85","83"
"Nottingham","79","84","84","96","81","76","79"
"Nottinghamshire","80","88","87","85","81","80","67"
"Oldham","77","76","81","96","76","79","64"
"Oxfordshire","82","83","81","97","81","83","74"
"Peterborough","76","79","77","85","82","76","62"
"Plymouth","82","92","87","85","84","82","91"
"Poole","86","92","100","100","93","86","86"
"Portsmouth","79","82","77","90","80","79","76"
"Reading","83","87","85","85","82","82","81"
"Redbridge","85","88","83","96","87","81","81"
"Redcar and Cleveland","82","82","75","100","79","82","60"
"Richmond upon Thames","87","89","80","96","88","88","84"
"Rochdale","82","83","82","93","82","82","85"
"Rotherham","81","82","81","94","86","81","72"
"Rutland","85","100","67","100","89","85","75"
"Salford","82","90","89","100","88","81","85"
"Sandwell","79","82","80","81","81","78","69"
"Sefton","83","80","100","90","86","83","63"
"Sheffield","79","78","80","92","81","80","74"
"Shropshire","82","69","100","86","84","82","78"
"Slough","86","88","89","100","86","81","87"
"Solihull","86","88","87","100","84","86","85"
"Somerset","81","81","81","100","80","82","68"
"South Gloucestershire","85","89","81","95","82","85","78"
"South Tyneside","83","89","93","100","87","82","80"
"Southampton","82","86","90","94","85","81","75"
"Southend-on-Sea","82","87","93","86","83","82","71"
"Southwark","85","86","86","95","83","85","79"
"St. Helens","81","88","100","100","85","81","70"
"Staffordshire","85","85","73","100","82","85","85"
"Stockport","82","82","81","87","86","82","81"
"Stockton-on-Tees","84","86","81","88","90","83","67"
"Stoke-on-Trent","80","83","77","95","84","80","70"
"Suffolk","81","91","84","88","84","81","88"
"Sunderland","82","85","83","89","83","82","90"
"Surrey","84","90","88","91","87","84","91"
"Sutton","87","91","89","96","89","85","78"
"Swindon","82","85","87","100","84","81","87"
"Tameside","79","81","65","73","78","80","83"
"Telford and Wrekin","85","82","86","80","86","85","80"
"Thurrock","84","89","90","93","88","82","86"
"Torbay","86","87","50","67","93","86","89"
"Tower Hamlets","82","84","83","80","83","80","72"
"Trafford","86","87","80","93","80","88","81"
"Wakefield","78","80","78","88","85","78","91"
"Walsall","83","88","85","85","86","82","80"
"Waltham Forest","86","88","85","95","88","85","82"
"Wandsworth","88","88","84","94","88","91","85"
"Warrington","84","85","92","83","86","84","88"
"Warwickshire","84","90","89","89","85","84","75"
"West Berkshire","81","88","80","70","84","80","75"
"West Sussex","82","84","73","85","83","82","85"
"Westminster","86","89","85","93","88","86","84"
"Wigan","84","83","78","95","85","84","79"
"Wiltshire","81","85","73","87","80","81","88"
"Windsor and Maidenhead","86","88","94","75","90","85","79"
"Wirral","81","84","88","94","86","81","74"
"Wokingham","86","90","80","90","89","85","93"
"Wolverhampton","82","88","82","100","84","79","66"
"Worcestershire","82","82","69","93","87","83","78"
"York","85","86","75","92","90","84","82"
