"","All","Asian","Black","Chinese","Mixed","White","Other"
"Halton","71","80","100","N/A","79","71","78"
"Hammersmith and Fulham","80","83","74","86","80","83","74"
"Hampshire","80","81","80","89","81","80","77"
"Haringey","77","83","74","91","81","79","73"
"Harrow","80","86","74","100","78","73","75"
"Hartlepool","75","69","83","100","80","75","44"
"Havering","79","81","80","92","78","79","69"
"Herefordshire, County of","79","63","77","100","90","80","50"
"Hertfordshire","76","81","72","90","77","76","68"
"Hillingdon","78","84","77","91","75","75","75"
"Hounslow","79","84","73","100","79","78","78"
"Isle of Wight","70","71","75","100","80","70","50"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","78","79","74","92","78","80","69"
"Kensington and Chelsea","82","80","81","88","82","84","78"
"Kent","78","83","83","95","81","77","75"
"Kingston upon Hull, City of","73","76","66","67","74","74","67"
"Kingston upon Thames","80","78","70","100","82","80","81"
"Kirklees","74","74","77","94","71","75","68"
"Knowsley","72","84","81","71","75","72","79"
"Lambeth","79","80","74","100","79","85","77"
"Lancashire","74","71","76","91","74","75","63"
"Leeds","71","67","69","86","71","72","70"
"Leicester","73","78","70","92","75","69","76"
"Leicestershire","76","83","72","86","76","76","66"
"Lewisham","76","78","71","92","78","80","82"
"Lincolnshire","73","85","74","89","78","73","69"
"Liverpool","71","74","70","88","70","71","64"
"Luton","73","76","70","82","72","69","73"
"Manchester","72","73","74","92","75","72","71"
"Medway","77","85","85","92","78","75","78"
"Merton","79","85","66","93","76","81","85"
"Middlesbrough","71","66","65","100","71","72","57"
"Milton Keynes","77","83","76","88","80","76","74"
"Newcastle upon Tyne","76","76","73","83","80","76","67"
"Newham","80","84","79","96","85","75","80"
"Norfolk","74","84","66","92","75","74","70"
"North East Lincolnshire","75","81","100","50","72","75","72"
"North Lincolnshire","76","73","71","100","80","76","46"
"North Somerset","76","75","75","80","77","77","83"
"North Tyneside","78","74","78","93","82","78","78"
"North Yorkshire","74","71","57","100","78","74","59"
"Northamptonshire","75","81","73","89","73","75","68"
"Northumberland","79","82","40","100","75","79","70"
"Nottingham","72","72","75","88","74","70","68"
"Nottinghamshire","75","78","68","97","72","75","72"
"Oldham","71","69","74","92","73","72","62"
"Oxfordshire","76","74","75","88","76","76","73"
"Peterborough","70","68","63","100","70","71","58"
"Plymouth","72","78","70","85","70","72","64"
"Portsmouth","73","79","63","76","71","73","65"
"Reading","73","77","71","100","69","73","74"
"Redbridge","80","83","77","92","79","77","64"
"Redcar and Cleveland","77","75","100","100","72","77","44"
"Richmond upon Thames","82","82","70","96","80","83","77"
"Rochdale","71","68","71","100","69","73","70"
"Rotherham","73","73","72","100","77","73","62"
"Rutland","79","67","83","100","63","80","75"
"Salford","75","80","76","100","80","74","71"
"Sandwell","74","77","75","87","76","72","67"
"Sefton","76","75","62","90","79","76","43"
"Sheffield","74","70","76","88","71","76","69"
"Shropshire","73","58","88","88","73","74","63"
"Slough","77","80","73","100","75","72","77"
"Solihull","77","79","66","100","77","77","70"
"Somerset","76","79","65","100","73","77","54"
"South Gloucestershire","80","90","77","95","74","80","90"
"South Tyneside","77","77","93","67","79","77","90"
"Southampton","74","75","80","100","74","73","73"
"Southend-on-Sea","78","78","88","100","78","78","64"
"Southwark","78","75","77","94","76","81","73"
"St. Helens","75","77","64","69","84","75","30"
"Staffordshire","78","79","74","96","73","79","67"
"Stockport","76","73","66","90","76","76","66"
"Stockton-on-Tees","79","81","77","89","77","79","57"
"Stoke-on-Trent","73","74","68","90","71","74","62"
"Suffolk","72","77","72","100","71","73","75"
"Sunderland","77","75","75","95","80","77","70"
"Surrey","78","81","74","94","79","78","78"
"Sutton","81","89","77","98","84","79","73"
"Swindon","77","81","82","92","76","77","80"
"Tameside","74","73","61","88","73","75","66"
"Telford and Wrekin","76","72","71","89","76","77","56"
"Thurrock","76","84","82","85","79","74","79"
"Torbay","75","83","50","100","72","76","70"
"Tower Hamlets","77","78","74","90","79","76","67"
"Trafford","80","82","69","91","76","80","74"
"Wakefield","73","68","77","94","74","74","69"
"Walsall","75","81","66","91","78","74","67"
"Waltham Forest","80","81","76","97","80","82","82"
"Wandsworth","81","77","72","94","79","87","71"
"Warrington","78","80","75","79","83","78","81"
"Warwickshire","77","82","83","96","75","76","71"
"West Berkshire","75","82","54","86","81","75","77"
"West Sussex","74","75","58","97","76","74","72"
"Westminster","77","83","72","94","78","78","72"
"Wigan","76","80","78","100","78","76","65"
"Wiltshire","74","69","71","81","73","74","79"
"Windsor and Maidenhead","80","78","78","60","81","81","78"
"Wirral","73","76","70","95","78","72","70"
"Wokingham","81","85","71","80","82","80","80"
"Wolverhampton","75","82","70","89","76","74","64"
"Worcestershire","76","71","61","76","78","76","70"
"York","77","81","82","92","82","76","65"
