"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","1,127"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Indian","ONS 5+2","K02000001","1","1,127"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,127"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Indian","ONS 5+2","K02000001","5","1,127"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","1,127"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Indian","ONS 5+2","K02000001","6","1,127"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Indian","ONS 5+2","K02000001","3","1,127"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Indian","ONS 5+2","K02000001","2","1,127"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Indian","ONS 5+2","K02000001","77","1,127"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","531"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","531"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","531"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","531"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","531"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","531"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","531"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","531"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","72","531"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","1","597"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","1","597"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","6","597"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","8","597"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","4","597"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","6","597"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","3","597"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","3","597"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Other ethnic group","ONS 5+2","K02000001","67","597"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","2","618"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","~","618"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","8","618"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","12","618"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","1","618"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","9","618"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","3","618"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","10","618"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Pakistani","ONS 5+2","K02000001","56","618"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","White","ONS 5+2","K02000001","1","66,117"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White","ONS 5+2","K02000001","2","66,117"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White","ONS 5+2","K02000001","2","66,117"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White","ONS 5+2","K02000001","5","66,117"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","White","ONS 5+2","K02000001","8","66,117"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","White","ONS 5+2","K02000001","8","66,117"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","White","ONS 5+2","K02000001","7","66,117"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White","ONS 5+2","K02000001","2","66,117"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","White","ONS 5+2","K02000001","64","66,117"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","White British","ONS 5+2","K02000001","2","63,385"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White British","ONS 5+2","K02000001","2","63,385"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White British","ONS 5+2","K02000001","2","63,385"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White British","ONS 5+2","K02000001","6","63,385"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","White British","ONS 5+2","K02000001","8","63,385"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","White British","ONS 5+2","K02000001","8","63,385"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","White British","ONS 5+2","K02000001","8","63,385"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White British","ONS 5+2","K02000001","2","63,385"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","White British","ONS 5+2","K02000001","63","63,385"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","White non-British","ONS 5+2","K02000001","1","2,732"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White non-British","ONS 5+2","K02000001","1","2,732"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White non-British","ONS 5+2","K02000001","3","2,732"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White non-British","ONS 5+2","K02000001","5","2,732"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","White non-British","ONS 5+2","K02000001","3","2,732"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","White non-British","ONS 5+2","K02000001","12","2,732"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","White non-British","ONS 5+2","K02000001","3","2,732"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White non-British","ONS 5+2","K02000001","2","2,732"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","White non-British","ONS 5+2","K02000001","71","2,732"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","All","ONS 5+2","K02000001","1","66,320"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","All","ONS 5+2","K02000001","2","66,320"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","All","ONS 5+2","K02000001","3","66,320"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","All","ONS 5+2","K02000001","6","66,320"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","All","ONS 5+2","K02000001","8","66,320"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","All","ONS 5+2","K02000001","8","66,320"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","All","ONS 5+2","K02000001","7","66,320"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","All","ONS 5+2","K02000001","2","66,320"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","All","ONS 5+2","K02000001","64","66,320"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","1","396"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","~","396"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","10","396"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","8","396"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","2","396"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","5","396"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","2","396"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","3","396"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Any other Asian background","ONS 5+2","K02000001","68","396"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","1","2,454"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","1","2,454"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","6","2,454"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","7","2,454"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","2","2,454"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","8","2,454"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","3","2,454"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","4","2,454"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Asian/ Asian British","ONS 5+2","K02000001","68","2,454"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","1","228"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","~","228"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","7","228"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","15","228"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","3","228"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","3","228"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","5","228"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","10","228"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","55","228"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,355"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,355"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,355"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","13","1,355"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,355"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,355"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,355"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,355"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","65","1,355"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Chinese","ONS 5+2","K02000001","~","213"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Chinese","ONS 5+2","K02000001","1","213"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Chinese","ONS 5+2","K02000001","22","213"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Chinese","ONS 5+2","K02000001","3","213"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","213"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Chinese","ONS 5+2","K02000001","4","213"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","213"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Chinese","ONS 5+2","K02000001","1","213"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Chinese","ONS 5+2","K02000001","65","213"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","1,047"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","1,047"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","1,047"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Indian","ONS 5+2","K02000001","4","1,047"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Indian","ONS 5+2","K02000001","2","1,047"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Indian","ONS 5+2","K02000001","9","1,047"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","1,047"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Indian","ONS 5+2","K02000001","1","1,047"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Indian","ONS 5+2","K02000001","75","1,047"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","491"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","~","491"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","491"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","10","491"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","491"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","491"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","491"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","491"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","66","491"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","1","600"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","1","600"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","6","600"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","8","600"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","4","600"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","6","600"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","3","600"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","3","600"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","68","600"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","2","570"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","~","570"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","5","570"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","12","570"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","1","570"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","10","570"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","3","570"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","10","570"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","Pakistani","ONS 5+2","K02000001","57","570"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","White","ONS 5+2","K02000001","1","61,420"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White","ONS 5+2","K02000001","2","61,420"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White","ONS 5+2","K02000001","3","61,420"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White","ONS 5+2","K02000001","5","61,420"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","White","ONS 5+2","K02000001","8","61,420"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","White","ONS 5+2","K02000001","8","61,420"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","White","ONS 5+2","K02000001","7","61,420"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White","ONS 5+2","K02000001","2","61,420"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2010/11-2012/13","White","ONS 5+2","K02000001","64","61,420"
"Gross household income by ethnic group of the head of the household","Disability benefits","2010/11-2012/13","White British","ONS 5+2","K02000001","2","58,941"
"Gross household income by ethnic group of the head of the household","Investments","2010/11-2012/13","White British","ONS 5+2","K02000001","2","58,941"
"Gross household income by ethnic group of the head of the household","Other","2010/11-2012/13","White British","ONS 5+2","K02000001","2","58,941"
"Gross household income by ethnic group of the head of the household","Other benefits","2010/11-2012/13","White British","ONS 5+2","K02000001","5","58,941"
"Gross household income by ethnic group of the head of the household","Private pensions","2010/11-2012/13","White British","ONS 5+2","K02000001","9","58,941"
"Gross household income by ethnic group of the head of the household","Self-employed income","2010/11-2012/13","White British","ONS 5+2","K02000001","7","58,941"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2010/11-2012/13","White British","ONS 5+2","K02000001","8","58,941"
"Gross household income by ethnic group of the head of the household","Tax credits","2010/11-2012/13","White British","ONS 5+2","K02000001","2","58,941"
