"Ethnicity","Fire and Rescue Services","% of firefighters","Number of firefighters"
"White","Essex","98.2","483"
"White","Gloucestershire","97.2","318"
"White","Greater London","86.6","3,911"
"White","Greater Manchester","95.5","1,134"
"White","Hampshire","99.2","1,204"
"White","Hereford and Worcester","96.8","569"
"White","Hertfordshire","97.3","646"
"White","Humberside","98.5","768"
"White","Isle Of Wight","100.0","164"
"White","Isles of Scilly","100.0","37"
"White","Kent","98.7","806"
"White","Lancashire","97.3","960"
"White","Leicestershire","97.2","521"
"White","Lincolnshire","98.6","616"
"White","Merseyside","95.1","737"
"White","Norfolk","99.4","633"
"White","North Yorkshire","99.5","571"
"White","Northamptonshire","97.9","324"
"White","Northumberland","99.3","275"
"White","Nottinghamshire","96.7","652"
"White","Oxfordshire","99.1","524"
"White","Shropshire","99.2","379"
"White","South Yorkshire","97.1","612"
"White","Staffordshire","97.2","648"
"White","Suffolk","98.0","443"
"White","Surrey","97.5","515"
"White","Tyne and Wear","98.2","603"
"White","Warwickshire","96.2","300"
"White","West Midlands","90.7","1,257"
"White","West Sussex","99.2","491"
"White","West Yorkshire","96.0","1,050"
"Other inc Chinese","Avon","0.3","2"
"Other inc Chinese","Bedfordshire","0.3","1"
"Other inc Chinese","Berkshire","0.2","1"
"Other inc Chinese","Buckinghamshire","0.0","0"
"Other inc Chinese","Cambridgeshire","0.0","0"
"Other inc Chinese","Cheshire","0.3","2"
"Other inc Chinese","Cleveland","0.4","1"
"Other inc Chinese","Cornwall","0.4","2"
"Other inc Chinese","Cumbria","0.0","0"
"Other inc Chinese","Derbyshire","0.0","0"
"Other inc Chinese","Devon and Somerset","0.1","1"
"Other inc Chinese","Dorset and Wiltshire","0.2","2"
"Other inc Chinese","Durham","0.0","0"
"Other inc Chinese","East Sussex","0.4","2"
"Other inc Chinese","Essex","0.2","1"
"Other inc Chinese","Gloucestershire","0.3","1"
"Other inc Chinese","Greater London","1.4","65"
"Other inc Chinese","Greater Manchester","0.1","1"
"Other inc Chinese","Hampshire","0.0","0"
"Other inc Chinese","Hereford and Worcester","0.5","3"
"Other inc Chinese","Hertfordshire","0.6","4"
"Other inc Chinese","Humberside","0.0","0"
"Other inc Chinese","Isle Of Wight","0.0","0"
"Other inc Chinese","Isles of Scilly","0.0","0"
"Other inc Chinese","Kent","0.6","5"
"Other inc Chinese","Lancashire","0.4","4"
"Other inc Chinese","Leicestershire","0.0","0"
"Other inc Chinese","Lincolnshire","0.0","0"
"Other inc Chinese","Merseyside","0.9","7"
"Other inc Chinese","Norfolk","0.0","0"
"Other inc Chinese","North Yorkshire","0.0","0"
"Other inc Chinese","Northamptonshire","0.6","2"
"Other inc Chinese","Northumberland","0.0","0"
"Other inc Chinese","Nottinghamshire","0.0","0"
"Other inc Chinese","Oxfordshire","0.2","1"
"Other inc Chinese","Shropshire","0.0","0"
"Other inc Chinese","South Yorkshire","0.3","2"
"Other inc Chinese","Staffordshire","1.2","8"
"Other inc Chinese","Suffolk","0.7","3"
"Other inc Chinese","Surrey","1.1","6"
"Other inc Chinese","Tyne and Wear","0.0","0"
"Other inc Chinese","Warwickshire","0.0","0"
"Other inc Chinese","West Midlands","0.6","9"
"Other inc Chinese","West Sussex","0.2","1"
"Other inc Chinese","West Yorkshire","0.2","2"
"Unknown","Avon","N/A","48"
"Unknown","Bedfordshire","N/A","31"
"Unknown","Berkshire","N/A","1"
"Unknown","Buckinghamshire","N/A","39"
"Unknown","Cambridgeshire","N/A","17"
"Unknown","Cheshire","N/A","8"
"Unknown","Cleveland","N/A","173"
"Unknown","Cornwall","N/A","92"
"Unknown","Cumbria","N/A","115"
"Unknown","Derbyshire","N/A","31"
"Unknown","Devon and Somerset","N/A","124"
"Unknown","Dorset and Wiltshire","N/A","99"
"Unknown","Durham","N/A","43"
"Unknown","East Sussex","N/A","33"
"Unknown","Essex","N/A","629"
"Unknown","Gloucestershire","N/A","75"
"Unknown","Greater London","N/A","60"
"Unknown","Greater Manchester","N/A","104"
"Unknown","Hampshire","N/A","163"
"Unknown","Hereford and Worcester","N/A","11"
"Unknown","Hertfordshire","N/A","33"
"Unknown","Humberside","N/A","40"
"Unknown","Isle Of Wight","N/A","0"
"Unknown","Isles of Scilly","N/A","0"
"Unknown","Kent","N/A","316"
"Unknown","Lancashire","N/A","26"
"Unknown","Leicestershire","N/A","40"
"Unknown","Lincolnshire","N/A","9"
"Unknown","Merseyside","N/A","9"
"Unknown","Norfolk","N/A","101"
"Unknown","North Yorkshire","N/A","86"
"Unknown","Northamptonshire","N/A","106"
"Unknown","Northumberland","N/A","15"
"Unknown","Nottinghamshire","N/A","39"
"Unknown","Oxfordshire","N/A","33"
"Unknown","Shropshire","N/A","134"
"Unknown","South Yorkshire","N/A","4"
"Unknown","Staffordshire","N/A","1"
"Unknown","Suffolk","N/A","150"
"Unknown","Surrey","N/A","73"
"Unknown","Tyne and Wear","N/A","4"
"Unknown","Warwickshire","N/A","89"
"Unknown","West Midlands","N/A","24"
"Unknown","West Sussex","N/A","88"
"Unknown","West Yorkshire","N/A","7"
