"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Lancashire","3.03","601","3.82","30","0.20","1","6.71","388","5.19","7,421","1.10","10"
"Leeds","2.44","371","2.68","245","0.00","0","6.28","508","5.90","5,182","1.61","38"
"Leicester","1.40","354","4.69","271","0.00","0","8.02","333","5.35","1,056","3.09","42"
"Leicestershire","1.35","108","4.66","56","0.00","0","5.72","273","3.69","3,039","1.49","6"
"Lewisham","0.95","23","6.86","981","0.00","0","4.96","308","2.97","404","1.14","15"
"Lincolnshire","0.54","8","5.63","28","0.34","1","3.16","101","4.76","4,709","0.82","4"
"Liverpool","0.72","22","2.30","77","0.00","0","3.92","157","4.18","2,405","1.86","60"
"Luton","2.98","522","5.17","204","0.00","0","6.03","198","6.32","771","3.46","24"
"Manchester","2.97","600","5.56","842","0.22","2","10.27","791","9.87","3,502","4.79","306"
"Medway","0.69","17","3.65","115","0.68","1","8.00","238","6.13","2,246","2.59","12"
"Merton","0.58","33","4.75","189","1.28","3","4.05","136","2.65","379","3.35","31"
"Middlesbrough","3.81","101","5.21","25","0.00","0","11.09","150","18.94","3,619","2.31","19"
"Milton Keynes","1.38","82","3.40","225","0.41","1","6.38","247","6.98","2,054","4.71","21"
"Newcastle upon Tyne","1.14","59","2.26","46","0.00","0","2.96","54","7.02","2,059","1.69","21"
"Newham","1.67","499","5.97","772","0.00","0","5.41","238","4.14","457","4.05","137"
"Norfolk","2.43","43","4.76","53","1.82","8","8.38","321","6.63","6,957","1.73","15"
"North East Lincolnshire","3.65","7","0.00","0","3.70","1","2.59","17","5.87","1,305","3.96","8"
"North Lincolnshire","2.94","27","23.19","32","0.00","0","7.91","37","11.97","2,714","4.21","8"
"North Somerset","1.65","6","11.88","24","0.00","0","7.20","75","6.00","1,707","7.14","5"
"North Tyneside","0.83","6","4.59","10","0.59","1","2.32","19","3.27","938","1.65","3"
"North Yorkshire","1.61","25","6.85","25","2.52","4","7.34","152","6.30","4,878","4.39","14"
"Northamptonshire","1.28","70","3.04","185","2.43","9","6.60","451","5.31","5,137","2.57","20"
"Northumberland","1.63","10","4.62","3","0.00","0","9.19","76","7.81","3,391","0.76","1"
"Nottingham","2.67","219","6.04","326","0.44","1","10.57","639","10.00","2,457","3.02","44"
"Nottinghamshire","0.96","33","4.03","65","1.23","6","4.60","260","4.64","4,988","1.64","12"
"Oldham","2.90","419","2.89","47","0.00","0","5.78","124","5.47","1,351","4.21","20"
"Oxfordshire","2.33","133","6.55","160","0.00","0","6.15","391","5.57","4,287","1.99","27"
"Peterborough","2.41","158","3.43","49","0.00","0","7.63","189","7.07","1,830","2.59","13"
"Plymouth","0.00","0","3.33","12","0.58","1","5.52","64","8.31","2,959","2.95","17"
"Poole","0.54","3","0.00","0","0.00","0","4.00","35","5.42","939","0.00","0"
"Portsmouth","1.62","27","1.14","10","0.00","0","11.60","156","11.17","2,366","0.96","5"
"Reading","1.24","65","3.81","74","0.51","1","8.37","206","4.62","533","2.02","8"
"Redbridge","2.32","736","7.91","469","0.59","2","6.40","280","3.60","491","3.74","32"
"Redcar and Cleveland","10.22","19","27.78","10","0.00","0","7.28","34","20.84","4,363","9.26","10"
"Richmond upon Thames","1.08","24","4.81","40","0.00","0","2.37","73","2.32","465","0.94","6"
"Rochdale","2.01","182","2.81","44","0.00","0","7.45","135","7.59","1,744","1.18","5"
"Rotherham","3.86","136","2.58","18","0.00","0","9.68","132","8.12","3,101","1.16","4"
"Rutland","0.00","0","1.59","1","0.00","0","1.84","3","2.09","112","0.00","0"
"Salford","1.52","16","1.86","41","0.00","0","4.08","115","8.42","2,391","2.16","25"
"Sandwell","1.41","255","5.40","303","0.00","0","5.28","275","3.64","1,041","2.00","31"
"Sefton","0.00","0","3.33","6","0.93","1","2.94","31","2.76","1,029","1.27","4"
"Sheffield","3.84","380","4.68","231","0.19","1","10.72","677","8.62","4,809","6.05","171"
"Shropshire","1.01","4","8.55","10","0.00","0","4.16","41","5.02","1,856","0.00","0"
"Slough","1.50","236","5.36","133","0.00","0","4.52","133","4.77","401","2.71","33"
"Solihull","1.86","90","7.22","64","0.48","1","7.74","250","4.35","1,277","2.24","7"
"Somerset","1.51","12","8.80","22","0.00","0","7.49","142","9.94","6,593","7.51","19"
"South Gloucestershire","1.51","21","6.53","49","0.00","0","8.77","181","7.36","2,530","4.23","11"
"South Tyneside","0.73","6","2.96","4","0.00","0","2.85","16","4.36","877","0.74","1"
"Southampton","0.74","31","2.05","22","0.00","0","4.99","108","5.56","1,330","0.76","4"
"Southend-on-Sea","2.10","50","2.28","39","1.45","3","3.23","62","4.09","938","4.19","9"
"Southwark","0.58","13","5.22","917","0.88","5","4.83","248","3.90","494","3.26","101"
"St. Helens","0.36","1","3.79","5","0.00","0","9.82","50","4.90","1,241","0.00","0"
"Staffordshire","3.12","157","4.99","43","0.87","3","7.23","305","5.16","5,547","0.50","3"
"Stockport","1.88","57","9.61","54","0.00","0","6.22","145","5.51","1,914","2.53","11"
"Stockton-on-Tees","3.61","61","3.54","14","0.00","0","10.53","99","11.97","3,387","9.32","15"
"Stoke-on-Trent","6.46","404","3.17","46","0.00","0","13.83","289","10.92","3,198","5.42","43"
"Suffolk","1.26","24","4.48","43","0.00","0","6.09","338","5.89","5,345","1.99","18"
"Sunderland","1.38","22","1.33","4","0.00","0","4.22","30","7.12","2,649","4.38","6"
"Surrey","1.67","182","4.05","116","0.43","3","2.73","274","3.89","4,976","2.77","44"
"Sutton","0.72","61","5.92","189","0.30","2","4.80","181","4.19","901","1.39","11"
"Swindon","0.75","31","2.65","28","0.00","0","7.11","139","6.79","1,795","2.96","11"
"Tameside","2.26","93","6.89","62","0.00","0","8.71","166","8.24","2,390","3.85","13"
"Telford and Wrekin","2.01","42","3.79","42","0.00","0","9.43","145","9.89","2,418","0.00","0"
"Thurrock","0.70","12","2.81","118","0.00","0","3.28","58","4.22","861","0.63","2"
"Torbay","0.00","0","0.00","0","2.47","2","8.53","55","8.08","1,524","2.86","3"
"Tower Hamlets","2.01","590","5.24","241","1.60","4","6.81","199","6.56","397","2.40","29"
"Trafford","0.92","56","4.39","68","0.26","2","4.42","145","3.33","957","1.75","17"
"Wakefield","9.44","202","5.01","39","5.06","9","9.69","164","15.53","7,347","2.71","10"
"Walsall","3.19","375","4.97","133","1.55","3","6.95","237","4.10","1,302","4.32","29"
"Waltham Forest","2.40","259","8.88","701","0.00","0","6.13","302","3.28","543","4.56","73"
"Wandsworth","0.70","42","4.51","320","0.00","0","3.34","149","1.47","207","1.76","26"
"Warrington","0.43","4","5.19","14","0.00","0","3.54","39","3.62","1,056","0.36","1"
"Warwickshire","0.77","39","3.98","42","0.71","2","5.17","213","4.15","2,951","0.90","5"
"West Berkshire","1.18","11","6.99","29","5.33","4","7.34","97","4.25","970","4.23","8"
"West Sussex","2.07","119","5.92","104","0.32","1","6.48","364","4.63","4,537","2.79","19"
"Westminster","2.89","90","9.92","427","1.57","5","6.57","166","3.28","197","7.03","392"
"Wigan","1.12","7","3.12","20","0.66","1","6.87","78","5.12","2,242","3.50","18"
"Wiltshire","0.45","5","4.84","50","2.19","4","7.20","173","5.32","3,315","8.24","46"
"Windsor and Maidenhead","2.05","67","4.30","15","0.00","0","3.63","66","3.90","617","1.72","6"
"Wirral","1.25","16","5.64","11","0.37","1","5.27","76","4.73","2,191","0.96","2"
"Wokingham","0.64","24","4.65","40","0.00","0","3.63","72","2.44","477","1.95","5"
"Wolverhampton","1.74","192","6.78","334","1.19","2","9.89","526","6.52","1,495","4.16","27"
"Worcestershire","2.26","70","4.77","22","0.65","1","5.06","150","3.59","2,592","1.21","4"
"York","0.37","2","8.27","11","0.00","0","5.63","45","5.63","1,315","2.35","4"
