"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"County Durham","39.2","4,614","53.1","32","54.5","11","83.3","6","42.9","49","39.3","4,434"
"Coventry","37.5","3,377","47.2","687","34.3","335","50.0","6","32.8","192","35.5","2,105"
"Croydon","42.4","3,452","53.2","472","37.7","998","92.3","13","41.3","499","44.6","1,268"
"Cumbria","43.3","4,689","66.7","30","46.7","15","86.7","15","50.8","59","43.2","4,407"
"Darlington","44.9","1,097","43.8","32","60.0","5","50.0","4","62.5","32","44.3","1,008"
"Derby","38.2","2,747","45.6","487","33.3","96","58.3","12","38.5","174","36.7","1,925"
"Derbyshire","42.7","7,069","57.1","70","37.0","27","83.3","12","41.5","171","42.6","6,739"
"Devon","41.0","6,559","47.8","23","20.0","5","84.6","13","43.1","109","41.1","6,179"
"Doncaster","37.4","2,903","40.0","95","29.6","27","40.0","5","45.6","68","37.1","2,677"
"Dorset","43.8","3,989","64.3","28","42.9","7","50.0","12","50.6","79","43.5","3,827"
"Dudley","36.7","3,283","43.4","302","23.2","82","75.0","4","30.9","181","37.1","2,643"
"Ealing","52.2","2,853","56.4","824","40.1","563","90.9","11","56.3","222","55.3","837"
"East Riding of Yorkshire","46.3","3,151","85.7","7","0.0","3","66.7","3","55.2","58","45.9","3,032"
"East Sussex","41.4","4,665","58.8","80","40.0","25","66.7","12","47.5","183","41.1","4,274"
"Enfield","41.6","3,414","64.9","299","36.5","852","82.4","17","45.2","336","38.9","1,619"
"Essex","41.0","14,040","68.4","380","51.1","440","80.5","41","43.2","546","39.6","12,382"
"Gateshead","42.9","1,885","50.0","44","38.1","21","80.0","5","50.0","20","42.5","1,729"
"Gloucestershire","47.3","6,006","58.0","176","35.2","71","60.0","15","48.1","231","47.2","5,417"
"Greenwich","39.4","2,269","46.2","197","39.9","747","62.5","16","40.1","227","37.3","1,011"
"Hackney","46.7","2,058","52.7","258","40.1","758","44.4","9","41.9","172","53.2","713"
"Halton","32.3","1,333","50.0","4","N/A","0","0.0","1","51.6","31","31.7","1,281"
"Hammersmith and Fulham","54.8","1,291","51.8","114","40.3","315","83.3","12","49.2","126","64.2","567"
"Hampshire","45.2","12,497","53.6","319","39.0","123","64.9","37","49.5","323","44.8","11,536"
"Haringey","42.6","2,190","52.5","158","29.2","566","77.8","9","48.2","222","47.7","1,021"
"Harrow","51.2","2,044","62.5","912","40.8","311","62.5","8","49.7","167","40.8","507"
"Hartlepool","37.8","1,016","64.0","25","25.0","4","0.0","1","47.1","17","37.2","966"
"Havering","44.2","2,774","56.8","146","46.7","366","85.7","7","47.6","143","42.3","2,025"
"Herefordshire, County of","42.7","1,644","57.1","7","0.0","3","50.0","2","35.1","37","43.0","1,580"
"Hertfordshire","53.1","12,372","67.9","947","44.9","532","81.5","65","54.8","797","51.8","9,820"
"Hillingdon","47.7","3,064","61.4","715","41.2","345","50.0","4","49.0","339","41.1","1,410"
"Hounslow","49.2","2,666","59.6","805","43.4","346","100.0","3","45.1","237","46.8","915"
"Isle of Wight","33.3","1,070","60.0","5","50.0","2","N/A","0","46.7","15","33.0","1,042"
"Isles of Scilly","80.0","15","N/A","0","N/A","0","N/A","0","100.0","1","76.9","13"
"Islington","44.2","1,404","56.4","179","37.4","406","77.8","9","38.1","181","45.7","484"
"Kensington and Chelsea","53.8","718","61.0","41","41.3","121","100.0","2","55.5","119","62.3","260"
"Kent","44.2","15,516","70.1","581","61.3","393","77.2","57","52.8","716","42.0","13,479"
"Kingston upon Hull, City of","32.9","2,307","52.9","34","33.3","36","100.0","2","40.0","55","33.6","2,036"
"Kingston upon Thames","64.2","1,515","77.9","384","43.4","76","91.7","12","59.0","134","60.2","841"
"Kirklees","42.5","4,488","41.3","1,235","25.0","80","73.3","15","33.1","254","44.5","2,861"
"Knowsley","21.0","929","25.0","4","0.0","2","0.0","1","0.0","12","21.6","900"
"Lambeth","39.3","2,114","61.5","96","35.6","1,012","68.8","16","41.1","258","42.4","540"
"Lancashire","44.2","11,631","43.8","1,347","36.6","41","86.1","36","44.6","258","44.3","9,797"
"Leeds","40.9","7,598","39.7","956","31.9","476","65.8","38","35.2","369","44.0","5,344"
"Leicester","36.3","3,511","43.6","1,719","34.5","365","71.4","7","27.5","229","25.9","1,108"
"Leicestershire","43.6","6,837","61.2","547","33.3","78","66.7","12","40.8","260","42.2","5,877"
"Lewisham","40.7","2,104","46.4","125","34.4","902","80.0","25","42.8","297","46.5","596"
"Lincolnshire","43.0","7,255","81.3","80","64.5","31","68.0","25","54.3","162","42.3","6,878"
"Liverpool","35.9","4,461","61.7","128","36.5","181","72.7","44","41.2","228","34.2","3,748"
"Luton","35.9","2,567","40.9","1,177","26.6","282","62.5","8","34.4","183","32.3","863"
"Manchester","35.6","4,734","42.6","1,068","34.1","815","62.2","45","35.7","375","32.3","2,081"
"Medway","41.9","2,899","62.2","156","63.7","124","71.4","7","44.1","136","39.4","2,424"
"Merton","46.6","1,404","53.4","232","37.2","261","90.0","10","37.6","149","49.9","677"
"Middlesbrough","37.0","1,337","44.6","177","50.0","18","100.0","2","40.9","44","36.0","1,021"
"Milton Keynes","38.8","2,774","46.3","240","31.6","376","63.6","11","33.3","192","39.5","1,892"
"Newcastle upon Tyne","40.3","2,438","46.3","268","41.8","91","75.0","16","50.6","77","39.1","1,906"
"Newham","46.1","3,745","54.8","1,710","40.0","890","66.7","9","40.5","210","34.1","657"
"Norfolk","39.6","7,486","55.3","94","29.5","88","66.7","18","47.0","181","39.3","6,995"
"North East Lincolnshire","36.6","1,558","40.0","15","66.7","3","50.0","2","39.1","23","38.2","1,360"
"North Lincolnshire","40.9","1,680","35.7","70","20.0","10","33.3","3","44.0","25","40.8","1,526"
"North Somerset","43.8","2,085","53.1","32","66.7","15","75.0","4","53.7","54","43.1","1,970"
"North Tyneside","40.6","1,879","50.0","34","44.4","9","20.0","5","56.7","30","40.3","1,782"
"North Yorkshire","48.0","5,971","57.7","111","45.8","24","80.0","5","56.4","110","47.8","5,654"
"Northamptonshire","41.4","7,323","48.1","343","38.3","334","64.3","28","40.5","333","41.0","6,196"
"Northumberland","43.5","3,056","61.0","41","16.7","6","66.7","3","53.8","39","43.5","2,933"
"Nottingham","32.8","2,539","38.5","467","29.5","285","54.5","11","30.8","240","31.4","1,441"
"Nottinghamshire","45.6","7,494","64.8","213","41.1","90","75.0","24","44.4","277","45.2","6,792"
"Oldham","35.8","2,957","33.6","894","32.9","85","100.0","7","26.2","107","37.6","1,781"
"Oxfordshire","46.6","5,886","38.6","293","34.9","126","76.0","25","44.8","324","47.7","4,944"
"Peterborough","35.5","2,305","37.0","365","33.8","80","71.4","7","34.6","130","35.2","1,679"
"Plymouth","38.5","2,480","80.0","20","33.3","15","61.5","13","51.1","47","37.7","2,339"
"Poole","54.4","1,306","65.8","38","25.0","4","57.1","7","67.9","53","53.6","1,188"
"Portsmouth","37.1","1,686","51.0","96","37.8","45","60.0","5","37.7","61","35.5","1,437"
"Reading","46.5","1,076","62.6","211","33.3","87","90.0","20","44.0","91","40.6","621"
"Redbridge","56.7","3,508","65.4","1,858","42.2","507","87.5","24","51.1","231","47.2","797"
"Redcar and Cleveland","40.7","1,517","57.7","26","50.0","2","33.3","3","56.3","16","40.4","1,459"
"Richmond upon Thames","52.9","1,479","65.8","111","27.4","62","50.0","6","44.1","145","54.6","1,110"
"Rochdale","36.7","2,231","38.9","617","28.8","66","62.5","8","32.4","74","36.0","1,430"
"Rotherham","37.4","3,141","39.3","272","39.3","28","87.5","8","27.9","68","37.4","2,739"
"Rutland","57.7","459","50.0","4","25.0","4","N/A","0","80.0","10","57.6","439"
"Salford","32.1","2,082","57.1","42","33.3","90","80.0","5","32.3","99","31.3","1,786"
"Sandwell","28.4","3,634","35.7","1,066","21.4","318","50.0","4","26.1","241","25.8","1,896"
"Sefton","39.4","2,855","45.5","33","50.0","14","100.0","6","36.7","60","40.0","2,662"
"Sheffield","40.0","4,993","37.1","550","30.0","230","78.9","19","34.0","294","42.0","3,683"
"Shropshire","40.6","2,850","42.9","28","62.5","8","63.6","11","37.9","58","40.3","2,695"
"Slough","56.7","1,679","63.5","891","48.9","139","83.3","6","60.2","133","42.9","429"
"Solihull","45.4","2,917","49.8","319","36.4","88","100.0","7","32.6","218","46.1","2,204"
"Somerset","39.3","4,606","38.1","42","40.0","10","55.6","9","39.3","84","39.3","4,421"
"South Gloucestershire","40.2","2,498","50.7","75","46.2","39","60.0","5","40.4","99","39.8","2,251"
"South Tyneside","39.3","1,462","51.7","58","42.9","7","100.0","1","36.0","25","39.5","1,324"
"Southampton","36.2","1,893","43.8","203","33.3","48","83.3","6","37.9","103","34.9","1,511"
"Southend-on-Sea","55.3","2,019","82.5","200","78.2","133","92.3","13","57.8","83","49.8","1,565"
"Southwark","48.2","2,386","61.6","138","44.8","1,064","80.0","30","48.5","260","49.9","645"
"St. Helens","38.8","1,732","50.0","14","16.7","6","100.0","3","48.3","29","39.4","1,634"
"Staffordshire","38.0","8,288","36.9","287","37.2","43","89.5","19","34.9","229","38.0","7,642"
"Stockport","45.4","2,571","55.6","151","25.9","27","68.8","16","43.5","108","45.0","2,239"
"Stockton-on-Tees","47.9","1,929","56.4","117","66.7","15","60.0","5","63.4","41","46.8","1,739"
"Stoke-on-Trent","32.5","2,168","36.6","355","39.4","66","80.0","5","27.5","80","31.4","1,636"
"Suffolk","41.3","6,775","59.5","116","40.0","55","83.3","6","38.8","263","41.1","6,206"
"Sunderland","36.6","2,608","53.1","96","35.7","14","50.0","4","33.3","33","36.1","2,446"
"Surrey","52.0","9,841","56.3","604","31.3","195","77.4","31","54.1","495","51.9","8,356"
"Sutton","63.2","2,719","85.4","636","53.1","224","95.0","40","64.3","238","54.0","1,519"
"Swindon","39.9","2,029","37.8","238","27.5","40","50.0","2","35.9","92","40.9","1,605"
"Tameside","40.4","2,512","44.0","302","31.0","42","85.7","7","35.2","88","40.3","2,053"
"Telford and Wrekin","39.9","1,934","47.2","127","43.1","51","63.6","11","31.3","80","39.4","1,654"
"Thurrock","38.7","1,634","60.6","71","51.9","162","83.3","12","45.7","70","35.5","1,271"
"Torbay","46.7","1,409","66.7","18","66.7","3","85.7","7","60.6","33","47.2","1,267"
"Tower Hamlets","44.8","2,721","49.9","1,865","41.7","302","100.0","4","25.2","111","27.8","299"
"Trafford","63.8","2,850","71.6","377","50.5","95","90.2","41","55.1","185","62.9","2,079"
"Wakefield","40.4","3,406","39.2","125","37.0","46","100.0","10","46.8","79","40.2","3,123"
"Walsall","36.3","3,233","47.1","716","30.6","160","75.0","4","32.8","180","33.1","2,142"
"Waltham Forest","42.9","2,484","50.3","743","31.5","546","92.3","13","44.7","237","42.6","840"
"Wandsworth","54.2","1,707","59.0","334","42.7","475","85.7","7","56.3","224","60.0","565"
"Warrington","46.6","2,365","58.8","51","28.6","14","70.0","10","58.8","68","46.3","2,184"
"Warwickshire","48.7","5,466","68.3","293","53.7","41","88.9","18","48.8","205","47.5","4,809"
"West Berkshire","47.4","1,741","52.1","48","51.7","29","66.7","3","42.6","68","48.0","1,562"
"West Sussex","43.6","7,578","57.3","330","33.0","115","50.0","22","39.5","286","43.3","6,736"
"Westminster","53.0","1,495","55.1","216","45.0","353","93.3","15","48.9","133","63.9","371"
"Wigan","38.7","3,221","48.3","29","34.4","32","75.0","8","45.5","55","38.5","3,070"
"Wiltshire","46.9","4,631","57.1","56","35.6","45","75.0","12","55.4","121","46.5","4,241"
"Windsor and Maidenhead","51.0","1,489","45.3","192","35.5","31","60.0","5","58.7","121","51.8","1,090"
"Wirral","45.9","3,237","74.6","59","33.3","6","68.8","16","56.5","85","45.0","3,035"
"Wokingham","55.2","1,636","56.2","185","40.4","57","71.4","14","46.1","89","56.3","1,253"
"Wolverhampton","36.4","2,612","50.7","578","27.4","266","57.1","7","28.6","269","33.9","1,454"
"Worcestershire","42.5","5,273","43.4","196","33.3","24","69.2","13","44.9","167","42.5","4,830"
"York","47.3","1,620","46.4","28","54.5","11","100.0","3","52.5","40","47.1","1,521"
