"","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Kingston upon Hull, City of","52.9","52.6","53.3","33.3","33.3","33.3","100.0","100.0","100.0","40.0","37.0","42.9","33.6","31.4","36.2"
"Kingston upon Thames","77.9","75.4","80.1","43.4","40.5","46.2","91.7","100.0","88.9","59.0","48.4","68.6","60.2","56.2","63.8"
"Kirklees","41.3","37.0","45.5","25.0","23.8","26.3","73.3","57.1","87.5","33.1","24.8","42.1","44.5","39.4","49.6"
"Knowsley","25.0","0.0","50.0","0.0","0.0","N/A","0.0","0.0","N/A","0.0","0.0","0.0","21.6","17.1","26.1"
"Lambeth","61.5","63.5","57.6","35.6","30.9","39.9","68.8","87.5","50.0","41.1","37.7","45.8","42.4","36.1","49.0"
"Lancashire","43.8","40.0","47.6","36.6","40.9","31.6","86.1","76.9","91.3","44.6","41.5","48.0","44.3","41.1","47.6"
"Leeds","39.7","35.6","45.3","31.9","26.9","37.2","65.8","64.7","66.7","35.2","31.0","39.5","44.0","40.9","47.1"
"Leicester","43.6","40.6","47.0","34.5","25.5","43.6","71.4","100.0","50.0","27.5","22.4","32.7","25.9","21.1","31.0"
"Leicestershire","61.2","58.8","63.7","33.3","48.8","16.2","66.7","50.0","75.0","40.8","42.1","39.4","42.2","36.8","47.9"
"Lewisham","46.4","40.0","54.5","34.4","30.3","38.6","80.0","80.0","80.0","42.8","39.3","45.9","46.5","43.2","49.7"
"Lincolnshire","81.3","85.7","77.8","64.5","53.8","72.2","68.0","70.6","62.5","54.3","54.8","53.9","42.3","38.8","46.0"
"Liverpool","61.7","59.0","64.2","36.5","40.2","32.6","72.7","70.8","75.0","41.2","37.5","44.4","34.2","30.1","38.1"
"Luton","40.9","41.2","40.6","26.6","29.1","24.1","62.5","33.3","80.0","34.4","29.1","39.2","32.3","30.2","34.8"
"Manchester","42.6","38.9","46.3","34.1","29.9","38.3","62.2","60.0","65.0","35.7","31.6","40.1","32.3","30.9","33.8"
"Medway","62.2","58.4","65.8","63.7","59.6","66.2","71.4","75.0","66.7","44.1","33.3","55.2","39.4","36.3","42.6"
"Merton","53.4","49.1","57.8","37.2","34.7","39.3","90.0","83.3","100.0","37.6","33.7","42.4","49.9","48.8","51.1"
"Middlesbrough","44.6","42.2","46.8","50.0","12.5","80.0","100.0","100.0","N/A","40.9","43.8","39.3","36.0","34.9","37.3"
"Milton Keynes","46.3","44.7","47.9","31.6","25.7","37.8","63.6","75.0","57.1","33.3","33.0","33.7","39.5","36.8","42.4"
"Newcastle upon Tyne","46.3","39.6","53.0","41.8","38.1","44.9","75.0","40.0","90.9","50.6","50.0","51.3","39.1","38.9","39.5"
"Newham","54.8","54.7","54.9","40.0","35.4","44.1","66.7","50.0","80.0","40.5","33.7","46.8","34.1","30.9","37.1"
"Norfolk","55.3","54.3","56.3","29.5","27.3","31.8","66.7","42.9","81.8","47.0","43.0","51.9","39.3","36.2","42.6"
"North East Lincolnshire","40.0","28.6","50.0","66.7","100.0","50.0","50.0","N/A","50.0","39.1","53.8","20.0","38.2","33.0","43.7"
"North Lincolnshire","35.7","48.7","19.4","20.0","28.6","0.0","33.3","0.0","100.0","44.0","14.3","55.6","40.8","35.4","46.9"
"North Somerset","53.1","70.6","33.3","66.7","55.6","83.3","75.0","75.0","N/A","53.7","42.9","65.4","43.1","42.0","44.3"
"North Tyneside","50.0","50.0","50.0","44.4","37.5","100.0","20.0","0.0","50.0","56.7","30.8","76.5","40.3","36.5","44.2"
"North Yorkshire","57.7","53.3","62.7","45.8","33.3","53.3","80.0","50.0","100.0","56.4","47.3","65.5","47.8","43.7","52.0"
"Northamptonshire","48.1","45.8","50.0","38.3","33.5","43.7","64.3","70.0","61.1","40.5","41.3","39.9","41.0","38.0","44.3"
"Northumberland","61.0","55.0","66.7","16.7","0.0","50.0","66.7","66.7","N/A","53.8","40.0","78.6","43.5","40.0","47.2"
"Nottingham","38.5","38.3","38.8","29.5","28.1","30.7","54.5","28.6","100.0","30.8","30.3","31.5","31.4","31.2","31.6"
"Nottinghamshire","64.8","60.5","70.2","41.1","35.6","46.7","75.0","64.3","90.0","44.4","41.0","47.6","45.2","42.7","47.9"
"Oldham","33.6","25.6","41.0","32.9","22.2","40.8","100.0","100.0","100.0","26.2","26.7","25.5","37.6","33.2","42.5"
"Oxfordshire","38.6","39.5","37.4","34.9","30.8","39.3","76.0","50.0","88.2","44.8","34.9","55.1","47.7","45.2","50.3"
"Peterborough","37.0","36.5","37.5","33.8","29.3","38.5","71.4","66.7","100.0","34.6","31.1","39.3","35.2","32.9","37.7"
"Plymouth","80.0","77.8","81.8","33.3","25.0","42.9","61.5","66.7","50.0","51.1","56.5","45.8","37.7","33.6","41.9"
"Poole","65.8","66.7","65.2","25.0","0.0","33.3","57.1","50.0","60.0","67.9","67.6","68.4","53.6","50.2","57.2"
"Portsmouth","51.0","45.7","56.0","37.8","31.3","41.4","60.0","50.0","66.7","37.7","35.7","42.1","35.5","30.7","41.0"
"Reading","62.6","57.8","67.6","33.3","29.8","37.5","90.0","91.7","87.5","44.0","25.6","57.7","40.6","39.5","42.0"
"Redbridge","65.4","63.8","67.3","42.2","36.9","47.0","87.5","90.0","85.7","51.1","46.6","55.8","47.2","46.1","48.4"
"Redcar and Cleveland","57.7","62.5","50.0","50.0","50.0","N/A","33.3","33.3","N/A","56.3","44.4","71.4","40.4","37.2","43.7"
"Richmond upon Thames","65.8","66.7","64.6","27.4","26.7","28.1","50.0","66.7","33.3","44.1","46.5","41.9","54.6","53.8","55.3"
"Rochdale","38.9","34.8","43.0","28.8","18.8","38.2","62.5","50.0","75.0","32.4","39.5","25.0","36.0","33.3","39.0"
"Rotherham","39.3","35.7","43.2","39.3","23.1","53.3","87.5","100.0","80.0","27.9","27.8","28.1","37.4","33.1","41.7"
"Rutland","50.0","50.0","50.0","25.0","0.0","50.0","N/A","N/A","N/A","80.0","85.7","66.7","57.6","51.8","63.6"
"Salford","57.1","54.2","61.1","33.3","27.9","38.3","80.0","0.0","100.0","32.3","29.8","34.6","31.3","26.5","35.9"
"Sandwell","35.7","33.7","38.1","21.4","23.2","19.6","50.0","50.0","N/A","26.1","24.3","27.8","25.8","24.9","26.9"
"Sefton","45.5","42.9","50.0","50.0","33.3","62.5","100.0","100.0","100.0","36.7","40.6","32.1","40.0","36.1","44.2"
"Sheffield","37.1","39.0","35.0","30.0","24.6","35.3","78.9","70.0","88.9","34.0","28.7","39.1","42.0","39.5","44.7"
"Shropshire","42.9","35.3","54.5","62.5","33.3","80.0","63.6","62.5","66.7","37.9","33.3","44.0","40.3","37.9","42.9"
"Slough","63.5","58.4","68.1","48.9","28.4","68.1","83.3","75.0","100.0","60.2","64.5","56.3","42.9","35.7","49.1"
"Solihull","49.8","47.8","52.6","36.4","34.0","39.5","100.0","100.0","100.0","32.6","35.6","29.8","46.1","42.1","50.4"
"Somerset","38.1","52.4","23.8","40.0","33.3","42.9","55.6","50.0","60.0","39.3","31.8","47.5","39.3","33.8","45.2"
"South Gloucestershire","50.7","36.7","60.0","46.2","38.5","61.5","60.0","0.0","100.0","40.4","28.6","52.0","39.8","36.7","43.1"
"South Tyneside","51.7","51.9","51.6","42.9","25.0","66.7","100.0","100.0","N/A","36.0","30.8","41.7","39.5","36.8","42.0"
"Southampton","43.8","44.4","43.3","33.3","36.0","30.4","83.3","100.0","50.0","37.9","30.6","44.4","34.9","32.2","37.8"
"Southend-on-Sea","82.5","81.4","83.9","78.2","71.6","86.4","92.3","80.0","100.0","57.8","44.7","68.9","49.8","45.5","54.3"
"Southwark","61.6","59.1","63.9","44.8","42.1","47.2","80.0","73.3","86.7","48.5","54.3","42.7","49.9","50.4","49.3"
"St. Helens","50.0","42.9","57.1","16.7","25.0","0.0","100.0","100.0","100.0","48.3","43.5","66.7","39.4","36.9","42.0"
"Staffordshire","36.9","35.7","38.3","37.2","27.3","47.6","89.5","80.0","100.0","34.9","33.9","35.8","38.0","34.5","41.7"
"Stockport","55.6","50.0","61.6","25.9","29.4","20.0","68.8","54.5","100.0","43.5","50.9","35.3","45.0","42.3","47.9"
"Stockton-on-Tees","56.4","54.5","58.8","66.7","80.0","60.0","60.0","50.0","66.7","63.4","52.2","77.8","46.8","45.5","48.2"
"Stoke-on-Trent","36.6","32.6","40.7","39.4","33.3","48.1","80.0","66.7","100.0","27.5","32.6","20.6","31.4","26.9","36.0"
"Suffolk","59.5","50.9","67.8","40.0","38.5","41.4","83.3","75.0","100.0","38.8","32.3","45.4","41.1","39.6","42.6"
"Sunderland","53.1","47.6","57.4","35.7","37.5","33.3","50.0","33.3","100.0","33.3","25.0","41.2","36.1","33.2","39.0"
"Surrey","56.3","52.6","60.4","31.3","25.0","37.9","77.4","76.9","77.8","54.1","49.4","59.0","51.9","49.0","55.0"
"Sutton","85.4","85.1","85.7","53.1","50.0","56.0","95.0","100.0","90.5","64.3","62.9","65.6","54.0","54.3","53.8"
"Swindon","37.8","33.9","41.7","27.5","30.0","25.0","50.0","100.0","0.0","35.9","36.0","35.7","40.9","37.7","44.4"
"Tameside","44.0","46.1","42.0","31.0","20.0","40.9","85.7","50.0","100.0","35.2","38.1","32.6","40.3","36.0","44.9"
"Telford and Wrekin","47.2","47.3","47.2","43.1","36.7","52.4","63.6","100.0","33.3","31.3","22.5","40.0","39.4","35.6","43.1"
"Thurrock","60.6","52.8","68.6","51.9","48.7","54.8","83.3","100.0","71.4","45.7","38.2","52.8","35.5","29.9","40.8"
"Torbay","66.7","80.0","61.5","66.7","66.7","N/A","85.7","100.0","80.0","60.6","50.0","76.9","47.2","45.0","49.7"
"Tower Hamlets","49.9","46.2","53.3","41.7","36.5","46.8","100.0","100.0","100.0","25.2","23.4","27.7","27.8","21.8","33.6"
"Trafford","71.6","73.1","70.0","50.5","51.0","50.0","90.2","88.9","91.3","55.1","56.6","53.5","62.9","60.5","65.5"
"Wakefield","39.2","32.2","45.5","37.0","29.2","45.5","100.0","100.0","100.0","46.8","42.9","50.0","40.2","37.9","42.6"
"Walsall","47.1","47.1","47.0","30.6","25.3","35.8","75.0","50.0","100.0","32.8","31.2","34.0","33.1","29.0","37.3"
"Waltham Forest","50.3","47.6","53.1","31.5","24.5","37.4","92.3","100.0","83.3","44.7","44.4","45.0","42.6","39.4","45.8"
"Wandsworth","59.0","60.1","57.5","42.7","40.8","44.8","85.7","100.0","75.0","56.3","51.9","60.0","60.0","59.1","61.1"
"Warrington","58.8","65.6","47.4","28.6","28.6","28.6","70.0","66.7","71.4","58.8","55.6","62.5","46.3","42.3","50.8"
"Warwickshire","68.3","69.0","67.5","53.7","50.0","56.5","88.9","88.9","88.9","48.8","50.5","47.2","47.5","42.6","52.7"
"West Berkshire","52.1","42.3","63.6","51.7","35.3","75.0","66.7","66.7","N/A","42.6","47.4","36.7","48.0","42.1","53.5"
"West Sussex","57.3","55.2","59.6","33.0","29.1","36.7","50.0","62.5","42.9","39.5","36.5","42.8","43.3","39.7","47.0"
"Westminster","55.1","54.5","55.9","45.0","35.3","56.0","93.3","80.0","100.0","48.9","43.1","52.4","63.9","50.7","72.9"
"Wigan","48.3","40.0","57.1","34.4","27.8","42.9","75.0","71.4","100.0","45.5","31.0","61.5","38.5","33.8","43.2"
"Wiltshire","57.1","50.0","66.7","35.6","26.3","42.3","75.0","100.0","62.5","55.4","57.8","53.9","46.5","42.3","50.8"
"Windsor and Maidenhead","45.3","42.9","47.5","35.5","21.4","47.1","60.0","N/A","60.0","58.7","59.7","57.4","51.8","48.8","55.0"
"Wirral","74.6","78.6","71.0","33.3","0.0","50.0","68.8","77.8","57.1","56.5","62.5","51.1","45.0","40.1","49.8"
"Wokingham","56.2","56.0","56.5","40.4","28.6","59.1","71.4","55.6","100.0","46.1","38.1","53.2","56.3","52.8","59.7"
"Wolverhampton","50.7","46.8","54.4","27.4","22.3","33.1","57.1","60.0","50.0","28.6","20.5","35.4","33.9","26.3","41.0"
"Worcestershire","43.4","42.5","44.0","33.3","45.5","23.1","69.2","33.3","80.0","44.9","41.5","49.3","42.5","37.9","47.3"
"York","46.4","50.0","43.8","54.5","50.0","66.7","100.0","100.0","100.0","52.5","47.1","56.5","47.1","44.8","49.3"
