"Ethnicity","Geography","% of police officers","% population","Number of police officers (FTE)"
"Other inc Chinese","London, City of","0.1","5.7","1"
"Other inc Chinese","Merseyside","0.4","1.6","16"
"Other inc Chinese","Metropolitan Police","2.3","5.0","732"
"Other inc Chinese","Norfolk","0.2","0.6","3"
"Other inc Chinese","North Wales","0.0","0.6","0"
"Other inc Chinese","North Yorkshire","0.2","0.8","3"
"Other inc Chinese","Northamptonshire","0.1","0.8","1"
"Other inc Chinese","Northumbria","0.2","1.3","5"
"Other inc Chinese","Nottinghamshire","0.2","1.4","5"
"Other inc Chinese","South Wales","0.3","1.5","9"
"Other inc Chinese","South Yorkshire","0.1","1.8","3"
"Other inc Chinese","Staffordshire","0.0","0.7","0"
"Other inc Chinese","Suffolk","0.2","0.6","2"
"Other inc Chinese","Surrey","0.5","1.7","9"
"Other inc Chinese","Sussex","0.4","1.0","11"
"Other inc Chinese","Thames Valley","0.5","1.4","20"
"Other inc Chinese","Warwickshire","0.5","0.9","5"
"Other inc Chinese","West Mercia","0.2","0.5","4"
"Other inc Chinese","West Midlands","0.2","2.3","14"
"Other inc Chinese","West Yorkshire","0.3","1.4","14"
"Other inc Chinese","Wiltshire","0.1","0.6","1"
"Unknown","All - excluding BTP","N/A","N/A","3,400"
"Unknown","Avon & Somerset","N/A","N/A","224"
"Unknown","Bedfordshire","N/A","N/A","44"
"Unknown","British Transport Police","N/A","N/A","90"
"Unknown","Cambridgeshire","N/A","N/A","19"
"Unknown","Cheshire","N/A","N/A","68"
"Unknown","Cleveland","N/A","N/A","23"
"Unknown","Cumbria","N/A","N/A","22"
"Unknown","Derbyshire","N/A","N/A","17"
"Unknown","Devon & Cornwall","N/A","N/A","631"
"Unknown","Dorset","N/A","N/A","59"
"Unknown","Durham","N/A","N/A","2"
"Unknown","Dyfed-Powys","N/A","N/A","268"
"Unknown","Essex","N/A","N/A","56"
"Unknown","Gloucestershire","N/A","N/A","42"
"Unknown","Greater Manchester","N/A","N/A","46"
"Unknown","Gwent","N/A","N/A","38"
"Unknown","Hampshire","N/A","N/A","102"
"Unknown","Hertfordshire","N/A","N/A","26"
"Unknown","Humberside","N/A","N/A","11"
"Unknown","Kent","N/A","N/A","56"
"Unknown","Lancashire","N/A","N/A","142"
"Unknown","Leicestershire","N/A","N/A","66"
"Unknown","Lincolnshire","N/A","N/A","10"
"Unknown","London, City of","N/A","N/A","2"
"Unknown","Merseyside","N/A","N/A","51"
"Unknown","Metropolitan Police","N/A","N/A","558"
"Unknown","Norfolk","N/A","N/A","28"
"Unknown","North Wales","N/A","N/A","10"
"Unknown","North Yorkshire","N/A","N/A","12"
"Unknown","Northamptonshire","N/A","N/A","53"
"Unknown","Northumbria","N/A","N/A","137"
"Unknown","Nottinghamshire","N/A","N/A","29"
"Unknown","South Wales","N/A","N/A","24"
"Unknown","South Yorkshire","N/A","N/A","15"
"Unknown","Staffordshire","N/A","N/A","6"
"Unknown","Suffolk","N/A","N/A","24"
"Unknown","Surrey","N/A","N/A","100"
"Unknown","Sussex","N/A","N/A","203"
"Unknown","Thames Valley","N/A","N/A","48"
"Unknown","Warwickshire","N/A","N/A","17"
"Unknown","West Mercia","N/A","N/A","15"
"Unknown","West Midlands","N/A","N/A","69"
"Unknown","West Yorkshire","N/A","N/A","14"
"Unknown","Wiltshire","N/A","N/A","15"
