"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Age_Bracket","Age_Bracket_Type","Value","Value_type","Number_of_new_loans"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","320"
"Number of Start Up Loans per 10,000 of economically active population","2017","Year","All","ONS 5+1","18+","Labour Force age bracket","2.7","rate per 10,000 of economically active population","8918"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","White","ONS 5+1","18+","Labour Force age bracket","2.2","rate per 10,000 of economically active population","6213"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","Asian","ONS 5+1","18+","Labour Force age bracket","1.5","rate per 10,000 of economically active population","343"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","Black","ONS 5+1","18+","Labour Force age bracket","5.2","rate per 10,000 of economically active population","524"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","6","rate per 10,000 of economically active population","242"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","Other","ONS 5+1","18+","Labour Force age bracket","1.7","rate per 10,000 of economically active population","94"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","401"
"Number of Start Up Loans per 10,000 of economically active population","2018","Year","All","ONS 5+1","18+","Labour Force age bracket","2.4","rate per 10,000 of economically active population","7817"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","White","ONS 5+1","18+","Labour Force age bracket","2","rate per 10,000 of economically active population","5886"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","Asian","ONS 5+1","18+","Labour Force age bracket","1.8","rate per 10,000 of economically active population","411"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","Black","ONS 5+1","18+","Labour Force age bracket","4.5","rate per 10,000 of economically active population","481"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","Mixed","ONS 5+1","18+","Labour Force age bracket","6.3","rate per 10,000 of economically active population","240"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","Other","ONS 5+1","18+","Labour Force age bracket","1.6","rate per 10,000 of economically active population","90"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","Unknown","ONS 5+1","18+","Labour Force age bracket","N/A","N/A","884"
"Number of Start Up Loans per 10,000 of economically active population","2019","Year","All","ONS 5+1","18+","Labour Force age bracket","2.4","rate per 10,000 of economically active population","7992"
