"Ethnicity","Local Authority","Number leaving care who are adopted","% leaving care who are adopted","Number leaving care"
"Other than White","Bournemouth, Christchurch and Poole","N/A","N/A","N/A"
"Other than White","Bracknell Forest","!","!","45"
"Other than White","Bradford","20","5","383"
"Other than White","Brent","9","2","406"
"Other than White","Brighton and Hove","9","5","174"
"Other than White","Bristol, City of","20","8","262"
"Other than White","Bromley","12","6","205"
"Other than White","Buckinghamshire","12","6","196"
"Other than White","Bury","7","7","104"
"Other than White","Calderdale","7","10","73"
"Other than White","Cambridgeshire","12","5","241"
"Other than White","Camden","10","4","228"
"Other than White","Central Bedfordshire","6","5","114"
"Other than White","Cheshire East","0","0","56"
"Other than White","Cheshire West & Chester","!","!","38"
"Other than White","City of London","0","0","52"
"Other than White","Cornwall","!","!","49"
"Other than White","Coventry","26","9","284"
"Other than White","Croydon","23","3","844"
"Other than White","Cumbria","!","!","28"
"Other than White","Darlington","!","!","22"
"Other than White","Derby","8","4","187"
"Other than White","Derbyshire","9","8","115"
"Other than White","Devon","6","7","91"
"Other than White","Doncaster","11","15","73"
"Other than White","Dorset","N/A","N/A","N/A"
"Other than White","Dudley","19","17","113"
"Other than White","Durham","!","!","57"
"Other than White","Ealing","11","2","446"
"Other than White","East Riding of Yorkshire","!","!","40"
"Other than White","East Sussex","8","9","90"
"Other than White","Enfield","11","3","333"
"Other than White","Essex","23","5","434"
"Other than White","Gateshead","0","0","59"
"Other than White","Gloucestershire","!","!","177"
"Other than White","Greenwich","18","5","358"
"Other than White","Hackney","23","5","450"
"Other than White","Halton","0","0","13"
"Other than White","Hammersmith and Fulham","!","!","305"
"Other than White","Hampshire","10","3","307"
"Other than White","Haringey","18","4","448"
"Other than White","Harrow","7","2","283"
"Other than White","Hartlepool","0","0","22"
"Other than White","Havering","!","!","160"
"Other than White","Herefordshire","!","!","26"
"Other than White","Hertfordshire","30","7","423"
"Other than White","Hillingdon","13","3","416"
"Other than White","Hounslow","12","5","249"
"Other than White","Isle of Wight","0","0","14"
"Other than White","Isles of Scilly","0","0","0"
"Other than White","Islington","20","6","308"
"Other than White","Kensington and Chelsea","!","!","161"
"Other than White","Kent","23","2","1,009"
"Other than White","Kingston Upon Hull, City of","!","!","107"
"Other than White","Kingston upon Thames","!","!","104"
"Other than White","Kirklees","17","7","244"
"Other than White","Knowsley","0","0","19"
"Other than White","Lambeth","22","4","498"
"Other than White","Lancashire","24","9","274"
"Other than White","Leeds","31","8","386"
"Other than White","Leicester","26","11","245"
"Other than White","Leicestershire","12","11","106"
"Other than White","Lewisham","29","6","496"
"Other than White","Lincolnshire","!","!","135"
"Other than White","Liverpool","6","2","311"
"Other than White","Luton","11","4","274"
"Other than White","Manchester","62","8","755"
"Other than White","Medway","7","9","82"
"Other than White","Merton","!","!","145"
"Other than White","Middlesbrough","8","9","88"
"Other than White","Milton Keynes","7","4","163"
"Other than White","Newcastle upon Tyne","12","7","164"
"Other than White","Newham","12","2","524"
"Other than White","Norfolk","12","8","157"
"Other than White","North East Lincolnshire","!","!","31"
"Other than White","North Lincolnshire","0","0","79"
"Other than White","North Somerset","!","!","41"
"Other than White","North Tyneside","!","!","33"
"Other than White","North Yorkshire","0","0","54"
"Other than White","Northamptonshire","20","6","350"
"Other than White","Northumberland","!","!","23"
"Other than White","Nottingham","32","12","277"
"Other than White","Nottinghamshire","8","6","143"
"Other than White","Oldham","24","11","215"
"Other than White","Oxfordshire","17","6","265"
"Other than White","Peterborough","6","4","150"
"Other than White","Plymouth","!","!","53"
"Other than White","Portsmouth","!","!","231"
"Other than White","Reading","11","10","112"
"Other than White","Redbridge","!","!","280"
"Other than White","Redcar and Cleveland","0","0","32"
"Other than White","Richmond upon Thames","!","!","97"
"Other than White","Rochdale","20","13","152"
"Other than White","Rotherham","7","6","108"
"Other than White","Rutland","0","0","9"
"Other than White","Salford","12","8","159"
"Other than White","Sandwell","22","8","288"
"Other than White","Sefton","!","!","41"
"Other than White","Sheffield","37","14","271"
"Other than White","Shropshire","!","!","43"
"Other than White","Slough","22","10","225"
"Other than White","Solihull","7","5","144"
"Other than White","Somerset","!","!","63"
"Other than White","South Gloucestershire","!","!","60"
"Other than White","South Tyneside","!","!","36"
"Other than White","Southampton","12","9","136"
"Other than White","Southend-on-Sea","8","11","75"
"Other than White","Southwark","19","3","552"
"Other than White","St. Helens","!","!","20"
"Other than White","Staffordshire","16","7","224"
"Other than White","Stockport","!","!","87"
"Other than White","Stockton-on-Tees","!","!","45"
"Other than White","Stoke-on-Trent","6","7","89"
"Other than White","Suffolk","13","5","250"
"Other than White","Sunderland","!","!","53"
"Other than White","Surrey","11","3","440"
"Other than White","Sutton","7","6","118"
"Other than White","Swindon","9","10","91"
"Other than White","Tameside","!","!","105"
"Other than White","Telford and Wrekin","!","!","48"
"Other than White","Thurrock","!","!","382"
"Other than White","Torbay","0","0","30"
"Other than White","Tower Hamlets","18","4","406"
"Other than White","Trafford","!","!","122"
"Other than White","Wakefield","19","11","170"
"Other than White","Walsall","27","15","180"
"Other than White","Waltham Forest","8","3","304"
"Other than White","Wandsworth","18","4","403"
"Other than White","Warrington","!","!","51"
"Other than White","Warwickshire","12","5","220"
"Other than White","West Berkshire","!","!","58"
"Other than White","West Sussex","16","6","289"
"Other than White","Westminster","9","2","385"
"Other than White","Wigan","!","!","65"
"Other than White","Wiltshire","7","6","109"
"Other than White","Windsor and Maidenhead","!","!","52"
"Other than White","Wirral","!","!","52"
"Other than White","Wokingham","!","!","42"
"Other than White","Wolverhampton","31","16","190"
"Other than White","Worcestershire","7","6","114"
"Other than White","York","!","!","29"
