"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","73","%","13235","18071",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","81","%","14186","17436",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","79","%","10080","12824",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","4932","6604",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","83","%","5148","6220",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","6722","8309",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","78","%","3275","4209",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","84","%","3447","4100",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","77","%","3716","4797",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","74","%","1824","2478",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","82","%","1892","2319",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","72","%","6903","9577",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","67","%","3204","4780",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","77","%","3699","4797",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","68","%","7923","11661",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","65","%","3865","5991",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","72","%","4058","5670",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","70","%","19133","27362",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","67","%","9295","13933",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","73","%","9838","13429",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","63","%","3480","5564",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","59","%","1670","2842",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","66","%","1810","2722",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","347197","459146",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","169240","234990",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","177957","224156",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","318320","416325",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","73","%","155235","213087",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","80","%","163085","203238",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","28","%","618","2172",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","25","%","267","1077",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","32","%","351","1095",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","82","%","1394","1691",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","78","%","668","852",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","87","%","726","839",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","37","%","174","474",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","35","%","90","254",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Irish Traveller","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","38","%","84","220",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","69","%","26691","38484",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","66","%","12980","19720",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","White Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","73","%","13711","18764",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","28","%","174457","619690",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","24","%","76073","316778",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","32","%","98384","302912",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","27","%","18363","67876",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","24","%","8304","34826",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","10059","33050",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","30","%","3421","11378",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","26","%","1550","5890",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","34","%","1871","5488",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","25","%","2791","10965",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","22","%","1233","5624",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","29","%","1558","5341",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","8970","37392",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","20","%","3761","18794",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","28","%","5209","18598",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","26","%","6434","25224",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","21","%","2703","12611",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","30","%","3731","12613",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","20","%","1446","7220",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","16","%","592","3651",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","24","%","854","3569",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","22","%","1090","4948",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","18","%","466","2532",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","26","%","624","2416",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","42","%","1077","2544",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","37","%","466","1264",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","48","%","611","1280",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","36","%","6451","18171",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","32","%","2956","9379",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","40","%","3495","8792",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","30","%","10707","35507",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","26","%","4636","18071",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","35","%","6071","17436",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","31","%","4022","12824",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","27","%","1810","6604",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","36","%","2212","6220",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","36","%","3010","8309",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","31","%","1312","4209",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","41","%","1698","4100",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","29","%","1414","4797",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","25","%","615","2478",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","34","%","799","2319",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","2261","9577",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","19","%","899","4780",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","28","%","1362","4797",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","23","%","2657","11661",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","20","%","1213","5991",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","25","%","1444","5670",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","21","%","5700","27362",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","18","%","2565","13933",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","23","%","3135","13429",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","24","%","1360","5564",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","21","%","595","2842",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","28","%","765","2722",""
"% of pupils reaching the key stage 2 higher standard in reading by ethnicity and gender","White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","29","%","131323","459146",""
