"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands","Grouped region","Community Provider Trust","78","%","32","41"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","958","1056"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Worcestershire Health and Care NHS Trust","R1A","All","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","990","1097"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","80","%","70","88"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","92","%","1215","1327"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Solent NHS Trust","R1C","All","White & Other","South","Grouped region","Community Provider Trust","91","%","1285","1415"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","82","%","67","82"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","92","%","1071","1162"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Solent NHS Trust","R1C","All","White & Other","South","Grouped region","Community Provider Trust","91","%","1138","1244"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands","Grouped region","Community Provider Trust","45","%","5","11"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands","Grouped region","Community Provider Trust","91","%","409","449"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Shropshire Community Health NHS Trust","R1D","All","White & Other","Midlands","Grouped region","Community Provider Trust","90","%","414","460"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands","Grouped region","Community Provider Trust","75","%","9","12"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","409","461"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Shropshire Community Health NHS Trust","R1D","All","White & Other","Midlands","Grouped region","Community Provider Trust","88","%","418","473"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","Other","White & Other","Midlands","Grouped region","Community Provider Trust","73","%","44","60"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","White","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","1128","1267"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Staffordshire and Stoke on Trent Partnership NHS Trust","R1E","All","White & Other","Midlands","Grouped region","Community Provider Trust","88","%","1172","1327"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (acute sector)","R1F1","Other","White & Other","South","Grouped region","Acute","53","%","25","47"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (acute sector)","R1F1","White","White & Other","South","Grouped region","Acute","79","%","358","452"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (acute sector)","R1F1","All","White & Other","South","Grouped region","Acute","77","%","383","499"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Isle of Wight NHS Trust (acute sector)","R1F1","Other","White & Other","South","Grouped region","Acute Trust","78","%","40","51"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Isle of Wight NHS Trust (acute sector)","R1F1","White","White & Other","South","Grouped region","Acute Trust","84","%","501","597"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Isle of Wight NHS Trust (acute sector)","R1F1","All","White & Other","South","Grouped region","Acute Trust","83","%","541","648"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (ambulance sector)","R1F2","White","White & Other","South","Grouped region","Ambulance","76","%","35","46"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (ambulance sector)","R1F2","All","White & Other","South","Grouped region","Ambulance","76","%","35","46"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (mental health sector)","R1F3","White","White & Other","South","Grouped region","Mental Health","77","%","85","110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (mental health sector)","R1F3","All","White & Other","South","Grouped region","Mental Health","77","%","85","110"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (community sector)","R1F4","White","White & Other","South","Grouped region","Community Provider Trust","87","%","97","112"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Isle of Wight NHS Trust (community sector)","R1F4","All","White & Other","South","Grouped region","Community Provider Trust","87","%","97","112"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute","63","%","1481","2361"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute","83","%","1922","2328"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Barts Health NHS Trust","R1H","All","White & Other","London","Grouped region","Acute","73","%","3403","4689"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute Trust","63","%","1422","2251"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute Trust","82","%","1857","2270"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Barts Health NHS Trust","R1H","All","White & Other","London","Grouped region","Acute Trust","73","%","3279","4521"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","72","%","13","18"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","88","%","514","581"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Gloucestershire Care Services NHS Trust","R1J","All","White & Other","South","Grouped region","Community Provider Trust","88","%","527","599"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","77","%","17","22"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","90","%","634","708"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Gloucestershire Care Services NHS Trust","R1J","All","White & Other","South","Grouped region","Community Provider Trust","89","%","651","730"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London North West Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute Trust","84","%","828","986"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London North West Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute Trust","68","%","916","1347"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","London North West Healthcare NHS Trust","R1K","All","White & Other","London","Grouped region","Acute Trust","75","%","1744","2333"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London North West University Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute","81","%","708","875"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London North West University Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute","65","%","771","1182"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","London North West University Healthcare NHS Trust","R1K","All","White & Other","London","Grouped region","Acute","72","%","1479","2057"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","Midlands","Grouped region","Mental Health","71","%","151","212"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","Midlands","Grouped region","Mental Health","86","%","978","1142"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Essex Partnership University NHS Foundation Trust","R1L","All","White & Other","Midlands","Grouped region","Mental Health","83","%","1129","1354"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","Midlands","Grouped region","Mental Health Trust","75","%","168","224"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","Midlands","Grouped region","Mental Health Trust","87","%","1137","1303"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Essex Partnership University NHS Foundation Trust","R1L","All","White & Other","Midlands","Grouped region","Mental Health Trust","85","%","1305","1527"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute","79","%","131","166"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute","90","%","677","753"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Surrey County Hospital NHS Foundation Trust","RA2","All","White & Other","South","Grouped region","Acute","88","%","808","919"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute Trust","79","%","143","182"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute Trust","92","%","796","862"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Surrey County Hospital NHS Foundation Trust","RA2","All","White & Other","South","Grouped region","Acute Trust","90","%","939","1044"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute","54","%","14","26"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute","82","%","277","337"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Weston Area Health NHS Trust","RA3","All","White & Other","South","Grouped region","Acute","80","%","291","363"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute Trust","72","%","28","39"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Weston Area Health NHS Trust","RA3","White","White & Other","South","Grouped region","Acute Trust","84","%","341","405"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Weston Area Health NHS Trust","RA3","All","White & Other","South","Grouped region","Acute Trust","83","%","369","444"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South","Grouped region","Acute","78","%","100","128"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South","Grouped region","Acute","89","%","690","775"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Yeovil District Hospital NHS Foundation Trust","RA4","All","White & Other","South","Grouped region","Acute","87","%","790","903"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Yeovil District Hospital NHS Foundation Trust","RA4","Other","White & Other","South","Grouped region","Acute Trust","82","%","62","76"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Yeovil District Hospital NHS Foundation Trust","RA4","White","White & Other","South","Grouped region","Acute Trust","85","%","680","802"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Yeovil District Hospital NHS Foundation Trust","RA4","All","White & Other","South","Grouped region","Acute Trust","85","%","742","878"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute","68","%","239","354"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute","87","%","2329","2678"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","University Hospitals Bristol NHS Foundation Trust","RA7","All","White & Other","South","Grouped region","Acute","85","%","2568","3032"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Bristol NHS Foundation Trust","RA7","Other","White & Other","South","Grouped region","Acute Trust","69","%","185","267"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Bristol NHS Foundation Trust","RA7","White","White & Other","South","Grouped region","Acute Trust","91","%","2075","2291"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","University Hospitals Bristol NHS Foundation Trust","RA7","All","White & Other","South","Grouped region","Acute Trust","88","%","2260","2558"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute","77","%","54","70"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute","86","%","1287","1497"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Torbay and South Devon NHS Foundation Trust","RA9","All","White & Other","South","Grouped region","Acute","86","%","1341","1567"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Torbay and South Devon NHS Foundation Trust","RA9","Other","White & Other","South","Grouped region","Acute Trust","73","%","44","60"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Torbay and South Devon NHS Foundation Trust","RA9","White","White & Other","South","Grouped region","Acute Trust","84","%","1082","1281"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Torbay and South Devon NHS Foundation Trust","RA9","All","White & Other","South","Grouped region","Acute Trust","84","%","1126","1341"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute","71","%","208","295"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute","87","%","927","1064"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Bradford Teaching Hospitals NHS Foundation Trust","RAE","All","White & Other","North","Grouped region","Acute","84","%","1135","1359"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bradford Teaching Hospitals NHS Foundation Trust","RAE","Other","White & Other","North","Grouped region","Acute Trust","68","%","192","282"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bradford Teaching Hospitals NHS Foundation Trust","RAE","White","White & Other","North","Grouped region","Acute Trust","89","%","948","1062"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Bradford Teaching Hospitals NHS Foundation Trust","RAE","All","White & Other","North","Grouped region","Acute Trust","85","%","1140","1344"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands","Grouped region","Acute","74","%","182","245"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands","Grouped region","Acute","85","%","953","1123"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Southend University Hospital NHS Foundation Trust","RAJ","All","White & Other","Midlands","Grouped region","Acute","83","%","1135","1368"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southend University Hospital NHS Foundation Trust","RAJ","Other","White & Other","Midlands","Grouped region","Acute Trust","76","%","127","168"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southend University Hospital NHS Foundation Trust","RAJ","White","White & Other","Midlands","Grouped region","Acute Trust","86","%","808","940"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Southend University Hospital NHS Foundation Trust","RAJ","All","White & Other","Midlands","Grouped region","Acute Trust","84","%","935","1108"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute","66","%","562","855"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute","83","%","1013","1214"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal Free London NHS Foundation Trust","RAL","All","White & Other","London","Grouped region","Acute","76","%","1575","2069"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Free London NHS Foundation Trust","RAL","Other","White & Other","London","Grouped region","Acute Trust","65","%","698","1067"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Free London NHS Foundation Trust","RAL","White","White & Other","London","Grouped region","Acute Trust","84","%","1367","1620"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal Free London NHS Foundation Trust","RAL","All","White & Other","London","Grouped region","Acute Trust","77","%","2065","2687"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute","74","%","155","209"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute","87","%","284","328"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Royal National Orthopaedic Hospital NHS Trust","RAN","All","White & Other","London","Grouped region","Acute","82","%","439","537"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal National Orthopaedic Hospital NHS Trust","RAN","Other","White & Other","London","Grouped region","Acute Trust","68","%","134","196"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","Royal National Orthopaedic Hospital NHS Trust","RAN","White","White & Other","London","Grouped region","Acute Trust","88","%","258","293"
