"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Age","Age_Type","Sex","Disability","Value","confidence_interval","Numerator","denominator","samp_size"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","West Midlands","All","16-64","All","Disabled","43.1","1.9","273900","636200","2692"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","West Midlands","All","16-64","All","Non-disabled","76","0.8","2192300","2883700","11486"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","West Midlands","All","16-64","All","unknown","55.2","11","11100","20000","79"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","All","70.6","0.7","2371700","3361300","15129"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","Disabled","43.5","1.8","265200","609600","2840"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","Non-disabled","76.7","0.8","2095000","2730500","12180"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","unknown","54.2","9.4","11500","21200","109"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","All","30.3","3.1","175400","579600","2087"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","Disabled","27.2","11.4","11300","41600","145"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","Non-disabled","30.6","3.2","163900","535300","1932"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","All","30.3","4.5","84400","278300","1011"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","Non-disabled","30.1","4.7","76200","253300","925"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Male","All","30.2","4.3","91100","301300","1076"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Male","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Male","Non-disabled","31.1","4.5","87700","282000","1007"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Male","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","All","All","72","1.6","1355700","1881700","7687"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","All","Disabled","51.4","4.9","119800","232900","985"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","All","Non-disabled","75","1.6","1229700","1640100","6660"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Female","All","56.1","2.4","527300","939900","4084"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Female","Disabled","39","6.3","51300","131600","568"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Female","Non-disabled","58.9","2.6","473800","804700","3497"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Female","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Male","All","88","1.7","828400","941800","3603"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Male","Disabled","67.6","7.1","68500","101400","417"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Male","Non-disabled","90.5","1.6","755900","835500","3163"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","25-49","16-64","Male","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","All","All","59.5","3.3","279500","470000","2143"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","All","Disabled","31.3","5.3","49800","159300","729"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","All","Non-disabled","74.3","3.6","228500","307400","1397"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Female","All","46.9","4.7","108700","231500","1080"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Female","Disabled","22.8","6.4","20300","89400","417"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Female","Non-disabled","62.7","5.9","87800","140100","653"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Female","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Male","All","71.6","4.3","170800","238500","1063"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Male","Disabled","42.2","8.7","29500","69900","312"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Male","Non-disabled","84.1","4.2","140700","167300","744"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","50-64","16-64","Male","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","All","All","61.8","1.4","1810600","2931300","11917"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","All","Disabled","41.7","3.5","181000","433900","1859"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","All","Non-disabled","65.3","1.5","1622100","2482900","9989"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Female","All","49.7","2","720400","1449700","6175"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Female","Disabled","32.5","4.4","79500","244500","1065"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Female","Non-disabled","53.2","2.2","637800","1198100","5075"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Female","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Male","All","73.6","1.8","1090200","1481600","5742"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Male","Disabled","53.6","5.5","101400","189300","794"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Male","Non-disabled","76.6","1.9","984300","1284800","4914"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","All","All","16-64","Male","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East Midlands","All","16-64","All","All","63.5","5.2","116500","183400","829"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East Midlands","All","16-64","All","Disabled","47.5","12.9","14200","30000","144"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East Midlands","All","16-64","All","Non-disabled","66.9","5.6","102000","152400","681"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East Midlands","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East of England","All","16-64","All","All","66.4","5.2","122600","184700","780"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East of England","All","16-64","All","Disabled","53.6","13.7","13500","25300","127"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East of England","All","16-64","All","Non-disabled","68.4","5.7","108500","158500","649"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","East of England","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","London","All","16-64","All","All","64.5","2.6","663900","1029600","3150"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","London","All","16-64","All","Disabled","46.5","6.9","70000","150300","502"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","London","All","16-64","All","Non-disabled","67.7","2.8","591200","872900","2626"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","London","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North East","All","16-64","All","All","58.8","7.9","27300","46500","373"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North East","All","16-64","All","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North East","All","16-64","All","Non-disabled","61.8","8.4","25400","41100","324"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North East","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North West","All","16-64","All","All","56.3","3.8","166200","295300","1672"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North West","All","16-64","All","Disabled","33.1","8.5","16900","51100","293"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North West","All","16-64","All","Non-disabled","61.3","4.1","148400","242300","1367"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","North West","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Scotland","All","16-64","All","All","62.6","7.6","55000","87900","390"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Scotland","All","16-64","All","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Scotland","All","16-64","All","Non-disabled","68","7.9","51000","75000","334"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Scotland","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South East","All","16-64","All","All","66.7","3.6","205300","307700","1604"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South East","All","16-64","All","Disabled","48.5","11","15700","32500","199"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South East","All","16-64","All","Non-disabled","68.9","3.8","188600","273800","1397"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South East","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South West","All","16-64","All","All","67.6","7.7","54600","80800","354"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South West","All","16-64","All","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South West","All","16-64","All","Non-disabled","67.5","8.1","50500","74800","322"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","South West","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Wales","All","16-64","All","All","60.4","8.5","22100","36600","318"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Wales","All","16-64","All","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Wales","All","16-64","All","Non-disabled","62.4","9","19900","31900","277"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Wales","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","West Midlands","All","16-64","All","All","57.9","3.9","251100","433700","1566"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","West Midlands","All","16-64","All","Disabled","34.7","9.1","25300","73000","264"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","West Midlands","All","16-64","All","Non-disabled","62.6","4.2","225200","359500","1296"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","West Midlands","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","All","51.3","5.2","125800","245000","881"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","Disabled","32.4","11.4","14200","44000","163"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","Non-disabled","55.6","5.8","111400","200500","716"
"Employed","Percentage of individuals employed","Asian","ONS 2011 5+1","Jan14-Dec14","year","Yorkshire and The Humber","All","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","All","31.2","4.8","82200","263200","894"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","Non-disabled","31.7","5.1","76600","241200","813"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","All","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","All","32.2","6.8","42900","133400","446"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","Disabled","!","!","!","!","!"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","Non-disabled","33","7.2","40200","121800","404"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Female","unknown","!","!","!","!","!"
"Employed","Percentage of individuals employed","Black","ONS 2011 5+1","Jan14-Dec14","year","All","16-24","16-64","Male","All","30.2","6.7","39200","129800","448"
