"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Trafford","62.1","2,925","76.2","407","60.6","94","82.9","41","54.9","175","59.9","2,126"
"Wakefield","44.9","3,463","47.2","142","47.6","42","75.0","4","44.9","89","44.6","3,166"
"Walsall","35.9","3,304","49.9","754","31.3","160","80.0","10","36.6","191","31.0","2,130"
"Waltham Forest","42.7","2,605","51.4","766","33.3","571","73.3","15","40.8","262","41.9","895"
"Wandsworth","48.3","1,785","52.3","354","37.4","452","81.8","11","44.4","234","55.5","616"
"Warrington","49.3","2,297","50.0","46","33.3","24","88.9","9","45.5","55","49.8","2,111"
"Warwickshire","49.5","5,623","64.2","327","39.7","58","55.6","9","51.3","234","48.6","4,911"
"West Berkshire","45.8","1,851","43.2","44","43.9","41","66.7","6","44.0","91","46.7","1,613"
"West Midlands","40.0","60,984","46.1","10,314","31.7","3,355","79.9","144","36.7","3,387","39.5","42,175"
"West Sussex","42.7","8,002","52.6","333","26.6","128","65.0","20","44.2","335","42.3","7,066"
"Westminster","53.5","1,655","65.0","217","42.4","396","84.0","25","52.9","172","57.2","416"
"Wigan","39.6","3,352","55.9","34","30.0","30","77.8","9","37.3","51","39.5","3,190"
"Wiltshire","46.6","4,806","67.6","71","43.4","53","91.7","12","48.5","134","46.5","4,373"
"Windsor and Maidenhead","48.4","1,494","48.1","208","42.9","28","66.7","6","45.9","109","49.0","1,104"
"Wirral","45.6","3,388","65.9","85","61.5","13","68.2","22","52.4","82","44.7","3,150"
"Wokingham","52.9","1,744","53.2","231","39.0","77","100.0","5","46.8","109","54.3","1,289"
"Wolverhampton","35.1","2,770","49.9","619","34.0","312","66.7","6","24.7","279","31.1","1,520"
"Worcestershire","42.5","5,439","42.6","176","25.0","28","81.8","11","41.3","189","42.6","4,993"
"York","50.9","1,699","64.7","34","50.0","4","75.0","4","65.9","44","50.2","1,591"
"Yorkshire and The Humber","41.1","54,441","40.2","6,768","33.2","1,245","79.6","113","39.3","1,987","42.0","42,932"
