"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Value","Denominator"," Numerator ","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","81.4","5,563,000","4,529,830","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.8","4,894,000","331,740","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5.1","4,894,000","250,040","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.6","4,894,000","78,360","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2","4,894,000","95,650","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.5","4,894,000","169,950","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","81.1","4,894,000","3,968,180","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.1","4,203,000","297,530","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5.5","4,203,000","230,010","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","4,203,000","77,000","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2","4,203,000","84,790","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.1","4,203,000","131,450","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","80.5","4,203,000","3,382,000","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.3","4,360,700","318,370","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5.7","4,360,700","246,680","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,360,700","83,390","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,360,700","82,010","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.1","4,360,700","133,570","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","80.2","4,360,700","3,496,730","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.7","4,837,100","373,890","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5.7","4,837,100","274,370","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,837,100","93,630","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,837,100","89,640","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.7","4,837,100","131,650","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","80.1","4,837,100","3,873,920","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.8","4,635,500","359,290","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5.7","4,635,500","266,330","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.1","4,635,500","95,980","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,635,500","90,010","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.3","4,635,500","107,140","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","80.2","4,635,500","3,716,760","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","8.2","4,264,900","349,980","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.1","4,264,900","258,100","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","4,264,900","95,430","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,264,900","81,280","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2","4,264,900","87,070","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","79.6","4,264,900","3,393,000","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","8.2","4,216,600","346,860","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.4","4,216,600","267,800","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.5","4,216,600","103,840","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,216,600","78,230","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","4,216,600","77,840","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","79.3","4,216,600","3,342,040","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.9","4,320,300","340,210","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.3","4,320,300","272,870","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.6","4,320,300","111,700","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","4,320,300","80,140","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","4,320,300","94,920","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","79.2","4,320,300","3,420,430","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","7.8","3,913,500","306,900","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.2","3,913,500","242,300","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.7","3,913,500","106,660","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","3,913,500","74,580","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","3,913,500","87,090","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","79.1","3,913,500","3,095,990","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","8.1","3,576,900","289,230","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.4","3,576,900","228,440","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.9","3,576,900","102,010","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2","3,576,900","71,980","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","3,576,900","63,300","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","78.9","3,576,900","2,821,900","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","8.3","3,274,900","271,500","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.3","3,274,900","206,750","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.9","3,274,900","95,240","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.1","3,274,900","68,330","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.2","3,274,900","73,290","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","78.2","3,274,900","2,559,790","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","8.6","3,152,100","271,760","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.6","3,152,100","206,600","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.0","3,152,100","94,650","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.3","3,152,100","72,720","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.8","3,152,100","58,120","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","77.7","3,152,100","2,448,260","","","",""
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","9.0","3,062,000","276,510","","","",""
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","6.6","3,062,000","202,730","","","",""
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","3.1","3,062,000","95,450","","","",""
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","2.5","3,062,000","77,630","","","",""
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","1.9","3,062,000","59,000","","","",""
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","76.8","3,062,000","2,350,680","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
