"Table 4: Self employment by ethnicity","","","","","","",""
"United Kingdom 2011 - 2018","","","","","","",""
"","","","","","","",""
"Measure","Time","Ethnicity","Value","Value_type","Denominator","Numerator","CI"
"Percentage self-employed in the labour force","2015","Indian","13.7","%","813800","111800","5.2"
"Percentage self-employed in the labour force","2015","Mixed","11.4","%","298400","34200","7.3"
"Percentage self-employed in the labour force","2015","Asian Other","14","%","485200","67800","6.9"
"Percentage self-employed in the labour force","2015","Other","16.2","%","440900","71600","7.1"
"Percentage self-employed in the labour force","2015","Pakistani, Bangladeshi","21.9","%","591000","129400","5.7"
"Percentage self-employed in the labour force","2015","White","14.8","%","27559500","4088500","0.7"
"Percentage self-employed in the labour force","2015","White British","14.6","%","24818100","3622500","0.8"
"Percentage self-employed in the labour force","2015","White Other","17","%","2739900","465400","2.6"
"Percentage self-employed in the labour force","2016","All","15.3","%","31424900","4796700","0.5"
"Percentage self-employed in the labour force","2016","Asian","16.9","%","2006900","339600","3.3"
"Percentage self-employed in the labour force","2016","Black","10.8","%","892600","96500","5.4"
"Percentage self-employed in the labour force","2016","Indian","14.1","%","842600","118600","5.3"
"Percentage self-employed in the labour force","2016","Mixed","14.6","%","329300","48100","7.4"
"Percentage self-employed in the labour force","2016","Asian Other","15.1","%","524500","79200","6.8"
"Percentage self-employed in the labour force","2016","Other","18.2","%","476300","86900","7"
"Percentage self-employed in the labour force","2016","Pakistani, Bangladeshi","22.2","%","639700","141800","5.6"
"Percentage self-employed in the labour force","2016","White","15.2","%","27720800","4225600","0.8"
"Percentage self-employed in the labour force","2016","White British","14.9","%","24723000","3688700","0.8"
"Percentage self-employed in the labour force","2016","White Other","17.9","%","2996800","536900","2.6"
"Percentage self-employed in the labour force","2017","All","15.2","%","31875000","4842500","0.5"
"Percentage self-employed in the labour force","2017","Asian","17.1","%","2051500","350200","3.3"
"Percentage self-employed in the labour force","2017","Black","12.3","%","866700","106600","5.6"
"Percentage self-employed in the labour force","2017","Indian","12.8","%","849300","108900","5.2"
"Percentage self-employed in the labour force","2017","Mixed","13.7","%","366400","50000","7"
"Percentage self-employed in the labour force","2017","Asian Other","15.2","%","542900","82600","6.7"
"Percentage self-employed in the labour force","2017","Other","17.2","%","495800","85200","7"
"Percentage self-employed in the labour force","2017","Pakistani, Bangladeshi","24.1","%","659400","158700","5.6"
"Percentage self-employed in the labour force","2017","White","15.1","%","28095900","4251300","0.8"
"Percentage self-employed in the labour force","2017","White British","14.8","%","24929200","3694900","0.8"
"Percentage self-employed in the labour force","2017","White Other","17.6","%","3165400","555600","2.5"
"Percentage self-employed in the labour force","2018","All","15.1","%","32110900","4838900","0.5"
"Percentage self-employed in the labour force","2018","Asian","15.8","%","2118800","334700","3.3"
"Percentage self-employed in the labour force","2018","Black","11.2","%","955000","106800","5.6"
"Percentage self-employed in the labour force","2018","Indian","13.2","%","876200","115500","5.3"
"Percentage self-employed in the labour force","2018","Mixed","11.4","%","370100","42400","7.1"
"Percentage self-employed in the labour force","2018","Asian Other","13.9","%","524100","72900","6.8"
"Percentage self-employed in the labour force","2018","Other","19","%","500200","95200","7.1"
"Percentage self-employed in the labour force","2018","Pakistani, Bangladeshi","20.4","%","718600","146300","5.5"
"Percentage self-employed in the labour force","2018","White","15.1","%","28169700","4260000","0.8"
"Percentage self-employed in the labour force","2018","White British","14.9","%","25051300","3723000","0.8"
"Percentage self-employed in the labour force","2018","White Other","17.2","%","3115600","536800","2.6"
