"","All","Asian","Black","Chinese","Mixed","White","Other"
"Kent","78","85","86","82","83","77","71"
"Kingston upon Hull, City of","72","84","66","100","70","72","65"
"Kingston upon Thames","80","79","74","92","82","81","74"
"Kirklees","72","72","70","80","68","73","67"
"Knowsley","71","87","82","100","71","71","70"
"Lambeth","79","83","78","86","81","80","76"
"Lancashire","75","73","79","79","75","75","63"
"Leeds","69","68","66","81","68","70","67"
"Leicester","70","76","72","74","71","64","71"
"Leicestershire","75","79","79","84","75","75","84"
"Lewisham","78","78","75","80","79","81","72"
"Lincolnshire","72","88","85","86","76","72","62"
"Liverpool","70","74","76","76","70","70","55"
"Luton","72","74","75","71","76","69","63"
"Manchester","72","71","77","89","75","72","64"
"Medway","78","84","87","91","80","76","82"
"Merton","78","83","80","76","76","77","69"
"Middlesbrough","68","68","84","50","75","69","39"
"Milton Keynes","76","83","76","89","81","74","70"
"Newcastle upon Tyne","76","74","74","82","79","77","72"
"Newham","80","82","81","80","81","73","82"
"Norfolk","73","79","72","76","75","73","67"
"North East Lincolnshire","71","80","71","100","77","71","59"
"North Lincolnshire","75","90","44","83","90","76","43"
"North Somerset","76","69","62","80","77","77","33"
"North Tyneside","78","80","79","100","81","78","60"
"North Yorkshire","75","79","74","63","78","75","62"
"Northamptonshire","74","75","73","89","73","74","69"
"Northumberland","81","86","100","88","86","80","75"
"Nottingham","69","70","75","85","71","68","62"
"Nottinghamshire","74","76","78","86","76","74","75"
"Oldham","69","65","68","63","72","72","47"
"Oxfordshire","76","77","73","89","78","77","61"
"Peterborough","68","69","77","71","70","67","70"
"Plymouth","72","77","65","89","71","72","55"
"Poole","78","88","73","50","73","78","75"
"Portsmouth","74","81","77","92","79","73","59"
"Reading","76","83","72","85","77","75","71"
"Redbridge","81","86","79","93","81","76","77"
"Redcar and Cleveland","77","80","50","100","85","77","25"
"Richmond upon Thames","84","87","74","85","86","84","78"
"Rochdale","72","70","75","83","69","73","65"
"Rotherham","73","77","77","54","73","73","57"
"Rutland","75","75","83","N/A","92","75","100"
"Salford","74","80","79","57","76","74","70"
"Sandwell","71","75","75","74","74","68","57"
"Sefton","73","68","45","80","72","74","50"
"Sheffield","72","74","72","80","70","73","66"
"Shropshire","74","79","88","83","73","74","67"
"Slough","76","82","72","100","77","69","72"
"Solihull","77","81","70","91","79","76","78"
"Somerset","77","80","87","83","79","76","64"
"South Gloucestershire","79","90","87","92","83","79","60"
"South Tyneside","77","80","67","86","65","78","72"
"Southampton","76","78","78","86","78","76","70"
"Southend-on-Sea","76","69","82","86","79","76","68"
"Southwark","79","83","78","88","80","80","68"
"St. Helens","73","82","57","86","78","73","43"
"Staffordshire","78","76","70","86","81","78","62"
"Stockport","75","69","74","93","70","76","63"
"Stockton-on-Tees","77","75","86","57","79","78","50"
"Stoke-on-Trent","72","72","70","80","80","72","54"
"Suffolk","73","78","79","100","74","73","75"
"Sunderland","76","75","95","80","71","76","83"
"Surrey","79","79","77","86","83","79","75"
"Sutton","80","89","84","91","77","78","77"
"Swindon","77","80","92","92","77","77","68"
"Tameside","73","72","72","75","76","73","70"
"Telford and Wrekin","76","82","75","100","74","76","50"
"Thurrock","77","83","84","100","76","75","73"
"Torbay","73","73","100","100","69","73","38"
"Tower Hamlets","76","77","83","85","74","74","67"
"Trafford","78","78","73","81","77","79","73"
"Wakefield","73","75","73","95","70","73","66"
"Walsall","73","77","74","71","74","72","60"
"Waltham Forest","79","83","77","94","80","79","79"
"Wandsworth","82","78","78","94","80","86","77"
"Warrington","76","86","83","100","69","76","75"
"Warwickshire","77","82","80","87","80","77","76"
"West Berkshire","78","83","82","67","82","78","81"
"West Sussex","75","76","71","89","76","75","59"
"Westminster","78","80","79","75","83","81","74"
"Wigan","75","64","73","75","84","75","57"
"Wiltshire","75","82","74","89","73","76","67"
"Windsor and Maidenhead","81","77","85","100","90","81","73"
"Wirral","73","81","92","84","78","72","64"
"Wokingham","81","87","89","85","79","80","65"
"Wolverhampton","74","80","78","77","73","71","68"
"Worcestershire","75","76","86","64","78","75","73"
"York","76","80","100","64","77","76","65"
